fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1312316,2024-10-19T20:00:00+00:00,FT,Regular Season - 1,Hoppers,10977,Willikies,22804,1,3,True
1312317,2024-10-19T22:00:00+00:00,FT,Regular Season - 1,Aston Villa,22805,Parham,22799,2,1,True
1312318,2024-10-20T00:00:00+00:00,FT,Regular Season - 1,Grenades,22795,Five Islands,25287,9,0,True
1312319,2024-10-20T20:00:00+00:00,FT,Regular Season - 2,Garden Stars,22793,John Hughes,22796,2,0,True
1312320,2024-10-20T22:00:00+00:00,FT,Regular Season - 2,Old Road,22797,Potters Tigers,25288,4,0,True
1312321,2024-10-21T00:00:00+00:00,FT,Regular Season - 2,All Saints United,22791,Attacking Saints,25286,5,2,True
1312322,2024-10-21T22:00:00+00:00,FT,Regular Season - 2,Pigotts Bullets,22800,Green City,22794,1,0,True
1314165,2024-10-22T00:00:00+00:00,FT,Regular Season - 2,Pigotts Bullets,22800,Green City,22794,1,0,True
1314080,2024-10-26T20:00:00+00:00,FT,Regular Season - 2,Five Islands,25287,All Saints United,22791,2,3,True
1314081,2024-10-26T22:00:00+00:00,FT,Regular Season - 2,Hoppers,10977,John Hughes,22796,1,3,True
1314086,2024-10-26T23:00:00+00:00,FT,Regular Season - 2,Aston Villa,22805,Green City,22794,2,2,True
1314082,2024-10-27T00:00:00+00:00,FT,Regular Season - 2,Grenades,22795,Parham,22799,7,0,True
1314083,2024-10-27T20:00:00+00:00,FT,Regular Season - 2,Old Road,22797,Willikies,22804,2,0,True
1314079,2024-10-28T23:00:00+00:00,FT,Regular Season - 3,Attacking Saints,25286,Potters Tigers,25288,2,4,True
1314267,2024-11-02T20:00:00+00:00,FT,Regular Season - 3,Five Islands,25287,Parham,22799,4,1,True
1314268,2024-11-02T22:00:00+00:00,FT,Regular Season - 3,Hoppers,10977,Pigotts Bullets,22800,1,0,True
1314269,2024-11-03T00:00:00+00:00,FT,Regular Season - 3,Grenades,22795,Green City,22794,4,1,True
1314270,2024-11-03T20:00:00+00:00,FT,Regular Season - 3,Old Road,22797,John Hughes,22796,1,0,True
1314084,2024-11-03T22:00:00+00:00,FT,Regular Season - 3,Attacking Saints,25286,Willikies,22804,3,0,True
1314085,2024-11-04T00:00:00+00:00,FT,Regular Season - 3,All Saints United,22791,Potters Tigers,25288,1,1,True
1314271,2024-11-04T23:00:00+00:00,FT,Regular Season - 3,Aston Villa,22805,Garden Stars,22793,1,3,True
1315220,2024-11-09T20:00:00+00:00,FT,Regular Season - 3,Five Islands,25287,Green City,22794,3,1,True
1315221,2024-11-09T22:00:00+00:00,FT,Regular Season - 3,Old Road,22797,Pigotts Bullets,22800,0,3,True
1315222,2024-11-10T00:00:00+00:00,FT,Regular Season - 4,Aston Villa,22805,Hoppers,10977,3,2,True
1315223,2024-11-10T20:00:00+00:00,FT,Regular Season - 4,Potters Tigers,25288,Willikies,22804,1,2,True
1315224,2024-11-10T22:00:00+00:00,FT,Regular Season - 4,Grenades,22795,Garden Stars,22793,1,1,True
1315225,2024-11-11T00:00:00+00:00,FT,Regular Season - 4,Parham,22799,All Saints United,22791,0,7,True
1315226,2024-11-11T23:00:00+00:00,FT,Regular Season - 4,Attacking Saints,25286,John Hughes,22796,0,0,True
1316019,2024-11-16T21:00:00+00:00,FT,Regular Season - 4,Willikies,22804,John Hughes,22796,3,1,True
1316020,2024-11-16T23:00:00+00:00,FT,Regular Season - 4,Parham,22799,Garden Stars,22793,0,1,True
1316021,2024-11-17T21:00:00+00:00,FT,Regular Season - 4,Potters Tigers,25288,Pigotts Bullets,22800,1,4,True
1316022,2024-11-17T23:00:00+00:00,FT,Regular Season - 4,Attacking Saints,25286,Aston Villa,22805,0,4,True
1316150,2024-11-23T20:00:00+00:00,FT,Regular Season - 4,Potters Tigers,25288,Aston Villa,22805,1,6,True
1316151,2024-11-23T22:00:00+00:00,FT,Regular Season - 5,Green City,22794,Garden Stars,22793,0,1,True
