fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1560857,2026-07-14T09:30:00+00:00,FT,Round of 32,APIA Leichhardt Tigers,3764,Peninsula Power,10221,2,1,True
1560866,2026-07-14T09:30:00+00:00,FT,Round of 32,Rochedale Rovers,11182,SD Raiders,16777,1,2,True
1560863,2026-07-15T09:30:00+00:00,FT,Round of 32,Marlin Coast,27884,Brunswick Juventus FC,27510,0,4,True
1560860,2026-07-15T10:00:00+00:00,FT,Round of 32,FK Beograd,16770,North Sunshine Eagles,25418,2,3,True
1560865,2026-07-21T09:30:00+00:00,PEN,Round of 32,Lions,10217,Perth Glory,940,1,1,False
1560864,2026-07-21T09:30:00+00:00,FT,Round of 32,Preston Lions,19705,Newcastle Jets,946,3,2,True
1560859,2026-07-21T10:00:00+00:00,FT,Round of 32,Cumberland United,10009,Heidelberg United,3803,0,3,True
1560858,2026-07-21T10:30:00+00:00,FT,Round of 32,Bayswater City,3814,Sydney,943,1,5,True
1560870,2026-07-22T09:30:00+00:00,FT,Round of 32,Cooma Tigers FC,1452,Western Sydney Wanderers,939,0,2,True
1560869,2026-07-22T09:30:00+00:00,PEN,Round of 32,Sydney United,3776,Central Coast Mariners,941,1,1,False
1560862,2026-07-22T09:30:00+00:00,FT,Round of 32,Maitland,10208,Fremantle City,21025,1,2,True
1560872,2026-07-22T10:00:00+00:00,FT,Round of 32,Uni Azzurri,3783,Macarthur,15550,0,3,True
1560871,2026-07-26T04:00:00+00:00,FT,Round of 32,Weston Bears,10210,Melbourne City,945,0,3,True
1560861,2026-07-26T07:00:00+00:00,FT,Round of 32,Kingborough Lions,14102,Melbourne Victory,944,0,4,True
1560868,2026-07-30T09:30:00+00:00,FT,Round of 32,Sydney Olympic,3774,Brisbane Roar,947,0,3,True
1560867,2026-07-30T09:30:00+00:00,FT,Round of 32,South Melbourne,3811,Adelaide United,948,2,1,True
1607637,2026-08-08T09:30:00+00:00,NS,Round of 16,Western Sydney Wanderers,939,Melbourne Victory,944,,,False
1607631,2026-08-09T07:00:00+00:00,NS,Round of 16,Brisbane Roar,947,Sydney,943,,,False
1607636,2026-08-09T09:40:00+00:00,NS,Round of 16,South Melbourne,3811,Fremantle City,21025,,,False
1607633,2026-08-11T09:30:00+00:00,NS,Round of 16,Lions,10217,Melbourne City,945,,,False
1607635,2026-08-11T09:30:00+00:00,NS,Round of 16,SD Raiders,16777,Macarthur,15550,,,False
1607630,2026-08-12T09:30:00+00:00,NS,Round of 16,APIA Leichhardt Tigers,3764,Sydney United,3776,,,False
1607632,2026-08-12T09:30:00+00:00,NS,Round of 16,Brunswick Juventus FC,27510,Preston Lions,19705,,,False
1607634,2026-08-12T09:45:00+00:00,NS,Round of 16,North Sunshine Eagles,25418,Heidelberg United,3803,,,False
