fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
901850,2022-08-05T15:30:00+00:00,FT,Regular Season - 1,Kapaz,5490,Zira,648,1,2,True
901853,2022-08-06T16:00:00+00:00,FT,Regular Season - 1,Qarabag,556,Səbail,4199,3,1,True
901851,2022-08-07T13:00:00+00:00,FT,Regular Season - 1,Şamaxı FK,666,Neftchi Baku,2270,0,1,True
901849,2022-08-07T15:15:00+00:00,FT,Regular Season - 1,Sabah FA,13976,Sumqayıt,5503,3,0,True
901852,2022-08-08T13:00:00+00:00,FT,Regular Season - 1,Turan,5499,Qabala,627,0,2,True
901858,2022-08-12T15:00:00+00:00,FT,Regular Season - 2,Zira,648,Sabah FA,13976,1,3,True
901854,2022-08-13T14:20:00+00:00,FT,Regular Season - 2,Sumqayıt,5503,Qarabag,556,0,2,True
901855,2022-08-13T16:30:00+00:00,FT,Regular Season - 2,Səbail,4199,Turan,5499,0,1,True
901856,2022-08-14T14:20:00+00:00,FT,Regular Season - 2,Qabala,627,Şamaxı FK,666,3,1,True
901857,2022-08-14T16:30:00+00:00,FT,Regular Season - 2,Neftchi Baku,2270,Kapaz,5490,5,2,True
901862,2022-08-19T12:30:00+00:00,FT,Regular Season - 3,Şamaxı FK,666,Səbail,4199,1,1,True
901860,2022-08-20T16:30:00+00:00,FT,Regular Season - 3,Sabah FA,13976,Neftchi Baku,2270,2,1,True
901861,2022-08-21T14:00:00+00:00,FT,Regular Season - 3,Kapaz,5490,Qabala,627,0,3,True
901859,2022-08-21T16:30:00+00:00,FT,Regular Season - 3,Zira,648,Sumqayıt,5503,0,0,True
923201,2022-08-26T14:00:00+00:00,FT,Regular Season - 4,Sumqayıt,5503,Turan,5499,0,0,True
923205,2022-08-26T16:30:00+00:00,FT,Regular Season - 4,Neftchi Baku,2270,Zira,648,2,1,True
923203,2022-08-27T14:00:00+00:00,FT,Regular Season - 4,Səbail,4199,Kapaz,5490,4,1,True
923202,2022-08-27T16:30:00+00:00,FT,Regular Season - 4,Qarabag,556,Şamaxı FK,666,4,0,True
923204,2022-08-28T16:00:00+00:00,FT,Regular Season - 4,Qabala,627,Sabah FA,13976,0,2,True
923209,2022-09-01T15:00:00+00:00,FT,Regular Season - 5,Kapaz,5490,Qarabag,556,0,1,True
923210,2022-09-03T12:00:00+00:00,FT,Regular Season - 5,Şamaxı FK,666,Turan,5499,0,1,True
923206,2022-09-03T16:30:00+00:00,FT,Regular Season - 5,Neftchi Baku,2270,Sumqayıt,5503,3,0,True
923208,2022-09-04T14:00:00+00:00,FT,Regular Season - 5,Sabah FA,13976,Səbail,4199,0,0,True
923207,2022-09-04T16:30:00+00:00,FT,Regular Season - 5,Zira,648,Qabala,627,2,1,True
923212,2022-09-09T12:30:00+00:00,FT,Regular Season - 6,Turan,5499,Kapaz,5490,2,0,True
923215,2022-09-10T14:00:00+00:00,FT,Regular Season - 6,Qabala,627,Neftchi Baku,2270,1,2,True
923214,2022-09-10T16:30:00+00:00,FT,Regular Season - 6,Səbail,4199,Zira,648,1,2,True
923211,2022-09-11T14:00:00+00:00,FT,Regular Season - 6,Sumqayıt,5503,Şamaxı FK,666,1,1,True
923213,2022-09-11T16:30:00+00:00,FT,Regular Season - 6,Qarabag,556,Sabah FA,13976,4,3,True
923219,2022-09-16T14:00:00+00:00,FT,Regular Season - 7,Sabah FA,13976,Turan,5499,3,1,True
923257,2022-09-16T16:30:00+00:00,FT,Regular Season - 7,Səbail,4199,Neftchi Baku,2270,0,2,True
923216,2022-09-17T15:00:00+00:00,FT,Regular Season - 7,Qabala,627,Sumqayıt,5503,1,0,True
923220,2022-09-18T14:00:00+00:00,FT,Regular Season - 7,Kapaz,5490,Şamaxı FK,666,2,1,True
923218,2022-09-18T16:30:00+00:00,FT,Regular Season - 7,Zira,648,Qarabag,556,1,7,True
923225,2022-09-30T15:00:00+00:00,FT,Regular Season - 8,Səbail,4199,Qabala,627,1,2,True
923223,2022-10-01T11:30:00+00:00,FT,Regular Season - 8,Turan,5499,Zira,648,1,3,True
923224,2022-10-01T14:00:00+00:00,FT,Regular Season - 8,Qarabag,556,Neftchi Baku,2270,3,1,True
923222,2022-10-02T11:30:00+00:00,FT,Regular Season - 8,Şamaxı FK,666,Sabah FA,13976,0,1,True
923221,2022-10-02T14:00:00+00:00,FT,Regular Season - 8,Sumqayıt,5503,Kapaz,5490,0,0,True
923229,2022-10-07T13:30:00+00:00,FT,Regular Season - 9,Zira,648,Şamaxı FK,666,1,0,True
