fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1600295,2026-08-14T15:30:00+00:00,FT,Regular Season - 1,Turan,5499,Qabala,627,1,0,True,
1600291,2026-08-15T14:30:00+00:00,FT,Regular Season - 1,Araz,11238,Imisli FK,5570,0,0,True,
1600292,2026-08-15T16:45:00+00:00,FT,Regular Season - 1,Sabah FA,13976,Kapaz,5490,2,0,True,
1600294,2026-08-16T15:00:00+00:00,FT,Regular Season - 1,Sumqayıt,5503,Neftchi Baku,2270,1,3,True,
1600296,2026-08-16T17:00:00+00:00,FT,Regular Season - 1,Zira,648,Safa Baku,25318,2,0,True,
1600293,2026-08-17T15:30:00+00:00,FT,Regular Season - 1,Qarabag,556,Şamaxı FK,666,3,1,True,
1601873,2026-08-22T14:30:00+00:00,FT,Regular Season - 2,Qabala,627,Safa Baku,25318,0,1,True,
1601878,2026-08-22T16:45:00+00:00,FT,Regular Season - 2,Zira,648,Imisli FK,5570,3,1,True,
1601877,2026-08-23T14:30:00+00:00,FT,Regular Season - 2,Turan,5499,Şamaxı FK,666,0,0,True,
1601874,2026-08-23T16:45:00+00:00,FT,Regular Season - 2,Neftchi Baku,2270,Araz,11238,5,0,True,
1601875,2026-08-22T15:00:00+00:00,PST,Regular Season - 2,Qarabag,556,Kapaz,5490,,,False,
1601876,2026-08-22T15:00:00+00:00,PST,Regular Season - 2,Sabah FA,13976,Sumqayıt,5503,,,False,
1601880,2026-08-29T14:00:00+00:00,NS,Regular Season - 3,Qabala,627,Şamaxı FK,666,,,False,
1601882,2026-08-29T16:15:00+00:00,NS,Regular Season - 3,Safa Baku,25318,Imisli FK,5570,,,False,155
1601881,2026-08-30T14:00:00+00:00,NS,Regular Season - 3,Kapaz,5490,Turan,5499,,,False,
1601884,2026-08-30T16:15:00+00:00,NS,Regular Season - 3,Zira,648,Neftchi Baku,2270,,,False,
1601879,2026-08-31T14:00:00+00:00,NS,Regular Season - 3,Araz,11238,Sabah FA,13976,,,False,
1601883,2026-08-31T16:15:00+00:00,NS,Regular Season - 3,Sumqayıt,5503,Qarabag,556,,,False,
1601888,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Qarabag,556,Araz,11238,,,False,
1601885,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Qabala,627,Imisli FK,5570,,,False,
1601887,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Neftchi Baku,2270,Safa Baku,25318,,,False,
1601886,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Kapaz,5490,Şamaxı FK,666,,,False,
1601890,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Turan,5499,Sumqayıt,5503,,,False,
1601889,2026-09-05T15:00:00+00:00,NS,Regular Season - 4,Sabah FA,13976,Zira,648,,,False,
1601896,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Zira,648,Qarabag,556,,,False,
1601893,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Kapaz,5490,Qabala,627,,,False,
1601895,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Sumqayıt,5503,Şamaxı FK,666,,,False,
1601892,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Imisli FK,5570,Neftchi Baku,2270,,,False,
1601891,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Araz,11238,Turan,5499,,,False,
1601894,2026-09-12T15:00:00+00:00,NS,Regular Season - 5,Safa Baku,25318,Sabah FA,13976,,,False,155
1601899,2026-09-19T15:00:00+00:00,NS,Regular Season - 6,Qarabag,556,Safa Baku,25318,,,False,
1601897,2026-09-19T15:00:00+00:00,NS,Regular Season - 6,Qabala,627,Neftchi Baku,2270,,,False,
