fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
182882,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,Zulte Waregem,600,Standard Liege,733,,,False
182887,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,St. Truiden,735,Anderlecht,554,,,False
182884,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,Charleroi,736,Kortrijk,734,,,False
182886,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,SK Beveren,738,Gent,631,,,False
182881,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,AS Eupen,739,Club Brugge KV,569,,,False
182885,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,Antwerp,740,Royal Excel Mouscron,743,,,False
182883,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,Cercle Brugge,741,Oostende,624,,,False
182880,2020-03-15T00:00:00+00:00,CANC,Regular Season - 30,Genk,742,KV Mechelen,266,,,False
182822,2020-01-17T19:30:00+00:00,FT,Regular Season - 22,KV Mechelen,266,Standard Liege,733,2,3,True
182818,2020-01-18T17:00:00+00:00,FT,Regular Season - 22,AS Eupen,739,Charleroi,736,1,1,True
182819,2020-01-18T19:00:00+00:00,FT,Regular Season - 22,Oostende,624,SK Beveren,738,0,1,True
182823,2020-01-18T19:00:00+00:00,FT,Regular Season - 22,St. Truiden,735,Kortrijk,734,2,0,True
182817,2020-01-18T19:30:00+00:00,FT,Regular Season - 22,Gent,631,Royal Excel Mouscron,743,3,1,True
182821,2020-01-19T13:30:00+00:00,FT,Regular Season - 22,Cercle Brugge,741,Antwerp,740,1,2,True
182816,2020-01-19T17:00:00+00:00,FT,Regular Season - 22,Anderlecht,554,Club Brugge KV,569,1,2,True
182820,2020-01-19T19:00:00+00:00,FT,Regular Season - 22,Zulte Waregem,600,Genk,742,0,3,True
182824,2020-01-24T19:30:00+00:00,FT,Regular Season - 23,Standard Liege,733,Oostende,624,2,1,True
182831,2020-01-25T19:00:00+00:00,FT,Regular Season - 23,SK Beveren,738,AS Eupen,739,0,1,True
182827,2020-01-25T19:00:00+00:00,FT,Regular Season - 23,Royal Excel Mouscron,743,St. Truiden,735,1,3,True
182825,2020-01-25T19:30:00+00:00,FT,Regular Season - 23,Gent,631,Genk,742,4,1,True
182828,2020-01-26T13:30:00+00:00,FT,Regular Season - 23,Cercle Brugge,741,Anderlecht,554,1,2,True
182826,2020-01-26T17:00:00+00:00,FT,Regular Season - 23,Kortrijk,734,Club Brugge KV,569,2,2,True
182830,2020-01-26T19:00:00+00:00,FT,Regular Season - 23,Antwerp,740,Zulte Waregem,600,2,1,True
182681,2020-01-29T19:30:00+00:00,FT,Regular Season - 5,Charleroi,736,Club Brugge KV,569,0,0,True
182835,2020-01-31T19:30:00+00:00,FT,Regular Season - 24,Kortrijk,734,Standard Liege,733,3,1,True
182834,2020-02-01T17:00:00+00:00,FT,Regular Season - 24,Genk,742,Charleroi,736,1,0,True
182837,2020-02-01T19:00:00+00:00,FT,Regular Season - 24,Oostende,624,St. Truiden,735,1,0,True
182836,2020-02-01T19:00:00+00:00,FT,Regular Season - 24,AS Eupen,739,Cercle Brugge,741,1,0,True
182839,2020-02-01T19:30:00+00:00,FT,Regular Season - 24,KV Mechelen,266,Gent,631,0,3,True
182832,2020-02-02T13:30:00+00:00,FT,Regular Season - 24,Club Brugge KV,569,Antwerp,740,1,0,True
182833,2020-02-02T17:00:00+00:00,FT,Regular Season - 24,Anderlecht,554,Royal Excel Mouscron,743,1,0,True
182838,2020-02-02T19:00:00+00:00,FT,Regular Season - 24,Zulte Waregem,600,SK Beveren,738,5,0,True
182841,2020-02-07T19:30:00+00:00,FT,Regular Season - 25,Gent,631,Anderlecht,554,1,1,True
182844,2020-02-08T17:00:00+00:00,FT,Regular Season - 25,Charleroi,736,Zulte Waregem,600,4,0,True
182847,2020-02-08T19:00:00+00:00,FT,Regular Season - 25,St. Truiden,735,AS Eupen,739,5,2,True
182843,2020-02-08T19:00:00+00:00,FT,Regular Season - 25,Cercle Brugge,741,KV Mechelen,266,3,2,True
182842,2020-02-08T19:30:00+00:00,FT,Regular Season - 25,Royal Excel Mouscron,743,Oostende,624,3,1,True
182829,2020-02-11T19:30:00+00:00,FT,Regular Season - 23,Charleroi,736,KV Mechelen,266,2,1,True
182840,2020-02-12T19:30:00+00:00,FT,Regular Season - 25,Standard Liege,733,Club Brugge KV,569,0,0,True
182846,2020-02-12T19:30:00+00:00,FT,Regular Season - 25,SK Beveren,738,Kortrijk,734,1,2,True
182845,2020-02-13T19:30:00+00:00,FT,Regular Season - 25,Antwerp,740,Genk,742,1,1,True
182850,2020-02-14T19:30:00+00:00,FT,Regular Season - 26,AS Eupen,739,Gent,631,2,3,True
182848,2020-02-15T17:00:00+00:00,FT,Regular Season - 26,Club Brugge KV,569,SK Beveren,738,2,1,True
182851,2020-02-15T19:00:00+00:00,FT,Regular Season - 26,Oostende,624,Kortrijk,734,0,3,True
182855,2020-02-15T19:00:00+00:00,FT,Regular Season - 26,St. Truiden,735,Cercle Brugge,741,0,1,True
182853,2020-02-15T19:30:00+00:00,FT,Regular Season - 26,KV Mechelen,266,Anderlecht,554,2,0,True
182854,2020-02-16T13:30:00+00:00,FT,Regular Season - 26,Antwerp,740,Charleroi,736,1,1,True
182849,2020-02-16T17:00:00+00:00,FT,Regular Season - 26,Genk,742,Standard Liege,733,1,3,True
182852,2020-02-16T19:00:00+00:00,FT,Regular Season - 26,Zulte Waregem,600,Royal Excel Mouscron,743,1,2,True
