fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1369272,2025-04-19T12:00:00+00:00,FT,Transport United,5593,Samtse,21275,3,0,True
1369273,2025-04-20T12:00:00+00:00,FT,BFF Academy U20,25952,Ugyen Academy,19007,2,1,True
1369274,2025-04-22T12:00:00+00:00,FT,Thimphu City,5592,Tsirang,21277,3,0,True
1369275,2025-04-24T10:00:00+00:00,FT,RTC,19005,Southern City,25703,2,1,True
1369276,2025-04-27T10:00:00+00:00,FT,Paro,9426,Tensung,5590,3,0,True
1369277,2025-04-30T11:00:00+00:00,FT,Samtse,21275,BFF Academy U20,25952,1,1,True
1369278,2025-05-03T10:00:00+00:00,FT,Ugyen Academy,19007,Thimphu City,5592,1,2,True
1369279,2025-05-05T10:00:00+00:00,FT,Southern City,25703,Paro,9426,1,4,True
1369280,2025-05-09T10:00:00+00:00,FT,Tsirang,21277,RTC,19005,1,1,True
1369281,2025-05-11T10:00:00+00:00,FT,Tensung,5590,Transport United,5593,0,1,True
1369282,2025-05-12T12:00:00+00:00,FT,Thimphu City,5592,RTC,19005,1,0,True
1369283,2025-05-16T11:00:00+00:00,FT,Samtse,21275,Ugyen Academy,19007,4,3,True
1369284,2025-05-21T10:00:00+00:00,FT,Tsirang,21277,Paro,9426,0,4,True
1369285,2025-05-23T10:00:00+00:00,FT,Tensung,5590,Southern City,25703,0,1,True
1369286,2025-06-07T10:00:00+00:00,FT,Southern City,25703,Tsirang,21277,0,0,True
1369287,2025-06-15T12:00:00+00:00,FT,Transport United,5593,BFF Academy U20,25952,1,3,True
1369288,2025-06-16T12:00:00+00:00,FT,Thimphu City,5592,Samtse,21275,7,0,True
1369289,2025-06-18T10:00:00+00:00,FT,Ugyen Academy,19007,Transport United,5593,2,3,True
1369290,2025-06-19T10:00:00+00:00,FT,RTC,19005,Tensung,5590,3,0,True
1369291,2025-06-21T10:00:00+00:00,FT,Paro,9426,BFF Academy U20,25952,3,2,True
1369292,2025-06-22T12:00:00+00:00,FT,Transport United,5593,Tsirang,21277,4,0,True
1369293,2025-06-24T12:00:00+00:00,FT,BFF Academy U20,25952,Southern City,25703,1,0,True
1369294,2025-06-26T11:00:00+00:00,FT,Samtse,21275,RTC,19005,0,10,True
1369295,2025-06-28T10:00:00+00:00,FT,Ugyen Academy,19007,Paro,9426,0,3,True
1369296,2025-06-29T10:00:00+00:00,FT,Tensung,5590,Thimphu City,5592,1,0,True
1369297,2025-07-01T10:00:00+00:00,FT,Southern City,25703,Samtse,21275,1,0,True
1369298,2025-07-03T10:00:00+00:00,FT,RTC,19005,Transport United,5593,2,3,True
1369299,2025-07-04T12:00:00+00:00,FT,BFF Academy U20,25952,Tensung,5590,6,1,True
1369300,2025-07-05T10:00:00+00:00,FT,Ugyen Academy,19007,Tsirang,21277,1,0,True
1369301,2025-07-06T10:00:00+00:00,FT,Paro,9426,Thimphu City,5592,2,1,True
1369302,2025-07-07T10:00:00+00:00,FT,RTC,19005,BFF Academy U20,25952,4,0,True
1369303,2025-07-09T11:00:00+00:00,FT,Samtse,21275,Tsirang,21277,1,2,True
1369304,2025-07-11T12:00:00+00:00,FT,Thimphu City,5592,Southern City,25703,3,0,True
1369305,2025-07-12T10:00:00+00:00,FT,Tensung,5590,Ugyen Academy,19007,1,3,True
1369306,2025-07-13T12:00:00+00:00,FT,BFF Academy U20,25952,Tsirang,21277,1,1,True
1369307,2025-07-14T12:00:00+00:00,FT,Transport United,5593,Southern City,25703,2,0,True
1369308,2025-07-18T10:00:00+00:00,FT,Ugyen Academy,19007,Southern City,25703,2,1,True
1369309,2025-07-19T10:00:00+00:00,FT,Paro,9426,Transport United,5593,2,0,True
