fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1323743,2025-02-09T18:30:00+00:00,FT,1st Phase - 1,Caucaia,10000,Tiradentes CE,12288,0,0,True
1323722,2025-02-09T18:30:00+00:00,FT,1st Phase - 1,Maranguape,13090,Itapipoca,15506,1,0,True
1323725,2025-02-09T18:30:00+00:00,FT,1st Phase - 1,Crato,13092,Guarani De Juazeiro,1216,1,2,True
1323727,2025-02-12T18:30:00+00:00,FT,1st Phase - 2,Uniclinic Atletico Clube,2229,Maranguape,13090,0,0,True
1323729,2025-02-12T19:00:00+00:00,FT,1st Phase - 2,Pacatuba,15507,Quixada,24093,2,3,True
1323726,2025-02-13T18:30:00+00:00,FT,1st Phase - 2,Itapipoca,15506,Tiradentes CE,12288,1,0,True
1323728,2025-02-13T23:00:00+00:00,FT,1st Phase - 2,Icasa,7874,Crato,13092,1,1,True
1323730,2025-02-15T18:30:00+00:00,FT,1st Phase - 3,Caucaia,10000,Uniclinic Atletico Clube,2229,1,0,True
1323731,2025-02-16T18:30:00+00:00,FT,1st Phase - 3,Maranguape,13090,Tiradentes CE,12288,2,0,True
1323733,2025-02-16T18:30:00+00:00,FT,1st Phase - 3,Quixada,24093,Crato,13092,1,0,True
1323732,2025-02-16T19:00:00+00:00,FT,1st Phase - 3,Guarani De Juazeiro,1216,Pacatuba,15507,0,0,True
1323724,2025-02-19T22:00:00+00:00,FT,1st Phase - 1,Quixada,24093,Icasa,7874,1,4,True
1323739,2025-02-21T22:00:00+00:00,FT,1st Phase - 4,Tiradentes CE,12288,Uniclinic Atletico Clube,2229,1,3,True
1323738,2025-02-22T18:30:00+00:00,FT,1st Phase - 4,Itapipoca,15506,Caucaia,10000,4,0,True
1323737,2025-02-23T19:00:00+00:00,FT,1st Phase - 4,Guarani De Juazeiro,1216,Quixada,24093,0,2,True
1323736,2025-02-23T19:00:00+00:00,FT,1st Phase - 4,Pacatuba,15507,Icasa,7874,1,1,True
1323741,2025-02-26T18:00:00+00:00,FT,1st Phase - 5,Crato,13092,Pacatuba,15507,4,1,True
1323735,2025-02-27T18:30:00+00:00,FT,1st Phase - 5,Caucaia,10000,Maranguape,13090,1,0,True
1323740,2025-02-27T22:00:00+00:00,FT,1st Phase - 5,Icasa,7874,Guarani De Juazeiro,1216,0,0,True
1323745,2025-03-05T22:00:00+00:00,FT,1st Phase - 6,Guarani De Juazeiro,1216,Crato,13092,3,1,True
1323744,2025-03-06T22:00:00+00:00,FT,1st Phase - 6,Icasa,7874,Quixada,24093,1,1,True
1323742,2025-03-06T22:00:00+00:00,FT,1st Phase - 6,Itapipoca,15506,Maranguape,13090,1,0,True
1323748,2025-03-09T18:00:00+00:00,FT,1st Phase - 7,Crato,13092,Icasa,7874,1,1,True
1323747,2025-03-09T18:30:00+00:00,FT,1st Phase - 7,Maranguape,13090,Uniclinic Atletico Clube,2229,2,1,True
1323749,2025-03-09T19:00:00+00:00,FT,1st Phase - 7,Quixada,24093,Pacatuba,15507,1,0,True
1323723,2025-03-10T18:30:00+00:00,FT,1st Phase - 6,Tiradentes CE,12288,Caucaia,10000,2,4,True
1323752,2025-03-12T22:00:00+00:00,FT,1st Phase - 8,Pacatuba,15507,Guarani De Juazeiro,1216,4,2,True
1323734,2025-03-13T18:30:00+00:00,FT,1st Phase - 5,Uniclinic Atletico Clube,2229,Itapipoca,15506,2,2,True
1323751,2025-03-13T18:30:00+00:00,FT,1st Phase - 8,Tiradentes CE,12288,Maranguape,13090,0,4,True
1323753,2025-03-16T18:00:00+00:00,FT,1st Phase - 8,Crato,13092,Quixada,24093,2,0,True
1323750,2025-03-17T18:30:00+00:00,FT,1st Phase - 8,Uniclinic Atletico Clube,2229,Caucaia,10000,0,4,True
1323746,2025-03-17T18:30:00+00:00,FT,1st Phase - 7,Tiradentes CE,12288,Itapipoca,15506,1,2,True
1323757,2025-03-19T22:00:00+00:00,FT,1st Phase - 9,Icasa,7874,Pacatuba,15507,5,0,True
1323756,2025-03-19T22:00:00+00:00,FT,1st Phase - 9,Quixada,24093,Guarani De Juazeiro,1216,5,2,True
1323754,2025-03-20T22:00:00+00:00,FT,1st Phase - 9,Maranguape,13090,Caucaia,10000,2,1,True
1323755,2025-03-20T22:00:00+00:00,FT,1st Phase - 9,Itapipoca,15506,Uniclinic Atletico Clube,2229,3,0,True
1323758,2025-03-23T18:30:00+00:00,FT,1st Phase - 10,Uniclinic Atletico Clube,2229,Tiradentes CE,12288,2,2,True
1323759,2025-03-23T18:30:00+00:00,FT,1st Phase - 10,Caucaia,10000,Itapipoca,15506,0,2,True
1323761,2025-03-23T20:00:00+00:00,FT,1st Phase - 10,Guarani De Juazeiro,1216,Icasa,7874,2,1,True
1323760,2025-03-23T20:00:00+00:00,FT,1st Phase - 10,Pacatuba,15507,Crato,13092,1,3,True
1366224,2025-03-26T23:00:00+00:00,FT,2nd Round,Maranguape,13090,Guarani De Juazeiro,1216,1,0,True
1366225,2025-03-27T23:00:00+00:00,PEN,2nd Round,Crato,13092,Caucaia,10000,0,0,False
