fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1632361,2026-07-25T20:00:00+00:00,FT,Regular Season - 1,Vila Real,26142,Esporte Limoeiro,13088,0,0,True,
1632362,2026-07-26T18:30:00+00:00,FT,Regular Season - 1,Calouros do Ar,28316,Palmacia,28317,1,0,True,
1632360,2026-07-27T22:00:00+00:00,FT,Regular Season - 1,Acopiara,28315,Pacatuba,15507,0,0,True,
1632363,2026-08-01T18:00:00+00:00,FT,Regular Season - 2,Pacatuba,15507,Vila Real,26142,1,1,True,
1632364,2026-08-02T18:00:00+00:00,FT,Regular Season - 2,Palmacia,28317,Acopiara,28315,2,3,True,
1632365,2026-08-02T19:00:00+00:00,FT,Regular Season - 2,Esporte Limoeiro,13088,Tianguá,24095,1,0,True,
1632366,2026-08-08T20:00:00+00:00,FT,Regular Season - 3,Vila Real,26142,Palmacia,28317,2,1,True,
1632367,2026-08-10T22:00:00+00:00,FT,Regular Season - 3,Acopiara,28315,Calouros do Ar,28316,3,0,True,
1632368,2026-08-11T18:00:00+00:00,FT,Regular Season - 3,Tianguá,24095,Pacatuba,15507,2,2,True,
1632369,2026-08-15T18:00:00+00:00,FT,Regular Season - 4,Pacatuba,15507,Esporte Limoeiro,13088,1,0,True,
1632370,2026-08-15T18:30:00+00:00,FT,Regular Season - 4,Calouros do Ar,28316,Vila Real,26142,1,2,True,
1632371,2026-08-18T18:00:00+00:00,FT,Regular Season - 4,Palmacia,28317,Tianguá,24095,0,1,True,
1632372,2026-08-22T20:00:00+00:00,FT,Regular Season - 5,Vila Real,26142,Acopiara,28315,3,2,True,
1632373,2026-08-23T18:00:00+00:00,FT,Regular Season - 5,Tianguá,24095,Calouros do Ar,28316,2,4,True,
1632374,2026-08-23T19:00:00+00:00,FT,Regular Season - 5,Esporte Limoeiro,13088,Palmacia,28317,3,0,True,
1632375,2026-08-29T18:30:00+00:00,NS,Regular Season - 6,Calouros do Ar,28316,Esporte Limoeiro,13088,,,False,
1632376,2026-08-30T19:00:00+00:00,NS,Regular Season - 6,Acopiara,28315,Tianguá,24095,,,False,
1632377,2026-09-01T18:00:00+00:00,NS,Regular Season - 6,Palmacia,28317,Pacatuba,15507,,,False,
1632378,2026-09-06T19:00:00+00:00,NS,Regular Season - 7,Esporte Limoeiro,13088,Acopiara,28315,,,False,
1632379,2026-09-06T19:00:00+00:00,NS,Regular Season - 7,Pacatuba,15507,Calouros do Ar,28316,,,False,
1632380,2026-09-06T19:00:00+00:00,NS,Regular Season - 7,Tianguá,24095,Vila Real,26142,,,False,
