fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1500962,2026-01-10T22:30:00+00:00,FT,Regular Season - 1,Imperatriz,2213,Sampaio Correa,155,1,1,True
1500963,2026-01-11T18:30:00+00:00,FT,Regular Season - 1,Tuntum,18317,Luminense,26707,0,2,True
1500965,2026-01-11T19:00:00+00:00,FT,Regular Season - 1,Maranhão,7832,Moto Club,2216,1,1,True
1500964,2026-01-11T19:00:00+00:00,FT,Regular Season - 1,IAPE,15606,ITZ Sport,25181,1,0,True
1500968,2026-01-14T18:30:00+00:00,FT,Regular Season - 2,Luminense,26707,Imperatriz,2213,1,0,True
1500966,2026-01-14T22:30:00+00:00,FT,Regular Season - 2,Sampaio Correa,155,IAPE,15606,0,0,True
1500969,2026-01-14T22:30:00+00:00,FT,Regular Season - 2,Maranhão,7832,Tuntum,18317,3,1,True
1500967,2026-01-14T22:30:00+00:00,FT,Regular Season - 2,ITZ Sport,25181,Moto Club,2216,1,1,True
1500970,2026-01-17T22:30:00+00:00,FT,Regular Season - 3,ITZ Sport,25181,Imperatriz,2213,0,1,True
1500971,2026-01-18T18:30:00+00:00,FT,Regular Season - 3,Tuntum,18317,IAPE,15606,2,1,True
1500973,2026-01-18T19:00:00+00:00,FT,Regular Season - 3,Sampaio Correa,155,Maranhão,7832,4,2,True
1500972,2026-01-18T19:00:00+00:00,FT,Regular Season - 3,Luminense,26707,Moto Club,2216,0,3,True
1500974,2026-01-21T19:00:00+00:00,FT,Regular Season - 4,Tuntum,18317,Imperatriz,2213,0,0,True
1500977,2026-01-21T22:30:00+00:00,FT,Regular Season - 4,Moto Club,2216,Sampaio Correa,155,0,0,True
1500976,2026-01-21T22:30:00+00:00,FT,Regular Season - 4,Maranhão,7832,ITZ Sport,25181,1,0,True
1500975,2026-01-22T22:30:00+00:00,FT,Regular Season - 4,Luminense,26707,IAPE,15606,0,1,True
1500978,2026-01-24T22:30:00+00:00,FT,Regular Season - 5,Imperatriz,2213,Maranhão,7832,0,1,True
1500980,2026-01-25T19:00:00+00:00,FT,Regular Season - 5,Sampaio Correa,155,Luminense,26707,1,1,True
1500979,2026-01-25T19:00:00+00:00,FT,Regular Season - 5,IAPE,15606,Moto Club,2216,0,1,True
1500981,2026-01-25T20:00:00+00:00,FT,Regular Season - 5,ITZ Sport,25181,Tuntum,18317,0,2,True
1500982,2026-01-28T19:00:00+00:00,FT,Regular Season - 6,Tuntum,18317,Sampaio Correa,155,1,1,True
1500985,2026-01-28T22:30:00+00:00,FT,Regular Season - 6,Moto Club,2216,Imperatriz,2213,2,0,True
1500983,2026-01-28T22:30:00+00:00,FT,Regular Season - 6,IAPE,15606,Maranhão,7832,1,0,True
1500984,2026-01-28T22:30:00+00:00,FT,Regular Season - 6,ITZ Sport,25181,Luminense,26707,0,2,True
1500989,2026-02-01T19:00:00+00:00,FT,Regular Season - 7,Sampaio Correa,155,ITZ Sport,25181,6,0,True
1500986,2026-02-01T19:00:00+00:00,FT,Regular Season - 7,Imperatriz,2213,IAPE,15606,0,0,True
1500988,2026-02-01T19:00:00+00:00,FT,Regular Season - 7,Moto Club,2216,Tuntum,18317,2,2,True
1500987,2026-02-01T19:00:00+00:00,FT,Regular Season - 7,Maranhão,7832,Luminense,26707,1,0,True
1516233,2026-02-07T19:00:00+00:00,FT,Semi-finals,Sampaio Correa,155,Maranhão,7832,0,3,True
1516232,2026-02-07T19:00:00+00:00,FT,Semi-finals,IAPE,15606,Moto Club,2216,2,1,True
1516236,2026-02-07T22:30:00+00:00,FT,Final,Imperatriz,2213,Tuntum,18317,2,2,True
1516237,2026-02-11T18:30:00+00:00,FT,Final,Tuntum,18317,Imperatriz,2213,1,2,True
1516235,2026-02-11T22:30:00+00:00,FT,Semi-finals,Moto Club,2216,IAPE,15606,0,2,True
1516234,2026-02-11T22:30:00+00:00,FT,Semi-finals,Maranhão,7832,Sampaio Correa,155,0,2,True
1522548,2026-02-22T19:00:00+00:00,FT,Final,Maranhão,7832,IAPE,15606,0,0,True
1522549,2026-03-01T19:00:00+00:00,FT,Final,IAPE,15606,Maranhão,7832,1,0,True
