fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1321971,2025-01-26T13:00:00+00:00,CANC,Matonense,18303,Inter de Bebedouro,23576,,,False
1321965,2025-01-22T18:00:00+00:00,FT,Nacional SP,10036,São Caetano,7786,1,2,True
1321964,2025-01-22T18:00:00+00:00,FT,Jabaquara,22949,Vocem,22955,0,0,True
1321961,2025-01-22T18:00:00+00:00,FT,Joseense,22950,Taquaritinga,22953,2,0,True
1321963,2025-01-22T18:00:00+00:00,FT,Colorado Caieiras,23572,Barretos,10028,0,3,True
1321962,2025-01-22T22:30:00+00:00,FT,Penapolense,10022,Uniao Barbarense,22954,0,0,True
1321966,2025-01-22T23:00:00+00:00,FT,Paulista,10038,Matonense,18303,1,0,True
1321960,2025-01-22T23:00:00+00:00,FT,AEA,23569,Grêmio Sãocarlense,22947,2,1,True
1321959,2025-01-22T23:00:00+00:00,FT,Inter de Bebedouro,23576,Gremio Osasco Audax,1217,2,1,True
1321972,2025-01-25T18:00:00+00:00,FT,São Caetano,7786,Paulista,10038,0,1,True
1321968,2025-01-25T18:00:00+00:00,FT,Taquaritinga,22953,Colorado Caieiras,23572,2,2,True
1321969,2025-01-25T19:00:00+00:00,FT,Gremio Osasco Audax,1217,AEA,23569,0,2,True
1321970,2025-01-25T19:00:00+00:00,FT,Grêmio Sãocarlense,22947,Joseense,22950,1,1,True
1321967,2025-01-25T21:30:00+00:00,FT,Barretos,10028,Jabaquara,22949,2,0,True
1321974,2025-01-25T22:30:00+00:00,FT,Vocem,22955,Penapolense,10022,1,3,True
1321973,2025-01-26T13:00:00+00:00,FT,Uniao Barbarense,22954,Nacional SP,10036,1,2,True
1321979,2025-01-29T18:00:00+00:00,FT,Jabaquara,22949,Uniao Barbarense,22954,1,2,True
1321976,2025-01-29T18:00:00+00:00,FT,Taquaritinga,22953,Nacional SP,10036,1,0,True
1321977,2025-01-29T18:00:00+00:00,FT,Colorado Caieiras,23572,Inter de Bebedouro,23576,0,2,True
1321978,2025-01-29T22:00:00+00:00,FT,Grêmio Sãocarlense,22947,Gremio Osasco Audax,1217,3,3,True
1321982,2025-01-29T22:30:00+00:00,FT,Vocem,22955,Barretos,10028,1,1,True
1321981,2025-01-29T23:00:00+00:00,FT,São Caetano,7786,Joseense,22950,2,1,True
1321980,2025-01-29T23:00:00+00:00,FT,Paulista,10038,Penapolense,10022,1,0,True
1321975,2025-01-29T23:00:00+00:00,FT,AEA,23569,Matonense,18303,1,0,True
1321988,2025-02-01T18:00:00+00:00,FT,Nacional SP,10036,AEA,23569,2,0,True
1321987,2025-02-01T19:00:00+00:00,FT,Gremio Osasco Audax,1217,Paulista,10038,0,4,True
1321983,2025-02-01T19:00:00+00:00,FT,Inter de Bebedouro,23576,Jabaquara,22949,1,2,True
1321986,2025-02-02T13:00:00+00:00,FT,Penapolense,10022,Grêmio Sãocarlense,22947,1,1,True
1321989,2025-02-02T13:00:00+00:00,FT,Matonense,18303,Colorado Caieiras,23572,0,5,True
1321990,2025-02-02T13:00:00+00:00,FT,Uniao Barbarense,22954,São Caetano,7786,2,4,True
1321985,2025-02-03T18:00:00+00:00,FT,Joseense,22950,Vocem,22955,2,0,True
1321984,2025-02-03T23:00:00+00:00,FT,Barretos,10028,Taquaritinga,22953,1,3,True
1321997,2025-02-08T18:00:00+00:00,FT,Paulista,10038,Inter de Bebedouro,23576,1,0,True
1321996,2025-02-08T18:00:00+00:00,FT,Jabaquara,22949,Gremio Osasco Audax,1217,1,1,True
1321993,2025-02-08T18:00:00+00:00,FT,Taquaritinga,22953,Uniao Barbarense,22954,0,2,True
1321994,2025-02-08T18:00:00+00:00,FT,Colorado Caieiras,23572,Nacional SP,10036,3,1,True
1321995,2025-02-08T19:00:00+00:00,FT,Grêmio Sãocarlense,22947,Matonense,18303,2,0,True
1321991,2025-02-08T19:00:00+00:00,FT,AEA,23569,Barretos,10028,0,0,True
1321998,2025-02-08T22:30:00+00:00,FT,Vocem,22955,São Caetano,7786,1,0,True
1321992,2025-02-09T13:00:00+00:00,FT,Joseense,22950,Penapolense,10022,3,1,True
1322004,2025-02-12T18:00:00+00:00,FT,Matonense,18303,Taquaritinga,22953,0,4,True
1322003,2025-02-12T18:00:00+00:00,FT,Jabaquara,22949,Paulista,10038,0,1,True
1322006,2025-02-12T18:00:00+00:00,FT,Uniao Barbarense,22954,Joseense,22950,0,0,True
1322001,2025-02-12T22:30:00+00:00,FT,Penapolense,10022,Colorado Caieiras,23572,0,0,True
1322002,2025-02-12T23:00:00+00:00,FT,Gremio Osasco Audax,1217,Vocem,22955,1,1,True
1322005,2025-02-12T23:00:00+00:00,FT,São Caetano,7786,AEA,23569,3,0,True
1322000,2025-02-12T23:00:00+00:00,FT,Barretos,10028,Grêmio Sãocarlense,22947,2,2,True
1321999,2025-02-12T23:00:00+00:00,FT,Inter de Bebedouro,23576,Nacional SP,10036,0,0,True
1322011,2025-02-15T18:00:00+00:00,FT,Nacional SP,10036,Jabaquara,22949,1,0,True
1322012,2025-02-15T18:00:00+00:00,FT,Paulista,10038,Uniao Barbarense,22954,1,3,True
1322008,2025-02-15T18:00:00+00:00,FT,Taquaritinga,22953,Inter de Bebedouro,23576,2,1,True
1322009,2025-02-15T18:00:00+00:00,FT,Colorado Caieiras,23572,Joseense,22950,0,0,True
1322010,2025-02-15T19:00:00+00:00,FT,Gremio Osasco Audax,1217,Barretos,10028,2,0,True
1322007,2025-02-15T19:00:00+00:00,FT,AEA,23569,Penapolense,10022,0,0,True
1322014,2025-02-15T22:30:00+00:00,FT,Vocem,22955,Grêmio Sãocarlense,22947,0,2,True
1322013,2025-02-16T13:00:00+00:00,FT,Matonense,18303,São Caetano,7786,3,3,True
1322016,2025-02-18T18:00:00+00:00,FT,Joseense,22950,Jabaquara,22949,1,0,True
1322017,2025-02-19T18:00:00+00:00,FT,Penapolense,10022,Nacional SP,10036,0,3,True
1322018,2025-02-19T18:00:00+00:00,FT,Taquaritinga,22953,Gremio Osasco Audax,1217,0,0,True
1322021,2025-02-19T18:00:00+00:00,FT,Uniao Barbarense,22954,Matonense,18303,3,0,True
1322019,2025-02-19T22:00:00+00:00,FT,Grêmio Sãocarlense,22947,Inter de Bebedouro,23576,1,1,True
1322022,2025-02-19T22:30:00+00:00,FT,Vocem,22955,AEA,23569,1,2,True
1322020,2025-02-19T23:00:00+00:00,FT,São Caetano,7786,Colorado Caieiras,23572,2,2,True
1322015,2025-02-19T23:00:00+00:00,FT,Barretos,10028,Paulista,10038,0,0,True
1322029,2025-02-22T18:00:00+00:00,FT,São Caetano,7786,Taquaritinga,22953,1,0,True
1322027,2025-02-22T18:00:00+00:00,FT,Nacional SP,10036,Barretos,10028,0,0,True
1322026,2025-02-22T18:00:00+00:00,FT,Jabaquara,22949,Penapolense,10022,2,1,True
1322024,2025-02-22T18:00:00+00:00,FT,Colorado Caieiras,23572,AEA,23569,2,0,True
1322025,2025-02-22T19:00:00+00:00,FT,Gremio Osasco Audax,1217,Matonense,18303,3,2,True
1322023,2025-02-22T19:00:00+00:00,FT,Inter de Bebedouro,23576,Vocem,22955,1,1,True
1322028,2025-02-23T13:00:00+00:00,FT,Paulista,10038,Joseense,22950,1,0,True
1322030,2025-02-23T13:00:00+00:00,FT,Uniao Barbarense,22954,Grêmio Sãocarlense,22947,1,0,True
1322033,2025-02-26T18:00:00+00:00,FT,Penapolense,10022,Taquaritinga,22953,1,2,True
1322036,2025-02-26T18:00:00+00:00,FT,Nacional SP,10036,Paulista,10038,1,0,True
1322037,2025-02-26T18:00:00+00:00,FT,Matonense,18303,Joseense,22950,1,2,True
1322038,2025-02-26T22:30:00+00:00,FT,Vocem,22955,Colorado Caieiras,23572,3,3,True
1322034,2025-02-26T23:00:00+00:00,FT,Gremio Osasco Audax,1217,São Caetano,7786,1,3,True
1322032,2025-02-26T23:00:00+00:00,FT,Barretos,10028,Uniao Barbarense,22954,1,3,True
1322031,2025-02-26T23:00:00+00:00,FT,AEA,23569,Inter de Bebedouro,23576,0,3,True
1322035,2025-02-27T18:00:00+00:00,FT,Grêmio Sãocarlense,22947,Jabaquara,22949,0,1,True
1322044,2025-03-01T13:00:00+00:00,FT,Matonense,18303,Barretos,10028,2,3,True
1322045,2025-03-01T18:00:00+00:00,FT,São Caetano,7786,Grêmio Sãocarlense,22947,2,1,True
1322043,2025-03-01T18:00:00+00:00,FT,Paulista,10038,Colorado Caieiras,23572,3,5,True
1322042,2025-03-01T18:00:00+00:00,FT,Jabaquara,22949,AEA,23569,0,1,True
1322040,2025-03-01T18:00:00+00:00,FT,Joseense,22950,Nacional SP,10036,2,2,True
1322039,2025-03-01T19:00:00+00:00,FT,Inter de Bebedouro,23576,Penapolense,10022,1,1,True
1322041,2025-03-02T13:00:00+00:00,FT,Taquaritinga,22953,Vocem,22955,2,0,True
1322046,2025-03-05T18:00:00+00:00,FT,Uniao Barbarense,22954,Gremio Osasco Audax,1217,3,0,True
1322048,2025-03-07T23:00:00+00:00,FT,AEA,23569,Paulista,10038,0,0,True
1322053,2025-03-08T18:00:00+00:00,FT,Nacional SP,10036,Matonense,18303,3,2,True
1322051,2025-03-08T18:00:00+00:00,FT,Colorado Caieiras,23572,Jabaquara,22949,2,0,True
1322052,2025-03-08T19:00:00+00:00,FT,Grêmio Sãocarlense,22947,Taquaritinga,22953,1,2,True
1322047,2025-03-08T19:00:00+00:00,FT,Inter de Bebedouro,23576,Joseense,22950,1,1,True
1322049,2025-03-08T21:30:00+00:00,FT,Barretos,10028,São Caetano,7786,0,0,True
1322054,2025-03-08T22:30:00+00:00,FT,Vocem,22955,Uniao Barbarense,22954,2,1,True
1322050,2025-03-09T13:00:00+00:00,FT,Penapolense,10022,Gremio Osasco Audax,1217,2,2,True
1322060,2025-03-11T18:00:00+00:00,FT,Matonense,18303,Vocem,22955,2,3,True
1322056,2025-03-12T18:00:00+00:00,FT,Joseense,22950,AEA,23569,0,2,True
1322057,2025-03-12T18:00:00+00:00,FT,Taquaritinga,22953,Paulista,10038,0,0,True
1322062,2025-03-12T18:00:00+00:00,FT,Uniao Barbarense,22954,Inter de Bebedouro,23576,2,0,True
1322059,2025-03-12T22:00:00+00:00,FT,Grêmio Sãocarlense,22947,Colorado Caieiras,23572,1,1,True
1322058,2025-03-12T23:00:00+00:00,FT,Gremio Osasco Audax,1217,Nacional SP,10036,0,2,True
1322061,2025-03-12T23:00:00+00:00,FT,São Caetano,7786,Jabaquara,22949,0,1,True
1322055,2025-03-12T23:00:00+00:00,FT,Barretos,10028,Penapolense,10022,0,2,True
1322069,2025-03-15T18:00:00+00:00,FT,Nacional SP,10036,Vocem,22955,0,3,True
1322070,2025-03-15T18:00:00+00:00,FT,Paulista,10038,Grêmio Sãocarlense,22947,0,0,True
1322068,2025-03-15T18:00:00+00:00,FT,Jabaquara,22949,Matonense,18303,3,1,True
1322065,2025-03-15T18:00:00+00:00,FT,Joseense,22950,Gremio Osasco Audax,1217,3,0,True
1322067,2025-03-15T18:00:00+00:00,FT,Colorado Caieiras,23572,Uniao Barbarense,22954,0,2,True
1322064,2025-03-15T20:00:00+00:00,FT,AEA,23569,Taquaritinga,22953,3,1,True
1322066,2025-03-16T13:00:00+00:00,FT,Penapolense,10022,São Caetano,7786,1,1,True
1322063,2025-03-17T23:00:00+00:00,FT,Inter de Bebedouro,23576,Barretos,10028,3,1,True
1322073,2025-03-22T18:00:00+00:00,FT,Gremio Osasco Audax,1217,Colorado Caieiras,23572,1,3,True
1322076,2025-03-22T18:00:00+00:00,FT,São Caetano,7786,Inter de Bebedouro,23576,2,2,True
1322071,2025-03-22T18:00:00+00:00,FT,Barretos,10028,Joseense,22950,0,1,True
1322075,2025-03-22T18:00:00+00:00,FT,Matonense,18303,Penapolense,10022,0,3,True
1322074,2025-03-22T18:00:00+00:00,FT,Grêmio Sãocarlense,22947,Nacional SP,10036,0,0,True
1322072,2025-03-22T18:00:00+00:00,FT,Taquaritinga,22953,Jabaquara,22949,2,1,True
1322077,2025-03-22T18:00:00+00:00,FT,Uniao Barbarense,22954,AEA,23569,3,0,True
1322078,2025-03-22T18:00:00+00:00,FT,Vocem,22955,Paulista,10038,1,1,True
1366058,2025-03-29T13:00:00+00:00,FT,Colorado Caieiras,23572,Uniao Barbarense,22954,0,1,True
1366062,2025-03-29T18:00:00+00:00,FT,Nacional SP,10036,São Caetano,7786,3,0,True
1366060,2025-03-29T20:00:00+00:00,FT,AEA,23569,Taquaritinga,22953,0,1,True
1366064,2025-03-29T22:00:00+00:00,FT,Paulista,10038,Joseense,22950,2,2,True
1366063,2025-04-05T18:00:00+00:00,FT,São Caetano,7786,Nacional SP,10036,1,1,True
1366065,2025-04-05T18:00:00+00:00,FT,Joseense,22950,Paulista,10038,0,2,True
1366061,2025-04-05T18:00:00+00:00,FT,Taquaritinga,22953,AEA,23569,0,3,True
1366059,2025-04-06T13:00:00+00:00,FT,Uniao Barbarense,22954,Colorado Caieiras,23572,1,1,True
1368403,2025-04-11T23:00:00+00:00,FT,AEA,23569,Uniao Barbarense,22954,3,2,True
1368405,2025-04-12T18:00:00+00:00,FT,Nacional SP,10036,Paulista,10038,1,1,True
1368404,2025-04-19T18:00:00+00:00,FT,Uniao Barbarense,22954,AEA,23569,4,0,True
1368406,2025-04-19T22:00:00+00:00,FT,Paulista,10038,Nacional SP,10036,3,0,True
1372153,2025-04-23T23:30:00+00:00,FT,Paulista,10038,Uniao Barbarense,22954,0,1,True
1372154,2025-04-26T18:00:00+00:00,FT,Uniao Barbarense,22954,Paulista,10038,1,0,True
