fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1323695,2025-02-04T22:00:00+00:00,FT,1st Phase - 1,Araguaína,12290,Batalhão,22827,2,1,True
1323694,2025-02-05T19:00:00+00:00,FT,1st Phase - 1,Gurupi,1208,Bela Vista TO,18361,2,0,True
1323697,2025-02-05T22:00:00+00:00,FT,1st Phase - 1,União Carmolandense,18362,Capital,13134,1,0,True
1323700,2025-02-08T22:00:00+00:00,FT,1st Phase - 2,Batalhão,22827,Gurupi,1208,1,1,True
1323698,2025-02-09T19:00:00+00:00,FT,1st Phase - 2,Bela Vista TO,18361,Araguaína,12290,1,4,True
1323701,2025-02-09T22:00:00+00:00,FT,1st Phase - 2,Capital,13134,Tocantins Miracema,7867,1,0,True
1323696,2025-02-12T19:00:00+00:00,FT,1st Phase - 1,Tocantins Miracema,7867,Tocantinópolis,7878,0,3,True
1323703,2025-02-15T19:00:00+00:00,FT,1st Phase - 3,Tocantinópolis,7878,Bela Vista TO,18361,0,1,True
1323702,2025-02-15T19:00:00+00:00,FT,1st Phase - 3,Capital,13134,Batalhão,22827,1,0,True
1323704,2025-02-15T19:00:00+00:00,FT,1st Phase - 3,União Carmolandense,18362,Gurupi,1208,0,3,True
1323705,2025-02-16T19:00:00+00:00,FT,1st Phase - 3,Araguaína,12290,Tocantins Miracema,7867,2,0,True
1323706,2025-02-22T19:00:00+00:00,FT,1st Phase - 4,Gurupi,1208,Araguaína,12290,1,1,True
1323707,2025-02-22T19:00:00+00:00,FT,1st Phase - 4,Tocantins Miracema,7867,Bela Vista TO,18361,2,1,True
1323708,2025-02-22T22:00:00+00:00,FT,1st Phase - 4,Capital,13134,Tocantinópolis,7878,2,3,True
1323709,2025-02-23T22:00:00+00:00,FT,1st Phase - 4,Batalhão,22827,União Carmolandense,18362,2,2,True
1323710,2025-03-01T19:00:00+00:00,FT,1st Phase - 5,Tocantins Miracema,7867,Batalhão,22827,0,5,True
1323713,2025-03-01T19:00:00+00:00,FT,1st Phase - 5,Tocantinópolis,7878,Gurupi,1208,1,1,True
1323711,2025-03-01T19:00:00+00:00,FT,1st Phase - 5,Bela Vista TO,18361,Capital,13134,0,2,True
1323712,2025-03-01T19:00:00+00:00,FT,1st Phase - 5,União Carmolandense,18362,Araguaína,12290,2,0,True
1323715,2025-03-08T19:00:00+00:00,FT,1st Phase - 6,Gurupi,1208,Capital,13134,0,1,True
1323714,2025-03-08T19:00:00+00:00,FT,1st Phase - 6,Araguaína,12290,Tocantinópolis,7878,0,1,True
1323716,2025-03-08T19:00:00+00:00,FT,1st Phase - 6,Batalhão,22827,Bela Vista TO,18361,1,1,True
1323717,2025-03-09T19:00:00+00:00,FT,1st Phase - 6,União Carmolandense,18362,Tocantins Miracema,7867,2,1,True
1323699,2025-03-12T22:00:00+00:00,FT,1st Phase - 2,Tocantinópolis,7878,União Carmolandense,18362,3,0,True
1323720,2025-03-15T19:00:00+00:00,FT,1st Phase - 7,Tocantins Miracema,7867,Gurupi,1208,1,1,True
1323718,2025-03-15T19:00:00+00:00,FT,1st Phase - 7,Tocantinópolis,7878,Batalhão,22827,4,2,True
1323719,2025-03-15T19:00:00+00:00,FT,1st Phase - 7,Capital,13134,Araguaína,12290,1,0,True
1323721,2025-03-15T19:00:00+00:00,FT,1st Phase - 7,Bela Vista TO,18361,União Carmolandense,18362,3,0,True
1361607,2025-03-18T22:30:00+00:00,FT,Semi-finals,Araguaína,12290,Capital,13134,1,2,True
1361605,2025-03-22T19:00:00+00:00,FT,Semi-finals,União Carmolandense,18362,Tocantinópolis,7878,1,0,True
1361608,2025-03-23T18:45:00+00:00,FT,Semi-finals,Capital,13134,Araguaína,12290,0,3,True
1361606,2025-03-26T22:00:00+00:00,FT,Semi-finals,Tocantinópolis,7878,União Carmolandense,18362,0,0,True
1366850,2025-03-29T21:00:00+00:00,FT,Final,Araguaína,12290,União Carmolandense,18362,1,1,True
1366851,2025-04-05T21:00:00+00:00,PEN,Final,União Carmolandense,18362,Araguaína,12290,0,0,False
