fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1358978,2025-03-14T06:00:00+00:00,FT,1st Round,Qingdao May Wind,21326,Tai'an Tiankuang,19321,1,5,True
1358979,2025-03-14T07:30:00+00:00,FT,1st Round,Changchun Xidu,23132,Guangxi Hengchen,23268,0,1,True
1358980,2025-03-14T12:00:00+00:00,FT,1st Round,Guangdong Shudihong,23137,Guizhou Zhucheng,25775,0,4,True
1358981,2025-03-15T06:00:00+00:00,FT,1st Round,Shanghai Zetian,25778,Wuxi Wugou,17269,0,2,True
1358983,2025-03-15T06:30:00+00:00,FT,1st Round,Changning Flying Lions,23133,Nantong Haimen Codion,19319,0,3,True
1358982,2025-03-15T06:30:00+00:00,FT,1st Round,Shanghai Segenda,23147,Hainan Star,19317,1,0,True
1358984,2025-03-15T07:00:00+00:00,FT,1st Round,Ningbo Youkang,25776,Guangdong Mingtu,25773,0,2,True
1358985,2025-03-15T07:00:00+00:00,FT,1st Round,Shaanxi Northwest Youth,25777,Shangyu Pterosaur,19320,4,1,True
1358986,2025-03-15T07:00:00+00:00,FT,1st Round,Wuhan Lianzhen,25780,Shenzhen 2028,25779,0,1,True
1358987,2025-03-15T07:30:00+00:00,FT,1st Round,Quanzhou Yassin,17266,Yichun Grand Tiger,17272,2,3,True
1358988,2025-03-15T07:30:00+00:00,FT,1st Round,Guangzhou Dandelion,25774,Hubei Chufeng Heli,5660,3,2,True
1358989,2025-03-15T11:30:00+00:00,FT,1st Round,Shenzhen Jixiang,23150,Guangxi Lanhang,21264,1,0,True
1358990,2025-03-16T06:30:00+00:00,FT,1st Round,Xi'an Ronghai,20674,Rizhao Yuqi,21328,0,1,True
1358991,2025-03-16T07:00:00+00:00,FT,1st Round,Xiamen Chengyi,25781,Jiangxi Liansheng,5665,0,3,True
1358992,2025-03-16T07:30:00+00:00,PEN,1st Round,Chunlei,23134,BIT,5647,0,0,False
1358993,2025-03-16T07:30:00+00:00,PEN,1st Round,Fujian Quanzhou Qinggong,23135,Langfang Glory City,23270,0,0,False
1361634,2025-04-18T11:00:00+00:00,FT,2nd Round,Rizhao Yuqi,21328,Shenyang Urban,5684,0,2,True
1361585,2025-04-18T11:30:00+00:00,PEN,2nd Round,Guangdong Mingtu,25773,Shenzhen Juniors,23265,2,2,False
1361587,2025-04-18T11:30:00+00:00,FT,2nd Round,Guizhou Zhucheng,25775,Dongguan United,17263,2,1,True
1361633,2025-04-19T06:30:00+00:00,FT,2nd Round,Fujian Quanzhou Qinggong,23135,Suzhou Dongwu,5688,0,4,True
1361589,2025-04-19T06:30:00+00:00,FT,2nd Round,Shanghai Segenda,23147,Heilongjiang Lava Spring,1445,0,2,True
1361584,2025-04-19T07:00:00+00:00,FT,2nd Round,Wuxi Wugou,17269,Nantong Zhiyun,2626,2,0,True
1361586,2025-04-19T07:00:00+00:00,FT,2nd Round,Shaanxi Northwest Youth,25777,Chongqing Tongliang Long,21262,0,1,True
1361632,2025-04-19T07:30:00+00:00,FT,2nd Round,Jiangxi Liansheng,5665,Qingdao Red Lions,5679,0,1,True
1361588,2025-04-19T07:30:00+00:00,FT,2nd Round,Yichun Grand Tiger,17272,Dalian Huayi,5652,0,3,True
1361485,2025-04-19T07:30:00+00:00,FT,2nd Round,Guangxi Hengchen,23268,Shanghai Jiading,5682,2,1,True
1361591,2025-04-19T07:30:00+00:00,FT,2nd Round,Guangzhou Dandelion,25774,Nanjing City,16619,1,0,True
1361590,2025-04-19T08:00:00+00:00,FT,2nd Round,Shenzhen 2028,25779,Shaanxi Union,23286,0,4,True
1361631,2025-04-19T11:30:00+00:00,PEN,2nd Round,Shenzhen Jixiang,23150,Yanbian Longding,17271,0,0,False
1361484,2025-04-20T07:00:00+00:00,FT,2nd Round,Tai'an Tiankuang,19321,Hebei Kungfu,17264,0,2,True
1361592,2025-04-20T07:30:00+00:00,FT,2nd Round,Nantong Haimen Codion,19319,Guangxi Baoyun,5657,0,1,True
1361630,2025-04-20T07:30:00+00:00,PEN,2nd Round,Chunlei,23134,Guangzhou E-Power,23269,1,1,False
1372373,2025-05-20T07:30:00+00:00,FT,3rd Round,Shaanxi Union,23286,Wuhan Three Towns,5695,2,1,True
1372374,2025-05-20T07:30:00+00:00,FT,3rd Round,Guangzhou Dandelion,25774,Hangzhou Greentown,848,0,1,True
1372377,2025-05-20T09:00:00+00:00,FT,3rd Round,Guangxi Hengchen,23268,Meizhou Kejia,1439,2,1,True
1372365,2025-05-21T07:00:00+00:00,FT,3rd Round,Yanbian Longding,17271,Qingdao Youth Island,17265,0,2,True
1372364,2025-05-21T07:00:00+00:00,FT,3rd Round,Shenzhen Juniors,23265,Dalian Zhixing,21263,1,5,True
1372371,2025-05-21T07:30:00+00:00,FT,3rd Round,Heilongjiang Lava Spring,1445,Yunnan Yukun,21265,1,2,True
1372362,2025-05-21T07:30:00+00:00,FT,3rd Round,Wuxi Wugou,17269,Shanghai Shenhua,833,0,3,True
1372363,2025-05-21T09:00:00+00:00,PEN,3rd Round,Guangzhou E-Power,23269,Sichuan Jiuniu,5686,2,2,False
1372368,2025-05-21T11:00:00+00:00,PEN,3rd Round,Dalian Huayi,5652,Changchun Yatai,834,1,1,False
1372375,2025-05-21T11:00:00+00:00,PEN,3rd Round,Shenyang Urban,5684,Qingdao Jonoon,1431,0,0,False
1372376,2025-05-21T11:30:00+00:00,FT,3rd Round,Guangxi Baoyun,5657,Chengdu Better City,5648,0,3,True
1372370,2025-05-21T11:30:00+00:00,FT,3rd Round,Qingdao Red Lions,5679,Shandong Luneng,844,0,5,True
1372372,2025-05-21T11:30:00+00:00,FT,3rd Round,Suzhou Dongwu,5688,SHANGHAI SIPG,836,2,6,True
1372369,2025-05-21T11:30:00+00:00,FT,3rd Round,Hebei Kungfu,17264,Beijing Guoan,830,0,5,True
1372366,2025-05-21T11:30:00+00:00,FT,3rd Round,Chongqing Tongliang Long,21262,Henan Jianye,840,1,2,True
1372367,2025-05-21T12:00:00+00:00,FT,3rd Round,Guizhou Zhucheng,25775,Tianjin Teda,837,0,1,True
1376793,2025-06-20T11:35:00+00:00,FT,4th Round,Shandong Luneng,844,Chengdu Better City,5648,1,3,True
1376795,2025-06-21T11:00:00+00:00,PEN,4th Round,Dalian Zhixing,21263,Beijing Guoan,830,1,1,False
1376797,2025-06-21T11:00:00+00:00,FT,4th Round,Shaanxi Union,23286,Yunnan Yukun,21265,1,2,True
1376796,2025-06-21T11:30:00+00:00,FT,4th Round,Guangzhou E-Power,23269,Tianjin Teda,837,2,0,True
