fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1541803,2026-04-18T06:30:00+00:00,FT,Round of 128,Shanghai Zetian,25778,Changchun Xidu,23132,4,2,True,
1541804,2026-04-18T07:00:00+00:00,FT,Round of 128,Wuhan Lianzhen,25780,Xiamen Feilu,27622,1,0,True,
1541805,2026-04-18T07:00:00+00:00,FT,Round of 128,Yulin Miners,27702,Shangyu Pterosaur,19320,2,0,True,
1541806,2026-04-18T07:00:00+00:00,FT,Round of 128,Beijing Pengrui,27703,Guizhou Zhucheng,25775,2,1,True,
1541135,2026-04-18T11:00:00+00:00,FT,Round of 128,Ningxia Pingluo,23145,Langfang Glory City,23270,0,2,True,
1541136,2026-04-18T11:35:00+00:00,FT,Round of 128,Guangdong Shudihong,23137,Rizhao Yuqi,21328,1,4,True,
1541142,2026-04-18T11:35:00+00:00,FT,Round of 128,Chongqing Handa,27680,Qingdao Red Lions,5679,0,1,True,
1541138,2026-04-19T07:00:00+00:00,FT,Round of 128,Fujian Quanzhou Qinggong,23135,Jiangxi Liansheng,5665,0,7,True,
1541137,2026-04-19T07:00:00+00:00,FT,Round of 128,Dalian Kewei,27620,Yichun Grand Tiger,17272,2,0,True,
1541144,2026-04-19T07:00:00+00:00,PEN,Round of 128,Liaocheng Legend,27682,BIT,5647,1,1,True,
1541145,2026-04-19T07:00:00+00:00,FT,Round of 128,Qingdao Fuli,27683,Xi'an Ronghai,20674,0,2,True,
1541139,2026-04-19T07:30:00+00:00,FT,Round of 128,Shanghai Second,27619,Guangdong Mingtu,25773,1,0,True,
1541143,2026-04-19T07:30:00+00:00,FT,Round of 128,Guizhou Xufengtang,27681,Tai'an Tiankuang,19321,2,1,True,
1541140,2026-04-19T08:30:00+00:00,PEN,Round of 128,Hubei Chufeng Heli,5660,Nantong Haimen Codion,19319,0,0,True,
1541146,2026-04-19T11:35:00+00:00,PEN,Round of 128,Yunnan Cuanhe,27684,Guangzhou Dandelion,25774,0,0,True,
1541141,2026-04-20T07:00:00+00:00,FT,Round of 128,Xiamen Chengyi,25781,Shenzhen 2028,25779,0,1,True,
1542162,2026-05-15T08:00:00+00:00,FT,Round of 64,Shenzhen 2028,25779,Shaanxi Union,23286,0,2,True,
