fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1359799,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Santiago de Cuba,10972,Guantánamo,18708,0,1,True
1359794,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Artemisa,18703,La Habana,18711,2,2,True
1359797,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Camagüey,18704,Las Tunas,18712,1,0,True
1359798,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Ciego de Ávila,18705,Sancti Spiritus,18716,2,0,True
1359800,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Granma,18707,Holguín,18709,1,1,True
1359795,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Matanzas,18713,Mayabeque,18714,4,1,True
1359796,2025-03-08T20:00:00+00:00,FT,Apertura - 1,Villa Clara,18717,Cienfuegos,18706,1,2,True
1360306,2025-03-14T20:00:00+00:00,FT,Apertura - 2,Isla Juventud,18710,Artemisa,18703,1,1,True
1360307,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Cienfuegos,18706,Matanzas,18713,3,2,True
1360311,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Guantánamo,18708,Granma,18707,3,0,True
1360312,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Holguín,18709,Santiago de Cuba,10972,0,4,True
1360305,2025-03-15T19:00:00+00:00,FT,Apertura - 2,La Habana,18711,Pinar del Río,18715,3,0,True
1360309,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Las Tunas,18712,Ciego de Ávila,18705,2,1,True
1360308,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Mayabeque,18714,Villa Clara,18717,1,1,True
1360310,2025-03-15T19:00:00+00:00,FT,Apertura - 2,Sancti Spiritus,18716,Camagüey,18704,1,1,True
1360604,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Santiago de Cuba,10972,Granma,18707,0,1,True
1360602,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Camagüey,18704,Ciego de Ávila,18705,0,2,True
1360600,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Cienfuegos,18706,Mayabeque,18714,5,0,True
1360605,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Holguín,18709,Guantánamo,18708,1,0,True
1360599,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Isla Juventud,18710,La Habana,18711,0,1,True
1360601,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Matanzas,18713,Villa Clara,18717,0,1,True
1360598,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Pinar del Río,18715,Artemisa,18703,1,2,True
1360603,2025-03-22T20:00:00+00:00,FT,Apertura - 3,Sancti Spiritus,18716,Las Tunas,18712,0,1,True
1360607,2025-03-28T20:00:00+00:00,FT,Apertura - 4,Isla Juventud,18710,Pinar del Río,18715,1,1,True
