fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1224390,2025-01-02T17:00:00+00:00,FT,Anorthosis,2269,Pafos,3403,0,2,True
1224389,2025-01-02T17:00:00+00:00,FT,AEL,3396,Apollon Limassol,602,0,1,True
1224387,2025-01-03T15:00:00+00:00,FT,Enosis,3399,Omonia 29is Maiou,14126,2,1,True
1224388,2025-01-03T17:00:00+00:00,FT,Aris,3408,Omonia Aradippou,3416,2,0,True
1224391,2025-01-03T17:30:00+00:00,FT,AEK Larnaca,614,Omonia Nicosia,3402,0,3,True
1224386,2025-01-04T16:00:00+00:00,FT,Apoel Nicosia,2247,Karmiotissa,3413,3,0,True
1224392,2025-01-04T17:00:00+00:00,FT,Nea Salamis,3401,Ethnikos Achna,3412,0,3,True
1224397,2025-01-06T17:00:00+00:00,FT,Pafos,3403,AEL,3396,4,0,True
1224393,2025-01-07T15:00:00+00:00,FT,Omonia Aradippou,3416,Enosis,3399,2,0,True
1224398,2025-01-07T17:00:00+00:00,FT,Apollon Limassol,602,Aris,3408,1,1,True
1224396,2025-01-07T17:30:00+00:00,FT,Omonia Nicosia,3402,Anorthosis,2269,0,2,True
1224394,2025-01-08T15:00:00+00:00,FT,Omonia 29is Maiou,14126,Karmiotissa,3413,1,2,True
1224395,2025-01-08T17:00:00+00:00,FT,Ethnikos Achna,3412,AEK Larnaca,614,2,2,True
1224399,2025-01-08T17:30:00+00:00,FT,Nea Salamis,3401,Apoel Nicosia,2247,1,1,True
1224402,2025-01-11T15:00:00+00:00,FT,Enosis,3399,Apollon Limassol,602,0,1,True
1224403,2025-01-11T17:00:00+00:00,FT,Aris,3408,Pafos,3403,1,0,True
1224406,2025-01-12T15:00:00+00:00,FT,AEK Larnaca,614,Nea Salamis,3401,2,0,True
1224400,2025-01-12T16:00:00+00:00,FT,Apoel Nicosia,2247,Omonia 29is Maiou,14126,4,0,True
1224404,2025-01-12T17:00:00+00:00,FT,AEL,3396,Omonia Nicosia,3402,0,4,True
1224401,2025-01-13T16:30:00+00:00,FT,Karmiotissa,3413,Omonia Aradippou,3416,3,1,True
1224405,2025-01-13T17:30:00+00:00,FT,Anorthosis,2269,Ethnikos Achna,3412,2,1,True
1224408,2025-01-18T16:00:00+00:00,FT,Apollon Limassol,602,Karmiotissa,3413,3,0,True
1224410,2025-01-18T17:00:00+00:00,FT,Nea Salamis,3401,Anorthosis,2269,0,4,True
1224411,2025-01-19T14:00:00+00:00,FT,Ethnikos Achna,3412,AEL,3396,0,0,True
1224407,2025-01-19T16:00:00+00:00,FT,Pafos,3403,Enosis,3399,2,0,True
1224412,2025-01-19T17:00:00+00:00,FT,Omonia Nicosia,3402,Aris,3408,0,0,True
1224413,2025-01-20T17:00:00+00:00,FT,AEK Larnaca,614,Apoel Nicosia,2247,2,1,True
1224409,2025-01-21T17:00:00+00:00,FT,Omonia Aradippou,3416,Omonia 29is Maiou,14126,1,0,True
1224419,2025-01-24T17:00:00+00:00,FT,AEL,3396,Nea Salamis,3401,0,0,True
1224417,2025-01-24T17:00:00+00:00,FT,Enosis,3399,Omonia Nicosia,3402,0,2,True
1224415,2025-01-25T15:00:00+00:00,FT,Omonia 29is Maiou,14126,Apollon Limassol,602,2,1,True
1224420,2025-01-25T17:00:00+00:00,FT,Anorthosis,2269,AEK Larnaca,614,2,2,True
1224414,2025-01-26T15:00:00+00:00,FT,Apoel Nicosia,2247,Omonia Aradippou,3416,7,0,True
1224416,2025-01-26T15:00:00+00:00,FT,Karmiotissa,3413,Pafos,3403,0,2,True
1224418,2025-01-26T17:00:00+00:00,FT,Aris,3408,Ethnikos Achna,3412,6,1,True
1224426,2025-02-01T16:00:00+00:00,FT,Nea Salamis,3401,Aris,3408,2,2,True
