fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
898297,2022-07-22T16:00:00+00:00,FT,1st Preliminary Round,Sokol Kateřinice,19433,Vsetín,7377,2,8,True
898295,2022-07-23T15:00:00+00:00,FT,1st Preliminary Round,Dolany,19423,Šternberk,19440,2,1,True
898296,2022-07-23T15:00:00+00:00,FT,1st Preliminary Round,Sokol Nová Ves pod Pleší,19435,Žďár nad Sázavou,7389,1,2,True
898249,2022-07-29T15:30:00+00:00,FT,2nd Preliminary Round,Humpolec,7301,Dálnice Speřice,19424,1,3,True
898264,2022-07-29T15:30:00+00:00,FT,2nd Preliminary Round,Nový Jičín,7323,Nové Sady,7322,5,0,True
898263,2022-07-29T15:30:00+00:00,FT,2nd Preliminary Round,Slavičín,7343,Viktoria Otrokovice,7374,1,5,True
898265,2022-07-29T16:00:00+00:00,FT,2nd Preliminary Round,Havlíčkův Brod,7292,Velké Meziříčí,7373,2,3,True
898291,2022-07-29T16:00:00+00:00,FT,2nd Preliminary Round,Rokycany,7339,Komárov,7310,1,0,True
898258,2022-07-29T16:00:00+00:00,FT,2nd Preliminary Round,Slaný,7342,Sokol Hostouň,7350,0,1,True
898250,2022-07-29T16:00:00+00:00,AET,2nd Preliminary Round,Start Brno,7361,Znojmo,3734,1,1,False
898276,2022-07-29T16:30:00+00:00,FT,2nd Preliminary Round,Baťov,19420,Uherský Brod,8624,0,5,True
922092,2022-07-30T08:00:00+00:00,AET,2nd Preliminary Round,Vsetín,7377,Valašské Meziříčí,7370,1,2,False
898256,2022-07-30T08:15:00+00:00,FT,2nd Preliminary Round,Kladno,7307,Zbuzany,7380,2,0,True
898252,2022-07-30T08:15:00+00:00,AET,2nd Preliminary Round,Neratovice-Byškovice,7320,Čáslav,7384,2,2,False
898254,2022-07-30T08:15:00+00:00,FT,2nd Preliminary Round,Olympie Březová,7327,Baník Sokolov,3721,5,2,True
898251,2022-07-30T08:15:00+00:00,FT,2nd Preliminary Round,Štětí,7386,Dobrovice,14657,3,6,True
898288,2022-07-30T08:15:00+00:00,FT,2nd Preliminary Round,Břeclav,8631,Sokol Tasovice,7355,1,3,True
898260,2022-07-30T08:15:00+00:00,FT,2nd Preliminary Round,Újezd Praha 4,19439,Petřín Plzeň,7330,4,2,True
898257,2022-07-30T08:30:00+00:00,FT,2nd Preliminary Round,Slavoj Český Krumlov,19432,Benešov,7273,0,1,True
898282,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Beskyd Frenštát,7275,Frýdek-Místek,7288,1,4,True
898289,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Bospor Bohumín,7277,Havířov,7293,5,2,True
898259,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,HFK Olomouc,7290,Kozlovice,7311,0,5,True
898273,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Hořovicko,7299,Přeštice,7337,0,3,True
898270,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Libčany,7314,Hlinsko,7295,1,0,True
898283,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Louny,7316,Baník Most,17235,0,2,True
898268,2022-07-30T15:00:00+00:00,PEN,2nd Preliminary Round,Náchod,7324,Velké Hamry,7372,0,0,False
898266,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Tatran Všechovice,7366,Frýdlant,7289,3,0,True
898275,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Unie Hlubina,7368,Vítkovice,3732,1,3,True
898262,2022-07-30T15:00:00+00:00,AET,2nd Preliminary Round,Viktorie Přerov,7375,Skaštice,7341,5,3,False
898267,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Ždírec nad Doubravou,7388,Stará Říše,7362,5,0,True
922091,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Žďár nad Sázavou,7389,Velká Bíteš,7371,3,0,True
898261,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Bystřice nad Pernštejnem,8630,Slovan Rosice,7347,2,6,True
898287,2022-07-30T15:00:00+00:00,AET,2nd Preliminary Round,Holešov,16876,Hranice,7300,2,2,False
898272,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Tochovice,17236,Králův Dvůr,7312,0,5,True
898281,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Břidličná,19421,Šumperk,7387,1,3,True
922090,2022-07-30T15:00:00+00:00,PEN,2nd Preliminary Round,Dolany,19423,Jiskra Rýmařov,7305,0,0,False
898277,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Jankov,19426,Spartak Soběslav,7360,1,3,True
898290,2022-07-30T15:00:00+00:00,AET,2nd Preliminary Round,Karlovy Vary-Dvory,19427,Hvězda Cheb,7302,1,1,False
898284,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Libišany,19429,Vysoké Mýto,7378,4,1,True
898286,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Nový Bor,19430,Arsenal Česká Lípa,7270,0,7,True
898280,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Rousínov,19431,Bzenec,7280,0,4,True
898274,2022-07-30T15:00:00+00:00,AET,2nd Preliminary Round,Sokol Kralovice,19434,Klatovy,7308,2,5,False
898279,2022-07-30T15:00:00+00:00,FT,2nd Preliminary Round,Turnov,19437,Vilémov,19438,3,2,True
898292,2022-07-30T16:00:00+00:00,FT,2nd Preliminary Round,Krnov,19428,Hlučín,7296,0,7,True
898294,2022-07-31T15:00:00+00:00,FT,2nd Preliminary Round,Polanka nad Odrou,7332,Bílovec,16875,1,2,True
898278,2022-07-31T15:00:00+00:00,FT,2nd Preliminary Round,Sokol Lanžhot,7351,Hodonín,7297,0,3,True
898293,2022-07-31T15:00:00+00:00,FT,2nd Preliminary Round,Trutnov,7367,Ústí nad Orlicí,7381,0,4,True
898269,2022-07-31T15:00:00+00:00,FT,2nd Preliminary Round,Cidlina Novy Bydzov,19422,Dvůr Králové,7286,3,1,True
898285,2022-08-02T15:30:00+00:00,FT,2nd Preliminary Round,Slavoj Olympia Bruntál,7344,Uničov,7369,0,1,True
898255,2022-08-02T15:30:00+00:00,FT,2nd Preliminary Round,Tatran Bohunice,19436,Blansko,7276,1,0,True
898253,2022-08-03T16:00:00+00:00,FT,2nd Preliminary Round,Sokol Libiš,7352,Kolín,7309,5,3,True
898271,2022-08-03T16:30:00+00:00,FT,2nd Preliminary Round,Hřebeč,19425,Brandýs nad Labem,7278,5,1,True
929886,2022-08-10T15:00:00+00:00,FT,1st Round,Viktorie Přerov,7375,Prostějov,3725,1,4,True
930611,2022-08-10T15:00:00+00:00,FT,1st Round,Viktorie Přerov,7375,Prostějov,3725,1,4,True
929909,2022-08-16T15:00:00+00:00,AET,1st Round,Hranice,7300,Karviná,3716,2,2,False
929903,2022-08-16T15:00:00+00:00,FT,1st Round,Uherský Brod,8624,Vyškov,7379,1,3,True
929910,2022-08-16T16:00:00+00:00,AET,1st Round,Aritma Praha,7269,Olympie Březová,7327,3,2,False
929916,2022-08-17T15:00:00+00:00,FT,1st Round,Vítkovice,3732,Viktoria Otrokovice,7374,2,4,True
929895,2022-08-17T15:00:00+00:00,FT,1st Round,Benešov,7273,Táborsko,3726,0,1,True
929915,2022-08-17T15:00:00+00:00,FT,1st Round,Bospor Bohumín,7277,Hlučín,7296,0,3,True
929919,2022-08-17T15:00:00+00:00,AET,1st Round,Bzenec,7280,Tatran Bohunice,19436,2,1,False
929899,2022-08-17T15:00:00+00:00,FT,1st Round,Chomutov,7282,Karlovy Vary,7306,4,1,True
929898,2022-08-17T15:00:00+00:00,FT,1st Round,Hvězda Cheb,7302,Mariánské Lázně,7317,2,3,True
929896,2022-08-17T15:00:00+00:00,AET,1st Round,Jiskra Domažlice,7304,Králův Dvůr,7312,2,1,False
929882,2022-08-17T15:00:00+00:00,FT,1st Round,Klatovy,7308,Příbram,3718,1,5,True
929908,2022-08-17T15:00:00+00:00,AET,1st Round,Kozlovice,7311,Frýdek-Místek,7288,2,3,False
929892,2022-08-17T15:00:00+00:00,FT,1st Round,Libčany,7314,Český Brod,7382,3,2,True
929887,2022-08-17T15:00:00+00:00,FT,1st Round,Nový Jičín,7323,Hanácká,7291,0,2,True
929888,2022-08-17T15:00:00+00:00,FT,1st Round,Sokol Brozany,7349,Varnsdorf,3728,1,3,True
933537,2022-08-17T15:00:00+00:00,FT,1st Round,Sokol Libiš,7352,Vlašim,3730,1,9,True
929885,2022-08-17T15:00:00+00:00,AET,1st Round,Sokol Tasovice,7355,Hodonín,7297,5,4,False
929913,2022-08-17T15:00:00+00:00,FT,1st Round,Spartak Soběslav,7360,Písek,7334,3,0,True
929889,2022-08-17T15:00:00+00:00,FT,1st Round,Tatran Všechovice,7366,Valašské Meziříčí,7370,2,0,True
929911,2022-08-17T15:00:00+00:00,FT,1st Round,Velké Hamry,7372,Chlumec nad Cidlinou,7281,2,4,True
929907,2022-08-17T15:00:00+00:00,FT,1st Round,Ústí nad Orlicí,7381,Sokol Živanice,7358,3,2,True
929918,2022-08-17T15:00:00+00:00,FT,1st Round,Šumperk,7387,Uničov,7369,0,1,True
929890,2022-08-17T15:00:00+00:00,AET,1st Round,Ždírec nad Doubravou,7388,Artis,4257,1,1,False
929883,2022-08-17T15:00:00+00:00,FT,1st Round,Žďár nad Sázavou,7389,Vysočina Jihlava,3731,2,4,True
929897,2022-08-17T15:00:00+00:00,FT,1st Round,Otava Katovice,8626,Přeštice,7337,1,3,True
929893,2022-08-17T15:00:00+00:00,FT,1st Round,Dobrovice,14657,Ústí nad Labem,3735,1,5,True
929904,2022-08-17T15:00:00+00:00,FT,1st Round,Bílovec,16875,Třinec,3727,2,6,True
929917,2022-08-17T15:00:00+00:00,FT,1st Round,Baník Most,17235,Admira Praha,7268,2,1,True
929891,2022-08-17T15:00:00+00:00,FT,1st Round,Cidlina Novy Bydzov,19422,Přepeře,7336,1,2,True
929902,2022-08-17T15:00:00+00:00,FT,1st Round,Dálnice Speřice,19424,Slovan Rosice,7347,0,4,True
929906,2022-08-17T15:00:00+00:00,FT,1st Round,Libišany,19429,Letohrad,7313,5,1,True
929884,2022-08-17T15:30:00+00:00,AET,1st Round,Motorlet Praha,7319,Újezd Praha 4,19439,3,2,False
929894,2022-08-17T15:30:00+00:00,FT,1st Round,Start Brno,7361,Velké Meziříčí,7373,3,1,True
929920,2022-08-17T15:30:00+00:00,FT,1st Round,Povltava FA,14005,Chrudim,3722,0,1,True
929914,2022-08-17T16:00:00+00:00,FT,1st Round,Arsenal Česká Lípa,7270,Benátky nad Jizerou,7274,3,4,True
929912,2022-08-17T16:00:00+00:00,AET,1st Round,Rokycany,7339,Kladno,7307,1,0,False
929901,2022-08-17T16:00:00+00:00,FT,1st Round,Čáslav,7384,Loko Vltavín,7315,2,0,True
929921,2022-08-17T16:00:00+00:00,FT,1st Round,Kosmonosy,14004,Viktoria Žižkov,3729,0,3,True
933538,2022-08-17T16:00:00+00:00,FT,1st Round,Hřebeč,19425,Sokol Zápy,7356,1,3,True
929900,2022-08-17T16:00:00+00:00,FT,1st Round,Turnov,19437,Slovan Velvary,7348,1,5,True
929905,2022-08-23T15:00:00+00:00,FT,1st Round,Jiskra Rýmařov,7305,Opava,3717,0,9,True
929881,2022-08-24T15:30:00+00:00,FT,1st Round,Sokol Hostouň,7350,Dukla Praha,3715,0,3,True
946963,2022-09-13T14:30:00+00:00,AET,2nd Round,Uničov,7369,Sigma Olomouc,2250,2,4,False
946971,2022-09-13T14:30:00+00:00,FT,2nd Round,Viktoria Otrokovice,7374,Třinec,3727,1,5,True
946952,2022-09-14T14:00:00+00:00,AET,2nd Round,Viktoria Žižkov,3729,Teplice,3720,1,2,False
