fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1212182,2025-03-01T13:00:00+00:00,FT,Opava,3717,Varnsdorf,3728,0,1,True
1212184,2025-03-01T14:00:00+00:00,FT,Zbrojovka Brno,3733,Chrudim,3722,0,0,True
1212181,2025-03-02T09:15:00+00:00,FT,Viktoria Žižkov,3729,Sigma Olomouc II,8622,2,1,True
1212187,2025-03-02T10:00:00+00:00,FT,Slavia Praha II,8618,Artis,4257,3,0,True
1212186,2025-03-02T13:30:00+00:00,FT,Baník Ostrava II,8621,Táborsko,3726,2,2,True
1212183,2025-03-02T14:00:00+00:00,FT,Vysočina Jihlava,3731,Sparta Praha II,8619,0,1,True
1212180,2025-03-03T16:30:00+00:00,FT,Zlin,603,Prostějov,3725,3,0,True
1212189,2025-03-07T17:00:00+00:00,FT,Prostějov,3725,Viktoria Žižkov,3729,2,1,True
1212191,2025-03-08T09:15:00+00:00,FT,Chrudim,3722,Slavia Praha II,8618,0,1,True
1212193,2025-03-08T09:15:00+00:00,FT,Vyškov,7379,Baník Ostrava II,8621,1,3,True
1212190,2025-03-08T13:30:00+00:00,FT,Artis,4257,Vlašim,3730,1,0,True
1212188,2025-03-09T09:15:00+00:00,FT,Sigma Olomouc II,8622,Zlin,603,1,2,True
1212194,2025-03-09T09:30:00+00:00,FT,Sparta Praha II,8619,Opava,3717,1,1,True
1212195,2025-03-09T13:30:00+00:00,FT,Varnsdorf,3728,Zbrojovka Brno,3733,0,3,True
1212192,2025-03-10T15:30:00+00:00,FT,Táborsko,3726,Vysočina Jihlava,3731,0,1,True
1212197,2025-03-14T16:00:00+00:00,FT,Vysočina Jihlava,3731,Sigma Olomouc II,8622,3,1,True
1212196,2025-03-14T16:30:00+00:00,FT,Vlašim,3730,Prostějov,3725,3,1,True
1212203,2025-03-15T13:00:00+00:00,FT,Opava,3717,Artis,4257,1,2,True
1212202,2025-03-15T14:00:00+00:00,FT,Zbrojovka Brno,3733,Táborsko,3726,0,2,True
1212198,2025-03-16T09:15:00+00:00,FT,Viktoria Žižkov,3729,Zlin,603,1,3,True
1212201,2025-03-16T10:00:00+00:00,FT,Slavia Praha II,8618,Vyškov,7379,0,0,True
1212199,2025-03-16T13:30:00+00:00,FT,Varnsdorf,3728,Sparta Praha II,8619,2,1,True
1212200,2025-03-16T13:30:00+00:00,FT,Baník Ostrava II,8621,Chrudim,3722,1,0,True
1212205,2025-03-28T16:00:00+00:00,FT,Zlin,603,Vlašim,3730,2,1,True
1212208,2025-03-28T17:00:00+00:00,FT,Prostějov,3725,Baník Ostrava II,8621,1,0,True
1212211,2025-03-29T09:15:00+00:00,FT,Chrudim,3722,Varnsdorf,3728,2,1,True
1212209,2025-03-29T09:15:00+00:00,FT,Vyškov,7379,Opava,3717,2,0,True
1212204,2025-03-29T14:00:00+00:00,FT,Táborsko,3726,Viktoria Žižkov,3729,0,1,True
1212207,2025-03-29T14:00:00+00:00,FT,Artis,4257,Vysočina Jihlava,3731,2,0,True
1212206,2025-03-30T08:15:00+00:00,FT,Sigma Olomouc II,8622,Slavia Praha II,8618,2,2,True
1212210,2025-03-30T08:30:00+00:00,FT,Sparta Praha II,8619,Zbrojovka Brno,3733,1,1,True
1212185,2025-04-01T15:00:00+00:00,FT,Vlašim,3730,Vyškov,7379,0,0,True
1212212,2025-04-04T16:00:00+00:00,FT,Vysočina Jihlava,3731,Prostějov,3725,3,0,True
1212218,2025-04-05T12:00:00+00:00,FT,Opava,3717,Táborsko,3726,2,1,True
1212217,2025-04-05T12:00:00+00:00,FT,Zbrojovka Brno,3733,Vyškov,7379,1,2,True
1212214,2025-04-06T08:15:00+00:00,FT,Slavia Praha II,8618,Zlin,603,0,1,True
1212216,2025-04-06T08:30:00+00:00,FT,Sparta Praha II,8619,Chrudim,3722,2,2,True
1212219,2025-04-06T14:30:00+00:00,FT,Varnsdorf,3728,Artis,4257,2,1,True
1212215,2025-04-06T15:00:00+00:00,FT,Vlašim,3730,Viktoria Žižkov,3729,1,0,True
1212213,2025-04-07T15:00:00+00:00,FT,Baník Ostrava II,8621,Sigma Olomouc II,8622,3,0,True
1212225,2025-04-11T16:00:00+00:00,FT,Zlin,603,Zbrojovka Brno,3733,1,1,True
1212221,2025-04-11T16:00:00+00:00,FT,Prostějov,3725,Slavia Praha II,8618,0,0,True
1212224,2025-04-12T08:15:00+00:00,FT,Chrudim,3722,Opava,3717,2,0,True
1212226,2025-04-12T08:15:00+00:00,FT,Vyškov,7379,Varnsdorf,3728,2,2,True
1212227,2025-04-12T14:00:00+00:00,FT,Táborsko,3726,Sparta Praha II,8619,2,0,True
1212223,2025-04-12T14:00:00+00:00,FT,Artis,4257,Baník Ostrava II,8621,0,0,True
1212222,2025-04-13T08:15:00+00:00,FT,Viktoria Žižkov,3729,Vysočina Jihlava,3731,1,1,True
1212220,2025-04-13T08:15:00+00:00,FT,Sigma Olomouc II,8622,Vlašim,3730,0,0,True
1212235,2025-04-16T14:30:00+00:00,FT,Sparta Praha II,8619,Artis,4257,0,0,True
1212229,2025-04-16T15:00:00+00:00,FT,Opava,3717,Sigma Olomouc II,8622,2,1,True
1212233,2025-04-16T15:00:00+00:00,FT,Chrudim,3722,Vyškov,7379,3,0,True
1212234,2025-04-16T15:00:00+00:00,FT,Varnsdorf,3728,Táborsko,3726,1,2,True
1212230,2025-04-16T15:00:00+00:00,FT,Vysočina Jihlava,3731,Zlin,603,1,1,True
1212232,2025-04-16T15:00:00+00:00,FT,Slavia Praha II,8618,Vlašim,3730,1,1,True
1212231,2025-04-16T15:00:00+00:00,FT,Baník Ostrava II,8621,Viktoria Žižkov,3729,3,4,True
1212228,2025-04-16T16:00:00+00:00,FT,Zbrojovka Brno,3733,Prostějov,3725,1,1,True
1212242,2025-04-19T08:15:00+00:00,FT,Vyškov,7379,Sparta Praha II,8619,0,0,True
1212240,2025-04-19T10:30:00+00:00,FT,Artis,4257,Zbrojovka Brno,3733,1,4,True
1212243,2025-04-19T15:00:00+00:00,FT,Táborsko,3726,Chrudim,3722,1,2,True
1212236,2025-04-20T08:15:00+00:00,FT,Viktoria Žižkov,3729,Slavia Praha II,8618,4,2,True
1212241,2025-04-20T08:15:00+00:00,FT,Sigma Olomouc II,8622,Varnsdorf,3728,0,3,True
1212238,2025-04-20T15:00:00+00:00,FT,Zlin,603,Baník Ostrava II,8621,1,1,True
1212237,2025-04-20T15:00:00+00:00,FT,Vlašim,3730,Vysočina Jihlava,3731,1,0,True
1212239,2025-04-20T16:00:00+00:00,FT,Prostějov,3725,Opava,3717,0,0,True
1212249,2025-04-25T16:00:00+00:00,FT,Vysočina Jihlava,3731,Slavia Praha II,8618,2,1,True
1212251,2025-04-26T08:15:00+00:00,FT,Chrudim,3722,Artis,4257,1,1,True
1212247,2025-04-26T15:00:00+00:00,FT,Opava,3717,Viktoria Žižkov,3729,3,1,True
1212245,2025-04-26T15:00:00+00:00,FT,Zbrojovka Brno,3733,Sigma Olomouc II,8622,1,0,True
