fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1415201,2025-07-29T16:30:00+00:00,AET,1st Round,Hvidovre,2072,HB Koge,2063,4,3,False
1415202,2025-08-02T12:00:00+00:00,FT,1st Round,NB Bornholm,11509,GVI,8643,0,2,True
1415209,2025-08-05T16:00:00+00:00,FT,1st Round,FC Helsingor,2062,Lyngby,625,0,1,True
1415203,2025-08-05T16:00:00+00:00,FT,1st Round,Brabrand,2071,Skive,2068,0,3,True
1415205,2025-08-05T16:00:00+00:00,FT,1st Round,BK Chang,6010,Kolding B,6035,0,3,True
1415222,2025-08-05T16:00:00+00:00,FT,1st Round,Rudersdal,6049,AB Copenhagen,2060,1,3,True
1415214,2025-08-05T16:00:00+00:00,FT,1st Round,Viktoria,6070,Hillerød,6026,0,5,True
1415215,2025-08-05T16:00:00+00:00,AET,1st Round,Ishøj,8645,Fremad Amager,2065,2,1,False
1415217,2025-08-05T16:00:00+00:00,FT,1st Round,LUIF,11508,Skjold Sæby,6055,0,7,True
1415204,2025-08-05T16:00:00+00:00,FT,1st Round,Bramming,11518,SfB-Oure,6052,3,2,True
1417620,2025-08-05T16:00:00+00:00,FT,1st Round,Frem Sakskøbing,11523,Sundby,11566,1,6,True
1415221,2025-08-05T16:00:00+00:00,AET,1st Round,Ringsted,11532,Nykobing FC,2064,7,6,False
1415212,2025-08-05T16:00:00+00:00,FT,1st Round,ASA Aarhus,14443,Lyseng,6038,1,2,True
1415207,2025-08-05T16:00:00+00:00,FT,1st Round,Gørslev,19305,Naestved,2066,2,1,True
1415208,2025-08-05T16:00:00+00:00,FT,1st Round,Grenaa,24220,Silkeborg KFUM,8648,0,3,True
1423987,2025-08-05T16:00:00+00:00,FT,1st Round,Skibsby-Hojene,26262,Aarhus Fremad,6004,0,3,True
1423986,2025-08-05T16:00:00+00:00,FT,1st Round,Skovsgård,26263,Hobro,408,2,4,True
1423985,2025-08-05T16:00:00+00:00,FT,1st Round,Skødstrup,26264,Thisted FC,2069,0,2,True
1423988,2025-08-05T16:00:00+00:00,FT,1st Round,Ålholm,26267,B 93,6009,0,10,True
1417619,2025-08-05T16:15:00+00:00,FT,1st Round,KFUM Odense,21629,Kolding IF,4676,0,4,True
1415220,2025-08-05T16:30:00+00:00,FT,1st Round,OKS,6045,Middelfart,6042,2,3,True
1415223,2025-08-05T16:30:00+00:00,FT,1st Round,Tårnby FF,8640,FA 2000,8634,0,1,True
1417621,2025-08-05T16:30:00+00:00,FT,1st Round,Skanderborg,11513,Kjellerup,6034,4,0,True
1415206,2025-08-05T16:30:00+00:00,FT,1st Round,Fredensborg BI,11522,HIK,6021,1,3,True
1415216,2025-08-05T16:30:00+00:00,FT,1st Round,Kastrup,11529,Roskilde,2067,0,2,True
1417617,2025-08-05T16:30:00+00:00,FT,1st Round,ESPM,14573,Tune,19575,1,2,True
1417618,2025-08-05T16:30:00+00:00,FT,1st Round,Farsø/Ullits,19567,Nørresundby,6044,4,3,True
1423991,2025-08-05T17:00:00+00:00,AET,1st Round,Mejrup,11595,TRIF,26266,2,1,False
1423989,2025-08-05T17:00:00+00:00,FT,1st Round,Norager,26259,VSK Århus,6064,1,6,True
1423990,2025-08-05T17:00:00+00:00,FT,1st Round,Raklev,26261,Avarta,6006,2,0,True
1423992,2025-08-05T17:00:00+00:00,FT,1st Round,Snejbjerg,26265,Vejgaard B,6068,0,6,True
1415218,2025-08-06T16:00:00+00:00,FT,1st Round,Marienlyst,6040,Esbjerg,403,1,2,True
1415211,2025-08-06T16:00:00+00:00,AET,1st Round,Allerød,8636,Brønshøj,6012,2,4,False
1418962,2025-08-06T16:00:00+00:00,FT,1st Round,Husum,11527,Holbæk B&I,6027,1,6,True
