fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1205526,2025-02-14T18:00:00+00:00,FT,Brondby,407,Viborg,2070,4,1,True
1205527,2025-02-16T13:00:00+00:00,FT,Silkeborg,2073,Vejle,395,0,1,True
1205529,2025-02-16T15:00:00+00:00,FT,Sonderjyske,396,Aarhus,406,1,4,True
1205531,2025-02-16T17:00:00+00:00,FT,FC Midtjylland,397,Lyngby,625,1,0,True
1205530,2025-02-17T18:00:00+00:00,FT,Randers FC,401,FC Copenhagen,400,1,2,True
1205534,2025-02-21T18:00:00+00:00,FT,Lyngby,625,Randers FC,401,0,0,True
1205533,2025-02-23T13:00:00+00:00,FT,FC Nordsjaelland,398,Sonderjyske,396,3,2,True
1205537,2025-02-23T13:00:00+00:00,FT,Aarhus,406,Aalborg,402,4,0,True
1205535,2025-02-23T15:00:00+00:00,FT,Vejle,395,Brondby,407,2,2,True
1205532,2025-02-23T17:00:00+00:00,FT,FC Copenhagen,400,FC Midtjylland,397,1,0,True
1205536,2025-02-24T18:00:00+00:00,FT,Viborg,2070,Silkeborg,2073,1,4,True
1205528,2025-02-26T13:00:00+00:00,FT,Aalborg,402,FC Nordsjaelland,398,1,2,True
1205541,2025-02-28T18:00:00+00:00,FT,Randers FC,401,Aarhus,406,1,1,True
1205542,2025-03-02T13:00:00+00:00,FT,Sonderjyske,396,Silkeborg,2073,1,3,True
1205543,2025-03-02T13:00:00+00:00,FT,Viborg,2070,Vejle,395,3,1,True
1205539,2025-03-02T15:00:00+00:00,FT,FC Midtjylland,397,FC Nordsjaelland,398,2,1,True
1205540,2025-03-02T17:00:00+00:00,FT,Aalborg,402,FC Copenhagen,400,0,0,True
1205538,2025-03-03T18:00:00+00:00,FT,Brondby,407,Lyngby,625,1,1,True
1205546,2025-03-07T18:00:00+00:00,FT,FC Nordsjaelland,398,Vejle,395,3,1,True
1205547,2025-03-09T13:00:00+00:00,FT,Aalborg,402,FC Midtjylland,397,1,4,True
1205549,2025-03-09T13:00:00+00:00,FT,Silkeborg,2073,Lyngby,625,0,1,True
1205544,2025-03-09T15:00:00+00:00,FT,Aarhus,406,Viborg,2070,1,1,True
1205545,2025-03-09T17:00:00+00:00,FT,FC Copenhagen,400,Sonderjyske,396,1,1,True
1205548,2025-03-10T18:00:00+00:00,FT,Randers FC,401,Brondby,407,4,2,True
1205553,2025-03-16T16:00:00+00:00,FT,Vejle,395,Aarhus,406,3,2,True
1205555,2025-03-16T16:00:00+00:00,FT,Sonderjyske,396,Aalborg,402,0,3,True
1205551,2025-03-16T16:00:00+00:00,FT,FC Midtjylland,397,Randers FC,401,4,2,True
