fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1323219,2024-12-15T12:00:00+00:00,FT,3rd Preliminary Round,El Sharkia,1049,Delphi,25462,0,2,True
1323220,2024-12-15T12:00:00+00:00,FT,3rd Preliminary Round,Nogoom El Mostakbal FC,1573,El Obour Sporting,16433,2,4,True
1323218,2024-12-15T12:00:00+00:00,FT,3rd Preliminary Round,Al Merreikh,18035,El Olympi,18039,0,3,True
1323215,2024-12-15T12:00:00+00:00,PEN,3rd Preliminary Round,Gomhoreyat Shebin,20459,Ra,25470,0,0,False
1323216,2024-12-15T12:00:00+00:00,FT,3rd Preliminary Round,El Shams,25464,Seid El Mahalla,25471,2,0,True
1323214,2024-12-15T12:00:00+00:00,PEN,3rd Preliminary Round,Maleyet Kafr El Zayiat,25467,El Margh,25463,1,1,False
1323217,2024-12-15T12:00:00+00:00,PEN,3rd Preliminary Round,Misr Lel Taamen,25469,El Hamam,18037,1,1,False
1323221,2024-12-16T12:00:00+00:00,FT,3rd Preliminary Round,El Entag EL Harby,1034,Madinat Nasr,25466,1,0,True
1323224,2024-12-16T12:00:00+00:00,FT,3rd Preliminary Round,Al Nasr Taaden,1047,Telephonaat Beni Suef,13823,3,1,True
1323222,2024-12-16T12:00:00+00:00,FT,3rd Preliminary Round,El Minya,13821,Golden Gate,25465,2,3,True
1323223,2024-12-16T12:00:00+00:00,FT,3rd Preliminary Round,El Wasty,23679,Asmant Asyut,20455,2,0,True
1323225,2024-12-16T12:00:00+00:00,PEN,3rd Preliminary Round,Masar,25468,Team,25472,0,0,False
1327515,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,El Dakhleya,1032,Team,25472,2,3,True
1327521,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Tanta SC,1045,Raya Ghazl,21304,3,2,True
1327518,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Wadi Degla,1046,El Seka El Hadid,18031,1,0,True
1327516,2024-12-26T12:00:00+00:00,PEN,4th Preliminary Round,El Mokawloon,1575,El Entag EL Harby,1034,1,1,False
1327514,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Olympic El Qanah,13822,El Margh,25463,3,1,True
1327513,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Tersana,15739,El Obour Sporting,16433,3,1,True
1327519,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,El Mansura,16432,Delphi,25462,2,1,True
1327524,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,La Viena FC,16436,Al Nasr Taaden,1047,1,0,True
1327522,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Asyut Petrol,18021,Golden Gate,25465,1,0,True
1327523,2024-12-26T12:00:00+00:00,FT,4th Preliminary Round,Dayrout,18022,El Wasty,23679,2,1,True
1327517,2024-12-26T12:00:00+00:00,PEN,4th Preliminary Round,Suez,18034,Ra,25470,0,0,False
1327520,2024-12-26T12:00:00+00:00,PEN,4th Preliminary Round,Proxy,20461,El Olympi,18039,0,0,False
1327526,2025-01-02T12:00:00+00:00,FT,4th Preliminary Round,Abu Qair Semad,15731,Baladiyyat Al Mehalla,18036,3,0,True
1327527,2025-01-02T12:00:00+00:00,PEN,4th Preliminary Round,Itesalat,18032,El Shams,25464,1,1,False
1327525,2025-01-02T12:00:00+00:00,PEN,4th Preliminary Round,Sporting Alexandria,18044,El Hamam,18037,1,1,False
1331608,2025-01-02T12:30:00+00:00,PEN,Round of 32,Petrojet,1041,El Mokawloon,1575,0,0,False
1331611,2025-01-02T12:30:00+00:00,FT,Round of 32,Masr,7520,Dayrout,18022,3,1,True
1331613,2025-01-03T12:30:00+00:00,FT,Round of 32,El Gouna FC,1574,Olympic El Qanah,13822,2,0,True
1331610,2025-01-03T12:30:00+00:00,FT,Round of 32,Pharco,15736,Tersana,15739,3,1,True
1331609,2025-01-03T15:30:00+00:00,FT,Round of 32,Enppi,1037,Haras El Hodood,1576,1,0,True
1331612,2025-01-03T15:30:00+00:00,PEN,Round of 32,El Geish,1039,El Olympi,18039,2,2,False
1331617,2025-01-04T12:30:00+00:00,FT,Round of 32,Ismaily SC,1030,Tanta SC,1045,1,0,True
1331618,2025-01-04T12:30:00+00:00,FT,Round of 32,National Bank of Egypt,15570,Asyut Petrol,18021,1,0,True
1331615,2025-01-04T15:30:00+00:00,FT,Round of 32,Smouha SC,1044,Suez,18034,1,0,True
1331616,2025-01-04T15:30:00+00:00,FT,Round of 32,Ceramica Cleopatra,14651,La Viena FC,16436,3,0,True
1332443,2025-01-05T12:30:00+00:00,FT,Round of 32,Ghazl El Mehalla,13819,Sporting Alexandria,18044,1,0,True
1332444,2025-01-05T12:30:00+00:00,AET,Round of 32,Future FC,16431,El Shams,25464,5,2,False
1331614,2025-01-05T15:30:00+00:00,FT,Round of 32,Al Ittihad,1572,Team,25472,0,2,True
1332445,2025-01-09T12:30:00+00:00,FT,Round of 32,Zamalek SC,1040,Abu Qair Semad,15731,2,0,True
1334886,2025-01-16T12:30:00+00:00,FT,Round of 16,Enppi,1037,Ismaily SC,1030,1,0,True
1334887,2025-01-17T12:30:00+00:00,FT,Round of 16,Ceramica Cleopatra,14651,El Geish,1039,2,0,True
1334888,2025-01-17T15:30:00+00:00,FT,Round of 16,Smouha SC,1044,Masr,7520,1,0,True
1334889,2025-02-03T12:30:00+00:00,FT,Round of 16,El Gouna FC,1574,Team,25472,3,1,True
1331620,2025-02-04T12:30:00+00:00,FT,Round of 32,AL Masry,1031,Wadi Degla,1046,1,0,True
1331619,2025-02-04T15:30:00+00:00,FT,Round of 32,Pyramids FC,1036,El Mansura,16432,3,0,True
1334890,2025-03-07T19:30:00+00:00,AET,Round of 16,Zamalek SC,1040,Future FC,16431,2,1,False
1347613,2025-03-07T19:30:00+00:00,FT,Round of 16,National Bank of Egypt,15570,AL Masry,1031,3,1,True
1347614,2025-03-08T19:30:00+00:00,FT,Round of 16,Pyramids FC,1036,El Mokawloon,1575,2,0,True
1334891,2025-03-08T19:30:00+00:00,AET,Round of 16,Ghazl El Mehalla,13819,Pharco,15736,1,0,False
1359886,2025-03-15T19:30:00+00:00,FT,Quarter-finals,Pyramids FC,1036,Enppi,1037,2,1,True
1359885,2025-03-15T19:30:00+00:00,FT,Quarter-finals,Zamalek SC,1040,Smouha SC,1044,4,2,True
1359887,2025-03-15T19:30:00+00:00,FT,Quarter-finals,Ghazl El Mehalla,13819,National Bank of Egypt,15570,0,1,True
1350313,2025-03-15T19:30:00+00:00,FT,Quarter-finals,Ceramica Cleopatra,14651,El Gouna FC,1574,3,1,True
1361620,2025-03-28T19:30:00+00:00,FT,Semi-finals,Pyramids FC,1036,National Bank of Egypt,15570,4,0,True
1361621,2025-03-28T19:30:00+00:00,FT,Semi-finals,Zamalek SC,1040,Ceramica Cleopatra,14651,2,1,True
1372031,2025-06-05T17:30:00+00:00,PEN,Final,Zamalek SC,1040,Pyramids FC,1036,1,1,False
