fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
164479,2020-01-01T12:45:00+00:00,FT,Regular Season - 26,Millwall,58,Luton,1359,3,1,True
164477,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Fulham,36,Reading,53,1,2,True
164478,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Huddersfield,37,Stoke City,75,2,5,True
164474,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Birmingham,54,Wigan,61,2,3,True
164475,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Bristol City,56,Brentford,55,0,4,True
164481,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Preston,59,Middlesbrough,70,0,2,True
164480,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Nottingham Forest,65,Blackburn,67,3,2,True
164482,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,QPR,72,Cardiff,43,6,1,True
164483,2020-01-01T15:00:00+00:00,FT,Regular Season - 26,Sheffield Wednesday,74,Hull City,64,0,1,True
164485,2020-01-01T17:15:00+00:00,FT,Regular Season - 26,West Brom,60,Leeds,63,1,1,True
164476,2020-01-02T19:45:00+00:00,FT,Regular Season - 26,Derby,69,Barnsley,747,2,1,True
164484,2020-01-02T19:45:00+00:00,FT,Regular Season - 26,Swansea,76,Charlton,1335,1,0,True
164488,2020-01-11T12:30:00+00:00,FT,Regular Season - 27,Brentford,55,QPR,72,3,1,True
164495,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Reading,53,Nottingham Forest,65,1,1,True
164497,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Wigan,61,Bristol City,56,0,2,True
164492,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Leeds,63,Sheffield Wednesday,74,0,2,True
164491,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Hull City,64,Fulham,36,0,1,True
164487,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Blackburn,67,Preston,59,1,1,True
164494,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Middlesbrough,70,Derby,69,2,2,True
164496,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Stoke City,75,Millwall,58,0,0,True
164486,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Barnsley,747,Huddersfield,37,2,1,True
164490,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Charlton,1335,West Brom,60,2,2,True
164493,2020-01-11T15:00:00+00:00,FT,Regular Season - 27,Luton,1359,Birmingham,54,1,2,True
164489,2020-01-12T12:00:00+00:00,FT,Regular Season - 27,Cardiff,43,Swansea,76,0,0,True
164501,2020-01-17T19:45:00+00:00,FT,Regular Season - 28,Fulham,36,Middlesbrough,70,1,0,True
164506,2020-01-18T12:30:00+00:00,FT,Regular Season - 28,QPR,72,Leeds,63,1,0,True
164502,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Huddersfield,37,Brentford,55,0,0,True
164498,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Birmingham,54,Cardiff,43,1,1,True
164499,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Bristol City,56,Barnsley,747,1,0,True
164503,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Millwall,58,Reading,53,2,0,True
164505,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Preston,59,Charlton,1335,2,1,True
164500,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Derby,69,Hull City,64,1,0,True
164507,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Sheffield Wednesday,74,Blackburn,67,0,5,True
164508,2020-01-18T15:00:00+00:00,FT,Regular Season - 28,Swansea,76,Wigan,61,2,1,True
164504,2020-01-19T12:00:00+00:00,FT,Regular Season - 28,Nottingham Forest,65,Luton,1359,3,1,True
164509,2020-01-20T20:00:00+00:00,FT,Regular Season - 28,West Brom,60,Stoke City,75,0,1,True
164518,2020-01-21T19:45:00+00:00,FT,Regular Season - 29,Middlesbrough,70,Birmingham,54,1,1,True
164510,2020-01-21T19:45:00+00:00,FT,Regular Season - 29,Barnsley,747,Preston,59,0,3,True
164336,2020-01-22T19:45:00+00:00,FT,Regular Season - 14,Nottingham Forest,65,Reading,53,1,1,True
164514,2020-01-22T19:45:00+00:00,FT,Regular Season - 29,Charlton,1335,Fulham,36,0,0,True
164520,2020-01-25T15:00:00+00:00,FT,Regular Season - 29,Stoke City,75,Swansea,76,2,0,True
164513,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Cardiff,43,West Brom,60,2,1,True
164512,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Brentford,55,Nottingham Forest,65,0,1,True
164521,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Wigan,61,Sheffield Wednesday,74,2,1,True
164516,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Leeds,63,Millwall,58,3,2,True
164515,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Hull City,64,Huddersfield,37,1,2,True
164511,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Blackburn,67,QPR,72,2,1,True
164517,2020-01-28T19:45:00+00:00,FT,Regular Season - 29,Luton,1359,Derby,69,3,2,True
164519,2020-01-28T20:00:00+00:00,FT,Regular Season - 29,Reading,53,Bristol City,56,0,1,True
164523,2020-01-31T19:45:00+00:00,FT,Regular Season - 30,Cardiff,43,Reading,53,1,1,True
164525,2020-01-31T19:45:00+00:00,FT,Regular Season - 30,Derby,69,Stoke City,75,4,0,True
164527,2020-02-01T12:30:00+00:00,FT,Regular Season - 30,Hull City,64,Brentford,55,1,5,True
164526,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Fulham,36,Huddersfield,37,3,2,True
164522,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Birmingham,54,Nottingham Forest,65,2,1,True
164530,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Preston,59,Swansea,76,1,1,True
164533,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,West Brom,60,Luton,1359,2,0,True
164528,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Leeds,63,Wigan,61,0,1,True
164529,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Middlesbrough,70,Blackburn,67,1,1,True
164531,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,QPR,72,Bristol City,56,0,1,True
164532,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Sheffield Wednesday,74,Millwall,58,0,0,True
164524,2020-02-01T15:00:00+00:00,FT,Regular Season - 30,Charlton,1335,Barnsley,747,2,1,True
164537,2020-02-07T19:45:00+00:00,FT,Regular Season - 31,Bristol City,56,Birmingham,54,1,3,True
164545,2020-02-08T12:30:00+00:00,FT,Regular Season - 31,Wigan,61,Preston,59,1,2,True
164534,2020-02-08T13:30:00+00:00,FT,Regular Season - 31,Barnsley,747,Sheffield Wednesday,74,1,1,True
164538,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Huddersfield,37,QPR,72,2,0,True
164542,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Reading,53,Hull City,64,1,1,True
164536,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Brentford,55,Middlesbrough,70,3,2,True
164535,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Blackburn,67,Fulham,36,0,1,True
164543,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Stoke City,75,Charlton,1335,3,1,True
164544,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Swansea,76,Derby,69,2,3,True
164539,2020-02-08T15:00:00+00:00,FT,Regular Season - 31,Luton,1359,Cardiff,43,0,1,True
164541,2020-02-08T17:30:00+00:00,FT,Regular Season - 31,Nottingham Forest,65,Leeds,63,2,0,True
164540,2020-02-09T13:30:00+00:00,FT,Regular Season - 31,Millwall,58,West Brom,60,0,2,True
164548,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Brentford,55,Leeds,63,1,1,True
164551,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Wigan,61,Middlesbrough,70,2,2,True
164549,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Nottingham Forest,65,Charlton,1335,0,1,True
164547,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Blackburn,67,Hull City,64,3,0,True
164550,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Swansea,76,QPR,72,0,0,True
164546,2020-02-11T19:45:00+00:00,FT,Regular Season - 32,Barnsley,747,Birmingham,54,0,1,True
164553,2020-02-12T19:45:00+00:00,FT,Regular Season - 32,Huddersfield,37,Cardiff,43,0,3,True
164552,2020-02-12T19:45:00+00:00,FT,Regular Season - 32,Bristol City,56,Derby,69,3,2,True
164555,2020-02-12T19:45:00+00:00,FT,Regular Season - 32,Millwall,58,Fulham,36,1,1,True
164554,2020-02-12T19:45:00+00:00,FT,Regular Season - 32,Luton,1359,Sheffield Wednesday,74,1,0,True
164556,2020-02-12T20:00:00+00:00,FT,Regular Season - 32,Reading,53,West Brom,60,1,2,True
164557,2020-02-12T20:00:00+00:00,FT,Regular Season - 32,Stoke City,75,Preston,59,0,2,True
164563,2020-02-14T19:45:00+00:00,FT,Regular Season - 33,Hull City,64,Swansea,76,4,4,True
164569,2020-02-15T12:30:00+00:00,FT,Regular Season - 33,West Brom,60,Nottingham Forest,65,2,2,True
164562,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Fulham,36,Barnsley,747,0,3,True
164559,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Cardiff,43,Wigan,61,2,2,True
164558,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Birmingham,54,Brentford,55,1,1,True
164566,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Preston,59,Millwall,58,0,1,True
164564,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Leeds,63,Bristol City,56,1,0,True
164561,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Derby,69,Huddersfield,37,1,1,True
164565,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Middlesbrough,70,Luton,1359,0,1,True
164567,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,QPR,72,Stoke City,75,4,2,True
164568,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Sheffield Wednesday,74,Reading,53,0,3,True
164560,2020-02-15T15:00:00+00:00,FT,Regular Season - 33,Charlton,1335,Blackburn,67,0,2,True
164575,2020-02-21T19:45:00+00:00,FT,Regular Season - 34,Derby,69,Fulham,36,1,1,True
164572,2020-02-22T12:30:00+00:00,FT,Regular Season - 34,Brentford,55,Blackburn,67,2,2,True
164571,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Birmingham,54,Sheffield Wednesday,74,3,3,True
164573,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Bristol City,56,West Brom,60,0,3,True
164578,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Preston,59,Hull City,64,2,1,True
164581,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Wigan,61,Millwall,58,1,0,True
164576,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Leeds,63,Reading,53,1,0,True
164577,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Nottingham Forest,65,QPR,72,0,0,True
164579,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Stoke City,75,Cardiff,43,2,0,True
164580,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Swansea,76,Huddersfield,37,3,1,True
164570,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Barnsley,747,Middlesbrough,70,1,0,True
164574,2020-02-22T15:00:00+00:00,FT,Regular Season - 34,Charlton,1335,Luton,1359,3,1,True
164584,2020-02-25T19:45:00+00:00,FT,Regular Season - 35,Huddersfield,37,Bristol City,56,2,1,True
164582,2020-02-25T19:45:00+00:00,FT,Regular Season - 35,Cardiff,43,Nottingham Forest,65,0,1,True
164586,2020-02-25T19:45:00+00:00,FT,Regular Season - 35,QPR,72,Derby,69,2,1,True
164585,2020-02-25T19:45:00+00:00,FT,Regular Season - 35,Luton,1359,Brentford,55,2,1,True
164587,2020-02-25T20:00:00+00:00,FT,Regular Season - 35,West Brom,60,Preston,59,2,0,True
164583,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Fulham,36,Swansea,76,1,0,True
164591,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Millwall,58,Birmingham,54,0,0,True
164589,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Hull City,64,Barnsley,747,0,1,True
164588,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Blackburn,67,Stoke City,75,0,0,True
164590,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Middlesbrough,70,Leeds,63,0,1,True
164592,2020-02-26T19:45:00+00:00,FT,Regular Season - 35,Sheffield Wednesday,74,Charlton,1335,1,0,True
164593,2020-02-26T20:00:00+00:00,FT,Regular Season - 35,Reading,53,Wigan,61,0,3,True
164598,2020-02-29T12:30:00+00:00,FT,Regular Season - 36,Hull City,64,Leeds,63,0,4,True
164596,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,Fulham,36,Preston,59,2,0,True
164597,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,Huddersfield,37,Charlton,1335,4,0,True
164595,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,Cardiff,43,Brentford,55,2,2,True
164603,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,Reading,53,Barnsley,747,2,0,True
164601,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,Millwall,58,Bristol City,56,1,1,True
164605,2020-02-29T15:00:00+00:00,FT,Regular Season - 36,West Brom,60,Wigan,61,0,1,True
