fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1423487,2025-08-05T18:45:00+00:00,Canc,Extra Preliminary Round Replays,Bedfont Sports,7212,Guernsey,7230,0,0,False
1423511,2025-08-05T19:00:00+00:00,Canc,Extra Preliminary Round Replays,Welwyn,26222,Ware,7678,,,False
1449968,2025-08-30T14:00:00+00:00,CANC,1st Round Qualifying,Widnes,7681,Congleton Town,8751,,,False
1419291,2025-08-01T18:45:00+00:00,FT,Extra Preliminary Round,Pickering Town,7246,Penrith AFC,8896,3,2,True
1419290,2025-08-01T18:45:00+00:00,FT,Extra Preliminary Round,Bootle,8712,1874 Northwich,8666,4,0,True
1419292,2025-08-01T18:45:00+00:00,FT,Extra Preliminary Round,Enfield 1893,8775,Wormley Rovers,24351,0,0,True
1419293,2025-08-01T18:45:00+00:00,FT,Extra Preliminary Round,Roman Glass St George,8910,Nailsea & Tickenham,21709,7,0,True
1419480,2025-08-01T18:45:00+00:00,FT,Extra Preliminary Round,Stone Old Alleynians,8954,Sutton Coldfield Town,7253,0,2,True
1419363,2025-08-01T19:00:00+00:00,FT,Extra Preliminary Round,Belper United,19548,Uttoxeter Town,16997,2,1,True
1419445,2025-08-01T19:00:00+00:00,FT,Extra Preliminary Round,Wokingham Town,25122,Brislington,8723,3,2,True
1419294,2025-08-02T11:00:00+00:00,FT,Extra Preliminary Round,Hamworthy Recreation,24339,Hartley Wintney,7719,1,2,True
1419295,2025-08-02T13:00:00+00:00,FT,Extra Preliminary Round,Guernsey,7230,Bedfont Sports,7212,1,1,True
1419407,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Bury,1344,South Liverpool,24347,6,0,True
1419357,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Haringey Borough,4681,Halstead Town,8806,3,1,True
1419497,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Leatherhead,4696,Phoenix Sports,7245,2,2,True
1419440,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Westfields,4712,Atherstone Town,8689,2,4,True
1419313,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Barking,7209,Grays Athletic,7228,1,2,True
1419366,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Bedworth United,7213,Brocton,11956,2,1,True
1419398,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Bideford,7215,Wellington AFC,8990,4,1,True
1419492,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Cinderford Town,7220,Amersham Town,24331,0,1,True
1419312,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,East Grinstead Town,7224,Eastbourne United,8770,1,4,True
1419306,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Glossop North End,7227,St Helens,24349,1,1,True
1419351,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Histon,7234,Thetford Town,8969,2,2,True
1419349,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Hythe Town,7235,Littlehampton Town,11998,2,5,True
1419387,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Melksham Town,7241,AFC Portchester,8671,2,2,True
1419308,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Newcastle Town,7242,Stourport Swifts,8956,4,0,True
1419330,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Northwood,7243,Egham Town,8773,0,1,True
1419486,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Paulton Rovers,7244,Hamble Club,8807,1,0,True
1419296,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,South Park,7251,Newhaven,8877,2,1,True
1419386,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Thatcham Town,7254,Petersfield Town,12015,2,0,True
1419309,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Willand Rovers,7263,Barnstaple Town,7210,0,2,True
1419432,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Witham Town,7264,Frenford,21704,1,1,True
1419392,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,AFC Kempston Rovers,7611,Arlesey Town,8683,1,5,True
1419469,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Biggleswade,7618,Welwyn Garden City,7679,2,2,True
1419503,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Brighouse Town,7620,Frickley Athletic,7643,1,0,True
1419350,2025-08-02T14:00:00+00:00,FT,Extra Preliminary Round,Cirencester Town,7629,Reading City,8907,0,0,True
