fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1393257,2025-07-29T18:30:00+00:00,PEN,Preliminary Round,Barnet,1369,Newport County,1367,2,2,False
1393256,2025-08-05T18:45:00+00:00,FT,Preliminary Round,Accrington ST,1360,Oldham,1349,3,1,True
1393285,2025-08-12T18:00:00+00:00,FT,1st Round,Swansea,76,Crawley Town,1362,3,1,True
1393277,2025-08-12T18:30:00+00:00,FT,1st Round,Middlesbrough,70,Doncaster,1354,0,4,True
1419512,2025-08-12T18:30:00+00:00,FT,1st Round,Newport County,1367,Millwall,58,0,1,True
1393259,2025-08-12T18:30:00+00:00,FT,1st Round,Barrow,1819,Preston,59,0,1,True
1393283,2025-08-12T18:30:00+00:00,FT,1st Round,Stockport County,4686,Crewe,1363,3,1,True
1393287,2025-08-12T18:45:00+00:00,FT,1st Round,Watford,38,Norwich,71,1,2,True
1393267,2025-08-12T18:45:00+00:00,FT,1st Round,Cardiff,43,Swindon Town,1353,2,1,True
1393264,2025-08-12T18:45:00+00:00,FT,1st Round,Bristol City,56,Milton Keynes Dons,1348,2,0,True
1393288,2025-08-12T18:45:00+00:00,PEN,1st Round,West Brom,60,Derby,69,1,1,False
1393289,2025-08-12T18:45:00+00:00,FT,1st Round,Wigan,61,Notts County,1376,1,0,True
1393261,2025-08-12T18:45:00+00:00,FT,1st Round,Blackburn,67,Bradford,1343,1,2,True
1393284,2025-08-12T18:45:00+00:00,PEN,1st Round,Stoke City,75,Walsall,1342,0,0,False
1393265,2025-08-12T18:45:00+00:00,FT,1st Round,Bristol Rovers,1334,Cambridge United,1370,0,2,True
1393268,2025-08-12T18:45:00+00:00,FT,1st Round,Charlton,1335,Stevenage,1368,3,1,True
1393278,2025-08-12T18:45:00+00:00,FT,1st Round,Northampton,1337,Southampton,41,0,1,True
1393279,2025-08-12T18:45:00+00:00,FT,1st Round,Oxford United,1338,Colchester,1361,1,0,True
1393270,2025-08-12T18:45:00+00:00,FT,1st Round,Chesterfield,1345,Mansfield Town,1374,0,2,True
1393271,2025-08-12T18:45:00+00:00,FT,1st Round,Coventry,1346,Luton,1359,1,0,True
1393272,2025-08-12T18:45:00+00:00,PEN,1st Round,Gillingham,1347,AFC Wimbledon,1333,1,1,False
1393281,2025-08-12T18:45:00+00:00,FT,1st Round,Portsmouth,1355,Reading,53,1,2,True
1393262,2025-08-12T18:45:00+00:00,FT,1st Round,Blackpool,1356,Port Vale,1351,0,1,True
1393280,2025-08-12T18:45:00+00:00,FT,1st Round,Plymouth,1357,QPR,72,3,2,True
1429256,2025-08-12T18:45:00+00:00,FT,1st Round,Accrington ST,1360,Peterborough,1350,2,1,True
1393273,2025-08-12T18:45:00+00:00,FT,1st Round,Grimsby,1365,Shrewsbury,1352,3,1,True
1393276,2025-08-12T18:45:00+00:00,FT,1st Round,Leyton Orient,1373,Wycombe,1358,0,1,True
1393290,2025-08-12T18:45:00+00:00,PEN,1st Round,Wrexham,1837,Hull City,64,3,3,False
1393274,2025-08-12T18:45:00+00:00,FT,1st Round,Harrogate Town,1842,Lincoln,1379,1,3,True
1393282,2025-08-12T18:45:00+00:00,PEN,1st Round,Salford City,1844,Rotherham,73,0,0,False
