fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
876052,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,AFC Wimbledon,1333,Gillingham,1347,2,0,True
876057,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Northampton,1337,Colchester,1361,3,2,True
876058,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Rochdale,1339,Crewe,1363,1,2,True
876063,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Walsall,1342,Hartlepool,1366,4,0,True
876053,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Bradford,1343,Doncaster,1354,0,0,True
876054,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Carlisle,1371,Crawley Town,1362,1,0,True
876056,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Leyton Orient,1373,Grimsby,1365,2,0,True
876062,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Tranmere,1381,Stevenage,1368,1,2,True
876061,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Sutton Utd,1835,Newport County,1367,1,1,True
876055,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Harrogate Town,1842,Swindon Town,1353,3,0,True
876059,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Salford City,1844,Mansfield Town,1374,2,0,True
876060,2022-07-30T14:00:00+00:00,FT,Regular Season - 1,Stockport County,4686,Barrow,1819,2,3,True
876069,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Gillingham,1347,Rochdale,1339,1,0,True
876075,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Swindon Town,1353,Salford City,1844,0,0,True
876068,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Doncaster,1354,Sutton Utd,1835,2,1,True
876065,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Colchester,1361,Carlisle,1371,1,1,True
876066,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Crawley Town,1362,Leyton Orient,1373,0,1,True
876067,2022-08-06T14:00:00+00:00,FT,Regular Season - 2,Crewe,1363,Harrogate Town,1842,3,0,True
