fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
864367,2022-07-03T14:00:00+00:00,CANC,64th Finals,Helios,14289,JK 32.KK,14295,,,False
864386,2022-06-01T17:00:00+00:00,FT,64th Finals,Tallinna Wolves II,18996,Flora III,14288,0,12,True
864361,2022-06-19T13:00:00+00:00,FT,64th Finals,FC Kohvile,14286,Paide III,14314,0,5,True
864373,2022-06-22T13:00:00+00:00,FT,Round of 64,Rumori Calcio,14327,Tallinna Kalev,3529,0,8,True
864387,2022-06-22T16:00:00+00:00,FT,64th Finals,Trans Narva,2274,Tabasalu Ulasabat,18995,0,0,True
864388,2022-06-22T16:00:00+00:00,FT,64th Finals,JK Tabasalu,16718,Poseidon II,18994,26,0,True
864362,2022-06-22T16:00:00+00:00,FT,64th Finals,Tartu Kalev,16962,Puhkus Mehhikos,14319,0,0,True
864365,2022-06-27T16:00:00+00:00,FT,64th Finals,ReUnited Tallinn,14325,Loo,14307,3,1,True
864375,2022-06-29T16:30:00+00:00,FT,Round of 64,Soccernet,14330,Jõgeva Wolves,14298,0,0,True
864374,2022-06-29T17:00:00+00:00,FT,Round of 64,Zenit Tallinn,14341,Poseidon,14318,5,3,True
864364,2022-06-29T17:45:00+00:00,FT,64th Finals,FCI Tallinn,3883,Eston Villa,14283,3,1,True
864366,2022-06-30T16:30:00+00:00,AET,64th Finals,Olympic,14343,Maardu Aliens,14310,5,4,False
864371,2022-07-05T16:00:00+00:00,FT,Round of 64,Kompanii Marjamaa,14302,Team Helm,14335,0,7,True
864368,2022-07-08T16:00:00+00:00,FT,64th Finals,Kuressaare,3526,Viimsi,14340,1,0,True
864377,2022-07-08T16:00:00+00:00,FT,Round of 64,Pärnu,10061,Vigri Maarjamäe,16725,9,0,True
864389,2022-07-08T16:00:00+00:00,FT,64th Finals,TJK Legion II,14332,Vana Hea Puur,18997,10,1,True
864363,2022-07-08T17:00:00+00:00,FT,64th Finals,FCP Pärnu,16717,Maksatransport,14311,0,3,True
864369,2022-07-09T13:00:00+00:00,FT,64th Finals,Vastseliina,14339,Legion,13152,0,14,True
864378,2022-07-09T14:00:00+00:00,FT,Round of 64,K-Järve JK Järve,3519,Tallinna Kalev II,3522,1,6,True
864379,2022-07-09T14:00:00+00:00,FT,Round of 64,Mulgi,16722,FC Tallinn,14287,0,0,True
864370,2022-07-09T16:00:00+00:00,FT,64th Finals,Tammeka,3530,Kose,14303,8,0,True
864381,2022-07-09T16:00:00+00:00,FT,Round of 64,Nõmme United,10059,Läänemaa Haapsalu,14309,3,0,True
864384,2022-07-09T16:00:00+00:00,FT,Round of 64,Warrior,13834,Elva,3516,0,6,True
864382,2022-07-09T16:00:00+00:00,FT,Round of 64,Laagri,18657,EstHam United,16738,29,0,True
864383,2022-07-10T13:30:00+00:00,FT,Round of 64,Jalgpallihaigla,14296,Kalju Nomme,662,0,23,True
864376,2022-07-15T17:30:00+00:00,FT,Round of 64,Nõmme Kalju II,13826,Teleios,14336,9,0,True
864385,2022-07-22T15:00:00+00:00,FT,Round of 64,Flora II,3518,Järva-Jaani,14297,13,0,True
897970,2022-07-23T14:00:00+00:00,FT,Round of 64,TransferWise,14337,Tammeka,3530,0,18,True
880714,2022-07-23T15:00:00+00:00,FT,Round of 64,Tartu Kalev,16962,Jager,19115,11,0,True
865020,2022-07-23T16:00:00+00:00,FT,Round of 64,Piraaja,14316,Flora III,14288,0,0,True
864390,2022-07-24T13:00:00+00:00,FT,Round of 64,Kristiine JK,14304,Lääneranna,18993,2,3,True
880715,2022-07-24T16:00:00+00:00,FT,Round of 64,JK Tabasalu,16718,Tartu Welco,3524,3,1,True
896993,2022-07-25T16:00:00+00:00,AET,Round of 64,Kuressaare,3526,Vaprus,3525,2,2,False
885341,2022-07-26T15:00:00+00:00,FT,Round of 64,Äksi Wolves,14342,FCI Tallinn,3883,2,3,True
885342,2022-07-26T16:00:00+00:00,FT,Round of 64,Helios,14289,Trans Narva,2274,0,9,True
864372,2022-07-27T16:00:00+00:00,FT,Round of 64,Saku Sporting,14329,Rakvere Tarvas,3521,0,2,True
864380,2022-07-27T17:30:00+00:00,FT,Round of 64,Tallinna FC Zapoos,14333,Raplamaa,14323,2,1,True
896994,2022-08-03T16:00:00+00:00,FT,Round of 64,Legion,13152,Kadakas,14300,13,0,True
