fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
967703,2022-10-28T17:30:00+00:00,FT,7th Round,Poitiers,3097,Chateauroux,107,0,1,True
967705,2022-10-28T18:00:00+00:00,FT,7th Round,Angoulême,3011,Trélissac,9246,1,1,True
967757,2022-10-28T18:00:00+00:00,FT,7th Round,Le Puy Foot,3069,Andrézieux,3009,2,0,True
967768,2022-10-29T12:00:00+00:00,FT,7th Round,Sochaux,115,Hombourg-Haut,9282,3,0,True
967745,2022-10-29T12:00:00+00:00,FT,7th Round,Oissel,3089,Poissy,9242,1,1,True
967711,2022-10-29T12:00:00+00:00,FT,7th Round,Olympique St Quentin,3091,Hienghène Sport,8002,2,1,True
967748,2022-10-29T12:00:00+00:00,FT,7th Round,Gallia Lucciana,3182,Drancy,1293,0,1,True
967765,2022-10-29T12:00:00+00:00,FT,7th Round,Les Ulis,3196,Paris FC,114,1,3,True
967699,2022-10-29T12:00:00+00:00,FT,7th Round,Mérignac-Arlac,3206,Niort,113,0,1,True
967759,2022-10-29T12:00:00+00:00,FT,7th Round,Velay,15121,Mâcon,3277,2,3,True
967756,2022-10-29T13:00:00+00:00,PEN,7th Round,Saint Etienne,1063,Rodez,1301,0,0,False
967773,2022-10-29T13:00:00+00:00,FT,7th Round,Reipertswiller,3101,Nancy,102,3,2,True
967724,2022-10-29T13:00:00+00:00,FT,7th Round,Salinieres Aigues Mortes,3112,PAU,1297,0,3,True
967727,2022-10-29T13:00:00+00:00,FT,7th Round,Orvault SF,13616,Laval,433,1,1,True
967716,2022-10-29T13:00:00+00:00,FT,7th Round,Illzach Modenheim,13731,Grenoble,101,1,4,True
967763,2022-10-29T13:00:00+00:00,FT,7th Round,Liancourt Clermont,20575,Gobelins,9238,0,5,True
968576,2022-10-29T13:30:00+00:00,FT,7th Round,Golden Lion,3053,Aiglon,3008,1,2,True
967741,2022-10-29T13:30:00+00:00,FT,7th Round,Chartres-de-Bretagne,13683,Avranches,1303,0,2,True
968564,2022-10-29T14:00:00+00:00,FT,7th Round,Annecy,3012,Diables Noirs,20600,8,1,True
967708,2022-10-29T14:00:00+00:00,PEN,7th Round,Prix-lès-Mézières,3099,Bastia,1305,0,0,False
967762,2022-10-29T14:00:00+00:00,FT,7th Round,St-Pryvé St-Hilaire,3117,Dijon,89,1,1,True
967721,2022-10-29T14:00:00+00:00,FT,7th Round,Toulon,3125,Aubagne,9930,1,1,True
967751,2022-10-29T14:00:00+00:00,FT,7th Round,Aubervilliers,3148,Quevilly,431,1,1,True
967774,2022-10-29T15:00:00+00:00,FT,7th Round,Haguenau,3058,Jura Dolois,9937,1,0,True
967730,2022-10-29T15:00:00+00:00,FT,7th Round,Vannes,3129,Concarneau,1300,1,1,True
967733,2022-10-29T15:00:00+00:00,PEN,7th Round,Vitré,3138,Ergué-Gaberic,9960,0,0,False
967714,2022-10-29T15:00:00+00:00,FT,7th Round,Chambéry,9969,Bourgoin-Jallieu,9268,1,1,True
967712,2022-10-29T16:00:00+00:00,FT,7th Round,Valenciennes,105,RED Star FC 93,104,1,1,True
967758,2022-10-29T16:00:00+00:00,FT,7th Round,Chamalières,3033,Gueugnon,3056,1,1,True
967740,2022-10-29T16:00:00+00:00,FT,7th Round,Saint-Malo,3108,Caen,88,2,2,True
967749,2022-10-29T16:00:00+00:00,FT,7th Round,Beauvais,3153,Dunkerque,1304,0,3,True
967769,2022-10-29T16:00:00+00:00,FT,7th Round,Geispolsheim,3183,Louhans-Cuiseaux,3073,2,5,True
967722,2022-10-29T16:00:00+00:00,FT,7th Round,Montauban TG,3202,Olympique d'Alès,3093,2,2,True
967743,2022-10-29T16:00:00+00:00,FT,7th Round,Alençon,3248,Le Havre,111,3,3,True
967717,2022-10-29T16:00:00+00:00,FT,7th Round,Saint-Priest,3296,Lyon Duchere,1295,0,1,True
967767,2022-10-29T16:00:00+00:00,FT,7th Round,Sarre Union,3297,Thaon,3123,0,3,True
968577,2022-10-29T16:00:00+00:00,FT,7th Round,Thiers,3311,Fréjus St-Raphaël,3051,2,0,True
967719,2022-10-29T16:00:00+00:00,FT,7th Round,Jura Sud Foot,9255,Vaulx,3313,3,1,True
967736,2022-10-29T16:00:00+00:00,FT,7th Round,Châteaubriant,9272,Lannion,3067,1,1,True
967754,2022-10-29T16:00:00+00:00,FT,7th Round,Cournon,9273,Grasse,9257,0,2,True
967742,2022-10-29T16:00:00+00:00,FT,7th Round,Drapeau Fougères,9959,Le Mans,1298,2,2,True
967738,2022-10-29T16:00:00+00:00,FT,7th Round,Évreux 27,10167,Grand-Quevilly,3054,1,0,True
967753,2022-10-29T16:00:00+00:00,FT,7th Round,Onet-le-Château,13705,Feurs,3177,2,1,True
967755,2022-10-29T16:00:00+00:00,FT,7th Round,Roche Saint-Genest,13709,Savigneux Montbrison,3299,2,1,True
967761,2022-10-29T16:00:00+00:00,PEN,7th Round,Bourges Foot 18,17360,Saint-Apollinaire,14775,0,0,False
967737,2022-10-29T16:00:00+00:00,FT,7th Round,NDC Angers,20579,Granville,3185,2,4,True
967744,2022-10-29T16:00:00+00:00,FT,7th Round,Saint-Grégoire,20583,Stade Pontivy,3119,0,1,True
967750,2022-10-29T16:00:00+00:00,FT,7th Round,Éperlecques,20586,Stade Béthunois,18153,0,1,True
967734,2022-10-29T16:30:00+00:00,FT,7th Round,Stade Plabennec,9311,Cholet,1292,1,0,True
967731,2022-10-29T16:30:00+00:00,FT,7th Round,Mareuil,20576,Les Herbiers,1308,1,6,True
967723,2022-10-29T17:00:00+00:00,FT,7th Round,Nimes,92,Bastia-Borgo,3019,3,0,True
967700,2022-10-29T17:00:00+00:00,FT,7th Round,Biars-Bretenoux,3024,Bergerac,3022,1,2,True
967702,2022-10-29T17:00:00+00:00,FT,7th Round,Chauray,3037,Avoine OCC,3151,0,1,True
967701,2022-10-29T17:00:00+00:00,FT,7th Round,Châtellerault,3041,SA Mérignac,20581,4,2,True
967778,2022-10-29T17:00:00+00:00,FT,7th Round,Vénus,10161,Belfort,1311,0,3,True
967747,2022-10-29T17:00:00+00:00,FT,7th Round,Pays de Cassel,20580,Chaumont,3165,2,1,True
967706,2022-10-29T18:00:00+00:00,FT,7th Round,Stade Bordelais,3228,Bordeaux,78,0,3,True
967720,2022-10-29T18:00:00+00:00,FT,7th Round,Lescar,20574,Boé Bon Encontre,20569,0,2,True
967735,2022-10-30T13:00:00+00:00,FT,7th Round,Bellevue Nantes,3021,Basse Goulaine,20568,2,0,True
968580,2022-10-30T13:00:00+00:00,FT,7th Round,Heillecourt,3060,Epinal,1309,0,4,True
967713,2022-10-30T13:00:00+00:00,FT,7th Round,Feignies-Aulnoye,3176,Escaudain,20570,2,1,True
967709,2022-10-30T13:00:00+00:00,FT,7th Round,Fleury 91,3179,Reims Sainte-Anne,9303,1,1,True
967725,2022-10-30T13:00:00+00:00,FT,7th Round,Agde,9263,Colomiers,3169,2,3,True
967760,2022-10-30T13:00:00+00:00,FT,7th Round,Pont Saintte-Maxence,9302,Vierzon FC,19617,0,2,True
967772,2022-10-30T13:00:00+00:00,FT,7th Round,Villerupt Thil,13675,Villers-lès-Nancy,20585,3,1,True
