fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
616944,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Andrézieux,3009,Grasse,9257,,,False
616945,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Fréjus St-Raphaël,3051,Toulon,3125,,,False
616948,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Hyères,3061,Saint-Priest,3296,,,False
616946,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Martigues,3200,Louhans-Cuiseaux,3073,,,False
616947,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Chasselay MDA,9254,Rumilly Vallières,9973,,,False
616949,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Jura Sud Foot,9255,Marignane,1296,,,False
616951,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Olympique Lyonnais II,9256,Olympique Marseille II,9260,,,False
616950,2021-01-23T17:00:00+00:00,CANC,Group C - 16,Monaco II,9258,Aubagne,9930,,,False
616955,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Marignane,1296,Hyères,3061,,,False
616954,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Louhans-Cuiseaux,3073,Chasselay MDA,9254,,,False
616957,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Toulon,3125,Andrézieux,3009,,,False
616958,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Saint-Priest,3296,Olympique Lyonnais II,9256,,,False
616956,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Grasse,9257,Monaco II,9258,,,False
616959,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Olympique Marseille II,9260,Fréjus St-Raphaël,3051,,,False
616952,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Aubagne,9930,Martigues,3200,,,False
616953,2021-01-30T17:00:00+00:00,CANC,Group C - 17,Rumilly Vallières,9973,Jura Sud Foot,9255,,,False
616960,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Fréjus St-Raphaël,3051,Saint-Priest,3296,,,False
616963,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Hyères,3061,Rumilly Vallières,9973,,,False
616961,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Martigues,3200,Grasse,9257,,,False
616962,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Chasselay MDA,9254,Aubagne,9930,,,False
616964,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Jura Sud Foot,9255,Louhans-Cuiseaux,3073,,,False
616966,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Olympique Lyonnais II,9256,Marignane,1296,,,False
616965,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Monaco II,9258,Andrézieux,3009,,,False
616967,2021-02-13T17:00:00+00:00,CANC,Group C - 18,Olympique Marseille II,9260,Toulon,3125,,,False
616972,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Marignane,1296,Fréjus St-Raphaël,3051,,,False
616968,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Andrézieux,3009,Martigues,3200,,,False
616971,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Louhans-Cuiseaux,3073,Hyères,3061,,,False
616974,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Toulon,3125,Monaco II,9258,,,False
616975,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Saint-Priest,3296,Olympique Marseille II,9260,,,False
616973,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Grasse,9257,Chasselay MDA,9254,,,False
616969,2021-02-20T17:00:00+00:00,CANC,Group C - 19,Aubagne,9930,Jura Sud Foot,9255,,,False
616976,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Fréjus St-Raphaël,3051,Rumilly Vallières,9973,,,False
616979,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Hyères,3061,Aubagne,9930,,,False
616977,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Martigues,3200,Monaco II,9258,,,False
616981,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Saint-Priest,3296,Toulon,3125,,,False
616978,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Chasselay MDA,9254,Andrézieux,3009,,,False
616980,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Jura Sud Foot,9255,Grasse,9257,,,False
616982,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Olympique Lyonnais II,9256,Louhans-Cuiseaux,3073,,,False
616983,2021-02-27T17:00:00+00:00,CANC,Group C - 20,Olympique Marseille II,9260,Marignane,1296,,,False
616888,2021-03-06T17:00:00+00:00,CANC,Group C - 9,Fréjus St-Raphaël,3051,Grasse,9257,,,False
616891,2021-03-06T17:00:00+00:00,CANC,Group C - 9,Jura Sud Foot,9255,Martigues,3200,,,False
616855,2021-03-10T17:00:00+00:00,CANC,Group C - 4,Louhans-Cuiseaux,3073,Jura Sud Foot,9255,,,False
616903,2021-03-13T15:00:00+00:00,CANC,Group C - 10,Monaco II,9258,Olympique Lyonnais II,9256,,,False
616988,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Marignane,1296,Saint-Priest,3296,,,False
616896,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Andrézieux,3009,Fréjus St-Raphaël,3051,,,False
616984,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Andrézieux,3009,Jura Sud Foot,9255,,,False
616900,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Louhans-Cuiseaux,3073,Marignane,1296,,,False
616987,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Louhans-Cuiseaux,3073,Fréjus St-Raphaël,3051,,,False
616990,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Toulon,3125,Martigues,3200,,,False
616902,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Toulon,3125,Rumilly Vallières,9973,,,False
616898,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Martigues,3200,Hyères,3061,,,False
616899,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Chasselay MDA,9254,Jura Sud Foot,9255,,,False
616989,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Grasse,9257,Hyères,3061,,,False
616901,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Grasse,9257,Olympique Marseille II,9260,,,False
616991,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Monaco II,9258,Chasselay MDA,9254,,,False
616897,2021-03-13T17:00:00+00:00,CANC,Group C - 10,Aubagne,9930,Saint-Priest,3296,,,False
616985,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Aubagne,9930,Olympique Lyonnais II,9256,,,False
616986,2021-03-13T17:00:00+00:00,CANC,Group C - 21,Rumilly Vallières,9973,Olympique Marseille II,9260,,,False
616996,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Marignane,1296,Toulon,3125,,,False
616908,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Marignane,1296,Aubagne,9930,,,False
616904,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Fréjus St-Raphaël,3051,Monaco II,9258,,,False
616992,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Fréjus St-Raphaël,3051,Aubagne,9930,,,False
616994,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Hyères,3061,Andrézieux,3009,,,False
616906,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Hyères,3061,Chasselay MDA,9254,,,False
616909,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Saint-Priest,3296,Grasse,9257,,,False
616997,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Saint-Priest,3296,Rumilly Vallières,9973,,,False
616993,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Chasselay MDA,9254,Martigues,3200,,,False
616907,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Jura Sud Foot,9255,Toulon,3125,,,False
616995,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Jura Sud Foot,9255,Monaco II,9258,,,False
616910,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Olympique Lyonnais II,9256,Martigues,3200,,,False
616998,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Olympique Lyonnais II,9256,Grasse,9257,,,False
616911,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Olympique Marseille II,9260,Andrézieux,3009,,,False
616999,2021-03-20T17:00:00+00:00,CANC,Group C - 22,Olympique Marseille II,9260,Louhans-Cuiseaux,3073,,,False
616905,2021-03-20T17:00:00+00:00,CANC,Group C - 11,Rumilly Vallières,9973,Louhans-Cuiseaux,3073,,,False
616912,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Andrézieux,3009,Saint-Priest,3296,,,False
617000,2021-03-27T17:00:00+00:00,CANC,Group C - 23,Andrézieux,3009,Olympique Lyonnais II,9256,,,False
617004,2021-03-27T17:00:00+00:00,CANC,Group C - 23,Louhans-Cuiseaux,3073,Saint-Priest,3296,,,False
616918,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Toulon,3125,Louhans-Cuiseaux,3073,,,False
617006,2021-03-27T17:00:00+00:00,CANC,Group C - 23,Toulon,3125,Chasselay MDA,9254,,,False
616914,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Martigues,3200,Fréjus St-Raphaël,3051,,,False
617002,2021-03-27T17:00:00+00:00,CANC,Group C - 23,Martigues,3200,Jura Sud Foot,9255,,,False
616915,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Chasselay MDA,9254,Olympique Lyonnais II,9256,,,False
616916,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Jura Sud Foot,9255,Hyères,3061,,,False
616917,2021-03-27T17:00:00+00:00,CANC,Group C - 12,Grasse,9257,Marignane,1296,,,False
