fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1318720,2025-01-03T16:00:00+00:00,FT,Banjul,16799,Steve Biko,18108,0,1,True
1318722,2025-01-03T16:00:00+00:00,FT,Real de Banjul,16804,Marimoo,16802,1,0,True
1318721,2025-01-03T16:00:00+00:00,FT,Bombada,22707,Falcons,16186,0,0,True
1318725,2025-01-04T16:00:00+00:00,FT,Brikama United,6413,BST Galaxy,22706,0,0,True
1318723,2025-01-04T16:00:00+00:00,FT,Warriors,10531,TMT,22708,0,0,True
1318724,2025-01-04T16:00:00+00:00,FT,Hart Acedemy,25420,Dutch Lions,25419,5,0,True
1318726,2025-01-05T16:00:00+00:00,FT,Greater Tomorrow,20811,Hawks,8087,0,0,True
1318727,2025-01-06T16:00:00+00:00,FT,Fortune,16801,Team Rhino,18109,1,0,True
1318730,2025-01-10T16:00:00+00:00,FT,Falcons,16186,Hart Acedemy,25420,1,0,True
1318729,2025-01-10T16:00:00+00:00,FT,Marimoo,16802,Warriors,10531,0,0,True
1318728,2025-01-10T16:00:00+00:00,FT,Dutch Lions,25419,Brikama United,6413,2,1,True
1318731,2025-01-11T16:00:00+00:00,FT,Hawks,8087,Bombada,22707,2,1,True
1318732,2025-01-11T16:00:00+00:00,FT,TMT,22708,Greater Tomorrow,20811,1,0,True
1318733,2025-01-12T16:00:00+00:00,FT,Steve Biko,18108,BST Galaxy,22706,0,0,True
1318734,2025-01-12T16:00:00+00:00,FT,Team Rhino,18109,Real de Banjul,16804,0,1,True
1318735,2025-01-13T16:00:00+00:00,FT,Banjul,16799,Fortune,16801,0,2,True
1318737,2025-01-17T16:00:00+00:00,FT,Fortune,16801,BST Galaxy,22706,1,2,True
1318738,2025-01-17T16:00:00+00:00,FT,Real de Banjul,16804,Banjul,16799,1,0,True
1318736,2025-01-17T16:00:00+00:00,FT,Dutch Lions,25419,Falcons,16186,0,0,True
1318741,2025-01-18T16:00:00+00:00,FT,Brikama United,6413,Steve Biko,18108,0,0,True
1318739,2025-01-18T16:00:00+00:00,FT,Warriors,10531,Team Rhino,18109,0,1,True
1318740,2025-01-18T16:00:00+00:00,FT,Greater Tomorrow,20811,Marimoo,16802,1,1,True
1318743,2025-01-19T16:00:00+00:00,FT,Bombada,22707,TMT,22708,1,0,True
1318742,2025-01-19T16:00:00+00:00,FT,Hart Acedemy,25420,Hawks,8087,0,2,True
1318745,2025-01-24T16:00:00+00:00,FT,Steve Biko,18108,Fortune,16801,0,1,True
1318746,2025-01-24T16:00:00+00:00,FT,Team Rhino,18109,Greater Tomorrow,20811,0,2,True
1318744,2025-01-24T16:00:00+00:00,FT,BST Galaxy,22706,Real de Banjul,16804,2,1,True
1318749,2025-01-25T16:00:00+00:00,FT,Hawks,8087,Dutch Lions,25419,3,1,True
1318748,2025-01-25T16:00:00+00:00,FT,Falcons,16186,Brikama United,6413,0,0,True
1318747,2025-01-25T16:00:00+00:00,FT,Banjul,16799,Warriors,10531,0,0,True
1318750,2025-01-26T16:00:00+00:00,FT,Marimoo,16802,Bombada,22707,1,0,True
1318751,2025-01-26T16:00:00+00:00,FT,TMT,22708,Hart Acedemy,25420,0,0,True
1318753,2025-01-31T16:00:00+00:00,FT,Warriors,10531,BST Galaxy,22706,1,2,True
1318754,2025-01-31T16:00:00+00:00,FT,Real de Banjul,16804,Steve Biko,18108,4,0,True
1318752,2025-01-31T16:00:00+00:00,FT,Bombada,22707,Team Rhino,18109,1,1,True
1318755,2025-02-01T16:00:00+00:00,FT,Falcons,16186,Hawks,8087,2,0,True
1318757,2025-02-01T16:00:00+00:00,FT,Hart Acedemy,25420,Marimoo,16802,2,1,True
1318759,2025-02-02T16:00:00+00:00,FT,Fortune,16801,Brikama United,6413,0,1,True
1318758,2025-02-02T16:00:00+00:00,FT,Dutch Lions,25419,TMT,22708,1,0,True
1318756,2025-02-03T16:00:00+00:00,FT,Greater Tomorrow,20811,Banjul,16799,0,3,True
1318761,2025-02-07T16:00:00+00:00,FT,Brikama United,6413,Hawks,8087,1,1,True
1318760,2025-02-07T16:00:00+00:00,FT,Steve Biko,18108,Warriors,10531,0,0,True
1318762,2025-02-07T16:00:00+00:00,FT,BST Galaxy,22706,Greater Tomorrow,20811,0,1,True
1318765,2025-02-08T16:00:00+00:00,FT,Fortune,16801,Real de Banjul,16804,0,1,True
1318764,2025-02-08T16:00:00+00:00,FT,Marimoo,16802,Dutch Lions,25419,0,0,True
1318763,2025-02-08T16:00:00+00:00,FT,Team Rhino,18109,Hart Acedemy,25420,2,4,True
1318767,2025-02-09T16:00:00+00:00,FT,Banjul,16799,Bombada,22707,1,1,True
1318766,2025-02-09T16:00:00+00:00,FT,TMT,22708,Falcons,16186,0,2,True
1318770,2025-02-14T16:00:00+00:00,FT,Greater Tomorrow,20811,Steve Biko,18108,1,1,True
1318771,2025-02-14T16:00:00+00:00,FT,Dutch Lions,25419,Team Rhino,18109,2,1,True
1318769,2025-02-14T16:00:00+00:00,FT,Hart Acedemy,25420,Banjul,16799,0,0,True
1318772,2025-02-15T16:00:00+00:00,FT,Hawks,8087,TMT,22708,2,0,True
1318768,2025-02-15T16:00:00+00:00,FT,Falcons,16186,Marimoo,16802,0,0,True
1318773,2025-02-15T16:00:00+00:00,FT,Real de Banjul,16804,Brikama United,6413,0,1,True
1318775,2025-02-16T16:00:00+00:00,FT,Warriors,10531,Fortune,16801,2,1,True
1318774,2025-02-16T16:00:00+00:00,FT,Bombada,22707,BST Galaxy,22706,1,0,True
1318385,2025-02-19T16:00:00+00:00,FT,Marimoo,16802,Banjul,16799,0,0,True
1318778,2025-02-21T16:00:00+00:00,FT,Brikama United,6413,TMT,22708,0,0,True
1318779,2025-02-21T16:00:00+00:00,FT,Steve Biko,18108,Bombada,22707,0,0,True
1318777,2025-02-21T16:00:00+00:00,FT,BST Galaxy,22706,Hart Acedemy,25420,0,1,True
1318776,2025-02-22T16:00:00+00:00,FT,Banjul,16799,Dutch Lions,25419,1,0,True
1318780,2025-02-22T16:00:00+00:00,FT,Team Rhino,18109,Falcons,16186,0,1,True
1323920,2025-02-23T16:00:00+00:00,FT,Fortune,16801,Greater Tomorrow,20811,5,0,True
1323921,2025-02-23T16:00:00+00:00,FT,Marimoo,16802,Hawks,8087,0,0,True
1323919,2025-02-23T16:00:00+00:00,FT,Real de Banjul,16804,Warriors,10531,3,1,True
1325464,2025-02-28T16:30:00+00:00,FT,Hawks,8087,Team Rhino,18109,1,0,True
1325465,2025-02-28T16:30:00+00:00,FT,Warriors,10531,Brikama United,6413,0,2,True
1325466,2025-02-28T16:30:00+00:00,FT,TMT,22708,Marimoo,16802,1,0,True
1325468,2025-03-01T16:30:00+00:00,FT,Greater Tomorrow,20811,Real de Banjul,16804,1,3,True
1325467,2025-03-01T16:30:00+00:00,FT,Dutch Lions,25419,BST Galaxy,22706,0,0,True
1325469,2025-03-01T16:30:00+00:00,FT,Hart Acedemy,25420,Steve Biko,18108,1,1,True
1325470,2025-03-02T16:30:00+00:00,FT,Bombada,22707,Fortune,16801,1,2,True
1325474,2025-03-07T16:30:00+00:00,FT,Banjul,16799,Hawks,8087,1,2,True
1325473,2025-03-07T16:30:00+00:00,FT,Fortune,16801,Hart Acedemy,25420,0,1,True
1325476,2025-03-08T16:30:00+00:00,FT,Brikama United,6413,Marimoo,16802,1,0,True
1325475,2025-03-08T16:30:00+00:00,FT,Steve Biko,18108,Dutch Lions,25419,1,0,True
1325477,2025-03-09T16:30:00+00:00,FT,Warriors,10531,Greater Tomorrow,20811,1,2,True
1325478,2025-03-09T16:30:00+00:00,FT,Real de Banjul,16804,Bombada,22707,2,1,True
1325479,2025-03-09T16:30:00+00:00,FT,Team Rhino,18109,TMT,22708,1,2,True
1325480,2025-03-14T16:30:00+00:00,FT,Falcons,16186,Steve Biko,18108,0,1,True
1325482,2025-03-14T16:30:00+00:00,FT,Bombada,22707,Warriors,10531,2,1,True
1325483,2025-03-14T16:30:00+00:00,FT,Dutch Lions,25419,Fortune,16801,0,1,True
1325481,2025-03-14T16:30:00+00:00,FT,Hart Acedemy,25420,Real de Banjul,16804,2,1,True
1325486,2025-03-15T16:30:00+00:00,FT,Hawks,8087,BST Galaxy,22706,1,1,True
1325484,2025-03-15T16:30:00+00:00,FT,Marimoo,16802,Team Rhino,18109,1,1,True
1325485,2025-03-15T16:30:00+00:00,FT,Greater Tomorrow,20811,Brikama United,6413,0,0,True
1325487,2025-03-15T16:30:00+00:00,FT,TMT,22708,Banjul,16799,2,2,True
1325471,2025-03-19T16:30:00+00:00,FT,Falcons,16186,Banjul,16799,0,0,True
1364089,2025-03-21T16:30:00+00:00,FT,Hawks,8087,Hart Acedemy,25420,3,2,True
1364088,2025-03-21T16:30:00+00:00,FT,Marimoo,16802,Greater Tomorrow,20811,0,0,True
1364090,2025-03-21T16:30:00+00:00,FT,Steve Biko,18108,Brikama United,6413,0,2,True
1364091,2025-03-21T16:30:00+00:00,FT,Team Rhino,18109,Warriors,10531,0,1,True
1364092,2025-03-24T16:30:00+00:00,FT,BST Galaxy,22706,Fortune,16801,0,1,True
1364093,2025-03-24T16:30:00+00:00,FT,TMT,22708,Bombada,22707,2,2,True
1364094,2025-03-25T16:30:00+00:00,FT,Falcons,16186,Dutch Lions,25419,2,1,True
1364095,2025-03-25T16:30:00+00:00,FT,Banjul,16799,Real de Banjul,16804,0,2,True
1364098,2025-03-28T16:30:00+00:00,FT,Hawks,8087,Marimoo,16802,1,1,True
1364097,2025-03-28T16:30:00+00:00,FT,Bombada,22707,Steve Biko,18108,1,1,True
1364096,2025-03-28T16:30:00+00:00,FT,TMT,22708,Brikama United,6413,1,1,True
1364101,2025-03-29T16:30:00+00:00,FT,Warriors,10531,Real de Banjul,16804,2,0,True
1364102,2025-03-29T16:30:00+00:00,FT,Falcons,16186,Team Rhino,18109,2,1,True
1364100,2025-03-29T16:30:00+00:00,FT,Greater Tomorrow,20811,Fortune,16801,2,1,True
1364099,2025-03-29T16:30:00+00:00,FT,Dutch Lions,25419,Banjul,16799,2,2,True
1364103,2025-03-29T16:30:00+00:00,FT,Hart Acedemy,25420,BST Galaxy,22706,1,1,True
1364105,2025-04-04T16:30:00+00:00,FT,Dutch Lions,25419,Real de Banjul,16804,1,2,True
1364104,2025-04-04T16:30:00+00:00,FT,Hart Acedemy,25420,Warriors,10531,1,0,True
1364108,2025-04-05T16:00:00+00:00,FT,Falcons,16186,Fortune,16801,1,2,True
1364106,2025-04-05T16:00:00+00:00,FT,Steve Biko,18108,Hawks,8087,0,0,True
1364107,2025-04-05T16:00:00+00:00,FT,Bombada,22707,Greater Tomorrow,20811,0,0,True
1364109,2025-04-06T16:00:00+00:00,FT,Team Rhino,18109,Brikama United,6413,1,0,True
1364110,2025-04-06T16:00:00+00:00,FT,BST Galaxy,22706,TMT,22708,0,1,True
1364111,2025-04-07T16:00:00+00:00,FT,Banjul,16799,Marimoo,16802,3,0,True
1364114,2025-04-10T16:00:00+00:00,FT,Warriors,10531,Bombada,22707,0,1,True
1364113,2025-04-10T16:00:00+00:00,FT,Real de Banjul,16804,Hart Acedemy,25420,2,0,True
1364112,2025-04-10T16:00:00+00:00,FT,Team Rhino,18109,Marimoo,16802,1,1,True
1364115,2025-04-11T16:00:00+00:00,FT,Brikama United,6413,Greater Tomorrow,20811,1,1,True
1364117,2025-04-11T16:00:00+00:00,FT,Steve Biko,18108,Falcons,16186,0,1,True
1364116,2025-04-11T16:00:00+00:00,FT,BST Galaxy,22706,Hawks,8087,3,1,True
1364119,2025-04-12T16:30:00+00:00,FT,Banjul,16799,TMT,22708,0,0,True
1364118,2025-04-12T16:30:00+00:00,FT,Fortune,16801,Dutch Lions,25419,0,1,True
1364120,2025-04-24T16:00:00+00:00,FT,Marimoo,16802,Brikama United,6413,2,2,True
1364121,2025-04-24T16:00:00+00:00,FT,Bombada,22707,Real de Banjul,16804,0,1,True
1364123,2025-04-24T16:00:00+00:00,FT,Dutch Lions,25419,Steve Biko,18108,0,0,True
1364122,2025-04-24T16:00:00+00:00,FT,Hart Acedemy,25420,Fortune,16801,1,2,True
1364124,2025-04-25T16:00:00+00:00,FT,Hawks,8087,Banjul,16799,2,1,True
1364127,2025-04-25T16:00:00+00:00,FT,Falcons,16186,BST Galaxy,22706,1,4,True
1364125,2025-04-25T16:00:00+00:00,FT,Greater Tomorrow,20811,Warriors,10531,1,0,True
