fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1492064,2025-12-16T16:00:00+00:00,FT,Regular Season - 1,Samger,18107,Hawks,8087,0,1,True
1492065,2025-12-16T16:00:00+00:00,FT,Regular Season - 1,Steve Biko,18108,Fortune,16801,1,2,True
1492063,2025-12-16T16:00:00+00:00,FT,Regular Season - 1,Bombada,22707,BST Galaxy,22706,1,1,True
1492066,2025-12-17T16:00:00+00:00,FT,Regular Season - 1,Greater Tomorrow,20811,Real de Banjul,16804,0,3,True
1492068,2025-12-17T16:00:00+00:00,FT,Regular Season - 1,TMT,22708,Team Rhino,18109,1,1,True
1492067,2025-12-17T16:00:00+00:00,FT,Regular Season - 1,Hart Acedemy,25420,Falcons,27265,2,0,True
1492069,2025-12-18T16:00:00+00:00,FT,Regular Season - 1,Brikama United,6413,Dutch Lions,25419,5,4,True
1492070,2025-12-18T16:00:00+00:00,FT,Regular Season - 1,Medina United,27264,GPA,8102,0,2,True
1492816,2025-12-22T16:00:00+00:00,FT,Regular Season - 2,GPA,8102,Samger,18107,1,0,True
1492813,2025-12-22T16:00:00+00:00,FT,Regular Season - 2,Fortune,16801,Greater Tomorrow,20811,2,1,True
1492814,2025-12-22T16:00:00+00:00,FT,Regular Season - 2,Team Rhino,18109,Steve Biko,18108,0,0,True
1492812,2025-12-22T16:00:00+00:00,FT,Regular Season - 2,Falcons,27265,Bombada,22707,1,1,True
1492817,2025-12-23T16:00:00+00:00,FT,Regular Season - 2,Hawks,8087,Brikama United,6413,1,1,True
1492818,2025-12-23T16:00:00+00:00,FT,Regular Season - 2,Real de Banjul,16804,Hart Acedemy,25420,1,1,True
1492819,2025-12-23T16:00:00+00:00,FT,Regular Season - 2,TMT,22708,Medina United,27264,0,2,True
1492815,2025-12-23T16:00:00+00:00,FT,Regular Season - 2,Dutch Lions,25419,BST Galaxy,22706,2,0,True
1494106,2025-12-27T16:00:00+00:00,FT,Regular Season - 3,Greater Tomorrow,20811,Steve Biko,18108,0,0,True
1494105,2025-12-27T16:00:00+00:00,FT,Regular Season - 3,BST Galaxy,22706,Hawks,8087,2,0,True
1494107,2025-12-28T16:00:00+00:00,FT,Regular Season - 3,Brikama United,6413,GPA,8102,0,1,True
1494110,2025-12-28T16:00:00+00:00,FT,Regular Season - 3,Samger,18107,TMT,22708,0,1,True
1494108,2025-12-28T16:00:00+00:00,FT,Regular Season - 3,Dutch Lions,25419,Falcons,27265,2,0,True
1494109,2025-12-28T16:00:00+00:00,FT,Regular Season - 3,Hart Acedemy,25420,Fortune,16801,0,0,True
1494111,2025-12-29T16:00:00+00:00,FT,Regular Season - 3,Bombada,22707,Real de Banjul,16804,2,0,True
1494112,2025-12-29T16:00:00+00:00,FT,Regular Season - 3,Medina United,27264,Team Rhino,18109,2,1,True
1497952,2026-01-03T16:00:00+00:00,FT,Regular Season - 4,Hawks,8087,Falcons,27265,0,0,True
1497951,2026-01-03T16:00:00+00:00,FT,Regular Season - 4,GPA,8102,BST Galaxy,22706,0,0,True
1497953,2026-01-03T16:00:00+00:00,FT,Regular Season - 4,Steve Biko,18108,Hart Acedemy,25420,1,1,True
1497954,2026-01-03T16:00:00+00:00,FT,Regular Season - 4,TMT,22708,Brikama United,6413,0,1,True
1497955,2026-01-04T16:00:00+00:00,FT,Regular Season - 4,Team Rhino,18109,Greater Tomorrow,20811,4,1,True
1497956,2026-01-05T16:00:00+00:00,FT,Regular Season - 4,Fortune,16801,Bombada,22707,2,3,True
1497958,2026-01-05T16:00:00+00:00,FT,Regular Season - 4,Real de Banjul,16804,Dutch Lions,25419,0,2,True
1497957,2026-01-05T16:00:00+00:00,FT,Regular Season - 4,Medina United,27264,Samger,18107,0,0,True
1502855,2026-01-09T16:00:00+00:00,FT,Regular Season - 5,Brikama United,6413,Medina United,27264,1,0,True
1502858,2026-01-09T16:00:00+00:00,FT,Regular Season - 5,Hawks,8087,Real de Banjul,16804,1,0,True
1502859,2026-01-09T16:00:00+00:00,FT,Regular Season - 5,Samger,18107,Team Rhino,18109,0,1,True
1502856,2026-01-09T16:00:00+00:00,FT,Regular Season - 5,Dutch Lions,25419,Fortune,16801,1,1,True
1502857,2026-01-09T16:00:00+00:00,FT,Regular Season - 5,Hart Acedemy,25420,Greater Tomorrow,20811,0,0,True
1502861,2026-01-10T16:00:00+00:00,FT,Regular Season - 5,BST Galaxy,22706,TMT,22708,0,1,True
1502860,2026-01-10T16:00:00+00:00,FT,Regular Season - 5,Bombada,22707,Steve Biko,18108,1,1,True
1502862,2026-01-10T16:00:00+00:00,FT,Regular Season - 5,Falcons,27265,GPA,8102,0,2,True
1506187,2026-01-13T16:00:00+00:00,FT,Regular Season - 6,Fortune,16801,Hawks,8087,1,0,True
1506190,2026-01-13T16:00:00+00:00,FT,Regular Season - 6,TMT,22708,Falcons,27265,0,0,True
1506188,2026-01-13T16:00:00+00:00,FT,Regular Season - 6,Medina United,27264,BST Galaxy,22706,0,1,True
1506191,2026-01-14T16:00:00+00:00,FT,Regular Season - 6,GPA,8102,Real de Banjul,16804,0,0,True
1506193,2026-01-14T16:00:00+00:00,FT,Regular Season - 6,Samger,18107,Brikama United,6413,3,1,True
1506192,2026-01-14T16:00:00+00:00,FT,Regular Season - 6,Greater Tomorrow,20811,Bombada,22707,1,0,True
1506194,2026-01-15T16:00:00+00:00,FT,Regular Season - 6,Dutch Lions,25419,Steve Biko,18108,0,0,True
1506189,2026-01-16T16:00:00+00:00,FT,Regular Season - 6,Team Rhino,18109,Hart Acedemy,25420,1,2,True
1508949,2026-01-19T16:00:00+00:00,FT,Regular Season - 7,GPA,8102,Fortune,16801,1,1,True
1508947,2026-01-19T16:00:00+00:00,FT,Regular Season - 7,BST Galaxy,22706,Samger,18107,1,1,True
1508950,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Brikama United,6413,Team Rhino,18109,0,1,True
1508953,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Hawks,8087,Steve Biko,18108,1,0,True
1508954,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Real de Banjul,16804,TMT,22708,1,1,True
1508951,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Dutch Lions,25419,Greater Tomorrow,20811,0,0,True
1508952,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Hart Acedemy,25420,Bombada,22707,0,1,True
1508948,2026-01-20T16:00:00+00:00,FT,Regular Season - 7,Falcons,27265,Medina United,27264,2,1,True
1511441,2026-01-23T16:00:00+00:00,FT,Regular Season - 8,Brikama United,6413,BST Galaxy,22706,1,1,True
1511443,2026-01-23T16:00:00+00:00,FT,Regular Season - 8,Samger,18107,Falcons,27265,0,0,True
1511442,2026-01-23T16:00:00+00:00,FT,Regular Season - 8,Hart Acedemy,25420,Dutch Lions,25419,0,0,True
1511447,2026-01-24T16:00:00+00:00,FT,Regular Season - 8,Team Rhino,18109,Bombada,22707,1,1,True
1511445,2026-01-24T16:00:00+00:00,FT,Regular Season - 8,Greater Tomorrow,20811,Hawks,8087,0,1,True
1511448,2026-01-24T16:00:00+00:00,FT,Regular Season - 8,TMT,22708,Fortune,16801,0,1,True
1511446,2026-01-24T16:00:00+00:00,FT,Regular Season - 8,Medina United,27264,Real de Banjul,16804,0,2,True
1511444,2026-01-26T16:00:00+00:00,FT,Regular Season - 8,Steve Biko,18108,GPA,8102,1,2,True
1514500,2026-01-30T16:00:00+00:00,FT,Regular Season - 9,Hawks,8087,Hart Acedemy,25420,2,1,True
1514501,2026-01-30T16:00:00+00:00,FT,Regular Season - 9,TMT,22708,Steve Biko,18108,1,1,True
1514498,2026-01-30T16:00:00+00:00,FT,Regular Season - 9,Dutch Lions,25419,Bombada,22707,1,1,True
1514499,2026-01-30T16:00:00+00:00,FT,Regular Season - 9,Falcons,27265,Brikama United,6413,1,0,True
1514504,2026-01-31T16:00:00+00:00,FT,Regular Season - 9,GPA,8102,Greater Tomorrow,20811,0,0,True
1514503,2026-01-31T16:00:00+00:00,FT,Regular Season - 9,Fortune,16801,Medina United,27264,0,2,True
1514505,2026-01-31T16:00:00+00:00,FT,Regular Season - 9,Real de Banjul,16804,Samger,18107,1,1,True
1514502,2026-01-31T16:00:00+00:00,FT,Regular Season - 9,BST Galaxy,22706,Team Rhino,18109,1,0,True
