fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1026959,2023-05-12T00:00:00+00:00,FT,1st Round,Gardabani,13851,Zestafoni,10700,3,1,True
1026960,2023-05-12T00:00:00+00:00,FT,1st Round,35-e Skola,21313,Iveria,21315,3,0,True
1026961,2023-05-13T09:30:00+00:00,FT,1st Round,Bakhmaro,13868,Lokomotivi Tbilisi II,18975,1,0,True
1026962,2023-05-13T10:00:00+00:00,FT,1st Round,Tbilisi City,14865,Sulori,13858,5,2,True
1026963,2023-05-13T11:30:00+00:00,FT,1st Round,Chikhura Sachkhere,704,Saburtalo II,14863,3,5,True
1026974,2023-05-13T11:30:00+00:00,FT,1st Round,Skuri,13857,Merani Tbilisi II,14862,6,2,True
1026965,2023-05-13T11:30:00+00:00,FT,1st Round,Samegrelo,13863,Betlemi,13860,0,7,True
1026964,2023-05-13T11:30:00+00:00,FT,1st Round,Dinamo Zugdidi,14858,Guria,3506,0,1,True
1026969,2023-05-13T11:30:00+00:00,FT,1st Round,Varketili,14866,Gori,14861,0,2,True
1026972,2023-05-13T11:30:00+00:00,FT,1st Round,WIT Georgia II,14867,Samgurali II,16514,1,0,True
1026968,2023-05-13T11:30:00+00:00,FT,1st Round,Margveti 2006,16511,Matchakhela,13861,1,2,True
1026967,2023-05-13T11:30:00+00:00,FT,1st Round,Merani Martvili II,16513,Odishi 1919,13856,2,0,True
1026966,2023-05-13T11:30:00+00:00,FT,1st Round,Shturmi,16516,Meshakhte,13847,1,2,True
1026970,2023-05-13T11:30:00+00:00,FT,1st Round,Shukura II,16517,Rustavi,3501,1,0,True
1026973,2023-05-13T11:30:00+00:00,FT,1st Round,Basa,21314,Chiatura,13849,4,0,True
1026971,2023-05-13T11:30:00+00:00,FT,1st Round,Kolkheti Poti II,21316,Irao,16507,0,1,True
1026975,2023-05-14T11:30:00+00:00,FT,1st Round,Algeti,13859,Aragvi Dusheti,10015,0,2,True
1026976,2023-05-14T11:30:00+00:00,FT,1st Round,Varketili II,18978,Borjomi,13848,1,2,True
1028148,2023-05-27T09:30:00+00:00,FT,2nd Round,Gardabani,13851,Meshakhte,13847,0,2,True
1028147,2023-05-27T11:30:00+00:00,FT,2nd Round,Betlemi,13860,Aragvi Dusheti,10015,4,1,True
1027913,2023-05-27T11:30:00+00:00,AET,2nd Round,Matchakhela,13861,Saburtalo II,14863,3,2,False
1028154,2023-05-27T11:30:00+00:00,FT,2nd Round,Gori,14861,Kolkheti Khobi,13853,2,4,True
1028153,2023-05-27T11:30:00+00:00,FT,2nd Round,Irao,16507,Borjomi,13848,5,1,True
1028149,2023-05-27T11:30:00+00:00,FT,2nd Round,Merani Martvili II,16513,Kolkheti Poti,3507,2,3,True
1027914,2023-05-27T11:30:00+00:00,AET,2nd Round,Shukura II,16517,Tbilisi City,14865,2,1,False
1028151,2023-05-27T11:30:00+00:00,FT,2nd Round,Tskhumi,16520,Gonio,18973,2,6,True
1028146,2023-05-27T11:30:00+00:00,FT,2nd Round,35-e Skola,21313,Bakhmaro,13868,1,2,True
1028152,2023-05-27T11:30:00+00:00,AET,2nd Round,Basa,21314,Guria,3506,2,4,False
1028155,2023-05-27T14:00:00+00:00,PEN,2nd Round,Dinamo Tbilisi II,13865,WIT Georgia,3504,0,0,False
1028150,2023-05-28T11:30:00+00:00,AET,2nd Round,WIT Georgia II,14867,Skuri,13857,3,1,False
1031265,2023-07-22T12:30:00+00:00,AET,Round of 32,WIT Georgia,3504,Telavi,3511,2,2,False
1031272,2023-07-22T12:30:00+00:00,FT,Round of 32,Samgurali,10017,Gagra,3505,3,0,True
1031270,2023-07-22T12:30:00+00:00,FT,Round of 32,Matchakhela,13861,Kolkheti Poti,3507,1,7,True
1031269,2023-07-22T12:30:00+00:00,FT,Round of 32,Bakhmaro,13868,Spaeri,14864,0,3,True
1031262,2023-07-22T12:30:00+00:00,FT,Round of 32,Irao,16507,Merani Martvili,10016,4,0,True
1031266,2023-07-22T14:30:00+00:00,AET,Round of 32,Lokomotivi Tbilisi,3500,Shukura,3510,3,0,False
1031264,2023-07-23T12:30:00+00:00,FT,Round of 32,Sioni,3503,Samtredia,581,4,1,True
1031267,2023-07-23T12:30:00+00:00,FT,Round of 32,Guria,3506,Saburtalo,3502,0,4,True
1031268,2023-07-23T12:30:00+00:00,FT,Round of 32,Betlemi,13860,Gonio,18973,1,0,True
1031263,2023-07-23T12:30:00+00:00,FT,Round of 32,Gareji,14860,Merani Tbilisi,3508,4,1,True
1031273,2023-07-23T12:30:00+00:00,FT,Round of 32,WIT Georgia II,14867,Kolkheti Khobi,13853,0,4,True
1031271,2023-07-23T12:30:00+00:00,FT,Round of 32,Shukura II,16517,Meshakhte,13847,1,2,True
1094639,2023-07-29T12:30:00+00:00,FT,Round of 16,Kolkheti Khobi,13853,Samgurali,10017,1,3,True
1094638,2023-07-29T12:30:00+00:00,FT,Round of 16,Betlemi,13860,Kolkheti Poti,3507,1,2,True
1094640,2023-07-29T12:30:00+00:00,AET,Round of 16,Irao,16507,Meshakhte,13847,1,1,False
