fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1224111,2025-01-10T19:45:00+00:00,FT,Borussia Dortmund,165,Bayer Leverkusen,168,2,3,True
1224114,2025-01-11T14:30:00+00:00,FT,SC Freiburg,160,Holstein Kiel,191,3,2,True
1224116,2025-01-11T14:30:00+00:00,FT,FSV Mainz 05,164,VfL Bochum,176,2,0,True
1224112,2025-01-11T14:30:00+00:00,FT,1899 Hoffenheim,167,VfL Wolfsburg,161,0,1,True
1224113,2025-01-11T14:30:00+00:00,FT,1. FC Heidenheim,180,Union Berlin,182,2,0,True
1224118,2025-01-11T14:30:00+00:00,FT,FC St. Pauli,186,Eintracht Frankfurt,169,0,1,True
1224117,2025-01-11T17:30:00+00:00,FT,Borussia Mönchengladbach,163,Bayern München,157,0,1,True
1224110,2025-01-12T14:30:00+00:00,FT,RB Leipzig,173,Werder Bremen,162,4,2,True
1224115,2025-01-12T16:30:00+00:00,FT,FC Augsburg,170,VfB Stuttgart,172,0,1,True
1224127,2025-01-14T17:30:00+00:00,FT,Holstein Kiel,191,Borussia Dortmund,165,4,2,True
1224124,2025-01-14T19:30:00+00:00,FT,VfL Wolfsburg,161,Borussia Mönchengladbach,163,5,1,True
1224119,2025-01-14T19:30:00+00:00,FT,Bayer Leverkusen,168,FSV Mainz 05,164,1,0,True
1224122,2025-01-14T19:30:00+00:00,FT,Eintracht Frankfurt,169,SC Freiburg,160,4,1,True
1224126,2025-01-15T17:30:00+00:00,FT,VfL Bochum,176,FC St. Pauli,186,1,0,True
1224121,2025-01-15T19:30:00+00:00,FT,Bayern München,157,1899 Hoffenheim,167,5,0,True
1224123,2025-01-15T19:30:00+00:00,FT,Werder Bremen,162,1. FC Heidenheim,180,3,3,True
1224120,2025-01-15T19:30:00+00:00,FT,VfB Stuttgart,172,RB Leipzig,173,2,1,True
1224125,2025-01-15T19:30:00+00:00,FT,Union Berlin,182,FC Augsburg,170,0,2,True
1224131,2025-01-17T19:30:00+00:00,FT,Eintracht Frankfurt,169,Borussia Dortmund,165,2,0,True
1224130,2025-01-18T14:30:00+00:00,FT,Bayern München,157,VfL Wolfsburg,161,3,2,True
1224129,2025-01-18T14:30:00+00:00,FT,VfB Stuttgart,172,SC Freiburg,160,4,0,True
1224135,2025-01-18T14:30:00+00:00,FT,VfL Bochum,176,RB Leipzig,173,3,3,True
1224132,2025-01-18T14:30:00+00:00,FT,1. FC Heidenheim,180,FC St. Pauli,186,0,2,True
1224136,2025-01-18T14:30:00+00:00,FT,Holstein Kiel,191,1899 Hoffenheim,167,1,3,True
1224128,2025-01-18T17:30:00+00:00,FT,Bayer Leverkusen,168,Borussia Mönchengladbach,163,3,1,True
1224134,2025-01-19T14:30:00+00:00,FT,Union Berlin,182,FSV Mainz 05,164,2,1,True
1224133,2025-01-19T16:30:00+00:00,FT,Werder Bremen,162,FC Augsburg,170,0,2,True
1224142,2025-01-24T19:30:00+00:00,FT,VfL Wolfsburg,161,Holstein Kiel,191,2,2,True
1224140,2025-01-25T14:30:00+00:00,FT,SC Freiburg,160,Bayern München,157,1,2,True
1224143,2025-01-25T14:30:00+00:00,FT,FSV Mainz 05,164,VfB Stuttgart,172,2,0,True
1224138,2025-01-25T14:30:00+00:00,FT,Borussia Dortmund,165,Werder Bremen,162,2,2,True
1224141,2025-01-25T14:30:00+00:00,FT,FC Augsburg,170,1. FC Heidenheim,180,2,1,True
1224137,2025-01-25T14:30:00+00:00,FT,RB Leipzig,173,Bayer Leverkusen,168,2,2,True
1224144,2025-01-25T17:30:00+00:00,FT,Borussia Mönchengladbach,163,VfL Bochum,176,3,0,True
1224139,2025-01-26T14:30:00+00:00,FT,1899 Hoffenheim,167,Eintracht Frankfurt,169,2,2,True
1224145,2025-01-26T16:30:00+00:00,FT,FC St. Pauli,186,Union Berlin,182,3,0,True
1224151,2025-01-31T19:30:00+00:00,FT,Werder Bremen,162,FSV Mainz 05,164,1,0,True
1224148,2025-02-01T14:30:00+00:00,FT,Bayern München,157,Holstein Kiel,191,4,3,True
1224147,2025-02-01T14:30:00+00:00,FT,VfB Stuttgart,172,Borussia Mönchengladbach,163,1,2,True
1224153,2025-02-01T14:30:00+00:00,FT,VfL Bochum,176,SC Freiburg,160,0,1,True
1224150,2025-02-01T14:30:00+00:00,FT,1. FC Heidenheim,180,Borussia Dortmund,165,1,2,True
1224154,2025-02-01T14:30:00+00:00,FT,FC St. Pauli,186,FC Augsburg,170,1,1,True
1224152,2025-02-01T17:30:00+00:00,FT,Union Berlin,182,RB Leipzig,173,0,0,True
1224149,2025-02-02T14:30:00+00:00,FT,Eintracht Frankfurt,169,VfL Wolfsburg,161,1,1,True
1224146,2025-02-02T16:30:00+00:00,FT,Bayer Leverkusen,168,1899 Hoffenheim,167,3,1,True
1224155,2025-02-07T19:30:00+00:00,FT,Bayern München,157,Werder Bremen,162,3,0,True
1224159,2025-02-08T14:30:00+00:00,FT,SC Freiburg,160,1. FC Heidenheim,180,1,0,True
1224160,2025-02-08T14:30:00+00:00,FT,VfL Wolfsburg,161,Bayer Leverkusen,168,0,0,True
1224161,2025-02-08T14:30:00+00:00,FT,FSV Mainz 05,164,FC Augsburg,170,0,0,True
1224157,2025-02-08T14:30:00+00:00,FT,Borussia Dortmund,165,VfB Stuttgart,172,1,2,True
1224158,2025-02-08T14:30:00+00:00,FT,1899 Hoffenheim,167,Union Berlin,182,0,4,True
1224162,2025-02-08T17:30:00+00:00,FT,Borussia Mönchengladbach,163,Eintracht Frankfurt,169,1,1,True
1224163,2025-02-09T14:30:00+00:00,FT,Holstein Kiel,191,VfL Bochum,176,2,2,True
1224156,2025-02-09T16:30:00+00:00,FT,RB Leipzig,173,FC St. Pauli,186,2,0,True
1224169,2025-02-14T19:30:00+00:00,FT,FC Augsburg,170,RB Leipzig,173,0,0,True
1224165,2025-02-15T14:30:00+00:00,FT,VfB Stuttgart,172,VfL Wolfsburg,161,1,2,True
1224171,2025-02-15T14:30:00+00:00,FT,VfL Bochum,176,Borussia Dortmund,165,2,0,True
1224170,2025-02-15T14:30:00+00:00,FT,Union Berlin,182,Borussia Mönchengladbach,163,1,2,True
1224172,2025-02-15T14:30:00+00:00,FT,FC St. Pauli,186,SC Freiburg,160,0,1,True
1224164,2025-02-15T17:30:00+00:00,FT,Bayer Leverkusen,168,Bayern München,157,0,0,True
1224168,2025-02-16T14:30:00+00:00,FT,Werder Bremen,162,1899 Hoffenheim,167,1,3,True
1224166,2025-02-16T16:30:00+00:00,FT,Eintracht Frankfurt,169,Holstein Kiel,191,3,1,True
1224167,2025-02-16T18:30:00+00:00,FT,1. FC Heidenheim,180,FSV Mainz 05,164,0,2,True
1224177,2025-02-21T19:30:00+00:00,FT,SC Freiburg,160,Werder Bremen,162,5,0,True
1224178,2025-02-22T14:30:00+00:00,FT,VfL Wolfsburg,161,VfL Bochum,176,1,1,True
1224180,2025-02-22T14:30:00+00:00,FT,Borussia Mönchengladbach,163,FC Augsburg,170,0,3,True
1224179,2025-02-22T14:30:00+00:00,FT,FSV Mainz 05,164,FC St. Pauli,186,2,0,True
1224181,2025-02-22T14:30:00+00:00,FT,Holstein Kiel,191,Bayer Leverkusen,168,0,2,True
1224175,2025-02-22T17:30:00+00:00,FT,Borussia Dortmund,165,Union Berlin,182,6,0,True
1224174,2025-02-23T14:30:00+00:00,FT,RB Leipzig,173,1. FC Heidenheim,180,2,2,True
1224173,2025-02-23T16:30:00+00:00,FT,Bayern München,157,Eintracht Frankfurt,169,4,0,True
1224176,2025-02-23T18:30:00+00:00,FT,1899 Hoffenheim,167,VfB Stuttgart,172,1,1,True
1224182,2025-02-28T19:30:00+00:00,FT,VfB Stuttgart,172,Bayern München,157,1,3,True
1224186,2025-03-01T14:30:00+00:00,FT,Werder Bremen,162,VfL Wolfsburg,161,1,2,True
1224183,2025-03-01T14:30:00+00:00,FT,RB Leipzig,173,FSV Mainz 05,164,1,2,True
1224189,2025-03-01T14:30:00+00:00,FT,VfL Bochum,176,1899 Hoffenheim,167,0,1,True
1224185,2025-03-01T14:30:00+00:00,FT,1. FC Heidenheim,180,Borussia Mönchengladbach,163,0,3,True
1224190,2025-03-01T14:30:00+00:00,FT,FC St. Pauli,186,Borussia Dortmund,165,0,2,True
1224184,2025-03-01T17:30:00+00:00,FT,Eintracht Frankfurt,169,Bayer Leverkusen,168,1,4,True
1224188,2025-03-02T14:30:00+00:00,FT,Union Berlin,182,Holstein Kiel,191,0,1,True
1224187,2025-03-02T16:30:00+00:00,FT,FC Augsburg,170,SC Freiburg,160,0,0,True
1224198,2025-03-07T19:30:00+00:00,FT,Borussia Mönchengladbach,163,FSV Mainz 05,164,1,3,True
1224192,2025-03-08T14:30:00+00:00,FT,Bayern München,157,VfL Bochum,176,2,3,True
1224197,2025-03-08T14:30:00+00:00,FT,VfL Wolfsburg,161,FC St. Pauli,186,1,1,True
1224193,2025-03-08T14:30:00+00:00,FT,Borussia Dortmund,165,FC Augsburg,170,0,1,True
1224191,2025-03-08T14:30:00+00:00,FT,Bayer Leverkusen,168,Werder Bremen,162,0,2,True
1224199,2025-03-08T14:30:00+00:00,FT,Holstein Kiel,191,VfB Stuttgart,172,2,2,True
1224196,2025-03-08T17:30:00+00:00,FT,SC Freiburg,160,RB Leipzig,173,0,0,True
1224194,2025-03-09T14:30:00+00:00,FT,Eintracht Frankfurt,169,Union Berlin,182,1,2,True
1224195,2025-03-09T16:30:00+00:00,FT,1899 Hoffenheim,167,1. FC Heidenheim,180,1,1,True
1224208,2025-03-14T19:30:00+00:00,FT,FC St. Pauli,186,1899 Hoffenheim,167,1,0,True
1224203,2025-03-15T14:30:00+00:00,FT,Werder Bremen,162,Borussia Mönchengladbach,163,2,4,True
1224205,2025-03-15T14:30:00+00:00,FT,FSV Mainz 05,164,SC Freiburg,160,2,2,True
1224204,2025-03-15T14:30:00+00:00,FT,FC Augsburg,170,VfL Wolfsburg,161,1,0,True
1224206,2025-03-15T14:30:00+00:00,FT,Union Berlin,182,Bayern München,157,1,1,True
1224201,2025-03-15T17:30:00+00:00,FT,RB Leipzig,173,Borussia Dortmund,165,2,0,True
1224207,2025-03-16T15:20:00+00:00,FT,VfL Bochum,176,Eintracht Frankfurt,169,1,3,True
1224202,2025-03-16T16:30:00+00:00,FT,1. FC Heidenheim,180,Holstein Kiel,191,3,1,True
1224200,2025-03-16T18:30:00+00:00,FT,VfB Stuttgart,172,Bayer Leverkusen,168,3,4,True
1224209,2025-03-28T19:30:00+00:00,FT,Bayer Leverkusen,168,VfL Bochum,176,3,1,True
1224210,2025-03-29T14:30:00+00:00,FT,Bayern München,157,FC St. Pauli,186,3,2,True
1224215,2025-03-29T14:30:00+00:00,FT,VfL Wolfsburg,161,1. FC Heidenheim,180,0,1,True
1224216,2025-03-29T14:30:00+00:00,FT,Borussia Mönchengladbach,163,RB Leipzig,173,1,0,True
1224213,2025-03-29T14:30:00+00:00,FT,1899 Hoffenheim,167,FC Augsburg,170,1,1,True
1224217,2025-03-29T14:30:00+00:00,FT,Holstein Kiel,191,Werder Bremen,162,0,3,True
1224212,2025-03-29T17:30:00+00:00,FT,Eintracht Frankfurt,169,VfB Stuttgart,172,1,0,True
1224214,2025-03-30T13:30:00+00:00,FT,SC Freiburg,160,Union Berlin,182,1,2,True
1224211,2025-03-30T15:30:00+00:00,FT,Borussia Dortmund,165,FSV Mainz 05,164,3,1,True
1224222,2025-04-04T18:30:00+00:00,FT,FC Augsburg,170,Bayern München,157,1,3,True
1224221,2025-04-05T13:30:00+00:00,FT,SC Freiburg,160,Borussia Dortmund,165,1,4,True
1224223,2025-04-05T13:30:00+00:00,FT,FSV Mainz 05,164,Holstein Kiel,191,1,1,True
1224218,2025-04-05T13:30:00+00:00,FT,RB Leipzig,173,1899 Hoffenheim,167,3,1,True
1224225,2025-04-05T13:30:00+00:00,FT,VfL Bochum,176,VfB Stuttgart,172,0,4,True
1224219,2025-04-05T13:30:00+00:00,FT,1. FC Heidenheim,180,Bayer Leverkusen,168,0,1,True
1224220,2025-04-05T16:30:00+00:00,FT,Werder Bremen,162,Eintracht Frankfurt,169,2,0,True
1224226,2025-04-06T13:30:00+00:00,FT,FC St. Pauli,186,Borussia Mönchengladbach,163,1,1,True
1224224,2025-04-06T15:30:00+00:00,FT,Union Berlin,182,VfL Wolfsburg,161,1,0,True
1224232,2025-04-11T18:30:00+00:00,FT,VfL Wolfsburg,161,RB Leipzig,173,2,3,True
1224233,2025-04-12T13:30:00+00:00,FT,Borussia Mönchengladbach,163,SC Freiburg,160,1,2,True
1224231,2025-04-12T13:30:00+00:00,FT,1899 Hoffenheim,167,FSV Mainz 05,164,2,0,True
1224227,2025-04-12T13:30:00+00:00,FT,Bayer Leverkusen,168,Union Berlin,182,0,0,True
1224234,2025-04-12T13:30:00+00:00,FT,VfL Bochum,176,FC Augsburg,170,1,2,True
1224235,2025-04-12T13:30:00+00:00,FT,Holstein Kiel,191,FC St. Pauli,186,1,2,True
1224229,2025-04-12T16:30:00+00:00,FT,Bayern München,157,Borussia Dortmund,165,2,2,True
1224228,2025-04-13T13:30:00+00:00,FT,VfB Stuttgart,172,Werder Bremen,162,1,2,True
1224230,2025-04-13T15:30:00+00:00,FT,Eintracht Frankfurt,169,1. FC Heidenheim,180,3,0,True
1224240,2025-04-19T13:30:00+00:00,FT,SC Freiburg,160,1899 Hoffenheim,167,3,2,True
1224239,2025-04-19T13:30:00+00:00,FT,Werder Bremen,162,VfL Bochum,176,1,0,True
1224242,2025-04-19T13:30:00+00:00,FT,FSV Mainz 05,164,VfL Wolfsburg,161,2,2,True
1224236,2025-04-19T13:30:00+00:00,FT,RB Leipzig,173,Holstein Kiel,191,1,1,True
1224238,2025-04-19T13:30:00+00:00,FT,1. FC Heidenheim,180,Bayern München,157,0,4,True
1224243,2025-04-19T16:30:00+00:00,FT,Union Berlin,182,VfB Stuttgart,172,4,4,True
1224241,2025-04-20T13:30:00+00:00,FT,FC Augsburg,170,Eintracht Frankfurt,169,0,0,True
1224237,2025-04-20T15:30:00+00:00,FT,Borussia Dortmund,165,Borussia Mönchengladbach,163,3,2,True
1224244,2025-04-20T17:30:00+00:00,FT,FC St. Pauli,186,Bayer Leverkusen,168,1,1,True
1224246,2025-04-25T18:30:00+00:00,FT,VfB Stuttgart,172,1. FC Heidenheim,180,0,1,True
1224247,2025-04-26T13:30:00+00:00,FT,Bayern München,157,FSV Mainz 05,164,3,0,True
1224251,2025-04-26T13:30:00+00:00,FT,VfL Wolfsburg,161,SC Freiburg,160,0,1,True
1224249,2025-04-26T13:30:00+00:00,FT,1899 Hoffenheim,167,Borussia Dortmund,165,2,3,True
1224245,2025-04-26T13:30:00+00:00,FT,Bayer Leverkusen,168,FC Augsburg,170,2,0,True
1224253,2025-04-26T13:30:00+00:00,FT,Holstein Kiel,191,Borussia Mönchengladbach,163,4,3,True
1224248,2025-04-26T16:30:00+00:00,FT,Eintracht Frankfurt,169,RB Leipzig,173,4,0,True
1224252,2025-04-27T13:30:00+00:00,FT,VfL Bochum,176,Union Berlin,182,1,1,True
1224250,2025-04-27T15:30:00+00:00,FT,Werder Bremen,162,FC St. Pauli,186,0,0,True
