fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1408064,2025-07-25T17:00:00+00:00,FT,North - 1,Kickers Emden,12804,SV Meppen,1318,0,1,True
1408065,2025-07-26T11:30:00+00:00,FT,North - 1,Weiche Flensburg,1649,Phönix Lübeck,12831,2,5,True
1408066,2025-07-26T13:00:00+00:00,FT,North - 1,BW Lohne,14629,HSC Hannover,9339,2,3,True
1408067,2025-07-26T13:30:00+00:00,FT,North - 1,Altona 93,9338,Eintracht Norderstedt,1631,2,1,True
1408068,2025-07-26T14:00:00+00:00,FT,North - 1,VfB Lübeck,1625,Bremer SV,1630,2,0,True
1408069,2025-07-26T16:00:00+00:00,FT,North - 1,VfB Oldenburg,9347,SSV Jeddeloh,1655,1,3,True
1408070,2025-07-27T11:00:00+00:00,FT,North - 1,Hamburger SV II,9340,Hannover 96 II,9341,0,0,True
1408071,2025-07-27T12:00:00+00:00,FT,North - 1,St. Pauli II,9346,SV Drochtersen/Assel,1623,0,5,True
1408072,2025-08-01T17:00:00+00:00,FT,North - 2,SV Meppen,1318,VfB Lübeck,1625,3,1,True
1408073,2025-08-01T17:30:00+00:00,FT,North - 2,SV Drochtersen/Assel,1623,Kickers Emden,12804,3,1,True
1408074,2025-08-02T11:00:00+00:00,FT,North - 2,Hannover 96 II,9341,Schöningen,19475,3,0,True
1408075,2025-08-02T12:00:00+00:00,FT,North - 2,Werder Bremen II,1330,Weiche Flensburg,1649,1,5,True
1408076,2025-08-02T12:00:00+00:00,FT,North - 2,Phönix Lübeck,12831,BW Lohne,14629,5,0,True
1408077,2025-08-02T14:00:00+00:00,FT,North - 2,SSV Jeddeloh,1655,Altona 93,9338,3,2,True
1408078,2025-08-03T12:00:00+00:00,FT,North - 2,Eintracht Norderstedt,1631,VfB Oldenburg,9347,1,3,True
1408079,2025-08-03T13:00:00+00:00,FT,North - 2,Bremer SV,1630,St. Pauli II,9346,1,0,True
1408080,2025-08-08T16:30:00+00:00,FT,North - 3,VfB Oldenburg,9347,VfB Lübeck,1625,4,0,True
1408082,2025-08-09T11:30:00+00:00,FT,North - 3,Weiche Flensburg,1649,HSC Hannover,9339,4,0,True
1408084,2025-08-09T12:00:00+00:00,FT,North - 3,Phönix Lübeck,12831,Eintracht Norderstedt,1631,0,2,True
1408083,2025-08-09T12:00:00+00:00,FT,North - 3,Schöningen,19475,SV Drochtersen/Assel,1623,0,2,True
1408085,2025-08-09T13:30:00+00:00,FT,North - 3,Altona 93,9338,SV Meppen,1318,4,4,True
1408081,2025-08-09T16:00:00+00:00,FT,North - 3,Kickers Emden,12804,Bremer SV,1630,3,0,True
1408086,2025-08-10T11:00:00+00:00,FT,North - 3,Hamburger SV II,9340,SSV Jeddeloh,1655,1,2,True
1408087,2025-08-10T12:00:00+00:00,FT,North - 3,St. Pauli II,9346,Werder Bremen II,1330,2,3,True
1408088,2025-08-10T12:00:00+00:00,FT,North - 3,BW Lohne,14629,Hannover 96 II,9341,2,1,True
1408089,2025-08-15T17:00:00+00:00,FT,North - 4,SV Meppen,1318,VfB Oldenburg,9347,0,1,True
1408090,2025-08-15T17:00:00+00:00,FT,North - 4,Kickers Emden,12804,Weiche Flensburg,1649,3,2,True
