fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1242656,2025-01-28T17:00:00+00:00,FT,Greifswalder FC,16118,Viktoria Berlin,4266,4,1,True
1242683,2025-01-28T18:00:00+00:00,FT,Plauen,12833,Hallescher FC,1316,1,2,True
1242692,2025-01-31T18:00:00+00:00,FT,FC Carl Zeiss Jena,1325,Greifswalder FC,16118,1,1,True
1242693,2025-01-31T18:00:00+00:00,FT,SV Babelsberg 03,1622,Hertha Zehlendorf,12786,2,1,True
1242690,2025-01-31T18:00:00+00:00,FT,Hertha BSC II,9353,Plauen,12833,3,1,True
1242688,2025-02-01T12:00:00+00:00,FT,BSG Chemie Leipzig,1651,Luckenwalde,12809,1,3,True
1242696,2025-02-01T12:00:00+00:00,FT,Viktoria Berlin,4266,Altglienicke,9349,1,1,True
1242689,2025-02-01T15:00:00+00:00,FT,Hallescher FC,1316,FC Rot-Weiß Erfurt,1329,2,0,True
1242695,2025-02-02T12:00:00+00:00,FT,Eilenburg,12756,Lokomotive Leipzig,9355,0,3,True
1242694,2025-02-02T12:30:00+00:00,FT,ZFC Meuselwitz,9358,BFC Dynamo,1636,2,2,True
1242691,2025-02-02T13:00:00+00:00,FT,FSV Zwickau,1315,Chemnitzer FC,1328,2,2,True
1242666,2025-02-05T18:00:00+00:00,FT,Viktoria Berlin,4266,Chemnitzer FC,1328,0,2,True
1242704,2025-02-07T18:00:00+00:00,FT,BFC Dynamo,1636,BSG Chemie Leipzig,1651,2,0,True
1242703,2025-02-07T18:00:00+00:00,FT,Luckenwalde,12809,Eilenburg,12756,0,2,True
1242702,2025-02-08T12:00:00+00:00,FT,Lokomotive Leipzig,9355,Viktoria Berlin,4266,1,0,True
1242697,2025-02-08T12:00:00+00:00,FT,Greifswalder FC,16118,SV Babelsberg 03,1622,2,1,True
1242698,2025-02-08T15:00:00+00:00,FT,Chemnitzer FC,1328,FC Carl Zeiss Jena,1325,1,2,True
1242701,2025-02-09T12:00:00+00:00,FT,Altglienicke,9349,Hallescher FC,1316,1,2,True
1242705,2025-02-09T12:00:00+00:00,FT,Hertha Zehlendorf,12786,ZFC Meuselwitz,9358,2,2,True
1242713,2025-02-15T13:00:00+00:00,FT,Hallescher FC,1316,Lokomotive Leipzig,9355,0,1,True
1242718,2025-02-22T15:00:00+00:00,FT,Lokomotive Leipzig,9355,Hertha BSC II,9353,4,1,True
1242723,2025-02-23T13:00:00+00:00,FT,Chemnitzer FC,1328,ZFC Meuselwitz,9358,4,0,True
1242732,2025-02-28T18:00:00+00:00,FT,FC Carl Zeiss Jena,1325,Altglienicke,9349,2,2,True
1242728,2025-02-28T18:00:00+00:00,FT,BFC Dynamo,1636,Greifswalder FC,16118,1,4,True
1242731,2025-02-28T19:20:00+00:00,FT,FSV Zwickau,1315,Lokomotive Leipzig,9355,2,1,True
1242729,2025-03-01T12:00:00+00:00,FT,Hallescher FC,1316,Viktoria Berlin,4266,3,0,True
1242730,2025-03-01T12:00:00+00:00,FT,Hertha BSC II,9353,Eilenburg,12756,7,1,True
1242724,2025-03-01T12:00:00+00:00,FT,Hertha Zehlendorf,12786,Luckenwalde,12809,4,1,True
1242725,2025-03-02T12:00:00+00:00,FT,SV Babelsberg 03,1622,FC Rot-Weiß Erfurt,1329,0,2,True
1242727,2025-03-02T12:00:00+00:00,FT,BSG Chemie Leipzig,1651,Chemnitzer FC,1328,2,2,True
1242726,2025-03-02T12:30:00+00:00,FT,ZFC Meuselwitz,9358,Plauen,12833,2,2,True
1242712,2025-03-04T18:00:00+00:00,FT,Viktoria Berlin,4266,Eilenburg,12756,0,3,True
1242669,2025-03-04T18:00:00+00:00,FT,Altglienicke,9349,Luckenwalde,12809,0,0,True
1242711,2025-03-05T18:00:00+00:00,FT,BSG Chemie Leipzig,1651,Hertha Zehlendorf,12786,3,1,True
1242741,2025-03-07T18:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,ZFC Meuselwitz,9358,0,0,True
1242733,2025-03-07T18:00:00+00:00,FT,Altglienicke,9349,SV Babelsberg 03,1622,1,1,True
1242735,2025-03-07T18:00:00+00:00,FT,Eilenburg,12756,FSV Zwickau,1315,0,0,True
1242737,2025-03-08T12:00:00+00:00,FT,Luckenwalde,12809,Hallescher FC,1316,1,1,True
1242739,2025-03-08T13:00:00+00:00,FT,Chemnitzer FC,1328,BFC Dynamo,1636,2,1,True
1242740,2025-03-08T15:00:00+00:00,FT,Plauen,12833,BSG Chemie Leipzig,1651,1,2,True
1242736,2025-03-09T12:00:00+00:00,FT,Viktoria Berlin,4266,Hertha BSC II,9353,1,2,True
1242734,2025-03-09T12:00:00+00:00,FT,Lokomotive Leipzig,9355,FC Carl Zeiss Jena,1325,3,0,True
1242738,2025-03-09T12:00:00+00:00,FT,Greifswalder FC,16118,Hertha Zehlendorf,12786,0,0,True
1242709,2025-03-11T18:00:00+00:00,FT,SV Babelsberg 03,1622,Chemnitzer FC,1328,0,0,True
1242706,2025-03-11T18:00:00+00:00,FT,BFC Dynamo,1636,Luckenwalde,12809,0,0,True
1242710,2025-03-12T17:30:00+00:00,FT,ZFC Meuselwitz,9358,Greifswalder FC,16118,2,1,True
1242685,2025-03-12T18:00:00+00:00,FT,Altglienicke,9349,Eilenburg,12756,3,1,True
1242680,2025-03-12T18:00:00+00:00,FT,Hertha Zehlendorf,12786,FC Carl Zeiss Jena,1325,2,2,True
1242743,2025-03-14T18:00:00+00:00,FT,BSG Chemie Leipzig,1651,FC Rot-Weiß Erfurt,1329,0,3,True
1242746,2025-03-14T18:00:00+00:00,FT,Hertha BSC II,9353,Hallescher FC,1316,0,1,True
1242744,2025-03-15T12:00:00+00:00,FT,BFC Dynamo,1636,Plauen,12833,3,1,True
1242747,2025-03-15T13:00:00+00:00,FT,FSV Zwickau,1315,Viktoria Berlin,4266,1,0,True
1242749,2025-03-15T15:00:00+00:00,FT,SV Babelsberg 03,1622,Lokomotive Leipzig,9355,3,1,True
1242748,2025-03-16T12:00:00+00:00,FT,FC Carl Zeiss Jena,1325,Eilenburg,12756,3,0,True
1242745,2025-03-16T12:00:00+00:00,FT,Hertha Zehlendorf,12786,Chemnitzer FC,1328,1,0,True
1242742,2025-03-16T12:00:00+00:00,FT,Greifswalder FC,16118,Luckenwalde,12809,1,0,True
1242750,2025-03-16T12:30:00+00:00,FT,ZFC Meuselwitz,9358,Altglienicke,9349,1,0,True
1242699,2025-03-19T18:00:00+00:00,FT,Plauen,12833,FSV Zwickau,1315,0,2,True
1242700,2025-03-21T18:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,Hertha BSC II,9353,4,1,True
1242672,2025-03-22T12:00:00+00:00,FT,Viktoria Berlin,4266,Plauen,12833,2,0,True
1242708,2025-03-25T18:00:00+00:00,FT,FC Carl Zeiss Jena,1325,Plauen,12833,2,1,True
1242714,2025-03-25T18:00:00+00:00,FT,Hertha BSC II,9353,Altglienicke,9349,2,4,True
1242719,2025-03-25T18:00:00+00:00,FT,Eilenburg,12756,Hallescher FC,1316,2,2,True
1242722,2025-03-26T17:00:00+00:00,FT,Greifswalder FC,16118,BSG Chemie Leipzig,1651,0,0,True
1242707,2025-03-26T18:00:00+00:00,FT,FSV Zwickau,1315,FC Rot-Weiß Erfurt,1329,3,2,True
1242721,2025-03-26T18:00:00+00:00,FT,Hertha Zehlendorf,12786,BFC Dynamo,1636,3,5,True
1242752,2025-03-28T18:00:00+00:00,FT,Viktoria Berlin,4266,FC Carl Zeiss Jena,1325,4,2,True
1242751,2025-03-28T18:00:00+00:00,FT,Eilenburg,12756,SV Babelsberg 03,1622,3,2,True
1242754,2025-03-28T18:00:00+00:00,FT,Luckenwalde,12809,Hertha BSC II,9353,1,0,True
1242755,2025-03-29T12:00:00+00:00,FT,Chemnitzer FC,1328,Greifswalder FC,16118,2,2,True
1242757,2025-03-29T12:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,BFC Dynamo,1636,4,1,True
1242753,2025-03-29T15:00:00+00:00,FT,Hallescher FC,1316,FSV Zwickau,1315,2,0,True
1242758,2025-03-30T11:00:00+00:00,FT,Altglienicke,9349,BSG Chemie Leipzig,1651,2,1,True
1242759,2025-03-30T11:00:00+00:00,FT,Lokomotive Leipzig,9355,ZFC Meuselwitz,9358,3,1,True
1242756,2025-03-30T11:00:00+00:00,FT,Plauen,12833,Hertha Zehlendorf,12786,0,1,True
1242720,2025-04-01T17:00:00+00:00,FT,Luckenwalde,12809,Viktoria Berlin,4266,1,0,True
1242715,2025-04-02T17:00:00+00:00,FT,Plauen,12833,SV Babelsberg 03,1622,0,0,True
1242763,2025-04-04T17:00:00+00:00,FT,FSV Zwickau,1315,Hertha BSC II,9353,2,0,True
1242761,2025-04-04T17:00:00+00:00,FT,Hertha Zehlendorf,12786,FC Rot-Weiß Erfurt,1329,3,3,True
1242764,2025-04-04T18:20:00+00:00,FT,FC Carl Zeiss Jena,1325,Hallescher FC,1316,2,0,True
1242765,2025-04-05T11:00:00+00:00,FT,SV Babelsberg 03,1622,Viktoria Berlin,4266,3,1,True
1242768,2025-04-05T11:00:00+00:00,FT,BFC Dynamo,1636,Altglienicke,9349,3,0,True
1242766,2025-04-05T12:00:00+00:00,FT,ZFC Meuselwitz,9358,Eilenburg,12756,2,1,True
1242760,2025-04-06T11:00:00+00:00,FT,Chemnitzer FC,1328,Luckenwalde,12809,2,0,True
1242762,2025-04-06T11:00:00+00:00,FT,Greifswalder FC,16118,Plauen,12833,3,0,True
1242767,2025-04-06T12:00:00+00:00,FT,BSG Chemie Leipzig,1651,Lokomotive Leipzig,9355,0,3,True
1242716,2025-04-08T17:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,FC Carl Zeiss Jena,1325,3,1,True
1242682,2025-04-09T17:00:00+00:00,FT,Chemnitzer FC,1328,Hertha BSC II,9353,1,1,True
1242687,2025-04-09T17:00:00+00:00,FT,BSG Chemie Leipzig,1651,ZFC Meuselwitz,9358,1,1,True
1242717,2025-04-09T17:00:00+00:00,FT,Altglienicke,9349,FSV Zwickau,1315,3,1,True
1242769,2025-04-11T17:00:00+00:00,FT,Hallescher FC,1316,SV Babelsberg 03,1622,2,0,True
1242773,2025-04-12T11:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,Greifswalder FC,16118,2,0,True
1242771,2025-04-12T11:00:00+00:00,FT,Luckenwalde,12809,FSV Zwickau,1315,0,1,True
1242772,2025-04-12T12:00:00+00:00,FT,Plauen,12833,Chemnitzer FC,1328,1,1,True
1242775,2025-04-12T14:00:00+00:00,FT,Lokomotive Leipzig,9355,BFC Dynamo,1636,4,0,True
1242777,2025-04-13T11:00:00+00:00,FT,Viktoria Berlin,4266,ZFC Meuselwitz,9358,1,1,True
1242774,2025-04-13T11:00:00+00:00,FT,Altglienicke,9349,Hertha Zehlendorf,12786,2,0,True
1242770,2025-04-13T11:00:00+00:00,FT,Hertha BSC II,9353,FC Carl Zeiss Jena,1325,1,4,True
1242776,2025-04-13T11:00:00+00:00,FT,Eilenburg,12756,BSG Chemie Leipzig,1651,0,0,True
1242784,2025-04-17T17:00:00+00:00,FT,BFC Dynamo,1636,Eilenburg,12756,1,1,True
1242786,2025-04-17T17:00:00+00:00,FT,Greifswalder FC,16118,Altglienicke,9349,2,1,True
1242781,2025-04-19T11:00:00+00:00,FT,SV Babelsberg 03,1622,Hertha BSC II,9353,1,2,True
1242782,2025-04-19T11:00:00+00:00,FT,ZFC Meuselwitz,9358,Hallescher FC,1316,1,2,True
1242778,2025-04-19T11:00:00+00:00,FT,Plauen,12833,Luckenwalde,12809,0,2,True
1242780,2025-04-19T12:00:00+00:00,FT,FC Carl Zeiss Jena,1325,FSV Zwickau,1315,1,2,True
1242779,2025-04-20T11:00:00+00:00,FT,Chemnitzer FC,1328,FC Rot-Weiß Erfurt,1329,2,0,True
1242785,2025-04-20T11:00:00+00:00,FT,Hertha Zehlendorf,12786,Lokomotive Leipzig,9355,2,1,True
1242783,2025-04-21T12:00:00+00:00,FT,BSG Chemie Leipzig,1651,Viktoria Berlin,4266,4,0,True
1242794,2025-04-25T17:00:00+00:00,FT,Hallescher FC,1316,BSG Chemie Leipzig,1651,3,1,True
1242791,2025-04-25T17:00:00+00:00,FT,Lokomotive Leipzig,9355,Greifswalder FC,16118,0,0,True
1242793,2025-04-26T11:00:00+00:00,FT,Viktoria Berlin,4266,BFC Dynamo,1636,1,1,True
1242795,2025-04-26T11:00:00+00:00,FT,Hertha BSC II,9353,ZFC Meuselwitz,9358,4,1,True
1242789,2025-04-26T14:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,Plauen,12833,1,1,True
1242790,2025-04-27T11:00:00+00:00,FT,Altglienicke,9349,Chemnitzer FC,1328,0,2,True
1242792,2025-04-27T11:00:00+00:00,FT,Eilenburg,12756,Hertha Zehlendorf,12786,4,3,True
1242788,2025-04-27T11:00:00+00:00,FT,Luckenwalde,12809,FC Carl Zeiss Jena,1325,0,1,True
1242787,2025-04-27T12:00:00+00:00,FT,FSV Zwickau,1315,SV Babelsberg 03,1622,2,1,True
1242800,2025-05-02T17:00:00+00:00,FT,BFC Dynamo,1636,Hallescher FC,1316,1,2,True
1242801,2025-05-02T17:00:00+00:00,FT,Hertha Zehlendorf,12786,Viktoria Berlin,4266,5,1,True
1242796,2025-05-03T11:00:00+00:00,FT,FC Rot-Weiß Erfurt,1329,Luckenwalde,12809,3,2,True
1242804,2025-05-03T11:00:00+00:00,FT,Plauen,12833,Altglienicke,9349,0,3,True
1242803,2025-05-03T12:00:00+00:00,FT,Chemnitzer FC,1328,Lokomotive Leipzig,9355,1,1,True
1242799,2025-05-04T11:00:00+00:00,FT,BSG Chemie Leipzig,1651,Hertha BSC II,9353,2,2,True
1242802,2025-05-04T11:00:00+00:00,FT,Greifswalder FC,16118,Eilenburg,12756,4,2,True
