fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
733955,2021-08-13T16:00:00+00:00,FT,West - 1,Lippstadt 08,9372,Wiedenbrück,12897,1,0,True
733957,2021-08-14T12:00:00+00:00,FT,West - 1,Preussen Munster,1313,Alemannia Aachen,4259,2,1,True
733960,2021-08-14T12:00:00+00:00,FT,West - 1,Fortuna Koln,1326,Wegberg-Beeck,14148,2,0,True
733954,2021-08-14T12:00:00+00:00,FT,West - 1,Bonner SC,1637,Rot-weiss Essen,1621,0,3,True
733963,2021-08-14T12:00:00+00:00,FT,West - 1,Rot-weiss Oberhausen,1658,KFC Uerdingen 05,1322,6,0,True
733959,2021-08-14T12:00:00+00:00,FT,West - 1,Fortuna Düsseldorf II,9369,Sportfreunde Lotte,1323,2,1,True
733958,2021-08-14T12:00:00+00:00,FT,West - 1,Homberg,9370,Borussia M'gladbach II,9368,0,2,True
733961,2021-08-14T12:00:00+00:00,FT,West - 1,Wuppertaler SV,9375,SV Rodinghausen,1650,2,0,True
733962,2021-08-14T12:00:00+00:00,FT,West - 1,Straelen,12862,Rot Weiss Ahlen,12839,3,2,True
733956,2021-08-15T13:00:00+00:00,FT,West - 1,Schalke 04 II,9373,Köln II,9371,1,2,True
733973,2021-08-20T17:30:00+00:00,FT,West - 2,Rot-weiss Essen,1621,Straelen,12862,1,4,True
733970,2021-08-20T17:30:00+00:00,FT,West - 2,Köln II,9371,Lippstadt 08,9372,3,1,True
733972,2021-08-21T12:00:00+00:00,FT,West - 2,KFC Uerdingen 05,1322,Bonner SC,1637,1,3,True
733967,2021-08-21T12:00:00+00:00,FT,West - 2,Sportfreunde Lotte,1323,Homberg,9370,2,0,True
733965,2021-08-21T12:00:00+00:00,FT,West - 2,SV Rodinghausen,1650,Fortuna Koln,1326,1,4,True
733969,2021-08-21T12:00:00+00:00,FT,West - 2,Alemannia Aachen,4259,Schalke 04 II,9373,1,1,True
733964,2021-08-21T12:00:00+00:00,FT,West - 2,Rot Weiss Ahlen,12839,Wuppertaler SV,9375,0,0,True
733971,2021-08-21T12:00:00+00:00,FT,West - 2,Wiedenbrück,12897,Rot-weiss Oberhausen,1658,1,0,True
733966,2021-08-21T12:00:00+00:00,FT,West - 2,Wegberg-Beeck,14148,Fortuna Düsseldorf II,9369,1,2,True
733968,2021-08-21T14:00:00+00:00,FT,West - 2,Borussia M'gladbach II,9368,Preussen Munster,1313,1,2,True
733974,2021-08-24T17:30:00+00:00,FT,West - 3,Bonner SC,1637,Straelen,12862,1,3,True
733976,2021-08-25T12:00:00+00:00,FT,West - 3,Schalke 04 II,9373,Borussia M'gladbach II,9368,1,0,True
733979,2021-08-25T16:00:00+00:00,FT,West - 3,Fortuna Düsseldorf II,9369,SV Rodinghausen,1650,3,1,True
733975,2021-08-25T16:00:00+00:00,FT,West - 3,Lippstadt 08,9372,Alemannia Aachen,4259,2,0,True
733981,2021-08-25T17:00:00+00:00,FT,West - 3,Wuppertaler SV,9375,Rot-weiss Essen,1621,0,1,True
733977,2021-08-25T17:30:00+00:00,FT,West - 3,Preussen Munster,1313,Sportfreunde Lotte,1323,2,0,True
733982,2021-08-25T17:30:00+00:00,FT,West - 3,KFC Uerdingen 05,1322,Wiedenbrück,12897,2,3,True
733980,2021-08-25T17:30:00+00:00,FT,West - 3,Fortuna Koln,1326,Rot Weiss Ahlen,12839,1,1,True
733983,2021-08-25T17:30:00+00:00,FT,West - 3,Rot-weiss Oberhausen,1658,Köln II,9371,1,0,True
733978,2021-08-25T17:30:00+00:00,FT,West - 3,Homberg,9370,Wegberg-Beeck,14148,1,1,True
733987,2021-08-28T12:00:00+00:00,FT,West - 4,Sportfreunde Lotte,1323,Schalke 04 II,9373,2,0,True
733985,2021-08-28T12:00:00+00:00,FT,West - 4,SV Rodinghausen,1650,Homberg,9370,0,1,True
733989,2021-08-28T12:00:00+00:00,FT,West - 4,Alemannia Aachen,4259,Rot-weiss Oberhausen,1658,1,3,True
733988,2021-08-28T12:00:00+00:00,FT,West - 4,Borussia M'gladbach II,9368,Lippstadt 08,9372,4,2,True
733990,2021-08-28T12:00:00+00:00,FT,West - 4,Köln II,9371,KFC Uerdingen 05,1322,8,2,True
733984,2021-08-28T12:00:00+00:00,FT,West - 4,Rot Weiss Ahlen,12839,Fortuna Düsseldorf II,9369,1,1,True
733992,2021-08-28T12:00:00+00:00,FT,West - 4,Straelen,12862,Wuppertaler SV,9375,1,4,True
733991,2021-08-28T12:00:00+00:00,FT,West - 4,Wiedenbrück,12897,Bonner SC,1637,3,1,True
733993,2021-08-29T12:00:00+00:00,FT,West - 4,Rot-weiss Essen,1621,Fortuna Koln,1326,2,1,True
733986,2021-08-29T12:00:00+00:00,FT,West - 4,Wegberg-Beeck,14148,Preussen Munster,1313,0,4,True
733997,2021-09-04T12:00:00+00:00,FT,West - 5,Preussen Munster,1313,SV Rodinghausen,1650,0,0,True
734002,2021-09-04T12:00:00+00:00,FT,West - 5,KFC Uerdingen 05,1322,Alemannia Aachen,4259,0,0,True
734000,2021-09-04T12:00:00+00:00,FT,West - 5,Fortuna Koln,1326,Straelen,12862,1,0,True
733994,2021-09-04T12:00:00+00:00,FT,West - 5,Bonner SC,1637,Wuppertaler SV,9375,1,2,True
734003,2021-09-04T12:00:00+00:00,FT,West - 5,Rot-weiss Oberhausen,1658,Borussia M'gladbach II,9368,3,2,True
733998,2021-09-04T12:00:00+00:00,FT,West - 5,Homberg,9370,Rot Weiss Ahlen,12839,1,2,True
733995,2021-09-04T12:00:00+00:00,FT,West - 5,Lippstadt 08,9372,Sportfreunde Lotte,1323,2,1,True
733996,2021-09-04T12:00:00+00:00,FT,West - 5,Schalke 04 II,9373,Wegberg-Beeck,14148,2,0,True
734005,2021-09-10T16:30:00+00:00,FT,West - 6,SV Rodinghausen,1650,Schalke 04 II,9373,1,0,True
734009,2021-09-10T17:00:00+00:00,FT,West - 6,Alemannia Aachen,4259,Wiedenbrück,12897,0,1,True
734013,2021-09-10T17:30:00+00:00,FT,West - 6,Rot-weiss Essen,1621,Homberg,9370,3,0,True
734010,2021-09-10T17:30:00+00:00,FT,West - 6,Köln II,9371,Bonner SC,1637,3,2,True
734004,2021-09-10T17:30:00+00:00,FT,West - 6,Rot Weiss Ahlen,12839,Preussen Munster,1313,1,1,True
734008,2021-09-11T12:00:00+00:00,FT,West - 6,Borussia M'gladbach II,9368,KFC Uerdingen 05,1322,0,0,True
734011,2021-09-11T12:00:00+00:00,FT,West - 6,Wuppertaler SV,9375,Fortuna Koln,1326,1,1,True
734012,2021-09-11T12:00:00+00:00,FT,West - 6,Straelen,12862,Fortuna Düsseldorf II,9369,1,1,True
734006,2021-09-11T12:00:00+00:00,FT,West - 6,Wegberg-Beeck,14148,Lippstadt 08,9372,2,3,True
734021,2021-09-14T16:30:00+00:00,FT,West - 7,Wiedenbrück,12897,Borussia M'gladbach II,9368,0,0,True
734017,2021-09-14T17:00:00+00:00,FT,West - 7,Preussen Munster,1313,Rot-weiss Essen,1621,2,3,True
734016,2021-09-14T17:30:00+00:00,FT,West - 7,Schalke 04 II,9373,Rot Weiss Ahlen,12839,5,3,True
734015,2021-09-15T16:00:00+00:00,FT,West - 7,Lippstadt 08,9372,SV Rodinghausen,1650,0,2,True
734019,2021-09-15T17:00:00+00:00,FT,West - 7,Fortuna Düsseldorf II,9369,Wuppertaler SV,9375,1,2,True
734014,2021-09-15T17:30:00+00:00,FT,West - 7,Bonner SC,1637,Fortuna Koln,1326,0,2,True
734023,2021-09-15T17:30:00+00:00,FT,West - 7,Rot-weiss Oberhausen,1658,Wegberg-Beeck,14148,0,0,True
734020,2021-09-15T17:30:00+00:00,FT,West - 7,Köln II,9371,Alemannia Aachen,4259,1,3,True
734033,2021-09-17T17:30:00+00:00,FT,West - 8,Rot-weiss Essen,1621,Schalke 04 II,9373,1,0,True
734215,2021-09-18T12:00:00+00:00,FT,West - 8,Rot-weiss Oberhausen,1658,SV Rodinghausen,1650,2,1,True
734028,2021-09-18T12:00:00+00:00,FT,West - 8,Borussia M'gladbach II,9368,Köln II,9371,3,1,True
734031,2021-09-18T12:00:00+00:00,FT,West - 8,Wuppertaler SV,9375,Homberg,9370,3,1,True
734024,2021-09-18T12:00:00+00:00,FT,West - 8,Rot Weiss Ahlen,12839,Lippstadt 08,9372,1,1,True
734032,2021-09-18T12:00:00+00:00,FT,West - 8,Straelen,12862,Preussen Munster,1313,0,4,True
734026,2021-09-18T12:00:00+00:00,FT,West - 8,Wegberg-Beeck,14148,KFC Uerdingen 05,1322,1,1,True
734030,2021-09-19T12:00:00+00:00,FT,West - 8,Fortuna Koln,1326,Fortuna Düsseldorf II,9369,0,0,True
734029,2021-09-19T12:00:00+00:00,FT,West - 8,Bonner SC,1637,Alemannia Aachen,4259,1,1,True
734042,2021-09-25T12:00:00+00:00,FT,West - 9,KFC Uerdingen 05,1322,SV Rodinghausen,1650,1,2,True
734034,2021-09-25T12:00:00+00:00,FT,West - 9,Bonner SC,1637,Fortuna Düsseldorf II,9369,0,3,True
734043,2021-09-25T12:00:00+00:00,FT,West - 9,Rot-weiss Oberhausen,1658,Rot Weiss Ahlen,12839,4,0,True
734038,2021-09-25T12:00:00+00:00,FT,West - 9,Homberg,9370,Fortuna Koln,1326,0,0,True
734040,2021-09-25T12:00:00+00:00,FT,West - 9,Köln II,9371,Sportfreunde Lotte,1323,4,0,True
734035,2021-09-25T12:00:00+00:00,FT,West - 9,Lippstadt 08,9372,Rot-weiss Essen,1621,1,2,True
734036,2021-09-25T12:00:00+00:00,FT,West - 9,Schalke 04 II,9373,Straelen,12862,1,1,True
734041,2021-09-25T12:00:00+00:00,FT,West - 9,Wiedenbrück,12897,Wegberg-Beeck,14148,1,1,True
734039,2021-09-25T14:00:00+00:00,FT,West - 9,Alemannia Aachen,4259,Borussia M'gladbach II,9368,0,1,True
734037,2021-09-26T12:00:00+00:00,FT,West - 9,Preussen Munster,1313,Wuppertaler SV,9375,0,0,True
734001,2021-09-28T17:30:00+00:00,FT,West - 5,Wiedenbrück,12897,Köln II,9371,2,0,True
734046,2021-10-01T17:00:00+00:00,FT,West - 10,Wegberg-Beeck,14148,Köln II,9371,0,1,True
734047,2021-10-01T17:30:00+00:00,FT,West - 10,Sportfreunde Lotte,1323,Alemannia Aachen,4259,1,0,True
734050,2021-10-01T17:30:00+00:00,FT,West - 10,Fortuna Koln,1326,Preussen Munster,1313,3,2,True
734045,2021-10-01T17:30:00+00:00,FT,West - 10,SV Rodinghausen,1650,Wiedenbrück,12897,1,0,True
734053,2021-10-02T12:00:00+00:00,FT,West - 10,Rot-weiss Essen,1621,Rot-weiss Oberhausen,1658,1,1,True
734048,2021-10-02T12:00:00+00:00,FT,West - 10,Borussia M'gladbach II,9368,Bonner SC,1637,2,1,True
734049,2021-10-02T12:00:00+00:00,FT,West - 10,Fortuna Düsseldorf II,9369,Homberg,9370,4,0,True
734051,2021-10-02T12:00:00+00:00,FT,West - 10,Wuppertaler SV,9375,Schalke 04 II,9373,3,0,True
734044,2021-10-02T12:00:00+00:00,FT,West - 10,Rot Weiss Ahlen,12839,KFC Uerdingen 05,1322,1,0,True
734052,2021-10-02T12:00:00+00:00,FT,West - 10,Straelen,12862,Lippstadt 08,9372,0,2,True
734022,2021-10-06T17:30:00+00:00,FT,West - 7,KFC Uerdingen 05,1322,Sportfreunde Lotte,1323,2,0,True
734018,2021-10-06T17:30:00+00:00,FT,West - 7,Homberg,9370,Straelen,12862,0,1,True
734055,2021-10-08T16:00:00+00:00,FT,West - 11,Lippstadt 08,9372,Wuppertaler SV,9375,2,2,True
734059,2021-10-08T17:30:00+00:00,FT,West - 11,Alemannia Aachen,4259,Wegberg-Beeck,14148,3,2,True
734061,2021-10-08T17:30:00+00:00,FT,West - 11,Wiedenbrück,12897,Rot Weiss Ahlen,12839,2,2,True
734057,2021-10-09T12:00:00+00:00,FT,West - 11,Preussen Munster,1313,Fortuna Düsseldorf II,9369,2,0,True
734062,2021-10-09T12:00:00+00:00,FT,West - 11,KFC Uerdingen 05,1322,Rot-weiss Essen,1621,0,11,True
734054,2021-10-09T12:00:00+00:00,FT,West - 11,Bonner SC,1637,Homberg,9370,2,0,True
734063,2021-10-09T12:00:00+00:00,FT,West - 11,Rot-weiss Oberhausen,1658,Straelen,12862,0,0,True
734058,2021-10-09T12:00:00+00:00,FT,West - 11,Borussia M'gladbach II,9368,Sportfreunde Lotte,1323,3,0,True
734056,2021-10-12T12:00:00+00:00,FT,West - 11,Schalke 04 II,9373,Fortuna Koln,1326,1,1,True
734069,2021-10-15T16:30:00+00:00,FT,West - 12,Fortuna Düsseldorf II,9369,Schalke 04 II,9373,5,1,True
734064,2021-10-15T17:00:00+00:00,FT,West - 12,Rot Weiss Ahlen,12839,Köln II,9371,2,6,True
734066,2021-10-15T17:30:00+00:00,FT,West - 12,Wegberg-Beeck,14148,Borussia M'gladbach II,9368,1,0,True
734067,2021-10-16T12:00:00+00:00,FT,West - 12,Sportfreunde Lotte,1323,Bonner SC,1637,0,2,True
734070,2021-10-16T12:00:00+00:00,FT,West - 12,Fortuna Koln,1326,Lippstadt 08,9372,4,2,True
734073,2021-10-16T12:00:00+00:00,FT,West - 12,Rot-weiss Essen,1621,Wiedenbrück,12897,0,0,True
734065,2021-10-16T12:00:00+00:00,FT,West - 12,SV Rodinghausen,1650,Alemannia Aachen,4259,1,1,True
734068,2021-10-16T12:00:00+00:00,FT,West - 12,Homberg,9370,Preussen Munster,1313,2,2,True
734071,2021-10-16T12:00:00+00:00,FT,West - 12,Wuppertaler SV,9375,Rot-weiss Oberhausen,1658,1,1,True
734072,2021-10-16T12:00:00+00:00,FT,West - 12,Straelen,12862,KFC Uerdingen 05,1322,2,0,True
734074,2021-10-22T17:30:00+00:00,FT,West - 13,Bonner SC,1637,Preussen Munster,1313,1,2,True
734082,2021-10-23T12:00:00+00:00,FT,West - 13,KFC Uerdingen 05,1322,Wuppertaler SV,9375,0,2,True
734077,2021-10-23T12:00:00+00:00,FT,West - 13,Sportfreunde Lotte,1323,Wegberg-Beeck,14148,1,2,True
734083,2021-10-23T12:00:00+00:00,FT,West - 13,Rot-weiss Oberhausen,1658,Fortuna Koln,1326,0,2,True
734079,2021-10-23T12:00:00+00:00,FT,West - 13,Alemannia Aachen,4259,Rot Weiss Ahlen,12839,1,4,True
734078,2021-10-23T12:00:00+00:00,FT,West - 13,Borussia M'gladbach II,9368,SV Rodinghausen,1650,1,2,True
734080,2021-10-23T12:00:00+00:00,FT,West - 13,Köln II,9371,Rot-weiss Essen,1621,1,1,True
734075,2021-10-23T12:00:00+00:00,FT,West - 13,Lippstadt 08,9372,Fortuna Düsseldorf II,9369,5,2,True
734076,2021-10-23T12:00:00+00:00,FT,West - 13,Schalke 04 II,9373,Homberg,9370,0,0,True
734081,2021-10-23T12:00:00+00:00,FT,West - 13,Wiedenbrück,12897,Straelen,12862,2,0,True
734060,2021-10-27T12:00:00+00:00,FT,West - 11,Köln II,9371,SV Rodinghausen,1650,2,3,True
734007,2021-10-27T17:30:00+00:00,FT,West - 6,Sportfreunde Lotte,1323,Rot-weiss Oberhausen,1658,1,2,True
733999,2021-10-27T17:30:00+00:00,FT,West - 5,Fortuna Düsseldorf II,9369,Rot-weiss Essen,1621,3,3,True
734087,2021-10-29T17:00:00+00:00,FT,West - 14,Preussen Munster,1313,Schalke 04 II,9373,3,0,True
734090,2021-10-30T12:00:00+00:00,FT,West - 14,Fortuna Koln,1326,KFC Uerdingen 05,1322,4,0,True
734093,2021-10-30T12:00:00+00:00,FT,West - 14,Rot-weiss Essen,1621,Alemannia Aachen,4259,2,1,True
734085,2021-10-30T12:00:00+00:00,FT,West - 14,SV Rodinghausen,1650,Sportfreunde Lotte,1323,3,0,True
734088,2021-10-30T12:00:00+00:00,FT,West - 14,Homberg,9370,Lippstadt 08,9372,3,2,True
734091,2021-10-30T12:00:00+00:00,FT,West - 14,Wuppertaler SV,9375,Wiedenbrück,12897,0,0,True
734084,2021-10-30T12:00:00+00:00,FT,West - 14,Rot Weiss Ahlen,12839,Borussia M'gladbach II,9368,3,1,True
734092,2021-10-30T12:00:00+00:00,FT,West - 14,Straelen,12862,Köln II,9371,1,2,True
734086,2021-10-30T12:00:00+00:00,FT,West - 14,Wegberg-Beeck,14148,Bonner SC,1637,1,3,True
734089,2021-10-31T13:00:00+00:00,FT,West - 14,Fortuna Düsseldorf II,9369,Rot-weiss Oberhausen,1658,2,2,True
734098,2021-11-05T18:00:00+00:00,FT,West - 15,Borussia M'gladbach II,9368,Rot-weiss Essen,1621,1,2,True
