fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1106932,2023-09-16T14:30:00+00:00,FT,Regular Season - 1,Europa Point,16131,Manchester 62,16136,1,5,True
1106933,2023-09-16T17:30:00+00:00,FT,Regular Season - 1,St Joseph S Fc,698,Europa,10125,3,0,True
1106934,2023-09-17T14:30:00+00:00,FT,Regular Season - 1,Lynx,16134,Lions Gibraltar,16133,4,1,True
1106935,2023-09-17T17:30:00+00:00,FT,Regular Season - 1,Glacis United,16132,Mons Calpe,16137,2,1,True
1106937,2023-09-22T19:00:00+00:00,FT,Regular Season - 2,Europa,10125,College 1975,16130,0,3,True
1106938,2023-09-23T14:30:00+00:00,FT,Regular Season - 2,Lions Gibraltar,16133,St Joseph S Fc,698,1,5,True
1106939,2023-09-23T17:30:00+00:00,FT,Regular Season - 2,Manchester 62,16136,Glacis United,16132,5,0,True
1106940,2023-09-24T14:30:00+00:00,FT,Regular Season - 2,Lincoln Red Imps FC,667,Lynx,16134,3,2,True
1106941,2023-09-24T17:30:00+00:00,FT,Regular Season - 2,Mons Calpe,16137,Magpies,16135,2,4,True
1106942,2023-09-27T19:00:00+00:00,FT,Regular Season - 3,College 1975,16130,Lions Gibraltar,16133,2,1,True
1106943,2023-09-28T19:00:00+00:00,FT,Regular Season - 3,St Joseph S Fc,698,Lincoln Red Imps FC,667,1,0,True
1106944,2023-09-29T19:00:00+00:00,FT,Regular Season - 3,Glacis United,16132,Europa Point,16131,3,1,True
1106945,2023-09-30T14:30:00+00:00,FT,Regular Season - 3,Lynx,16134,Mons Calpe,16137,2,1,True
1106946,2023-09-30T17:30:00+00:00,FT,Regular Season - 3,Magpies,16135,Manchester 62,16136,2,0,True
1106947,2023-10-03T19:00:00+00:00,FT,Regular Season - 4,College 1975,16130,St Joseph S Fc,698,0,3,True
1106948,2023-10-04T19:00:00+00:00,FT,Regular Season - 4,Lincoln Red Imps FC,667,Glacis United,16132,3,1,True
1106949,2023-10-05T19:00:00+00:00,FT,Regular Season - 4,Lions Gibraltar,16133,Magpies,16135,0,2,True
1106950,2023-10-06T19:00:00+00:00,FT,Regular Season - 4,Europa,10125,Lynx,16134,1,3,True
1106951,2023-10-07T17:30:00+00:00,FT,Regular Season - 4,Mons Calpe,16137,Europa Point,16131,3,1,True
1106952,2023-10-20T19:00:00+00:00,FT,Regular Season - 5,Manchester 62,16136,Mons Calpe,16137,1,2,True
1106953,2023-10-21T14:30:00+00:00,FT,Regular Season - 5,Magpies,16135,Europa,10125,3,1,True
1106954,2023-10-21T17:30:00+00:00,FT,Regular Season - 5,Europa Point,16131,Lincoln Red Imps FC,667,1,2,True
1106955,2023-10-22T14:30:00+00:00,FT,Regular Season - 5,Glacis United,16132,Lions Gibraltar,16133,3,1,True
1106956,2023-10-22T17:30:00+00:00,FT,Regular Season - 5,Lynx,16134,College 1975,16130,2,3,True
1106936,2023-10-25T19:00:00+00:00,FT,Regular Season - 1,Magpies,16135,Lincoln Red Imps FC,667,0,0,True
1106957,2023-10-27T19:00:00+00:00,FT,Regular Season - 6,St Joseph S Fc,698,Lynx,16134,2,0,True
1106958,2023-10-28T14:30:00+00:00,FT,Regular Season - 6,Europa,10125,Glacis United,16132,3,2,True
1106959,2023-10-28T17:30:00+00:00,FT,Regular Season - 6,Lions Gibraltar,16133,Europa Point,16131,1,3,True
1106960,2023-10-29T15:30:00+00:00,FT,Regular Season - 6,College 1975,16130,Magpies,16135,2,6,True
1106961,2023-10-29T18:30:00+00:00,FT,Regular Season - 6,Lincoln Red Imps FC,667,Manchester 62,16136,5,0,True
1106962,2023-11-03T20:00:00+00:00,FT,Regular Season - 7,Magpies,16135,St Joseph S Fc,698,2,4,True
1106963,2023-11-04T15:30:00+00:00,FT,Regular Season - 7,Glacis United,16132,College 1975,16130,1,0,True
1106964,2023-11-04T18:30:00+00:00,FT,Regular Season - 7,Mons Calpe,16137,Lincoln Red Imps FC,667,0,2,True
1106965,2023-11-05T15:30:00+00:00,FT,Regular Season - 7,Manchester 62,16136,Lions Gibraltar,16133,7,0,True
1106966,2023-11-05T18:30:00+00:00,FT,Regular Season - 7,Europa Point,16131,Europa,10125,1,0,True
1106967,2023-11-24T20:00:00+00:00,FT,Regular Season - 8,Lions Gibraltar,16133,Mons Calpe,16137,0,0,True
1106968,2023-11-25T15:30:00+00:00,FT,Regular Season - 8,College 1975,16130,Europa Point,16131,0,5,True
1106969,2023-11-25T18:30:00+00:00,FT,Regular Season - 8,St Joseph S Fc,698,Glacis United,16132,4,0,True
1106970,2023-11-26T15:30:00+00:00,FT,Regular Season - 8,Lynx,16134,Magpies,16135,1,0,True
1106971,2023-11-26T18:30:00+00:00,FT,Regular Season - 8,Europa,10125,Manchester 62,16136,0,1,True
1106972,2023-12-01T20:00:00+00:00,FT,Regular Season - 9,Lincoln Red Imps FC,667,Lions Gibraltar,16133,2,0,True
1106973,2023-12-02T15:30:00+00:00,FT,Regular Season - 9,Mons Calpe,16137,Europa,10125,1,0,True
1106974,2023-12-02T18:30:00+00:00,FT,Regular Season - 9,Glacis United,16132,Lynx,16134,2,0,True
1106975,2023-12-03T15:30:00+00:00,FT,Regular Season - 9,Manchester 62,16136,College 1975,16130,4,1,True
1106976,2023-12-03T18:30:00+00:00,FT,Regular Season - 9,Europa Point,16131,St Joseph S Fc,698,1,0,True
1106977,2023-12-08T20:00:00+00:00,FT,Regular Season - 10,Magpies,16135,Glacis United,16132,3,0,True
1106978,2023-12-09T15:30:00+00:00,FT,Regular Season - 10,College 1975,16130,Mons Calpe,16137,1,3,True
1106979,2023-12-09T18:30:00+00:00,FT,Regular Season - 10,Europa,10125,Lincoln Red Imps FC,667,1,4,True
1106980,2023-12-10T15:30:00+00:00,FT,Regular Season - 10,St Joseph S Fc,698,Manchester 62,16136,4,0,True
1106981,2023-12-10T18:30:00+00:00,FT,Regular Season - 10,Lynx,16134,Europa Point,16131,1,1,True
1106982,2023-12-15T20:00:00+00:00,FT,Regular Season - 11,Manchester 62,16136,Lynx,16134,5,1,True
1106983,2023-12-16T15:30:00+00:00,FT,Regular Season - 11,Europa Point,16131,Magpies,16135,0,1,True
1106984,2023-12-16T18:30:00+00:00,FT,Regular Season - 11,Lions Gibraltar,16133,Europa,10125,0,5,True
1106986,2023-12-17T18:30:00+00:00,FT,Regular Season - 11,Lincoln Red Imps FC,667,College 1975,16130,7,0,True
1106987,2023-12-19T20:00:00+00:00,FT,Regular Season - 12,Manchester 62,16136,Magpies,16135,1,5,True
1106988,2023-12-21T20:00:00+00:00,FT,Regular Season - 12,Lincoln Red Imps FC,667,St Joseph S Fc,698,1,2,True
1106989,2023-12-22T20:00:00+00:00,FT,Regular Season - 12,Europa Point,16131,Glacis United,16132,2,0,True
1106990,2024-01-08T20:00:00+00:00,FT,Regular Season - 12,Lions Gibraltar,16133,College 1975,16130,1,1,True
1106991,2024-01-09T20:00:00+00:00,FT,Regular Season - 12,Mons Calpe,16137,Lynx,16134,1,1,True
1106985,2024-01-16T20:00:00+00:00,FT,Regular Season - 11,Mons Calpe,16137,St Joseph S Fc,698,1,1,True
1106992,2024-01-19T20:00:00+00:00,FT,Regular Season - 13,College 1975,16130,Europa,10125,2,3,True
1106993,2024-01-20T15:30:00+00:00,FT,Regular Season - 13,Glacis United,16132,Manchester 62,16136,0,1,True
1106994,2024-01-20T18:30:00+00:00,FT,Regular Season - 13,St Joseph S Fc,698,Lions Gibraltar,16133,3,2,True
1106995,2024-01-21T15:30:00+00:00,FT,Regular Season - 13,Magpies,16135,Mons Calpe,16137,3,1,True
1106996,2024-01-21T18:30:00+00:00,FT,Regular Season - 13,Lynx,16134,Lincoln Red Imps FC,667,0,3,True
1106997,2024-01-26T20:00:00+00:00,FT,Regular Season - 14,Manchester 62,16136,Europa Point,16131,0,2,True
1106998,2024-01-27T15:30:00+00:00,FT,Regular Season - 14,Mons Calpe,16137,Glacis United,16132,5,1,True
1106999,2024-01-27T18:30:00+00:00,FT,Regular Season - 14,Europa,10125,St Joseph S Fc,698,0,1,True
1107000,2024-01-28T15:30:00+00:00,FT,Regular Season - 14,Lions Gibraltar,16133,Lynx,16134,0,4,True
1107001,2024-01-28T18:30:00+00:00,FT,Regular Season - 14,Lincoln Red Imps FC,667,Magpies,16135,3,0,True
1107002,2024-02-02T20:00:00+00:00,FT,Regular Season - 15,St Joseph S Fc,698,College 1975,16130,4,1,True
1107003,2024-02-03T15:30:00+00:00,FT,Regular Season - 15,Lynx,16134,Europa,10125,0,0,True
1107004,2024-02-03T18:30:00+00:00,FT,Regular Season - 15,Europa Point,16131,Mons Calpe,16137,1,1,True
1107005,2024-02-04T15:30:00+00:00,FT,Regular Season - 15,Glacis United,16132,Lincoln Red Imps FC,667,2,8,True
1107006,2024-02-04T18:30:00+00:00,FT,Regular Season - 15,Magpies,16135,Lions Gibraltar,16133,3,1,True
1107007,2024-02-09T20:00:00+00:00,FT,Regular Season - 16,Mons Calpe,16137,Manchester 62,16136,2,0,True
1107008,2024-02-10T15:30:00+00:00,FT,Regular Season - 16,College 1975,16130,Lynx,16134,0,2,True
1107009,2024-02-10T18:30:00+00:00,FT,Regular Season - 16,Lincoln Red Imps FC,667,Europa Point,16131,1,0,True
1107010,2024-02-11T15:30:00+00:00,FT,Regular Season - 16,Europa,10125,Magpies,16135,4,3,True
1107011,2024-02-11T18:30:00+00:00,FT,Regular Season - 16,Lions Gibraltar,16133,Glacis United,16132,1,0,True
1107012,2024-02-16T20:00:00+00:00,FT,Regular Season - 17,Lynx,16134,St Joseph S Fc,698,1,2,True
1107013,2024-02-17T15:30:00+00:00,FT,Regular Season - 17,Manchester 62,16136,Lincoln Red Imps FC,667,0,7,True
1107014,2024-02-17T18:30:00+00:00,FT,Regular Season - 17,Magpies,16135,College 1975,16130,7,2,True
1107015,2024-02-18T15:30:00+00:00,FT,Regular Season - 17,Europa Point,16131,Lions Gibraltar,16133,0,0,True
1107016,2024-02-18T18:30:00+00:00,FT,Regular Season - 17,Glacis United,16132,Europa,10125,0,1,True
1107017,2024-02-23T20:00:00+00:00,FT,Regular Season - 18,Lincoln Red Imps FC,667,Mons Calpe,16137,2,1,True
1107018,2024-02-24T15:30:00+00:00,FT,Regular Season - 18,St Joseph S Fc,698,Magpies,16135,2,2,True
1107019,2024-02-24T18:30:00+00:00,FT,Regular Season - 18,Lions Gibraltar,16133,Manchester 62,16136,2,1,True
1107020,2024-02-25T15:30:00+00:00,FT,Regular Season - 18,College 1975,16130,Glacis United,16132,1,1,True
1107021,2024-02-25T18:30:00+00:00,FT,Regular Season - 18,Europa,10125,Europa Point,16131,0,1,True
1107022,2024-03-01T20:00:00+00:00,FT,Regular Season - 19,Magpies,16135,Lynx,16134,2,1,True
1107023,2024-03-02T15:30:00+00:00,FT,Regular Season - 19,Mons Calpe,16137,Lions Gibraltar,16133,2,2,True
1107024,2024-03-02T18:30:00+00:00,FT,Regular Season - 19,Glacis United,16132,St Joseph S Fc,698,1,3,True
1107025,2024-03-03T15:30:00+00:00,FT,Regular Season - 19,Manchester 62,16136,Europa,10125,1,1,True
1107026,2024-03-03T18:30:00+00:00,FT,Regular Season - 19,Europa Point,16131,College 1975,16130,4,0,True
1107027,2024-03-08T20:00:00+00:00,FT,Regular Season - 20,Lions Gibraltar,16133,Lincoln Red Imps FC,667,0,2,True
1107028,2024-03-09T15:30:00+00:00,FT,Regular Season - 20,St Joseph S Fc,698,Europa Point,16131,1,0,True
1107029,2024-03-09T18:30:00+00:00,FT,Regular Season - 20,Europa,10125,Mons Calpe,16137,3,1,True
