fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1159468,2024-01-30T20:00:00+00:00,FT,1st Round,Glacis United,16132,Hound Dogs,16790,9,0,True
1159469,2024-01-31T20:00:00+00:00,FT,1st Round,Europa,10125,Europa Point,16131,3,0,True
1159467,2024-02-06T20:00:00+00:00,FT,1st Round,College 1975,16130,Lions Gibraltar,16133,1,3,True
1159470,2024-02-07T20:00:00+00:00,FT,1st Round,Magpies,16135,St Joseph S Fc,698,0,2,True
1173352,2024-02-20T20:00:00+00:00,FT,Quarter-finals,Lynx,16134,Lincoln Red Imps FC,667,0,4,True
1173353,2024-02-21T20:00:00+00:00,FT,Quarter-finals,Lions Gibraltar,16133,Manchester 62,16136,0,2,True
1173354,2024-02-27T20:00:00+00:00,FT,Quarter-finals,St Joseph S Fc,698,Mons Calpe,16137,3,0,True
1173355,2024-02-28T20:00:00+00:00,FT,Quarter-finals,Europa,10125,Glacis United,16132,3,1,True
1187598,2024-04-06T17:30:00+00:00,FT,Semi-finals,Europa,10125,Manchester 62,16136,3,0,True
1190168,2024-04-07T17:30:00+00:00,FT,Semi-finals,St Joseph S Fc,698,Lincoln Red Imps FC,667,0,1,True
1194433,2024-04-17T18:00:00+00:00,FT,Final,Lincoln Red Imps FC,667,Europa,10125,3,0,True
