fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1132659,2023-09-24T12:00:00+00:00,CANC,Group A - 1,Niki Volos,5056,Almopos,12368,,,False
1135206,2023-10-01T13:00:00+00:00,CANC,Group A - 2,Almopos,12368,Apollon Pontou,2102,,,False
1135213,2023-10-11T13:00:00+00:00,CANC,Group A - 3,Kampaniakos Chalastra,20683,Almopos,12368,,,False
1135220,2023-10-15T13:00:00+00:00,CANC,Group A - 4,Almopos,12368,AEK Athens II,18016,,,False
1135226,2023-10-22T13:00:00+00:00,CANC,Group A - 5,Almopos,12368,Iraklis 1908,17991,,,False
1135232,2023-10-29T00:00:00+00:00,CANC,Group A - 6,Aiolikos,5027,Almopos,12368,,,False
1135237,2023-11-05T00:00:00+00:00,CANC,Group A - 7,Almopos,12368,Makedonikos Neapolis,12372,,,False
1135242,2023-11-12T00:00:00+00:00,CANC,Group A - 8,Anagennisi Karditsas,2094,Almopos,12368,,,False
1135247,2023-11-15T00:00:00+00:00,CANC,Group A - 9,Almopos,12368,Larisa,953,,,False
1135252,2023-11-19T00:00:00+00:00,CANC,Group A - 10,PAOK II,18018,Almopos,12368,,,False
1135257,2023-11-26T00:00:00+00:00,CANC,Group A - 11,Kozani,15259,Almopos,12368,,,False
1135270,2023-12-10T00:00:00+00:00,CANC,Group A - 13,Levadiakos,957,Almopos,12368,,,False
1135275,2023-12-17T00:00:00+00:00,CANC,Group A - 14,Almopos,12368,Niki Volos,5056,,,False
1135281,2024-01-03T00:00:00+00:00,CANC,Group A - 15,Apollon Pontou,2102,Almopos,12368,,,False
1135287,2024-01-07T00:00:00+00:00,CANC,Group A - 16,Almopos,12368,Kampaniakos Chalastra,20683,,,False
1135293,2024-01-14T00:00:00+00:00,CANC,Group A - 17,AEK Athens II,18016,Almopos,12368,,,False
1135299,2024-01-21T00:00:00+00:00,CANC,Group A - 18,Iraklis 1908,17991,Almopos,12368,,,False
1135310,2024-01-28T00:00:00+00:00,CANC,Group A - 19,Almopos,12368,Aiolikos,5027,,,False
1135315,2024-02-04T00:00:00+00:00,CANC,Group A - 20,Makedonikos Neapolis,12372,Almopos,12368,,,False
1135317,2024-02-11T00:00:00+00:00,CANC,Group A - 21,Almopos,12368,Anagennisi Karditsas,2094,,,False
1135323,2024-02-14T00:00:00+00:00,CANC,Group A - 22,Larisa,953,Almopos,12368,,,False
1135329,2024-02-18T00:00:00+00:00,CANC,Group A - 23,Almopos,12368,PAOK II,18018,,,False
1135335,2024-02-25T00:00:00+00:00,CANC,Group A - 24,Almopos,12368,Kozani,15259,,,False
1135347,2024-03-10T00:00:00+00:00,CANC,Group A - 26,Almopos,12368,Levadiakos,957,,,False
1132663,2023-09-23T12:15:00+00:00,FT,Group B - 1,Olympiakos Piraeus II,18017,Ilioupoli,15235,0,0,True
1132664,2023-09-23T13:00:00+00:00,FT,Group B - 1,Kallithea,2095,Panachaiki FC,2106,0,0,True
1132658,2023-09-23T13:00:00+00:00,FT,Group A - 1,Makedonikos Neapolis,12372,Iraklis 1908,17991,0,0,True
1132668,2023-09-24T10:00:00+00:00,FT,Group B - 1,Giouchtas,12418,Diagoras,7510,2,0,True
1132662,2023-09-24T13:00:00+00:00,FT,Group A - 1,Larisa,953,Kampaniakos Chalastra,20683,2,1,True
1132660,2023-09-24T13:00:00+00:00,FT,Group A - 1,Anagennisi Karditsas,2094,AEK Athens II,18016,2,1,True
1132667,2023-09-24T13:00:00+00:00,FT,Group B - 1,Tilikratis,5066,Egaleo,7511,1,0,True
1132657,2023-09-24T13:00:00+00:00,FT,Group A - 1,Kozani,15259,Aiolikos,5027,1,2,True
1132666,2023-09-24T13:00:00+00:00,FT,Group B - 1,Panathinaikos II,18019,Kalamata,5046,1,4,True
1132665,2023-09-24T17:00:00+00:00,FT,Group B - 1,Ionikos,7513,Kissamikos,2096,0,3,True
1132661,2023-09-25T13:00:00+00:00,FT,Group A - 1,PAOK II,18018,Apollon Pontou,2102,4,0,True
1135358,2023-09-30T12:00:00+00:00,FT,Group B - 2,Diagoras,7510,Egaleo,7511,2,1,True
1135355,2023-09-30T13:00:00+00:00,FT,Group B - 2,Panachaiki FC,2106,Panathinaikos II,18019,0,2,True
1135207,2023-09-30T13:00:00+00:00,FT,Group A - 2,AEK Athens II,18016,Larisa,953,3,0,True
1135208,2023-09-30T13:00:00+00:00,FT,Group A - 2,PAOK II,18018,Kampaniakos Chalastra,20683,2,3,True
1135354,2023-10-01T13:00:00+00:00,FT,Group B - 2,Ilioupoli,15235,Ionikos,7513,0,3,True
1135205,2023-10-01T13:00:00+00:00,FT,Group A - 2,Iraklis 1908,17991,Anagennisi Karditsas,2094,1,1,True
1135353,2023-10-01T14:30:00+00:00,FT,Group B - 2,Kallithea,2095,Olympiakos Piraeus II,18017,3,2,True
1135204,2023-10-02T10:30:00+00:00,FT,Group A - 2,Aiolikos,5027,Makedonikos Neapolis,12372,1,3,True
1135356,2023-10-02T12:00:00+00:00,FT,Group B - 2,Kissamikos,2096,Tilikratis,5066,3,0,True
1135203,2023-10-02T13:00:00+00:00,FT,Group A - 2,Levadiakos,957,Kozani,15259,1,0,True
1135357,2023-10-02T13:00:00+00:00,FT,Group B - 2,Kalamata,5046,Giouchtas,12418,3,1,True
1135214,2023-10-07T13:00:00+00:00,FT,Group A - 3,PAOK II,18018,AEK Athens II,18016,1,0,True
1135212,2023-10-11T13:00:00+00:00,FT,Group A - 3,Larisa,953,Iraklis 1908,17991,1,0,True
1135211,2023-10-11T13:00:00+00:00,FT,Group A - 3,Anagennisi Karditsas,2094,Aiolikos,5027,3,1,True
1135210,2023-10-11T13:00:00+00:00,FT,Group A - 3,Niki Volos,5056,Levadiakos,957,0,1,True
1135209,2023-10-11T13:00:00+00:00,FT,Group A - 3,Kozani,15259,Makedonikos Neapolis,12372,2,0,True
1135364,2023-10-14T13:00:00+00:00,FT,Group B - 3,Egaleo,7511,Kalamata,5046,0,3,True
1135362,2023-10-14T13:00:00+00:00,FT,Group B - 3,Giouchtas,12418,Panachaiki FC,2106,2,1,True
1135359,2023-10-14T13:00:00+00:00,FT,Group B - 3,Olympiakos Piraeus II,18017,Ionikos,7513,1,1,True
1135361,2023-10-15T12:00:00+00:00,FT,Group B - 3,Tilikratis,5066,Ilioupoli,15235,1,2,True
1135217,2023-10-15T13:00:00+00:00,FT,Group A - 4,Levadiakos,957,Apollon Pontou,2102,1,0,True
1135218,2023-10-15T13:00:00+00:00,FT,Group A - 4,Aiolikos,5027,Larisa,953,1,1,True
1135215,2023-10-15T13:00:00+00:00,FT,Group A - 4,Niki Volos,5056,Kozani,15259,0,1,True
1135216,2023-10-15T13:00:00+00:00,FT,Group A - 4,Makedonikos Neapolis,12372,Anagennisi Karditsas,2094,0,0,True
1135363,2023-10-16T10:00:00+00:00,FT,Group B - 3,Diagoras,7510,Kissamikos,2096,3,1,True
1135431,2023-10-20T14:00:00+00:00,FT,Group B - 4,Olympiakos Piraeus II,18017,Panathinaikos II,18019,3,1,True
1135367,2023-10-21T13:00:00+00:00,FT,Group B - 4,Kallithea,2095,Giouchtas,12418,1,0,True
1135366,2023-10-21T13:00:00+00:00,FT,Group B - 4,Ionikos,7513,Tilikratis,5066,1,0,True
1135225,2023-10-21T13:00:00+00:00,FT,Group A - 5,PAOK II,18018,Aiolikos,5027,0,0,True
1135370,2023-10-22T11:00:00+00:00,FT,Group B - 4,Kalamata,5046,Kissamikos,2096,0,2,True
1135368,2023-10-22T11:00:00+00:00,FT,Group B - 4,Ilioupoli,15235,Diagoras,7510,1,0,True
1135223,2023-10-22T13:00:00+00:00,FT,Group A - 5,Larisa,953,Makedonikos Neapolis,12372,1,1,True
1135222,2023-10-22T13:00:00+00:00,FT,Group A - 5,Apollon Pontou,2102,Niki Volos,5056,1,3,True
1135369,2023-10-22T13:00:00+00:00,FT,Group B - 4,Panachaiki FC,2106,Egaleo,7511,0,1,True
1135221,2023-10-22T13:00:00+00:00,FT,Group A - 5,Kozani,15259,Anagennisi Karditsas,2094,1,0,True
1135224,2023-10-23T13:00:00+00:00,FT,Group A - 5,Kampaniakos Chalastra,20683,Levadiakos,957,0,2,True
1135360,2023-10-24T13:00:00+00:00,FT,Group B - 3,Panathinaikos II,18019,Kallithea,2095,0,1,True
1135219,2023-10-25T13:00:00+00:00,FT,Group A - 4,Iraklis 1908,17991,PAOK II,18018,2,0,True
1135231,2023-10-28T12:00:00+00:00,FT,Group A - 6,Levadiakos,957,AEK Athens II,18016,2,1,True
1135376,2023-10-28T12:00:00+00:00,FT,Group B - 5,Kissamikos,2096,Panachaiki FC,2106,4,1,True
1135375,2023-10-28T12:00:00+00:00,FT,Group B - 5,Kalamata,5046,Ilioupoli,15235,2,0,True
1135374,2023-10-28T12:00:00+00:00,FT,Group B - 5,Egaleo,7511,Kallithea,2095,1,1,True
1135372,2023-10-28T12:00:00+00:00,FT,Group B - 5,Giouchtas,12418,Panathinaikos II,18019,2,0,True
1135371,2023-10-28T13:00:00+00:00,FT,Group B - 5,Olympiakos Piraeus II,18017,Tilikratis,5066,4,1,True
1135228,2023-10-29T13:00:00+00:00,FT,Group A - 6,Anagennisi Karditsas,2094,Larisa,953,0,2,True
1135227,2023-10-29T13:00:00+00:00,FT,Group A - 6,Apollon Pontou,2102,Kozani,15259,0,0,True
1135373,2023-10-29T13:00:00+00:00,FT,Group B - 5,Diagoras,7510,Ionikos,7513,2,1,True
