fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1288828,2024-08-30T12:00:00+00:00,FT,Regular Season - 1,Eastern,4451,Rangers,4459,2,0,True
1288829,2024-08-31T08:00:00+00:00,FT,Regular Season - 1,Southern District,4456,Warriors,4207,1,2,True
1288830,2024-08-31T08:00:00+00:00,FT,Regular Season - 1,North District,6401,Kitchee,4453,2,2,True
1288831,2024-09-01T08:00:00+00:00,FT,Regular Season - 1,Wofoo Tai Po,4457,Kowloon City,20392,5,1,True
1288864,2024-09-12T12:00:00+00:00,FT,Regular Season - 10,Eastern,4451,North District,6401,5,1,True
1288832,2024-09-14T08:00:00+00:00,FT,Regular Season - 2,Wofoo Tai Po,4457,Warriors,4207,2,1,True
1288833,2024-09-14T10:30:00+00:00,FT,Regular Season - 2,Kitchee,4453,Southern District,4456,1,1,True
1288834,2024-09-15T08:00:00+00:00,FT,Regular Season - 2,North District,6401,Kowloon City,20392,2,3,True
1288835,2024-09-15T08:30:00+00:00,FT,Regular Season - 2,Hong Kong FC,4462,Rangers,4459,1,3,True
1288836,2024-09-21T08:00:00+00:00,FT,Regular Season - 3,Southern District,4456,Wofoo Tai Po,4457,1,1,True
1288837,2024-09-21T10:30:00+00:00,FT,Regular Season - 3,Kitchee,4453,Rangers,4459,8,0,True
1288839,2024-09-22T08:00:00+00:00,FT,Regular Season - 3,Warriors,4207,Hong Kong FC,4462,3,1,True
1288838,2024-09-22T08:00:00+00:00,FT,Regular Season - 3,Kowloon City,20392,Eastern,4451,1,1,True
1288865,2024-09-25T12:00:00+00:00,FT,Regular Season - 10,Kitchee,4453,Kowloon City,20392,6,1,True
1288868,2024-09-28T08:00:00+00:00,FT,Regular Season - 11,Southern District,4456,Eastern,4451,0,2,True
1288840,2024-09-28T10:30:00+00:00,FT,Regular Season - 4,Warriors,4207,Rangers,4459,2,1,True
1288841,2024-09-29T08:00:00+00:00,FT,Regular Season - 4,North District,6401,Wofoo Tai Po,4457,0,3,True
1288842,2024-09-29T08:30:00+00:00,FT,Regular Season - 4,Hong Kong FC,4462,Kowloon City,20392,0,2,True
1288844,2024-10-05T07:00:00+00:00,FT,Regular Season - 5,Southern District,4456,North District,6401,2,0,True
1288845,2024-10-05T10:00:00+00:00,FT,Regular Season - 5,Kitchee,4453,Hong Kong FC,4462,4,0,True
1288846,2024-10-06T07:00:00+00:00,FT,Regular Season - 5,Kowloon City,20392,Rangers,4459,2,0,True
1288847,2024-10-06T10:00:00+00:00,FT,Regular Season - 5,Warriors,4207,Eastern,4451,1,2,True
1288848,2024-10-19T07:00:00+00:00,FT,Regular Season - 6,Wofoo Tai Po,4457,Kitchee,4453,1,0,True
1288849,2024-10-19T10:00:00+00:00,FT,Regular Season - 6,Eastern,4451,Hong Kong FC,4462,4,0,True
1288850,2024-10-20T07:00:00+00:00,FT,Regular Season - 6,Kowloon City,20392,Southern District,4456,2,1,True
1288851,2024-10-20T10:00:00+00:00,FT,Regular Season - 6,Warriors,4207,North District,6401,4,1,True
1288852,2024-11-02T07:00:00+00:00,FT,Regular Season - 7,Wofoo Tai Po,4457,Eastern,4451,1,1,True
1288853,2024-11-02T10:00:00+00:00,FT,Regular Season - 7,Kitchee,4453,Warriors,4207,1,1,True
1288854,2024-11-03T07:00:00+00:00,FT,Regular Season - 7,Rangers,4459,Southern District,4456,1,1,True
1288855,2024-11-03T08:30:00+00:00,FT,Regular Season - 7,Hong Kong FC,4462,North District,6401,2,0,True
1288856,2024-11-09T07:00:00+00:00,FT,Regular Season - 8,Wofoo Tai Po,4457,Rangers,4459,3,0,True
1288857,2024-11-09T10:00:00+00:00,FT,Regular Season - 8,Warriors,4207,Kowloon City,20392,3,1,True
1288858,2024-11-10T07:00:00+00:00,FT,Regular Season - 8,Eastern,4451,North District,6401,2,1,True
1288859,2024-11-10T08:30:00+00:00,FT,Regular Season - 8,Hong Kong FC,4462,Southern District,4456,3,4,True
1288860,2024-11-23T07:00:00+00:00,FT,Regular Season - 9,Wofoo Tai Po,4457,Hong Kong FC,4462,2,1,True
1288863,2024-11-24T07:00:00+00:00,FT,Regular Season - 9,North District,6401,Rangers,4459,3,3,True
1288862,2024-11-24T07:00:00+00:00,FT,Regular Season - 9,Kowloon City,20392,Kitchee,4453,0,5,True
1288866,2024-12-21T07:00:00+00:00,FT,Regular Season - 10,Rangers,4459,Wofoo Tai Po,4457,2,5,True
1288867,2024-12-22T08:30:00+00:00,FT,Regular Season - 10,Hong Kong FC,4462,Southern District,4456,1,0,True
1288869,2025-01-05T07:00:00+00:00,FT,Regular Season - 11,North District,6401,Rangers,4459,4,4,True
1288870,2025-01-05T08:30:00+00:00,FT,Regular Season - 11,Hong Kong FC,4462,Wofoo Tai Po,4457,2,0,True
1288872,2025-01-11T07:00:00+00:00,FT,Regular Season - 12,Southern District,4456,Kitchee,4453,1,1,True
1288873,2025-01-11T07:00:00+00:00,FT,Regular Season - 12,Wofoo Tai Po,4457,Warriors,4207,1,0,True
1288874,2025-01-12T07:00:00+00:00,FT,Regular Season - 12,North District,6401,Kowloon City,20392,3,1,True
1288875,2025-01-12T08:30:00+00:00,FT,Regular Season - 12,Hong Kong FC,4462,Eastern,4451,0,2,True
1288876,2025-01-18T07:00:00+00:00,FT,Regular Season - 13,North District,6401,Wofoo Tai Po,4457,1,2,True
1288877,2025-01-18T10:00:00+00:00,FT,Regular Season - 13,Eastern,4451,Kitchee,4453,1,1,True
1288878,2025-01-19T07:00:00+00:00,FT,Regular Season - 13,Rangers,4459,Warriors,4207,1,2,True
1288879,2025-01-19T08:30:00+00:00,FT,Regular Season - 13,Hong Kong FC,4462,Kowloon City,20392,0,0,True
1288880,2025-01-25T07:00:00+00:00,FT,Regular Season - 14,Southern District,4456,Kowloon City,20392,0,1,True
1288881,2025-01-25T10:00:00+00:00,FT,Regular Season - 14,Warriors,4207,North District,6401,4,3,True
1288882,2025-01-26T07:00:00+00:00,FT,Regular Season - 14,Wofoo Tai Po,4457,Kitchee,4453,1,2,True
1288883,2025-01-26T10:00:00+00:00,FT,Regular Season - 14,Rangers,4459,Hong Kong FC,4462,1,0,True
1288843,2025-02-02T10:00:00+00:00,FT,Regular Season - 4,Kitchee,4453,Eastern,4451,3,0,True
