fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
755912,2021-08-07T09:00:00+00:00,FT,1st Round,MUN,17293,Csepel,5081,0,3,True
755913,2021-08-07T14:00:00+00:00,FT,1st Round,FC Hatvan,5090,Sajóbábony Vegyész,5133,2,1,True
755914,2021-08-07T14:00:00+00:00,FT,1st Round,Ráckeve VAFC,15196,Kalocsai,5109,1,0,True
755924,2021-08-07T14:30:00+00:00,FT,1st Round,VAC,2405,Tiszaújváros,5149,3,0,True
755935,2021-08-07T14:30:00+00:00,AET,1st Round,Monori Se,2411,Rákosmenti KSK,5132,1,0,False
755925,2021-08-07T14:30:00+00:00,FT,1st Round,Cigand SE,2419,Hidasnémeti,11757,1,2,True
755948,2021-08-07T14:30:00+00:00,PEN,1st Round,Bátaszék SE,5079,Érdi VSE,5153,0,0,False
755919,2021-08-07T14:30:00+00:00,FT,1st Round,DEAC,5082,Tiszafuredi VSE,5147,3,1,True
755921,2021-08-07T14:30:00+00:00,FT,1st Round,Eger,5089,Putnok VSE,5128,1,2,True
755930,2021-08-07T14:30:00+00:00,FT,1st Round,Fővárosi Vízművek,5094,Szabadszállási,11717,2,3,True
755939,2021-08-07T14:30:00+00:00,FT,1st Round,Jánossomorja,5106,Veszprém,7569,1,7,True
755927,2021-08-07T14:30:00+00:00,FT,1st Round,Körösladány,5115,Dabas,5083,1,5,True
755949,2021-08-07T14:30:00+00:00,AET,1st Round,Nagyatádi,5122,Dunaújváros-Pálhalma,5086,2,2,False
755951,2021-08-07T14:30:00+00:00,FT,1st Round,Szekszárd,5138,Bicskei,7536,1,3,True
755934,2021-08-07T14:30:00+00:00,FT,1st Round,Taksony,5144,Cegledi VSE,2400,2,10,True
755940,2021-08-07T14:30:00+00:00,FT,1st Round,Teskánd,5146,Sárvári,5142,3,1,True
755931,2021-08-07T14:30:00+00:00,FT,1st Round,Tiszasziget,5148,BVSC,5071,1,2,True
755926,2021-08-07T14:30:00+00:00,FT,1st Round,Szegedi VSE,7561,Füzesgyarmati,5093,3,2,True
755936,2021-08-07T14:30:00+00:00,FT,1st Round,Törökszentmiklós,7565,BKV Előre,5070,2,0,True
755933,2021-08-07T14:30:00+00:00,FT,1st Round,Algyő SK,11691,Gyömrő,17283,1,4,True
755944,2021-08-07T14:30:00+00:00,FT,1st Round,Gárdony,11700,Kaposvar,2407,0,1,True
755932,2021-08-07T14:30:00+00:00,FT,1st Round,Ikarus BSE,11777,Hódmezővásárhely,5101,0,4,True
755946,2021-08-07T14:30:00+00:00,FT,1st Round,Semjénháza,11792,Balatoni Vasas,7534,1,0,True
