fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1211426,2025-02-01T13:30:00+00:00,FT,Paks,2390,Gyori ETO FC,2402,1,1,True
1211424,2025-02-01T16:00:00+00:00,FT,Fehérvár FC,610,Puskas Academy,2391,1,0,True
1211423,2025-02-01T18:30:00+00:00,FT,Diosgyori VTK,2393,Ujpest,2255,1,1,True
1211911,2025-02-02T11:45:00+00:00,FT,Debreceni VSC,2392,Nyiregyhaza,2403,3,1,True
1211422,2025-02-02T16:30:00+00:00,FT,Kecskeméti TE,5111,Zalaegerszegi TE,2414,1,0,True
1211425,2025-02-02T19:15:00+00:00,FT,Ferencvarosi TC,651,MTK Budapest,2396,0,0,True
1211353,2025-02-05T18:30:00+00:00,FT,Zalaegerszegi TE,2414,Ferencvarosi TC,651,2,2,True
1211430,2025-02-07T19:00:00+00:00,FT,MTK Budapest,2396,Debreceni VSC,2392,0,2,True
1211429,2025-02-08T13:30:00+00:00,FT,Nyiregyhaza,2403,Kecskeméti TE,5111,0,0,True
1211432,2025-02-08T16:00:00+00:00,FT,Paks,2390,Fehérvár FC,610,2,0,True
1211427,2025-02-08T18:30:00+00:00,FT,Gyori ETO FC,2402,Ujpest,2255,3,0,True
1211428,2025-02-09T14:30:00+00:00,FT,Zalaegerszegi TE,2414,Diosgyori VTK,2393,2,1,True
1211431,2025-02-09T17:00:00+00:00,FT,Puskas Academy,2391,Ferencvarosi TC,651,1,0,True
1211438,2025-02-14T19:00:00+00:00,FT,Fehérvár FC,610,Gyori ETO FC,2402,0,1,True
1211437,2025-02-15T13:30:00+00:00,FT,Kecskeméti TE,5111,MTK Budapest,2396,5,0,True
1211433,2025-02-15T16:00:00+00:00,FT,Diosgyori VTK,2393,Nyiregyhaza,2403,1,2,True
1211436,2025-02-15T18:30:00+00:00,FT,Debreceni VSC,2392,Puskas Academy,2391,1,2,True
1211434,2025-02-16T14:30:00+00:00,FT,Ujpest,2255,Zalaegerszegi TE,2414,1,2,True
1211435,2025-02-16T17:00:00+00:00,FT,Ferencvarosi TC,651,Paks,2390,0,2,True
1211441,2025-02-21T19:00:00+00:00,FT,MTK Budapest,2396,Diosgyori VTK,2393,4,0,True
1211442,2025-02-22T13:30:00+00:00,FT,Puskas Academy,2391,Kecskeméti TE,5111,4,2,True
1211443,2025-02-22T16:00:00+00:00,FT,Paks,2390,Debreceni VSC,2392,4,3,True
1211440,2025-02-22T18:30:00+00:00,FT,Nyiregyhaza,2403,Ujpest,2255,0,0,True
1211439,2025-02-23T14:30:00+00:00,FT,Gyori ETO FC,2402,Zalaegerszegi TE,2414,2,0,True
1211444,2025-02-23T17:00:00+00:00,FT,Fehérvár FC,610,Ferencvarosi TC,651,1,3,True
1211445,2025-03-01T13:30:00+00:00,FT,Zalaegerszegi TE,2414,Nyiregyhaza,2403,0,0,True
1211448,2025-03-01T16:00:00+00:00,FT,Diosgyori VTK,2393,Puskas Academy,2391,2,1,True
1211449,2025-03-01T18:30:00+00:00,FT,Ujpest,2255,MTK Budapest,2396,1,5,True
1211446,2025-03-02T13:00:00+00:00,FT,Debreceni VSC,2392,Fehérvár FC,610,1,2,True
1211447,2025-03-02T15:30:00+00:00,FT,Kecskeméti TE,5111,Paks,2390,2,2,True
1211450,2025-03-02T17:00:00+00:00,FT,Ferencvarosi TC,651,Gyori ETO FC,2402,2,2,True
1211454,2025-03-07T19:00:00+00:00,FT,Kecskeméti TE,5111,Fehérvár FC,610,2,2,True
1211912,2025-03-08T13:30:00+00:00,FT,Nyiregyhaza,2403,Gyori ETO FC,2402,0,1,True
1211451,2025-03-08T16:00:00+00:00,FT,Zalaegerszegi TE,2414,MTK Budapest,2396,1,1,True
1211453,2025-03-08T18:30:00+00:00,FT,Diosgyori VTK,2393,Paks,2390,0,2,True
1211452,2025-03-09T14:30:00+00:00,FT,Ujpest,2255,Puskas Academy,2391,1,1,True
1211455,2025-03-09T17:00:00+00:00,FT,Debreceni VSC,2392,Ferencvarosi TC,651,0,1,True
1211461,2025-03-14T17:00:00+00:00,FT,Gyori ETO FC,2402,Debreceni VSC,2392,0,0,True
1211458,2025-03-14T19:30:00+00:00,FT,Paks,2390,Ujpest,2255,6,1,True
1211457,2025-03-16T11:30:00+00:00,FT,Fehérvár FC,610,Diosgyori VTK,2393,0,0,True
1211456,2025-03-16T14:00:00+00:00,FT,Ferencvarosi TC,651,Kecskeméti TE,5111,4,0,True
1211460,2025-03-16T16:15:00+00:00,FT,MTK Budapest,2396,Nyiregyhaza,2403,3,0,True
1211459,2025-03-16T18:30:00+00:00,FT,Puskas Academy,2391,Zalaegerszegi TE,2414,2,1,True
1211466,2025-03-28T19:00:00+00:00,FT,Kecskeméti TE,5111,Debreceni VSC,2392,1,3,True
1211467,2025-03-29T13:30:00+00:00,FT,Gyori ETO FC,2402,MTK Budapest,2396,2,1,True
1211463,2025-03-29T16:00:00+00:00,FT,Zalaegerszegi TE,2414,Paks,2390,1,1,True
1211462,2025-03-29T18:30:00+00:00,FT,Nyiregyhaza,2403,Puskas Academy,2391,0,2,True
1211464,2025-03-30T12:30:00+00:00,FT,Ujpest,2255,Fehérvár FC,610,2,2,True
1211465,2025-03-30T15:00:00+00:00,FT,Diosgyori VTK,2393,Ferencvarosi TC,651,1,1,True
1211468,2025-04-05T12:30:00+00:00,FT,Kecskeméti TE,5111,Gyori ETO FC,2402,1,1,True
1211913,2025-04-05T15:00:00+00:00,FT,Paks,2390,Nyiregyhaza,2403,2,0,True
1211469,2025-04-05T17:30:00+00:00,FT,Debreceni VSC,2392,Diosgyori VTK,2393,4,1,True
1211471,2025-04-06T12:00:00+00:00,FT,Fehérvár FC,610,Zalaegerszegi TE,2414,0,2,True
1211472,2025-04-06T14:30:00+00:00,FT,Puskas Academy,2391,MTK Budapest,2396,1,1,True
1211470,2025-04-06T17:00:00+00:00,FT,Ferencvarosi TC,651,Ujpest,2255,2,0,True
1211475,2025-04-11T16:00:00+00:00,FT,Diosgyori VTK,2393,Kecskeméti TE,5111,2,1,True
1211476,2025-04-11T18:30:00+00:00,FT,MTK Budapest,2396,Paks,2390,1,2,True
1211477,2025-04-12T12:15:00+00:00,FT,Gyori ETO FC,2402,Puskas Academy,2391,2,0,True
1211473,2025-04-12T17:45:00+00:00,FT,Zalaegerszegi TE,2414,Ferencvarosi TC,651,0,2,True
1211474,2025-04-13T12:00:00+00:00,FT,Ujpest,2255,Debreceni VSC,2392,2,1,True
1211914,2025-04-13T17:00:00+00:00,FT,Nyiregyhaza,2403,Fehérvár FC,610,1,0,True
1211480,2025-04-19T11:15:00+00:00,FT,Debreceni VSC,2392,Zalaegerszegi TE,2414,4,3,True
1211478,2025-04-19T14:15:00+00:00,FT,Diosgyori VTK,2393,Gyori ETO FC,2402,2,4,True
1211483,2025-04-19T18:30:00+00:00,FT,Paks,2390,Puskas Academy,2391,2,2,True
1211482,2025-04-20T11:15:00+00:00,FT,Fehérvár FC,610,MTK Budapest,2396,1,1,True
1211481,2025-04-20T13:45:00+00:00,FT,Ferencvarosi TC,651,Nyiregyhaza,2403,7,0,True
1211479,2025-04-21T16:30:00+00:00,FT,Kecskeméti TE,5111,Ujpest,2255,0,0,True
1211484,2025-04-25T18:00:00+00:00,FT,Nyiregyhaza,2403,Debreceni VSC,2392,1,0,True
1211487,2025-04-26T13:15:00+00:00,FT,Puskas Academy,2391,Fehérvár FC,610,3,1,True
1211489,2025-04-26T15:30:00+00:00,FT,Gyori ETO FC,2402,Paks,2390,2,0,True
1211486,2025-04-26T18:00:00+00:00,FT,Ujpest,2255,Diosgyori VTK,2393,1,1,True
1211488,2025-04-27T13:30:00+00:00,FT,MTK Budapest,2396,Ferencvarosi TC,651,2,3,True
1211485,2025-04-27T16:00:00+00:00,FT,Zalaegerszegi TE,2414,Kecskeméti TE,5111,0,0,True
1211490,2025-05-03T11:00:00+00:00,FT,Ujpest,2255,Gyori ETO FC,2402,2,3,True
1211493,2025-05-03T13:30:00+00:00,FT,Debreceni VSC,2392,MTK Budapest,2396,0,0,True
1211494,2025-05-03T17:30:00+00:00,FT,Ferencvarosi TC,651,Puskas Academy,2391,1,1,True
1211491,2025-05-04T11:30:00+00:00,FT,Diosgyori VTK,2393,Zalaegerszegi TE,2414,1,1,True
1211492,2025-05-04T14:00:00+00:00,FT,Kecskeméti TE,5111,Nyiregyhaza,2403,2,2,True
1211495,2025-05-04T16:30:00+00:00,FT,Fehérvár FC,610,Paks,2390,0,2,True
1211501,2025-05-09T18:00:00+00:00,FT,Gyori ETO FC,2402,Fehérvár FC,610,1,0,True
1211499,2025-05-10T12:30:00+00:00,FT,Puskas Academy,2391,Debreceni VSC,2392,4,2,True
1211500,2025-05-10T15:45:00+00:00,FT,MTK Budapest,2396,Kecskeméti TE,5111,2,1,True
1211498,2025-05-10T17:30:00+00:00,FT,Paks,2390,Ferencvarosi TC,651,2,3,True
1211497,2025-05-11T11:00:00+00:00,FT,Zalaegerszegi TE,2414,Ujpest,2255,0,0,True
1211496,2025-05-11T13:30:00+00:00,FT,Nyiregyhaza,2403,Diosgyori VTK,2393,1,0,True
1211505,2025-05-16T16:15:00+00:00,FT,Kecskeméti TE,5111,Puskas Academy,2391,0,1,True
1211503,2025-05-16T18:30:00+00:00,FT,Ujpest,2255,Nyiregyhaza,2403,2,2,True
1211502,2025-05-17T11:45:00+00:00,FT,Zalaegerszegi TE,2414,Gyori ETO FC,2402,0,0,True
1211504,2025-05-17T18:00:00+00:00,FT,Diosgyori VTK,2393,MTK Budapest,2396,2,1,True
1211506,2025-05-18T14:45:00+00:00,FT,Debreceni VSC,2392,Paks,2390,0,0,True
1211507,2025-05-18T17:30:00+00:00,FT,Ferencvarosi TC,651,Fehérvár FC,610,3,0,True
1211510,2025-05-23T18:15:00+00:00,FT,Paks,2390,Kecskeméti TE,5111,1,1,True
1211512,2025-05-24T13:00:00+00:00,FT,MTK Budapest,2396,Ujpest,2255,1,3,True
1211509,2025-05-24T15:30:00+00:00,FT,Fehérvár FC,610,Debreceni VSC,2392,0,3,True
1211511,2025-05-24T18:00:00+00:00,FT,Puskas Academy,2391,Diosgyori VTK,2393,4,3,True
1211513,2025-05-24T18:00:00+00:00,FT,Gyori ETO FC,2402,Ferencvarosi TC,651,1,2,True
1211508,2025-05-25T12:15:00+00:00,FT,Nyiregyhaza,2403,Zalaegerszegi TE,2414,0,0,True
