fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1341690,2025-03-28T17:30:00+00:00,FT,BF 108,25566,Afríka,6076,8,0,True
1341689,2025-03-28T19:00:00+00:00,FT,Léttir,6098,Kría,6094,1,2,True
1341684,2025-03-28T19:00:00+00:00,FT,SR,6102,KFR,6089,2,3,True
1341688,2025-03-28T19:00:00+00:00,FT,Vængir Júpiters,6107,KÁ Hafnarfjördur,6095,1,2,True
1341686,2025-03-28T19:00:00+00:00,FT,Úlfarnir,6114,Stokkseyri,10119,3,0,True
1341687,2025-03-28T19:00:00+00:00,FT,KFK Kópavogur,18477,Ellidi,6081,1,5,True
1341685,2025-03-28T20:00:00+00:00,FT,Árborg,6110,Augnablik,6077,0,4,True
1341683,2025-03-28T20:00:00+00:00,FT,Ýmir,6115,Hafnir,18476,3,4,True
1341697,2025-03-29T13:00:00+00:00,AET,Ægir,4167,KV,4163,2,3,False
1341693,2025-03-29T13:00:00+00:00,FT,Spyrnir,18478,Neisti D.,25568,5,0,True
1341701,2025-03-29T14:00:00+00:00,FT,KF,4162,Tindastóll,4168,3,5,True
1341700,2025-03-29T14:00:00+00:00,FT,Kári,4170,KFS,6090,7,1,True
1341702,2025-03-29T14:00:00+00:00,FT,ÍH,6112,KH,6091,4,1,True
1341699,2025-03-29T14:00:00+00:00,FT,Smári,10116,Fálkar,25567,4,0,True
1341694,2025-03-29T14:20:00+00:00,FT,Vídir,4169,Hörður Í.,6086,2,0,True
1341691,2025-03-29T15:00:00+00:00,FT,KFG,4173,Reynir,6101,2,3,True
1341703,2025-03-29T16:30:00+00:00,FT,Einherji,6080,Sindri,4164,0,2,True
1341698,2025-03-29T17:00:00+00:00,FT,ÍBU,10120,Hvíti riddarinn,6085,0,6,True
1341695,2025-03-29T19:00:00+00:00,FT,Árbær,18479,Thorlákur,22959,4,1,True
1341705,2025-03-30T14:00:00+00:00,FT,Hamar,6084,Skallagrímur,6104,1,3,True
1341692,2025-03-30T14:00:00+00:00,FT,Álftanes,6109,Haukar,2118,0,3,True
1341704,2025-03-30T17:00:00+00:00,AET,Magni,2124,Kormákur / Hvöt,6093,4,2,False
1341696,2025-03-30T18:00:00+00:00,FT,Álafoss,6108,RB,16443,3,4,True
1341682,2025-04-01T18:00:00+00:00,FT,Völsungur,4166,Dalvík / Reynir,4172,4,2,True
1367279,2025-04-03T19:00:00+00:00,FT,HK Kopavogur,2113,Hvíti riddarinn,6085,4,0,True
1367331,2025-04-03T19:00:00+00:00,FT,Ellidi,6081,Haukar,2118,1,3,True
1367330,2025-04-03T19:15:00+00:00,FT,Thor Akureyri,2116,Magni,2124,7,0,True
1367278,2025-04-04T19:00:00+00:00,FT,Reynir,6101,Grindavik,277,0,5,True
1367282,2025-04-04T20:00:00+00:00,FT,Kári,4170,Árbær,18479,8,1,True
1367284,2025-04-05T14:00:00+00:00,FT,KV,4163,Fylkir,267,1,6,True
1367171,2025-04-05T14:00:00+00:00,AET,KÁ Hafnarfjördur,6095,KFR,6089,3,2,False
1367281,2025-04-05T14:00:00+00:00,FT,Fjardabyggd / Leiknir,18366,Spyrnir,18478,3,0,True
1367173,2025-04-05T16:00:00+00:00,FT,Throttur Reykjavik,829,Hafnir,18476,7,0,True
1367332,2025-04-05T18:30:00+00:00,PEN,Skallagrímur,6104,Úlfarnir,6114,1,1,False
1341681,2025-04-06T14:00:00+00:00,FT,Keflavik,269,Thróttur Vogar,4171,6,0,True
1367174,2025-04-06T14:00:00+00:00,FT,Leiknir R.,2114,Kría,6094,5,0,True
1367283,2025-04-06T14:00:00+00:00,FT,Höttur / Huginn,6087,Sindri,4164,1,0,True
1367280,2025-04-09T19:00:00+00:00,FT,Vikingur Olafsiik,828,Smári,10116,5,1,True
1367285,2025-04-10T20:00:00+00:00,FT,ÍH,6112,Selfoss,2115,2,5,True
1367175,2025-04-11T18:10:00+00:00,FT,Njardvik,2123,BF 108,25566,5,0,True
1367286,2025-04-11T19:15:00+00:00,FT,Grotta,2121,Vídir,4169,2,1,True
1367172,2025-04-11T20:00:00+00:00,FT,Augnablik,6077,IR Reykjavik,2122,0,5,True
1367621,2025-04-12T14:00:00+00:00,PEN,Tindastóll,4168,Völsungur,4166,1,1,False
1367333,2025-04-14T19:00:00+00:00,FT,RB,16443,Fjolnir,273,0,4,True
1369260,2025-04-17T14:00:00+00:00,FT,Keflavik,269,Leiknir R.,2114,1,0,True
1370676,2025-04-17T14:00:00+00:00,FT,Vikingur Olafsiik,828,Úlfarnir,6114,7,1,True
1369258,2025-04-17T14:00:00+00:00,FT,Afturelding,3514,Höttur / Huginn,6087,5,0,True
1369259,2025-04-17T14:00:00+00:00,FT,Kári,4170,Fylkir,267,2,1,True
1369261,2025-04-17T16:00:00+00:00,FT,IBV Vestmannaeyjar,268,Vikingur Reykjavik,278,3,0,True
1370677,2025-04-18T14:00:00+00:00,FT,Selfoss,2115,Haukar,2118,4,0,True
1371322,2025-04-18T14:00:00+00:00,FT,Grotta,2121,IA Akranes,827,1,4,True
1371427,2025-04-18T14:00:00+00:00,AET,Völsungur,4166,Throttur Reykjavik,829,2,3,False
1371323,2025-04-18T16:00:00+00:00,AET,Stjarnan,275,Njardvik,2123,5,3,False
1371560,2025-04-18T16:00:00+00:00,FT,Breidablik,276,Fjolnir,273,5,0,True
1369262,2025-04-18T16:00:00+00:00,PEN,Vestri,4165,HK Kopavogur,2113,3,3,False
1369263,2025-04-18T17:30:00+00:00,FT,KA Akureyri,272,Fjardabyggd / Leiknir,18366,4,0,True
1369265,2025-04-19T14:00:00+00:00,FT,KR Reykjavik,271,KÁ Hafnarfjördur,6095,11,0,True
1369264,2025-04-19T14:00:00+00:00,FT,Grindavik,277,Valur Reykjavik,274,1,3,True
1371324,2025-04-19T15:00:00+00:00,FT,Thor Akureyri,2116,IR Reykjavik,2122,3,1,True
1369266,2025-04-19T16:00:00+00:00,FT,Fram Reykjavik,2117,FH hafnarfjordur,270,1,0,True
1372899,2025-05-13T18:00:00+00:00,FT,Selfoss,2115,Thor Akureyri,2116,1,4,True
1372897,2025-05-14T17:30:00+00:00,FT,IA Akranes,827,Afturelding,3514,0,1,True
1372900,2025-05-14T18:00:00+00:00,FT,Keflavik,269,Vikingur Olafsiik,828,5,2,True
1372898,2025-05-14T18:00:00+00:00,FT,KR Reykjavik,271,IBV Vestmannaeyjar,268,2,4,True
1372903,2025-05-14T19:15:00+00:00,FT,Valur Reykjavik,274,Throttur Reykjavik,829,2,1,True
1372901,2025-05-14T20:00:00+00:00,PEN,Kári,4170,Stjarnan,275,5,8,False
1372904,2025-05-15T18:00:00+00:00,FT,KA Akureyri,272,Fram Reykjavik,2117,2,4,True
1372902,2025-05-15T19:30:00+00:00,FT,Breidablik,276,Vestri,4165,1,2,True
1376111,2025-06-18T17:30:00+00:00,FT,Vestri,4165,Thor Akureyri,2116,2,0,True
1376110,2025-06-18T20:00:00+00:00,FT,Stjarnan,275,Keflavik,269,4,2,True
1376109,2025-06-19T17:30:00+00:00,FT,IBV Vestmannaeyjar,268,Valur Reykjavik,274,0,1,True
1376108,2025-06-19T20:00:00+00:00,FT,Afturelding,3514,Fram Reykjavik,2117,0,1,True
1383802,2025-07-01T19:30:00+00:00,FT,Valur Reykjavik,274,Stjarnan,275,3,1,True
1383803,2025-07-12T14:00:00+00:00,PEN,Vestri,4165,Fram Reykjavik,2117,0,0,False
1421785,2025-08-22T19:00:00+00:00,FT,Valur Reykjavik,274,Vestri,4165,0,1,True
