fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1268660,2025-01-07T12:00:00+00:00,FT,Bali United,2448,Persib Bandung,2445,1,1,True
1268714,2025-01-10T08:30:00+00:00,FT,Barito Putera,2453,Persija Jakarta,2439,2,3,True
1268713,2025-01-10T08:30:00+00:00,FT,Malut United,22409,Persepam Madura Utd,2444,0,1,True
1268715,2025-01-11T06:30:00+00:00,FT,PSBS Biak Numfor,4232,Persib Bandung,2445,1,1,True
1268716,2025-01-11T08:30:00+00:00,FT,PSS Sleman,3882,Persebaya Surabaya,2446,3,1,True
1268717,2025-01-11T12:00:00+00:00,FT,Dewa United,17902,Arema FC,2438,2,0,True
1268718,2025-01-12T08:30:00+00:00,FT,Persita,4244,PSIS Semarang,2451,2,1,True
1268719,2025-01-12T12:00:00+00:00,FT,Bali United,2448,Persik Kediri,4241,1,3,True
1268720,2025-01-13T12:00:00+00:00,FT,Persis Solo,4243,PSM Makassar,2441,0,1,True
1268721,2025-01-14T12:00:00+00:00,FT,Pusamania Borneo,2442,Semen Padang,2456,1,3,True
1268722,2025-01-17T08:30:00+00:00,FT,Persebaya Surabaya,2446,Malut United,22409,0,2,True
1268723,2025-01-17T12:00:00+00:00,FT,Persib Bandung,2445,Dewa United,17902,0,2,True
1268724,2025-01-18T08:30:00+00:00,FT,PSM Makassar,2441,PSBS Biak Numfor,4232,1,1,True
1268725,2025-01-18T12:00:00+00:00,FT,Persepam Madura Utd,2444,Barito Putera,2453,2,4,True
1268727,2025-01-19T08:30:00+00:00,FT,Pusamania Borneo,2442,Arema FC,2438,3,1,True
1268726,2025-01-19T08:30:00+00:00,FT,Persik Kediri,4241,PSS Sleman,3882,0,0,True
1268728,2025-01-19T12:00:00+00:00,FT,Persija Jakarta,2439,Persita,4244,2,0,True
1268729,2025-01-20T08:30:00+00:00,FT,Semen Padang,2456,Bali United,2448,1,5,True
1268730,2025-01-20T12:00:00+00:00,FT,PSIS Semarang,2451,Persis Solo,4243,1,2,True
1268731,2025-01-24T08:30:00+00:00,FT,Arema FC,2438,Persib Bandung,2445,1,3,True
1268732,2025-01-24T12:00:00+00:00,FT,Persita,4244,Persepam Madura Utd,2444,1,1,True
1268733,2025-01-25T08:00:00+00:00,FT,Malut United,22409,Persik Kediri,4241,2,1,True
1268734,2025-01-25T12:00:00+00:00,FT,Barito Putera,2453,Persebaya Surabaya,2446,3,0,True
1268735,2025-01-26T06:30:00+00:00,FT,PSBS Biak Numfor,4232,PSIS Semarang,2451,1,3,True
1268736,2025-01-26T08:30:00+00:00,FT,PSS Sleman,3882,Semen Padang,2456,2,4,True
1268737,2025-01-26T12:00:00+00:00,FT,Persis Solo,4243,Persija Jakarta,2439,3,3,True
1268738,2025-01-27T08:30:00+00:00,FT,Dewa United,17902,PSM Makassar,2441,3,2,True
1268739,2025-01-28T12:00:00+00:00,FT,Bali United,2448,Pusamania Borneo,2442,3,2,True
1268740,2025-01-31T08:30:00+00:00,FT,Persik Kediri,4241,Barito Putera,2453,1,1,True
1268741,2025-01-31T12:00:00+00:00,FT,Persebaya Surabaya,2446,Persita,4244,1,1,True
1268742,2025-02-01T08:30:00+00:00,FT,Persepam Madura Utd,2444,Persis Solo,4243,2,0,True
1268743,2025-02-01T12:00:00+00:00,FT,Persib Bandung,2445,PSM Makassar,2441,1,0,True
1268744,2025-02-02T08:30:00+00:00,FT,Pusamania Borneo,2442,PSS Sleman,3882,1,0,True
1268745,2025-02-02T08:30:00+00:00,FT,Semen Padang,2456,Malut United,22409,1,1,True
1268746,2025-02-02T12:00:00+00:00,FT,Persija Jakarta,2439,PSBS Biak Numfor,4232,2,2,True
1268747,2025-02-03T08:30:00+00:00,FT,Arema FC,2438,Bali United,2448,1,0,True
1268748,2025-02-03T12:00:00+00:00,FT,PSIS Semarang,2451,Dewa United,17902,1,4,True
1268749,2025-02-07T08:30:00+00:00,FT,Persita,4244,Persik Kediri,4241,1,0,True
1268750,2025-02-07T12:00:00+00:00,FT,Persis Solo,4243,Persebaya Surabaya,2446,2,1,True
1268752,2025-02-08T08:30:00+00:00,FT,Persepam Madura Utd,2444,PSBS Biak Numfor,4232,0,0,True
1268751,2025-02-08T08:30:00+00:00,FT,Barito Putera,2453,Semen Padang,2456,2,1,True
1268753,2025-02-08T12:00:00+00:00,FT,Dewa United,17902,Persija Jakarta,2439,2,1,True
1268754,2025-02-09T08:30:00+00:00,FT,PSS Sleman,3882,Bali United,2448,1,2,True
1268755,2025-02-09T12:00:00+00:00,FT,PSIS Semarang,2451,Persib Bandung,2445,0,1,True
