fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1393795,2025-08-09T18:30:00+00:00,FT,Virtus Entella,527,Ternana,516,4,0,True
1393796,2025-08-10T17:30:00+00:00,FT,Padova,870,Vicenza Virtus,1584,0,2,True
1393798,2025-08-10T18:30:00+00:00,FT,Pescara,525,Rimini,1709,1,0,True
1393797,2025-08-10T18:30:00+00:00,FT,Audace Cerignola,9539,Avellino,528,1,0,True
1393799,2025-08-15T16:00:00+00:00,PEN,Empoli,511,Reggiana,880,1,1,False
1393800,2025-08-15T16:30:00+00:00,FT,Sassuolo,488,Catanzaro,1687,1,0,True
1393801,2025-08-15T18:45:00+00:00,FT,Lecce,867,Juve Stabia,863,2,0,True
1431102,2025-08-15T19:15:00+00:00,FT,Genoa,495,Vicenza Virtus,1584,3,0,True
1393802,2025-08-16T16:00:00+00:00,FT,Venezia,517,Mantova,1693,4,0,True
1393803,2025-08-16T16:30:00+00:00,FT,Como,895,Sudtirol,1578,3,1,True
1431006,2025-08-16T18:45:00+00:00,PEN,Cagliari,490,Virtus Entella,527,1,1,False
1393804,2025-08-16T19:15:00+00:00,PEN,Cremonese,520,Palermo,522,0,0,False
1393805,2025-08-17T16:00:00+00:00,FT,Monza,1579,Frosinone,512,0,1,True
1431103,2025-08-17T16:30:00+00:00,FT,Parma,523,Pescara,525,2,0,True
1393806,2025-08-17T18:45:00+00:00,PEN,Cesena,509,Pisa,801,0,0,False
1393807,2025-08-17T19:15:00+00:00,FT,AC Milan,489,Bari,508,2,0,True
1431104,2025-08-18T16:00:00+00:00,PEN,Audace Cerignola,9539,Hellas Verona,504,1,1,False
1393808,2025-08-18T16:30:00+00:00,PEN,Spezia,515,Sampdoria,498,1,1,False
1393809,2025-08-18T18:45:00+00:00,FT,Udinese,494,Carrarese,1581,2,0,True
1393810,2025-08-18T19:15:00+00:00,FT,Torino,503,Modena,899,1,0,True
1446011,2025-09-23T15:00:00+00:00,FT,Cagliari,490,Frosinone,512,4,1,True
1457865,2025-09-23T16:30:00+00:00,FT,Udinese,494,Palermo,522,2,1,True
1446012,2025-09-23T19:00:00+00:00,FT,AC Milan,489,Lecce,867,3,0,True
1446010,2025-09-24T15:00:00+00:00,PEN,Parma,523,Spezia,515,2,2,False
1446008,2025-09-24T16:30:00+00:00,PEN,Hellas Verona,504,Venezia,517,0,0,False
1446009,2025-09-24T19:00:00+00:00,FT,Como,895,Sassuolo,488,3,0,True
1446007,2025-09-25T16:30:00+00:00,FT,Genoa,495,Empoli,511,3,1,True
1446006,2025-09-25T19:00:00+00:00,FT,Torino,503,Pisa,801,1,0,True
1477052,2025-12-02T20:00:00+00:00,FT,Juventus,496,Udinese,494,2,0,True
1477048,2025-12-03T14:00:00+00:00,FT,Atalanta,499,Genoa,495,4,0,True
1477054,2025-12-03T17:00:00+00:00,PEN,Napoli,492,Cagliari,490,1,1,False
1477051,2025-12-03T20:00:00+00:00,FT,Inter,505,Venezia,517,5,1,True
1477049,2025-12-04T17:00:00+00:00,FT,Bologna,500,Parma,523,2,1,True
1477053,2025-12-04T20:00:00+00:00,FT,Lazio,487,AC Milan,489,1,0,True
1477047,2026-01-13T20:00:00+00:00,FT,AS Roma,497,Torino,503,2,3,True
1477050,2026-01-27T20:00:00+00:00,FT,Fiorentina,502,Como,895,1,3,True
1506877,2026-02-04T20:00:00+00:00,FT,Inter,505,Torino,503,2,1,True
1489093,2026-02-05T20:00:00+00:00,FT,Atalanta,499,Juventus,496,3,0,True
1514890,2026-02-10T20:00:00+00:00,PEN,Napoli,492,Como,895,1,1,False
1489254,2026-02-11T20:00:00+00:00,PEN,Bologna,500,Lazio,487,1,1,False
1521547,2026-03-03T20:00:00+00:00,FT,Como,895,Inter,505,0,0,True
1522479,2026-03-04T20:00:00+00:00,FT,Lazio,487,Atalanta,499,2,2,True
1521548,2026-04-21T19:00:00+00:00,FT,Inter,505,Como,895,3,2,True
1522480,2026-04-22T19:00:00+00:00,PEN,Atalanta,499,Lazio,487,1,1,False
1542548,2026-05-13T19:00:00+00:00,FT,Lazio,487,Inter,505,0,2,True
