fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1454914,2025-09-07T13:00:00+00:00,FT,Robur Siena,1583,Tau Altopascio,19986,0,1,True
1454912,2025-09-07T13:00:00+00:00,FT,Prato,1680,Orvietana Calcio,19977,0,1,True
1454911,2025-09-07T13:00:00+00:00,FT,Gavorrano,1699,Cannara,9495,2,1,True
1454908,2025-09-07T13:00:00+00:00,FT,Ghivizzano Borgo Mozzano,9435,Camaiore,26506,5,0,True
1454913,2025-09-07T13:00:00+00:00,FT,Seravezza,9441,Grosseto,9499,2,1,True
1454907,2025-09-07T13:00:00+00:00,FT,Foligno Calcio,9496,Montevarchi Calcio,9500,4,2,True
1454910,2025-09-07T13:00:00+00:00,FT,San Donato Tavarnelle,9502,Sporting Trestina,9505,2,1,True
1454915,2025-09-07T13:00:00+00:00,FT,Sansepolcro,17550,Scandicci,9504,1,0,True
1454909,2025-09-07T13:00:00+00:00,FT,Terranuova Traiana,19988,Poggibonsi,17831,2,0,True
1454916,2025-09-14T13:00:00+00:00,FT,Cannara,9495,Seravezza,9441,0,1,True
1454921,2025-09-14T13:00:00+00:00,FT,Grosseto,9499,Foligno Calcio,9496,1,0,True
1454918,2025-09-14T13:00:00+00:00,FT,Montevarchi Calcio,9500,San Donato Tavarnelle,9502,1,1,True
1454923,2025-09-14T13:00:00+00:00,FT,Scandicci,9504,Terranuova Traiana,19988,2,1,True
1454924,2025-09-14T13:00:00+00:00,FT,Sporting Trestina,9505,Ghivizzano Borgo Mozzano,9435,3,0,True
1454922,2025-09-14T13:00:00+00:00,FT,Poggibonsi,17831,Gavorrano,1699,1,2,True
1454919,2025-09-14T13:00:00+00:00,FT,Orvietana Calcio,19977,Robur Siena,1583,0,2,True
1454920,2025-09-14T13:00:00+00:00,FT,Tau Altopascio,19986,Sansepolcro,17550,2,0,True
1454917,2025-09-14T13:00:00+00:00,FT,Camaiore,26506,Prato,1680,2,1,True
1454926,2025-09-20T13:00:00+00:00,FT,Robur Siena,1583,Poggibonsi,17831,2,0,True
1454928,2025-09-20T13:00:00+00:00,FT,Prato,1680,Scandicci,9504,2,0,True
1454933,2025-09-20T13:00:00+00:00,FT,Ghivizzano Borgo Mozzano,9435,Tau Altopascio,19986,0,0,True
1454930,2025-09-20T13:00:00+00:00,FT,Foligno Calcio,9496,Camaiore,26506,2,2,True
1454932,2025-09-20T13:00:00+00:00,FT,Grosseto,9499,Montevarchi Calcio,9500,3,1,True
1454927,2025-09-20T13:00:00+00:00,FT,San Donato Tavarnelle,9502,Orvietana Calcio,19977,3,1,True
