fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
951636,2022-09-04T13:00:00+00:00,FT,Group H - 1,Cavese,1712,Team Altamura,9549,1,0,True
951643,2022-09-04T13:00:00+00:00,FT,Group H - 1,Nardò,9536,Puteolana,17542,4,1,True
951635,2022-09-04T13:00:00+00:00,FT,Group H - 1,Bitonto,9540,Afragolese,17841,2,2,True
951638,2022-09-04T13:00:00+00:00,FT,Group H - 1,Francavilla,9543,Brindisi,9541,0,2,True
951639,2022-09-04T13:00:00+00:00,FT,Group H - 1,Gladiator,9545,Barletta,19968,2,0,True
951641,2022-09-04T13:00:00+00:00,FT,Group H - 1,Martina Franca,19975,Casarano,9542,2,4,True
951642,2022-09-04T13:30:00+00:00,FT,Group H - 1,Molfetta Calcio,17849,Matera,869,3,4,True
951637,2022-09-04T14:00:00+00:00,FT,Group H - 1,Città di Fasano,5604,Lavello,17847,4,1,True
951640,2022-09-04T14:00:00+00:00,FT,Group H - 1,Gravina,9546,Nocerina,9548,1,1,True
951647,2022-09-11T13:00:00+00:00,FT,Group H - 2,Matera,869,Nardò,9536,0,1,True
951645,2022-09-11T13:00:00+00:00,FT,Group H - 2,Brindisi,9541,Bitonto,9540,4,1,True
951646,2022-09-11T13:00:00+00:00,FT,Group H - 2,Casarano,9542,Gravina,9546,1,0,True
951649,2022-09-11T13:00:00+00:00,FT,Group H - 2,Nocerina,9548,Francavilla,9543,1,1,True
951651,2022-09-11T13:00:00+00:00,FT,Group H - 2,Puteolana,17542,Città di Fasano,5604,1,1,True
951650,2022-09-11T13:00:00+00:00,FT,Group H - 2,Afragolese,17841,Cavese,1712,1,2,True
951648,2022-09-11T13:00:00+00:00,FT,Group H - 2,Lavello,17847,Martina Franca,19975,1,2,True
951652,2022-09-11T14:00:00+00:00,FT,Group H - 2,Team Altamura,9549,Gladiator,9545,3,1,True
951644,2022-09-11T15:00:00+00:00,FT,Group H - 2,Barletta,19968,Molfetta Calcio,17849,1,0,True
951654,2022-09-18T13:00:00+00:00,FT,Group H - 3,Cavese,1712,Barletta,19968,0,1,True
951661,2022-09-18T13:00:00+00:00,FT,Group H - 3,Nardò,9536,Città di Fasano,5604,0,0,True
951653,2022-09-18T13:00:00+00:00,FT,Group H - 3,Bitonto,9540,Team Altamura,9549,1,1,True
951655,2022-09-18T13:00:00+00:00,FT,Group H - 3,Francavilla,9543,Afragolese,17841,1,2,True
951656,2022-09-18T13:00:00+00:00,FT,Group H - 3,Gladiator,9545,Matera,869,2,1,True
951657,2022-09-18T13:00:00+00:00,FT,Group H - 3,Gravina,9546,Brindisi,9541,1,1,True
951658,2022-09-18T13:00:00+00:00,FT,Group H - 3,Lavello,17847,Casarano,9542,1,2,True
951660,2022-09-18T13:00:00+00:00,FT,Group H - 3,Molfetta Calcio,17849,Puteolana,17542,2,2,True
951659,2022-09-18T14:00:00+00:00,FT,Group H - 3,Martina Franca,19975,Nocerina,9548,0,1,True
951670,2022-09-23T18:00:00+00:00,FT,Group H - 4,Team Altamura,9549,Gravina,9546,1,1,True
951667,2022-09-28T12:30:00+00:00,FT,Group H - 4,Nocerina,9548,Lavello,17847,0,1,True
951664,2022-09-28T13:00:00+00:00,FT,Group H - 4,Città di Fasano,5604,Gladiator,9545,1,0,True
951666,2022-09-28T13:00:00+00:00,FT,Group H - 4,Nardò,9536,Molfetta Calcio,17849,0,0,True
951669,2022-09-28T13:00:00+00:00,FT,Group H - 4,Puteolana,17542,Cavese,1712,0,3,True
951668,2022-09-28T13:00:00+00:00,FT,Group H - 4,Afragolese,17841,Martina Franca,19975,3,0,True
951663,2022-09-28T13:30:00+00:00,FT,Group H - 4,Brindisi,9541,Casarano,9542,1,1,True
951662,2022-09-28T13:30:00+00:00,FT,Group H - 4,Barletta,19968,Francavilla,9543,1,0,True
951673,2022-10-02T13:00:00+00:00,FT,Group H - 5,Cavese,1712,Matera,869,4,0,True
951671,2022-10-02T13:00:00+00:00,FT,Group H - 5,Bitonto,9540,Barletta,19968,0,1,True
951672,2022-10-02T13:00:00+00:00,FT,Group H - 5,Casarano,9542,Nocerina,9548,1,1,True
951674,2022-10-02T13:00:00+00:00,FT,Group H - 5,Francavilla,9543,Team Altamura,9549,1,4,True
