fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1374819,2025-05-11T13:30:00+00:00,FT,Real Monterotondo,17846,Ilvamaddalena,19973,3,1,True
1374814,2025-05-11T14:00:00+00:00,AET,Gavorrano,1699,Sporting Trestina,9505,1,2,False
1374817,2025-05-11T14:00:00+00:00,FT,Notaresco,9518,Civitanovese,24688,2,1,True
1374821,2025-05-11T14:00:00+00:00,AET,Acireale,9550,Città Di Sant’Agata,17854,2,2,False
1374815,2025-05-11T14:00:00+00:00,FT,Terranuova Traiana,19988,Figline,22108,1,0,True
1374816,2025-05-11T14:00:00+00:00,FT,Sora,22318,Roma City,19981,1,0,True
1374813,2025-05-11T14:00:00+00:00,FT,Cairese,24684,Chieri,1594,2,0,True
1374820,2025-05-11T14:00:00+00:00,FT,Ugento,24703,Manfredonia,22313,0,1,True
1374818,2025-05-11T14:00:00+00:00,FT,Atletico Lodigiani,24762,Sarrabus Ogliastra,19984,1,0,True
1374822,2025-05-11T14:00:00+00:00,FT,CastrumFavara,24763,Licata,9557,2,0,True
1374970,2025-05-17T14:00:00+00:00,FT,Caravaggio,9447,Virtus Ciserano Bergamo,9462,2,3,True
1375688,2025-05-18T14:00:00+00:00,FT,Corticella,19972,Sammaurese,9489,0,2,True
