fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1444633,2025-08-24T20:00:00+00:00,FT,Regular Season - 1,Mount Pleasant Academy,3442,Montego Bay United,3441,2,2,True
1444630,2025-08-24T20:00:00+00:00,FT,Regular Season - 1,Chapelton,20597,Tivoli Gardens,3445,2,1,True
1452016,2025-08-24T20:00:00+00:00,FT,Regular Season - 1,Treasure Beach,22606,Spanish Town Police,26495,2,0,True
1444632,2025-08-24T21:00:00+00:00,FT,Regular Season - 1,Molynes United,6407,Waterhouse,3447,0,2,True
1444629,2025-08-24T23:30:00+00:00,FT,Regular Season - 1,Cavalier,3437,Harbour View,3439,0,0,True
1444631,2025-08-25T22:00:00+00:00,FT,Regular Season - 1,Dunbeholden,3438,Portmore United,3443,0,2,True
1447006,2025-08-26T00:30:00+00:00,FT,Regular Season - 1,Racing United,25020,Arnett Gardens,3436,5,1,True
1449158,2025-08-31T20:00:00+00:00,FT,Regular Season - 2,Harbour View,3439,Chapelton,20597,0,2,True
1449159,2025-08-31T20:00:00+00:00,FT,Regular Season - 2,Spanish Town Police,26495,Dunbeholden,3438,0,1,True
1449162,2025-08-31T21:00:00+00:00,FT,Regular Season - 2,Waterhouse,3447,Racing United,25020,1,2,True
1449160,2025-08-31T22:30:00+00:00,FT,Regular Season - 2,Portmore United,3443,Tivoli Gardens,3445,0,0,True
1449718,2025-09-01T21:00:00+00:00,FT,Regular Season - 2,Arnett Gardens,3436,Cavalier,3437,2,3,True
1449161,2025-09-01T22:00:00+00:00,FT,Regular Season - 2,Mount Pleasant Academy,3442,Molynes United,6407,1,1,True
1449163,2025-09-02T00:30:00+00:00,FT,Regular Season - 2,Montego Bay United,3441,Treasure Beach,22606,3,1,True
1449167,2025-09-07T20:00:00+00:00,FT,Regular Season - 3,Dunbeholden,3438,Montego Bay United,3441,1,2,True
1449164,2025-09-07T20:00:00+00:00,FT,Regular Season - 3,Harbour View,3439,Arnett Gardens,3436,2,5,True
1449721,2025-09-07T20:00:00+00:00,FT,Regular Season - 3,Chapelton,20597,Portmore United,3443,3,2,True
1449165,2025-09-07T20:00:00+00:00,FT,Regular Season - 3,Treasure Beach,22606,Molynes United,6407,2,2,True
1449166,2025-09-08T22:00:00+00:00,FT,Regular Season - 3,Tivoli Gardens,3445,Spanish Town Police,26495,2,1,True
1449720,2025-09-09T00:30:00+00:00,FT,Regular Season - 3,Cavalier,3437,Waterhouse,3447,0,1,True
1449171,2025-09-14T18:00:00+00:00,FT,Regular Season - 4,Spanish Town Police,26495,Portmore United,3443,0,1,True
1449172,2025-09-14T20:00:00+00:00,FT,Regular Season - 4,Arnett Gardens,3436,Chapelton,20597,1,0,True
1449169,2025-09-14T20:00:00+00:00,FT,Regular Season - 4,Treasure Beach,22606,Racing United,25020,2,4,True
1449722,2025-09-14T20:30:00+00:00,FT,Regular Season - 4,Mount Pleasant Academy,3442,Cavalier,3437,2,1,True
1449168,2025-09-15T00:00:00+00:00,FT,Regular Season - 4,Montego Bay United,3441,Tivoli Gardens,3445,3,1,True
1449170,2025-09-15T22:00:00+00:00,FT,Regular Season - 4,Molynes United,6407,Dunbeholden,3438,0,2,True
1449173,2025-09-16T00:30:00+00:00,FT,Regular Season - 4,Waterhouse,3447,Harbour View,3439,1,2,True
1467556,2025-09-21T20:00:00+00:00,FT,Regular Season - 5,Dunbeholden,3438,Racing United,25020,0,0,True
1467560,2025-09-21T20:00:00+00:00,FT,Regular Season - 5,Tivoli Gardens,3445,Molynes United,6407,1,1,True
1467562,2025-09-21T20:30:00+00:00,FT,Regular Season - 5,Cavalier,3437,Treasure Beach,22606,2,1,True
1467561,2025-09-21T22:30:00+00:00,FT,Regular Season - 5,Portmore United,3443,Montego Bay United,3441,2,0,True
1467558,2025-09-22T22:00:00+00:00,FT,Regular Season - 5,Chapelton,20597,Spanish Town Police,26495,0,0,True
1467559,2025-09-23T00:30:00+00:00,FT,Regular Season - 5,Arnett Gardens,3436,Waterhouse,3447,2,1,True
1467565,2025-09-28T20:00:00+00:00,FT,Regular Season - 6,Racing United,25020,Tivoli Gardens,3445,0,0,True
