fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1298706,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Saham,5335,El Alia,17464,,,False
1298703,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Kfarsoum,11470,Der Abi Saeed,22187,,,False
1298708,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Al Hashemeya,17455,Al Karmal,17457,,,False
1298707,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Al Taibah,17459,Al Husn,17456,,,False
1298701,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Al Tora,17460,Jerash,17466,,,False
1298704,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Al Wehda,17461,Hartha,17465,,,False
1298709,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Shabab Hwarah,17470,Shabab Houran,24904,,,False
1298700,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Ghor Al-Safi,19292,Harima,24903,,,False
1298702,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Rabaa Serhan,19293,Arhaba,24902,,,False
1298705,2024-10-01T15:00:00+00:00,CANC,Preliminary Round,Um Al Sarab,24905,Al Khaledeya,17458,,,False
1319350,2024-12-12T13:00:00+00:00,FT,Round of 16,Al Jalil,11474,Al Salt,4535,1,4,True
1319344,2024-12-12T15:45:00+00:00,FT,Round of 16,Al Wihdat,4537,Ma'an,10121,5,1,True
1319346,2024-12-13T13:00:00+00:00,FT,Round of 16,Al Ramtha,4534,Al Jazeera,4533,1,0,True
1319349,2024-12-13T15:45:00+00:00,FT,Round of 16,Aqaba,4538,Al Faisaly,4531,0,5,True
1319348,2024-12-14T12:00:00+00:00,FT,Round of 16,Moghayer Al Sarhan,17467,Sahab,4543,4,2,True
1319347,2024-12-14T13:00:00+00:00,FT,Round of 16,Al Ahli,4529,Shabab Al Ordon,4539,2,1,True
1319345,2024-12-14T16:00:00+00:00,FT,Round of 16,Al Arabi,17472,Al Hussein,4532,0,2,True
1319351,2024-12-15T13:00:00+00:00,PEN,Round of 16,Sama Al Sarhan,17469,Al Sareeh,4536,1,1,False
1323228,2024-12-20T15:00:00+00:00,FT,Quarter-finals,Al Ramtha,4534,Al Ahli,4529,1,2,True
1323230,2024-12-23T14:00:00+00:00,PEN,Quarter-finals,Al Salt,4535,Al Hussein,4532,1,1,False
1323380,2024-12-23T16:45:00+00:00,FT,Quarter-finals,Al Wihdat,4537,Sama Al Sarhan,17469,3,0,True
1323229,2024-12-24T15:00:00+00:00,FT,Quarter-finals,Moghayer Al Sarhan,17467,Al Faisaly,4531,1,3,True
1373930,2025-05-08T16:00:00+00:00,PEN,Semi-finals,Al Ahli,4529,Al Wihdat,4537,0,0,False
1373929,2025-05-08T16:00:00+00:00,FT,Semi-finals,Al Faisaly,4531,Al Hussein,4532,0,1,True
1375099,2025-05-12T17:00:00+00:00,PEN,Final,Al Wihdat,4537,Al Hussein,4532,0,0,False
