fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1333282,2025-02-07T14:00:00+00:00,FT,Al Ramtha,4534,Aqaba,4538,0,0,True
1333283,2025-02-07T16:45:00+00:00,FT,Al Faisaly,4531,Ma'an,10121,3,1,True
1333284,2025-02-08T14:00:00+00:00,FT,Moghayer Al Sarhan,17467,Al Ahli,4529,0,0,True
1333285,2025-02-08T16:45:00+00:00,FT,Shabab Al Ordon,4539,Al Salt,4535,0,4,True
1333288,2025-02-14T14:00:00+00:00,FT,Al Faisaly,4531,Al Salt,4535,1,1,True
1333289,2025-02-14T16:45:00+00:00,FT,Aqaba,4538,Al Sareeh,4536,2,1,True
1333290,2025-02-15T14:00:00+00:00,FT,Al Ahli,4529,Ma'an,10121,0,1,True
1333291,2025-02-15T16:45:00+00:00,FT,Al Jazeera,4533,Shabab Al Ordon,4539,2,1,True
1333292,2025-02-21T14:00:00+00:00,FT,Al Salt,4535,Al Ahli,4529,2,0,True
1333293,2025-02-21T16:45:00+00:00,FT,Al Ramtha,4534,Al Jazeera,4533,0,3,True
1333294,2025-02-22T14:00:00+00:00,FT,Moghayer Al Sarhan,17467,Aqaba,4538,1,2,True
1333295,2025-02-22T16:45:00+00:00,FT,Shabab Al Ordon,4539,Al Faisaly,4531,1,1,True
1333296,2025-02-23T16:00:00+00:00,FT,Al Sareeh,4536,Al Hussein,4532,1,5,True
1333297,2025-02-24T16:00:00+00:00,FT,Ma'an,10121,Al Wihdat,4537,0,2,True
1333298,2025-02-27T14:00:00+00:00,FT,Al Ramtha,4534,Shabab Al Ordon,4539,1,0,True
1333299,2025-02-27T16:45:00+00:00,FT,Al Ahli,4529,Al Faisaly,4531,1,2,True
1333301,2025-02-28T14:00:00+00:00,FT,Al Jazeera,4533,Al Sareeh,4536,1,0,True
1333300,2025-02-28T14:00:00+00:00,FT,Al Wihdat,4537,Al Salt,4535,2,1,True
1333303,2025-02-28T16:45:00+00:00,FT,Al Hussein,4532,Moghayer Al Sarhan,17467,3,0,True
1333302,2025-02-28T16:45:00+00:00,FT,Aqaba,4538,Ma'an,10121,0,2,True
1356735,2025-03-04T19:00:00+00:00,FT,Shabab Al Ordon,4539,Al Ahli,4529,2,0,True
