fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1449181,2025-08-28T15:00:00+00:00,FT,Al Ahli,4529,Shabab Al Ordon,4539,2,0,True
1449182,2025-08-28T18:00:00+00:00,FT,Al Faisaly,4531,Sama Al Sarhan,17469,2,1,True
1449183,2025-08-29T16:30:00+00:00,FT,Al Hussein,4532,Al Wihdat,4537,0,0,True
1449184,2025-08-30T15:00:00+00:00,FT,Al Buqa'a,4530,Al Salt,4535,1,1,True
1449185,2025-08-30T18:00:00+00:00,FT,Al Ramtha,4534,Al Jazeera,4533,0,0,True
1449928,2025-09-05T16:30:00+00:00,FT,Al Wihdat,4537,Al Ramtha,4534,4,3,True
1449929,2025-09-07T15:00:00+00:00,FT,Al Ahli,4529,Al Buqa'a,4530,0,1,True
1449930,2025-09-07T18:00:00+00:00,FT,Shabab Al Ordon,4539,Al Faisaly,4531,0,1,True
1449931,2025-09-08T15:00:00+00:00,FT,Al Salt,4535,Al Jazeera,4533,1,0,True
1449932,2025-09-08T18:00:00+00:00,FT,Sama Al Sarhan,17469,Al Hussein,4532,0,1,True
1449933,2025-10-03T14:00:00+00:00,FT,Al Jazeera,4533,Al Ahli,4529,1,1,True
1449934,2025-10-03T17:00:00+00:00,FT,Al Buqa'a,4530,Al Faisaly,4531,0,3,True
1449935,2025-10-04T15:30:00+00:00,FT,Al Ramtha,4534,Al Salt,4535,0,1,True
1449936,2025-10-05T14:00:00+00:00,FT,Al Wihdat,4537,Sama Al Sarhan,17469,2,1,True
1449937,2025-10-05T17:00:00+00:00,FT,Al Hussein,4532,Shabab Al Ordon,4539,1,0,True
1449938,2025-10-09T15:30:00+00:00,FT,Al Faisaly,4531,Al Jazeera,4533,3,2,True
1449939,2025-10-11T14:00:00+00:00,FT,Al Hussein,4532,Al Buqa'a,4530,0,0,True
1449940,2025-10-11T17:00:00+00:00,FT,Shabab Al Ordon,4539,Al Wihdat,4537,0,0,True
1449941,2025-10-12T14:00:00+00:00,FT,Al Ahli,4529,Al Salt,4535,0,0,True
1449942,2025-10-12T17:00:00+00:00,FT,Sama Al Sarhan,17469,Al Ramtha,4534,1,0,True
1449943,2025-11-20T14:00:00+00:00,FT,Sama Al Sarhan,17469,Shabab Al Ordon,4539,1,2,True
1449944,2025-11-20T17:00:00+00:00,FT,Al Jazeera,4533,Al Hussein,4532,1,2,True
1449945,2025-11-21T14:00:00+00:00,FT,Al Ramtha,4534,Al Ahli,4529,0,2,True
1449946,2025-11-21T17:00:00+00:00,FT,Al Salt,4535,Al Faisaly,4531,1,0,True
1449947,2025-11-22T15:30:00+00:00,FT,Al Wihdat,4537,Al Buqa'a,4530,3,1,True
1449948,2025-11-28T14:00:00+00:00,FT,Al Buqa'a,4530,Sama Al Sarhan,17469,3,0,True
1449949,2025-11-28T17:00:00+00:00,FT,Al Faisaly,4531,Al Ahli,4529,2,1,True
1449950,2025-11-29T15:30:00+00:00,FT,Shabab Al Ordon,4539,Al Ramtha,4534,1,0,True
1449951,2025-11-30T14:00:00+00:00,FT,Al Hussein,4532,Al Salt,4535,0,1,True
1449952,2025-11-30T17:00:00+00:00,FT,Al Jazeera,4533,Al Wihdat,4537,1,0,True
1449953,2025-12-04T14:00:00+00:00,FT,Shabab Al Ordon,4539,Al Buqa'a,4530,1,0,True
1449954,2025-12-04T17:00:00+00:00,FT,Al Ramtha,4534,Al Faisaly,4531,1,3,True
1449955,2025-12-05T14:00:00+00:00,FT,Sama Al Sarhan,17469,Al Jazeera,4533,3,1,True
1449956,2025-12-05T17:00:00+00:00,FT,Al Ahli,4529,Al Hussein,4532,3,0,True
1449957,2025-12-06T15:30:00+00:00,FT,Al Salt,4535,Al Wihdat,4537,0,2,True
1449962,2025-12-10T16:00:00+00:00,FT,Al Buqa'a,4530,Al Ramtha,4534,1,2,True
1449958,2025-12-11T14:00:00+00:00,FT,Al Jazeera,4533,Shabab Al Ordon,4539,2,1,True
1449959,2025-12-11T17:00:00+00:00,FT,Al Wihdat,4537,Al Ahli,4529,4,1,True
1449961,2025-12-13T14:00:00+00:00,FT,Al Salt,4535,Sama Al Sarhan,17469,1,0,True
1449960,2025-12-13T17:00:00+00:00,FT,Al Hussein,4532,Al Faisaly,4531,0,2,True
1449966,2025-12-27T13:00:00+00:00,FT,Al Ramtha,4534,Al Hussein,4532,2,0,True
1449967,2025-12-27T16:00:00+00:00,FT,Al Ahli,4529,Sama Al Sarhan,17469,2,1,True
1449965,2025-12-28T13:00:00+00:00,FT,Al Buqa'a,4530,Al Jazeera,4533,1,0,True
1449964,2025-12-28T16:00:00+00:00,FT,Al Faisaly,4531,Al Wihdat,4537,1,0,True
1449963,2025-12-28T16:00:00+00:00,FT,Shabab Al Ordon,4539,Al Salt,4535,1,2,True
