fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1441202,2025-09-12T15:25:00+00:00,FT,Regular Season - 1,Al Jahra,3534,Al Fahaheel,3533,1,3,True
1441199,2025-09-12T17:40:00+00:00,FT,Regular Season - 1,Al Arabi,3532,Al Shabab,3541,2,0,True
1441200,2025-09-13T15:25:00+00:00,FT,Regular Season - 1,Al Qadsia,3537,Al Nasar,3536,4,0,True
1441198,2025-09-13T17:40:00+00:00,FT,Regular Season - 1,Al Tadhamon,3539,Al Kuwait,3535,1,3,True
1441201,2025-09-14T15:20:00+00:00,FT,Regular Season - 1,Al Salmiyah,3538,Kazma,3540,0,1,True
1450979,2025-09-17T15:20:00+00:00,FT,Regular Season - 2,Al Kuwait,3535,Al Jahra,3534,4,1,True
1450980,2025-09-17T17:35:00+00:00,FT,Regular Season - 2,Al Fahaheel,3533,Al Arabi,3532,0,3,True
1450981,2025-09-18T15:15:00+00:00,FT,Regular Season - 2,Kazma,3540,Al Tadhamon,3539,0,0,True
1450982,2025-09-18T17:30:00+00:00,FT,Regular Season - 2,Al Shabab,3541,Al Qadsia,3537,1,1,True
1450983,2025-09-19T15:15:00+00:00,FT,Regular Season - 2,Al Nasar,3536,Al Salmiyah,3538,0,2,True
1450984,2025-09-21T16:30:00+00:00,FT,Regular Season - 3,Al Arabi,3532,Al Kuwait,3535,1,1,True
1450985,2025-09-22T15:10:00+00:00,FT,Regular Season - 3,Al Jahra,3534,Kazma,3540,2,2,True
1450986,2025-09-22T17:25:00+00:00,FT,Regular Season - 3,Al Qadsia,3537,Al Fahaheel,3533,5,1,True
1450987,2025-09-23T15:10:00+00:00,FT,Regular Season - 3,Al Tadhamon,3539,Al Salmiyah,3538,0,1,True
1450988,2025-09-23T17:25:00+00:00,FT,Regular Season - 3,Al Shabab,3541,Al Nasar,3536,1,0,True
1450989,2025-09-26T15:05:00+00:00,FT,Regular Season - 4,Al Kuwait,3535,Al Qadsia,3537,2,1,True
1450990,2025-09-27T15:05:00+00:00,FT,Regular Season - 4,Al Fahaheel,3533,Al Shabab,3541,0,1,True
1450991,2025-09-27T17:20:00+00:00,FT,Regular Season - 4,Kazma,3540,Al Arabi,3532,0,0,True
1450992,2025-09-28T15:05:00+00:00,FT,Regular Season - 4,Al Nasar,3536,Al Tadhamon,3539,0,1,True
1450993,2025-09-28T17:20:00+00:00,FT,Regular Season - 4,Al Salmiyah,3538,Al Jahra,3534,2,0,True
1450994,2025-10-17T14:40:00+00:00,FT,Regular Season - 5,Al Jahra,3534,Al Tadhamon,3539,1,0,True
1450995,2025-10-18T14:40:00+00:00,FT,Regular Season - 5,Al Fahaheel,3533,Al Nasar,3536,2,1,True
1450996,2025-10-18T16:55:00+00:00,FT,Regular Season - 5,Al Qadsia,3537,Kazma,3540,0,1,True
1450997,2025-10-19T14:40:00+00:00,FT,Regular Season - 5,Al Shabab,3541,Al Kuwait,3535,0,4,True
1450998,2025-10-19T16:55:00+00:00,FT,Regular Season - 5,Al Arabi,3532,Al Salmiyah,3538,3,1,True
1450999,2025-10-26T14:35:00+00:00,FT,Regular Season - 6,Al Nasar,3536,Al Jahra,3534,0,1,True
1451002,2025-10-26T16:50:00+00:00,FT,Regular Season - 6,Kazma,3540,Al Shabab,3541,1,1,True
1451003,2025-10-27T15:45:00+00:00,FT,Regular Season - 6,Al Salmiyah,3538,Al Qadsia,3537,0,0,True
1451004,2025-10-31T14:30:00+00:00,FT,Regular Season - 7,Al Qadsia,3537,Al Tadhamon,3539,3,0,True
1451005,2025-11-01T14:30:00+00:00,FT,Regular Season - 7,Al Fahaheel,3533,Kazma,3540,1,1,True
1451006,2025-11-01T16:45:00+00:00,FT,Regular Season - 7,Al Shabab,3541,Al Salmiyah,3538,0,0,True
1451007,2025-11-04T14:25:00+00:00,FT,Regular Season - 7,Al Kuwait,3535,Al Nasar,3536,1,0,True
1451008,2025-11-04T16:40:00+00:00,FT,Regular Season - 7,Al Arabi,3532,Al Jahra,3534,4,0,True
1451009,2025-11-07T14:25:00+00:00,FT,Regular Season - 8,Al Salmiyah,3538,Al Fahaheel,3533,1,2,True
1451010,2025-11-07T16:40:00+00:00,FT,Regular Season - 8,Al Tadhamon,3539,Al Shabab,3541,1,1,True
1451011,2025-11-08T14:25:00+00:00,FT,Regular Season - 8,Al Jahra,3534,Al Qadsia,3537,0,2,True
1451012,2025-11-09T14:25:00+00:00,FT,Regular Season - 8,Al Arabi,3532,Al Nasar,3536,1,2,True
1451013,2025-11-09T17:40:00+00:00,FT,Regular Season - 8,Kazma,3540,Al Kuwait,3535,1,2,True
1485974,2025-12-17T13:00:00+00:00,FT,Regular Season - 9,Al Kuwait,3535,Al Salmiyah,3538,1,1,True
1485975,2025-12-17T15:40:00+00:00,FT,Regular Season - 9,Al Qadsia,3537,Al Arabi,3532,1,2,True
1485976,2025-12-19T13:00:00+00:00,FT,Regular Season - 9,Al Jahra,3534,Al Shabab,3541,1,2,True
1485977,2025-12-19T15:40:00+00:00,FT,Regular Season - 9,Al Fahaheel,3533,Al Tadhamon,3539,1,0,True
1485978,2025-12-20T13:00:00+00:00,FT,Regular Season - 9,Kazma,3540,Al Nasar,3536,1,0,True
1451001,2025-12-28T13:05:00+00:00,FT,Regular Season - 6,Al Tadhamon,3539,Al Arabi,3532,1,2,True
1451000,2025-12-28T15:45:00+00:00,FT,Regular Season - 6,Al Kuwait,3535,Al Fahaheel,3533,5,0,True
1497471,2025-12-31T13:10:00+00:00,FT,Regular Season - 10,Kazma,3540,Al Salmiyah,3538,1,1,True
1497472,2025-12-31T15:40:00+00:00,FT,Regular Season - 10,Al Nasar,3536,Al Qadsia,3537,0,0,True
1497473,2026-01-01T14:30:00+00:00,FT,Regular Season - 10,Al Fahaheel,3533,Al Jahra,3534,4,1,True
1497474,2026-01-02T13:10:00+00:00,FT,Regular Season - 10,Al Kuwait,3535,Al Tadhamon,3539,7,1,True
1497475,2026-01-02T15:40:00+00:00,FT,Regular Season - 10,Al Shabab,3541,Al Arabi,3532,0,5,True
1502195,2026-01-14T13:20:00+00:00,FT,Regular Season - 11,Al Kuwait,3535,Al Jahra,3534,2,0,True
1502196,2026-01-14T15:45:00+00:00,FT,Regular Season - 11,Al Salmiyah,3538,Al Nasar,3536,1,1,True
1502197,2026-01-15T13:20:00+00:00,FT,Regular Season - 11,Al Qadsia,3537,Al Shabab,3541,4,1,True
1502198,2026-01-15T15:45:00+00:00,FT,Regular Season - 11,Al Arabi,3532,Al Fahaheel,3533,1,1,True
1502200,2026-01-23T13:25:00+00:00,FT,Regular Season - 12,Al Salmiyah,3538,Al Tadhamon,3539,3,1,True
1502201,2026-01-23T15:50:00+00:00,FT,Regular Season - 12,Al Fahaheel,3533,Al Qadsia,3537,0,2,True
1502202,2026-01-24T14:45:00+00:00,FT,Regular Season - 12,Al Kuwait,3535,Al Arabi,3532,1,0,True
1502203,2026-01-25T13:30:00+00:00,FT,Regular Season - 12,Al Nasar,3536,Al Shabab,3541,1,1,True
