fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1294438,2024-09-14T09:00:00+00:00,FT,Regular Season - 1,Ezra,14094,Champasak United,18750,10,0,True
1294439,2024-09-14T09:00:00+00:00,FT,Regular Season - 1,Viengchanh,14096,Young Elephant,14098,1,4,True
1294591,2024-09-21T09:00:00+00:00,FT,Regular Season - 2,Viengchanh,14096,Lao Army,16493,1,1,True
1294441,2024-09-25T09:00:00+00:00,FT,Regular Season - 1,Lao Army,16493,Luangprabang FC,21015,2,0,True
1294594,2024-09-29T09:00:00+00:00,FT,Regular Season - 3,Master 7,9425,Luangprabang FC,21015,0,4,True
1294440,2024-10-02T09:00:00+00:00,FT,Regular Season - 1,Master 7,9425,Namtha United,21016,2,0,True
1294592,2024-10-02T09:00:00+00:00,FT,Regular Season - 2,Young Elephant,14098,Champasak United,18750,3,0,True
1294598,2024-10-05T08:30:00+00:00,FT,Regular Season - 4,Young Elephant,14098,Lao Army,16493,6,2,True
1294601,2024-10-06T08:30:00+00:00,FT,Regular Season - 4,Ezra,14094,Luangprabang FC,21015,2,0,True
1294599,2024-10-06T08:30:00+00:00,FT,Regular Season - 4,Champasak United,18750,Master 7,9425,2,3,True
1294600,2024-10-06T08:30:00+00:00,FT,Regular Season - 4,Namtha United,21016,Viengchanh,14096,1,1,True
1294603,2024-10-19T08:00:00+00:00,FT,Regular Season - 5,Luangprabang FC,21015,Young Elephant,14098,0,4,True
1294602,2024-10-19T08:30:00+00:00,FT,Regular Season - 5,Ezra,14094,Namtha United,21016,3,0,True
1294604,2024-10-19T08:30:00+00:00,FT,Regular Season - 5,Lao Army,16493,Champasak United,18750,2,1,True
1294605,2024-10-20T08:30:00+00:00,FT,Regular Season - 5,Viengchanh,14096,Master 7,9425,0,5,True
1294595,2024-10-22T08:30:00+00:00,FT,Regular Season - 3,Lao Army,16493,Ezra,14094,2,4,True
1294609,2024-10-26T08:30:00+00:00,FT,Regular Season - 6,Lao Army,16493,Master 7,9425,1,2,True
1294607,2024-10-26T08:30:00+00:00,FT,Regular Season - 6,Champasak United,18750,Namtha United,21016,0,2,True
1294608,2024-10-26T08:30:00+00:00,FT,Regular Season - 6,Luangprabang FC,21015,Viengchanh,14096,2,0,True
1294593,2024-10-30T08:30:00+00:00,FT,Regular Season - 2,Master 7,9425,Ezra,14094,0,1,True
1294611,2024-11-03T08:30:00+00:00,FT,Regular Season - 7,Ezra,14094,Viengchanh,14096,12,0,True
1294640,2024-11-03T08:30:00+00:00,FT,Regular Season - 7,Young Elephant,14098,Master 7,9425,1,1,True
1294613,2024-11-03T08:30:00+00:00,FT,Regular Season - 7,Luangprabang FC,21015,Champasak United,18750,2,0,True
1294612,2024-11-03T08:30:00+00:00,FT,Regular Season - 7,Namtha United,21016,Lao Army,16493,3,1,True
1294606,2024-11-06T08:30:00+00:00,FT,Regular Season - 6,Ezra,14094,Young Elephant,14098,4,3,True
