fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1359859,2025-05-04T14:00:00+00:00,CANC,Regular Season - 30,Voska Sport,17663,Tikveš,4348,,,False
1359860,2025-05-07T15:00:00+00:00,CANC,Regular Season - 31,Pelister,693,Voska Sport,17663,,,False
1359867,2025-05-11T15:00:00+00:00,CANC,Regular Season - 32,KF Gostivari,4338,Shkendija,609,,,False
1359871,2025-05-11T15:00:00+00:00,CANC,Regular Season - 32,Besa Dobërdoll,17660,Voska Sport,17663,,,False
1359876,2025-05-18T15:00:00+00:00,CANC,Regular Season - 33,Vardar Skopje,574,KF Gostivari,4338,,,False
1359873,2025-05-18T15:00:00+00:00,CANC,Regular Season - 33,Voska Sport,17663,Shkupi 1927,2265,,,False
1273767,2024-08-11T15:00:00+00:00,FT,Regular Season - 1,FK Rabotnicki,663,Sileks,4331,1,0,True
1273769,2024-08-11T15:00:00+00:00,FT,Regular Season - 1,Pelister,693,KF Gostivari,4338,1,1,True
1273770,2024-08-11T15:00:00+00:00,FT,Regular Season - 1,Shkupi 1927,2265,Voska Sport,17663,3,3,True
1273765,2024-08-11T15:00:00+00:00,FT,Regular Season - 1,Struga,4346,Tikveš,4348,1,0,True
1273766,2024-08-11T15:00:00+00:00,FT,Regular Season - 1,Besa Dobërdoll,17660,Shkendija,609,1,3,True
1273768,2024-08-11T18:00:00+00:00,FT,Regular Season - 1,Akademija Pandev,4194,Vardar Skopje,574,3,1,True
1273775,2024-08-18T15:00:00+00:00,FT,Regular Season - 2,Shkendija,609,FK Rabotnicki,663,1,1,True
1273774,2024-08-18T15:00:00+00:00,FT,Regular Season - 2,Sileks,4331,Akademija Pandev,4194,4,0,True
1273772,2024-08-18T15:00:00+00:00,FT,Regular Season - 2,KF Gostivari,4338,Shkupi 1927,2265,2,0,True
1273776,2024-08-18T15:00:00+00:00,FT,Regular Season - 2,Struga,4346,Besa Dobërdoll,17660,1,0,True
1273771,2024-08-18T15:00:00+00:00,FT,Regular Season - 2,Tikveš,4348,Voska Sport,17663,2,1,True
1273773,2024-08-18T18:00:00+00:00,FT,Regular Season - 2,Vardar Skopje,574,Pelister,693,1,0,True
1273778,2024-08-25T14:00:00+00:00,FT,Regular Season - 3,FK Rabotnicki,663,Struga,4346,2,0,True
1273780,2024-08-25T14:00:00+00:00,FT,Regular Season - 3,Pelister,693,Sileks,4331,1,0,True
1273781,2024-08-25T14:00:00+00:00,FT,Regular Season - 3,Shkupi 1927,2265,Vardar Skopje,574,3,0,True
1273777,2024-08-25T14:00:00+00:00,FT,Regular Season - 3,Besa Dobërdoll,17660,Tikveš,4348,1,0,True
1273782,2024-08-25T14:00:00+00:00,FT,Regular Season - 3,Voska Sport,17663,KF Gostivari,4338,0,2,True
1273779,2024-08-25T18:00:00+00:00,FT,Regular Season - 3,Akademija Pandev,4194,Shkendija,609,0,2,True
1273784,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Vardar Skopje,574,Voska Sport,17663,1,3,True
1273786,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Shkendija,609,Pelister,693,2,0,True
1273785,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Sileks,4331,Shkupi 1927,2265,2,1,True
1273787,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Struga,4346,Akademija Pandev,4194,2,0,True
1273783,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Tikveš,4348,KF Gostivari,4338,0,0,True
1273788,2024-08-31T14:00:00+00:00,FT,Regular Season - 4,Besa Dobërdoll,17660,FK Rabotnicki,663,0,0,True
1273789,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,FK Rabotnicki,663,Tikveš,4348,3,1,True
1273791,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,Pelister,693,Struga,4346,1,1,True
1273792,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,Shkupi 1927,2265,Shkendija,609,1,1,True
1273790,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,Akademija Pandev,4194,Besa Dobërdoll,17660,3,2,True
1273794,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,KF Gostivari,4338,Vardar Skopje,574,1,1,True
1273793,2024-09-15T13:00:00+00:00,FT,Regular Season - 5,Voska Sport,17663,Sileks,4331,0,3,True
1273797,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,Shkendija,609,Voska Sport,17663,5,1,True
1273800,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,FK Rabotnicki,663,Akademija Pandev,4194,1,1,True
1273796,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,Sileks,4331,KF Gostivari,4338,1,2,True
1273798,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,Struga,4346,Shkupi 1927,2265,0,3,True
1273795,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,Tikveš,4348,Vardar Skopje,574,0,1,True
1273799,2024-09-22T13:00:00+00:00,FT,Regular Season - 6,Besa Dobërdoll,17660,Pelister,693,2,3,True
1273802,2024-09-25T13:00:00+00:00,FT,Regular Season - 7,Pelister,693,FK Rabotnicki,663,0,0,True
1273803,2024-09-25T13:00:00+00:00,FT,Regular Season - 7,Shkupi 1927,2265,Besa Dobërdoll,17660,1,1,True
1273801,2024-09-25T13:00:00+00:00,FT,Regular Season - 7,Akademija Pandev,4194,Tikveš,4348,0,0,True
