fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
914179,2022-08-19T16:30:00+00:00,FT,Regular Season - 1,Birkirkara,2277,Sirens,4619,2,0,True
914180,2022-08-19T18:45:00+00:00,FT,Regular Season - 1,Balzan FC,696,Zebbug Rangers,4614,3,1,True
914182,2022-08-20T16:30:00+00:00,FT,Regular Season - 1,Gzira United,2264,Santa Lucía,3651,3,1,True
914184,2022-08-20T17:30:00+00:00,FT,Regular Season - 1,Mosta,4627,Gudja United,4616,1,2,True
914181,2022-08-20T18:45:00+00:00,FT,Regular Season - 1,Floriana,4625,Pietà Hotspurs,4607,2,0,True
914183,2022-08-21T16:30:00+00:00,FT,Regular Season - 1,Valletta FC,659,Hibernians,3884,1,1,True
930640,2022-08-26T16:30:00+00:00,FT,Regular Season - 2,Gudja United,4616,Gzira United,2264,3,3,True
930641,2022-08-26T18:45:00+00:00,FT,Regular Season - 2,Pietà Hotspurs,4607,Valletta FC,659,0,6,True
930645,2022-08-27T16:30:00+00:00,FT,Regular Season - 2,Zebbug Rangers,4614,Birkirkara,2277,1,2,True
930643,2022-08-27T16:30:00+00:00,FT,Regular Season - 2,Sirens,4619,Floriana,4625,2,2,True
930644,2022-08-27T16:30:00+00:00,FT,Regular Season - 2,Marsaxlokk,14507,Mosta,4627,1,4,True
930646,2022-08-28T16:30:00+00:00,FT,Regular Season - 2,Santa Lucía,3651,Balzan FC,696,0,2,True
930642,2022-08-29T17:30:00+00:00,FT,Regular Season - 2,Hibernians,3884,Hamrun Spartans,4626,1,4,True
930648,2022-09-03T16:30:00+00:00,FT,Regular Season - 3,Balzan FC,696,Gudja United,4616,0,1,True
930647,2022-09-03T16:30:00+00:00,FT,Regular Season - 3,Birkirkara,2277,Floriana,4625,1,0,True
930649,2022-09-03T16:30:00+00:00,FT,Regular Season - 3,Zebbug Rangers,4614,Santa Lucía,3651,2,0,True
930650,2022-09-03T18:45:00+00:00,FT,Regular Season - 3,Valletta FC,659,Sirens,4619,0,0,True
930651,2022-09-04T16:30:00+00:00,FT,Regular Season - 3,Gzira United,2264,Marsaxlokk,14507,0,0,True
930652,2022-09-04T17:30:00+00:00,FT,Regular Season - 3,Mosta,4627,Hibernians,3884,0,5,True
930653,2022-09-04T18:45:00+00:00,FT,Regular Season - 3,Hamrun Spartans,4626,Pietà Hotspurs,4607,2,0,True
914185,2022-09-07T17:30:00+00:00,FT,Regular Season - 1,Hamrun Spartans,4626,Marsaxlokk,14507,1,0,True
930656,2022-09-09T16:30:00+00:00,FT,Regular Season - 4,Gudja United,4616,Zebbug Rangers,4614,2,1,True
930655,2022-09-10T16:30:00+00:00,FT,Regular Season - 4,Pietà Hotspurs,4607,Mosta,4627,1,4,True
930654,2022-09-10T16:30:00+00:00,FT,Regular Season - 4,Floriana,4625,Valletta FC,659,1,0,True
930657,2022-09-10T18:45:00+00:00,FT,Regular Season - 4,Sirens,4619,Hamrun Spartans,4626,0,2,True
930658,2022-09-11T16:30:00+00:00,FT,Regular Season - 4,Marsaxlokk,14507,Balzan FC,696,1,2,True
930659,2022-09-11T17:30:00+00:00,FT,Regular Season - 4,Hibernians,3884,Gzira United,2264,1,2,True
930660,2022-09-11T18:45:00+00:00,FT,Regular Season - 4,Santa Lucía,3651,Birkirkara,2277,0,4,True
930661,2022-10-01T13:00:00+00:00,FT,Regular Season - 5,Hamrun Spartans,4626,Floriana,4625,2,0,True
930662,2022-10-01T13:00:00+00:00,FT,Regular Season - 5,Mosta,4627,Sirens,4619,1,1,True
930663,2022-10-01T15:15:00+00:00,FT,Regular Season - 5,Santa Lucía,3651,Gudja United,4616,1,3,True
930664,2022-10-01T15:15:00+00:00,FT,Regular Season - 5,Zebbug Rangers,4614,Marsaxlokk,14507,0,3,True
930665,2022-10-02T13:00:00+00:00,FT,Regular Season - 5,Birkirkara,2277,Valletta FC,659,3,0,True
930666,2022-10-02T14:00:00+00:00,FT,Regular Season - 5,Gzira United,2264,Pietà Hotspurs,4607,4,0,True
930667,2022-10-02T15:15:00+00:00,FT,Regular Season - 5,Balzan FC,696,Hibernians,3884,0,2,True
930668,2022-10-07T17:30:00+00:00,FT,Regular Season - 6,Hibernians,3884,Zebbug Rangers,4614,1,0,True
930669,2022-10-08T13:00:00+00:00,FT,Regular Season - 6,Valletta FC,659,Hamrun Spartans,4626,0,1,True
930670,2022-10-08T13:00:00+00:00,FT,Regular Season - 6,Marsaxlokk,14507,Santa Lucía,3651,2,2,True
930671,2022-10-08T15:15:00+00:00,FT,Regular Season - 6,Gudja United,4616,Birkirkara,2277,1,1,True
930672,2022-10-08T15:15:00+00:00,FT,Regular Season - 6,Floriana,4625,Mosta,4627,1,1,True
930673,2022-10-09T13:00:00+00:00,FT,Regular Season - 6,Sirens,4619,Gzira United,2264,0,3,True
930674,2022-10-09T15:15:00+00:00,FT,Regular Season - 6,Pietà Hotspurs,4607,Balzan FC,696,2,3,True
930675,2022-10-15T13:00:00+00:00,FT,Regular Season - 7,Birkirkara,2277,Hamrun Spartans,4626,0,0,True
930677,2022-10-15T15:15:00+00:00,FT,Regular Season - 7,Mosta,4627,Valletta FC,659,3,1,True
