fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1325684,2025-01-11T01:00:00+00:00,FT,Tepatitlán,14279,Venados FC,2311,2,2,True
1325685,2025-01-11T03:00:00+00:00,FT,CA La Paz,19024,Tlaxcala,14280,4,4,True
1325687,2025-01-11T23:00:00+00:00,FT,Monarcas,2284,CDS Tampico Madero,19905,1,0,True
1325686,2025-01-12T01:00:00+00:00,FT,Atlante FC,2312,Celaya,2308,3,0,True
1325688,2025-01-12T01:06:00+00:00,FT,Cancún,14276,Correcaminos Uat,2313,2,1,True
1325689,2025-01-12T03:05:00+00:00,FT,Dorados,2297,Mineros de Zacatecas,2299,0,2,True
1325690,2025-01-12T18:00:00+00:00,FT,Tapatío,14278,Leones Negros UDG,2307,2,3,True
1325691,2025-01-17T01:00:00+00:00,FT,Correcaminos Uat,2313,Tlaxcala,14280,1,1,True
1325693,2025-01-18T01:00:00+00:00,FT,Alebrijes de Oaxaca,2300,Mineros de Zacatecas,2299,0,1,True
1325694,2025-01-18T01:00:00+00:00,FT,Tepatitlán,14279,Cancún,14276,1,1,True
1325695,2025-01-18T03:00:00+00:00,FT,Venados FC,2311,CDS Tampico Madero,19905,1,2,True
1325692,2025-01-18T03:05:00+00:00,FT,Tapatío,14278,Monarcas,2284,1,0,True
1325696,2025-01-18T23:00:00+00:00,FT,Atlante FC,2312,CA La Paz,19024,5,0,True
1325697,2025-01-19T18:00:00+00:00,FT,Leones Negros UDG,2307,Dorados,2297,4,0,True
1325698,2025-01-25T03:00:00+00:00,FT,CA La Paz,19024,Correcaminos Uat,2313,1,1,True
1325699,2025-01-25T23:00:00+00:00,FT,Monarcas,2284,Atlante FC,2312,0,2,True
1325701,2025-01-26T00:00:00+00:00,FT,Tlaxcala,14280,Tepatitlán,14279,2,2,True
1325703,2025-01-26T01:00:00+00:00,FT,Mineros de Zacatecas,2299,Leones Negros UDG,2307,0,0,True
1325700,2025-01-26T01:05:00+00:00,FT,Cancún,14276,Alebrijes de Oaxaca,2300,1,0,True
1325704,2025-01-26T03:00:00+00:00,FT,CDS Tampico Madero,19905,Tapatío,14278,1,0,True
1325702,2025-01-26T03:05:00+00:00,FT,Celaya,2308,Venados FC,2311,1,1,True
1325705,2025-01-31T01:00:00+00:00,FT,Correcaminos Uat,2313,CDS Tampico Madero,19905,2,1,True
1325706,2025-02-01T01:00:00+00:00,FT,Alebrijes de Oaxaca,2300,Tapatío,14278,1,3,True
1325707,2025-02-01T03:00:00+00:00,FT,Tepatitlán,14279,Monarcas,2284,3,1,True
1325708,2025-02-02T01:00:00+00:00,FT,Mineros de Zacatecas,2299,Cancún,14276,1,1,True
1325709,2025-02-02T03:05:00+00:00,FT,Dorados,2297,Celaya,2308,1,1,True
1325710,2025-02-02T18:00:00+00:00,FT,Leones Negros UDG,2307,Tlaxcala,14280,5,1,True
1325711,2025-02-03T01:00:00+00:00,FT,Venados FC,2311,Atlante FC,2312,1,1,True
