fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1477968,2025-09-30T12:00:00+00:00,FT,Round of 32,Iskra,5372,Congaz,17623,4,1,True
1477964,2025-09-30T12:00:00+00:00,FT,Round of 32,Floreşti,5376,EFA Visoca,17624,6,0,True
1478126,2025-09-30T12:00:00+00:00,FT,Round of 32,Sireți,5379,Atletico Bălți,25026,7,2,True
1477965,2025-09-30T12:00:00+00:00,FT,Round of 32,Făleşti,14009,Victoria Bardar,5384,1,2,True
1477967,2025-09-30T12:00:00+00:00,AET,Round of 32,FCM Ungheni,14894,Steaua Nordului,25029,3,2,False
1478128,2025-09-30T12:00:00+00:00,AET,Round of 32,FC Stăuceni,17625,FC National Ialoveni,26757,7,3,False
1478125,2025-09-30T12:00:00+00:00,FT,Round of 32,Oguzsport,24956,Olimp Comrat,14010,1,2,True
1478127,2025-10-01T12:00:00+00:00,FT,Round of 32,Univer Comrat,27498,Constructorul Leova,22185,6,1,True
1481022,2025-10-28T11:00:00+00:00,FT,Round of 16,Spartanii Selemet,5380,Iskra,5372,3,1,True
1481023,2025-10-28T11:00:00+00:00,FT,Round of 16,CSF Bălți,14008,Victoria Bardar,5384,6,1,True
1481024,2025-10-28T14:00:00+00:00,FT,Round of 16,Zimbru,4633,Univer Comrat,27498,10,0,True
1481017,2025-10-28T14:00:00+00:00,FT,Round of 16,Dacia-Buiucani,5375,FC Stăuceni,17625,1,0,True
1481018,2025-10-29T11:00:00+00:00,FT,Round of 16,Milsami Orhei,691,Floreşti,5376,1,0,True
1481020,2025-10-29T11:00:00+00:00,FT,Round of 16,Politehnica UTM,26115,Sireți,5379,6,1,True
1481021,2025-10-29T14:00:00+00:00,FT,Round of 16,Sheriff Tiraspol,568,FCM Ungheni,14894,7,0,True
1481019,2025-10-29T14:00:00+00:00,FT,Round of 16,Petrocub,2271,Olimp Comrat,14010,2,0,True
1486201,2026-03-03T11:00:00+00:00,FT,Quarter-finals,Zimbru,4633,Politehnica UTM,26115,5,0,True
1486198,2026-03-03T13:00:00+00:00,FT,Quarter-finals,Milsami Orhei,691,Spartanii Selemet,5380,5,0,True
1486199,2026-03-04T11:00:00+00:00,FT,Quarter-finals,Petrocub,2271,CSF Bălți,14008,1,0,True
1486200,2026-03-04T13:00:00+00:00,FT,Quarter-finals,Sheriff Tiraspol,568,Dacia-Buiucani,5375,2,0,True
1486204,2026-04-21T12:00:00+00:00,FT,Quarter-finals,Politehnica UTM,26115,Zimbru,4633,0,5,True
1486203,2026-04-21T15:00:00+00:00,FT,Quarter-finals,Dacia-Buiucani,5375,Sheriff Tiraspol,568,1,2,True
1486205,2026-04-22T12:00:00+00:00,FT,Quarter-finals,Spartanii Selemet,5380,Milsami Orhei,691,0,0,True
1486202,2026-04-22T15:00:00+00:00,FT,Quarter-finals,CSF Bălți,14008,Petrocub,2271,1,1,True
1542775,2026-05-06T16:00:00+00:00,FT,Semi-finals,Petrocub,2271,Sheriff Tiraspol,568,1,0,True
1542776,2026-05-06T16:00:00+00:00,FT,Semi-finals,Zimbru,4633,Milsami Orhei,691,2,0,True
1542778,2026-05-13T16:00:00+00:00,FT,Semi-finals,Sheriff Tiraspol,568,Petrocub,2271,2,0,True
1542777,2026-05-13T16:00:00+00:00,FT,Semi-finals,Milsami Orhei,691,Zimbru,4633,0,1,True
1545079,2026-05-23T17:00:00+00:00,FT,Final,Sheriff Tiraspol,568,Zimbru,4633,2,0,True
