fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1367021,2025-03-07T00:00:00+00:00,FT,Dacia-Buiucani,5375,Făleşti,14009,6,0,True
1367022,2025-03-08T00:00:00+00:00,FT,Saxan,4637,Floreşti,5376,19,0,True
1367023,2025-03-08T00:00:00+00:00,FT,Victoria Bardar,5384,FC Stăuceni,17625,0,1,True
1351547,2025-03-08T15:00:00+00:00,FT,Zimbru,4633,Milsami Orhei,691,1,2,True
1351548,2025-03-09T13:00:00+00:00,FT,Sheriff Tiraspol,568,Spartanii Selemet,5380,3,0,True
1351549,2025-03-09T15:00:00+00:00,FT,Petrocub,2271,CSF Bălți,14008,3,0,True
1367024,2025-03-14T00:00:00+00:00,FT,Dacia-Buiucani,5375,Floreşti,5376,4,0,True
1367025,2025-03-14T00:00:00+00:00,FT,Victoria Bardar,5384,Făleşti,14009,5,1,True
1367026,2025-03-15T00:00:00+00:00,FT,Saxan,4637,FC Stăuceni,17625,3,1,True
1351550,2025-03-15T15:00:00+00:00,FT,Sheriff Tiraspol,568,Zimbru,4633,0,0,True
1351551,2025-03-16T13:00:00+00:00,FT,Spartanii Selemet,5380,CSF Bălți,14008,2,3,True
1351552,2025-03-16T15:00:00+00:00,FT,Milsami Orhei,691,Petrocub,2271,5,1,True
1367027,2025-03-28T13:00:00+00:00,FT,Saxan,4637,Victoria Bardar,5384,2,0,True
1367028,2025-03-28T13:00:00+00:00,FT,Dacia-Buiucani,5375,FC Stăuceni,17625,1,0,True
1367029,2025-03-29T13:00:00+00:00,FT,Făleşti,14009,Floreşti,5376,1,0,True
1351555,2025-03-29T14:00:00+00:00,FT,CSF Bălți,14008,Milsami Orhei,691,0,2,True
1351553,2025-03-29T16:00:00+00:00,FT,Petrocub,2271,Sheriff Tiraspol,568,1,1,True
1351554,2025-03-30T15:00:00+00:00,FT,Zimbru,4633,Spartanii Selemet,5380,3,1,True
1367030,2025-04-04T13:00:00+00:00,FT,FC Stăuceni,17625,Făleşti,14009,2,1,True
1367031,2025-04-05T13:00:00+00:00,FT,Saxan,4637,Dacia-Buiucani,5375,2,2,True
1367032,2025-04-05T13:00:00+00:00,FT,Victoria Bardar,5384,Floreşti,5376,4,1,True
1360750,2025-04-05T15:00:00+00:00,FT,Sheriff Tiraspol,568,CSF Bălți,14008,2,1,True
1360751,2025-04-06T13:00:00+00:00,FT,Spartanii Selemet,5380,Milsami Orhei,691,1,6,True
1360752,2025-04-06T15:00:00+00:00,FT,Zimbru,4633,Petrocub,2271,3,2,True
1367033,2025-04-11T13:00:00+00:00,FT,Dacia-Buiucani,5375,Victoria Bardar,5384,4,0,True
1367034,2025-04-11T13:00:00+00:00,FT,Făleşti,14009,Saxan,4637,0,3,True
1360753,2025-04-12T13:00:00+00:00,FT,Petrocub,2271,Spartanii Selemet,5380,3,1,True
1367035,2025-04-12T13:00:00+00:00,FT,Floreşti,5376,FC Stăuceni,17625,0,3,True
1360754,2025-04-12T15:00:00+00:00,FT,CSF Bălți,14008,Zimbru,4633,0,2,True
1360755,2025-04-13T15:00:00+00:00,FT,Sheriff Tiraspol,568,Milsami Orhei,691,2,2,True
1367037,2025-04-18T13:00:00+00:00,FT,Floreşti,5376,Saxan,4637,0,3,True
1367036,2025-04-18T13:00:00+00:00,FT,FC Stăuceni,17625,Victoria Bardar,5384,3,1,True
1360756,2025-04-19T12:00:00+00:00,FT,Sheriff Tiraspol,568,Spartanii Selemet,5380,4,0,True
