fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
867570,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,Willem II,195,Jong PSV U21,411,1,1,True
867567,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,NAC Breda,203,Helmond Sport,424,1,0,True
867569,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,VVV Venlo,204,Almere City FC,419,3,0,True
867566,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,Heracles,206,ADO Den Haag,198,4,0,True
867565,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,Dordrecht,409,Roda,414,0,2,True
867564,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,Den Bosch,421,FC Eindhoven,422,1,3,True
867568,2022-08-05T18:00:00+00:00,FT,Regular Season - 1,FC OSS,423,Jong Utrecht,428,3,0,True
867571,2022-08-07T10:15:00+00:00,FT,Regular Season - 1,PEC Zwolle,193,De Graafschap,199,2,1,True
867573,2022-08-08T18:00:00+00:00,FT,Regular Season - 1,Jong AZ,418,MVV,412,3,1,True
867572,2022-08-08T18:00:00+00:00,FT,Regular Season - 1,Jong Ajax,425,Telstar,427,1,1,True
867575,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,De Graafschap,199,VVV Venlo,204,1,2,True
867578,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,Roda,414,Jong Ajax,425,1,0,True
867574,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,Almere City FC,419,FC OSS,423,3,0,True
867576,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,FC Eindhoven,422,Willem II,195,2,1,True
867577,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,Helmond Sport,424,Jong AZ,418,1,3,True
867579,2022-08-12T18:00:00+00:00,FT,Regular Season - 2,Telstar,427,PEC Zwolle,193,0,5,True
867580,2022-08-14T10:15:00+00:00,FT,Regular Season - 2,ADO Den Haag,198,Den Bosch,421,0,2,True
867582,2022-08-15T18:00:00+00:00,FT,Regular Season - 2,Jong PSV U21,411,Dordrecht,409,1,0,True
867583,2022-08-15T18:00:00+00:00,FT,Regular Season - 2,MVV,412,NAC Breda,203,3,1,True
867581,2022-08-15T18:00:00+00:00,FT,Regular Season - 2,Jong Utrecht,428,Heracles,206,0,3,True
