fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1453145,2025-09-06T12:00:00+00:00,FT,Heerenveen W,1897,Twente W,1899,1,3,True
1453144,2025-09-06T12:00:00+00:00,FT,Ajax W,1898,ADO Den Haag W,1894,6,0,True
1453146,2025-09-06T14:30:00+00:00,FT,PSV/Eindhoven W,1895,Excelsior W,1902,1,0,True
1453254,2025-09-07T10:15:00+00:00,FT,NAC Breda W,26498,Feyenoord W,16853,1,3,True
1453147,2025-09-07T12:30:00+00:00,FT,PEC Zwolle W,1900,Utrecht W,21940,1,2,True
1472485,2025-09-07T12:30:00+00:00,FT,AZ W,21939,Hera United W,26670,2,2,True
1453149,2025-09-21T10:15:00+00:00,FT,Feyenoord W,16853,Ajax W,1898,0,1,True
1453152,2025-09-21T14:45:00+00:00,FT,ADO Den Haag W,1894,Heerenveen W,1897,2,2,True
1453255,2025-09-21T14:45:00+00:00,FT,Twente W,1899,NAC Breda W,26498,6,0,True
1453151,2025-09-21T14:45:00+00:00,FT,Excelsior W,1902,AZ W,21939,1,3,True
1453150,2025-09-21T14:45:00+00:00,FT,Utrecht W,21940,PSV/Eindhoven W,1895,1,2,True
1472486,2025-09-21T14:45:00+00:00,FT,Hera United W,26670,PEC Zwolle W,1900,2,3,True
1453154,2025-09-28T10:15:00+00:00,FT,AZ W,21939,Ajax W,1898,0,0,True
1472487,2025-09-28T14:45:00+00:00,FT,PSV/Eindhoven W,1895,Hera United W,26670,4,0,True
1453158,2025-09-28T14:45:00+00:00,FT,Heerenveen W,1897,Excelsior W,1902,1,3,True
1453155,2025-09-28T14:45:00+00:00,FT,PEC Zwolle W,1900,Twente W,1899,1,4,True
1453157,2025-09-28T14:45:00+00:00,FT,Feyenoord W,16853,ADO Den Haag W,1894,2,0,True
1453256,2025-09-28T14:45:00+00:00,FT,NAC Breda W,26498,Utrecht W,21940,1,3,True
1453159,2025-10-04T12:00:00+00:00,FT,PSV/Eindhoven W,1895,Twente W,1899,1,3,True
1453160,2025-10-04T12:00:00+00:00,FT,Ajax W,1898,Heerenveen W,1897,4,1,True
1453162,2025-10-05T10:15:00+00:00,FT,ADO Den Haag W,1894,AZ W,21939,0,1,True
1453163,2025-10-05T14:45:00+00:00,FT,Excelsior W,1902,PEC Zwolle W,1900,0,1,True
1472488,2025-10-05T14:45:00+00:00,FT,Hera United W,26670,NAC Breda W,26498,1,1,True
1472489,2025-10-07T16:45:00+00:00,FT,Utrecht W,21940,Feyenoord W,16853,1,2,True
1453167,2025-10-12T10:15:00+00:00,FT,AZ W,21939,Feyenoord W,16853,1,4,True
1481754,2025-10-12T12:30:00+00:00,FT,Heerenveen W,1897,Hera United W,26670,1,0,True
1453165,2025-10-12T12:30:00+00:00,FT,Ajax W,1898,Excelsior W,1902,3,0,True
1453164,2025-10-12T12:30:00+00:00,FT,Twente W,1899,Utrecht W,21940,1,1,True
1453166,2025-10-12T12:30:00+00:00,FT,PEC Zwolle W,1900,ADO Den Haag W,1894,2,1,True
1453258,2025-10-12T12:30:00+00:00,FT,NAC Breda W,26498,PSV/Eindhoven W,1895,0,5,True
1472491,2025-11-02T11:15:00+00:00,FT,Hera United W,26670,Ajax W,1898,0,5,True
1453170,2025-11-02T15:45:00+00:00,FT,ADO Den Haag W,1894,Twente W,1899,0,5,True
1453171,2025-11-02T15:45:00+00:00,FT,PSV/Eindhoven W,1895,AZ W,21939,2,0,True
1453259,2025-11-02T15:45:00+00:00,FT,PEC Zwolle W,1900,NAC Breda W,26498,4,0,True
1453173,2025-11-02T15:45:00+00:00,FT,Excelsior W,1902,Utrecht W,21940,2,4,True
1453172,2025-11-02T15:45:00+00:00,FT,Feyenoord W,16853,Heerenveen W,1897,6,1,True
1453174,2025-11-08T13:00:00+00:00,FT,Ajax W,1898,PSV/Eindhoven W,1895,2,1,True
1472492,2025-11-16T11:15:00+00:00,FT,ADO Den Haag W,1894,Hera United W,26670,0,1,True
1453178,2025-11-16T15:45:00+00:00,FT,Heerenveen W,1897,PEC Zwolle W,1900,0,1,True
1453175,2025-11-16T15:45:00+00:00,FT,Twente W,1899,Feyenoord W,16853,3,2,True
1453177,2025-11-16T15:45:00+00:00,FT,Utrecht W,21940,AZ W,21939,3,3,True
1453260,2025-11-16T15:45:00+00:00,FT,NAC Breda W,26498,Excelsior W,1902,2,1,True
1453179,2025-11-23T15:45:00+00:00,FT,PSV/Eindhoven W,1895,Heerenveen W,1897,6,0,True
1453180,2025-11-23T15:45:00+00:00,FT,PEC Zwolle W,1900,Ajax W,1898,7,1,True
1453181,2025-11-23T15:45:00+00:00,FT,Excelsior W,1902,Twente W,1899,1,3,True
1472493,2025-11-23T15:45:00+00:00,FT,Feyenoord W,16853,Hera United W,26670,3,0,True
1453261,2025-11-23T15:45:00+00:00,FT,AZ W,21939,NAC Breda W,26498,8,1,True
1453187,2025-12-07T11:15:00+00:00,FT,Feyenoord W,16853,PEC Zwolle W,1900,1,0,True
1453186,2025-12-07T15:45:00+00:00,FT,ADO Den Haag W,1894,PSV/Eindhoven W,1895,0,2,True
1453184,2025-12-07T15:45:00+00:00,FT,Ajax W,1898,Utrecht W,21940,8,0,True
1453262,2025-12-07T15:45:00+00:00,FT,NAC Breda W,26498,Heerenveen W,1897,0,2,True
1472494,2025-12-07T15:45:00+00:00,FT,Hera United W,26670,Excelsior W,1902,1,1,True
1472495,2025-12-21T11:15:00+00:00,FT,Hera United W,26670,Twente W,1899,0,0,True
1453190,2025-12-21T15:45:00+00:00,FT,PSV/Eindhoven W,1895,Feyenoord W,16853,1,1,True
1453192,2025-12-21T15:45:00+00:00,FT,Heerenveen W,1897,Utrecht W,21940,1,2,True
1453263,2025-12-21T15:45:00+00:00,FT,Ajax W,1898,NAC Breda W,26498,5,1,True
1453193,2025-12-21T15:45:00+00:00,FT,Excelsior W,1902,ADO Den Haag W,1894,1,1,True
1453191,2025-12-21T15:45:00+00:00,FT,AZ W,21939,PEC Zwolle W,1900,0,1,True
1453194,2026-01-17T13:00:00+00:00,FT,Twente W,1899,Ajax W,1898,1,1,True
1453264,2026-01-18T11:15:00+00:00,FT,NAC Breda W,26498,ADO Den Haag W,1894,1,0,True
1453197,2026-01-18T15:45:00+00:00,FT,Heerenveen W,1897,AZ W,21939,3,2,True
1453195,2026-01-18T15:45:00+00:00,FT,PEC Zwolle W,1900,PSV/Eindhoven W,1895,0,2,True
1453196,2026-01-18T15:45:00+00:00,FT,Feyenoord W,16853,Excelsior W,1902,1,0,True
1472496,2026-01-18T15:45:00+00:00,FT,Utrecht W,21940,Hera United W,26670,2,2,True
1453201,2026-01-25T11:15:00+00:00,FT,PSV/Eindhoven W,1895,Utrecht W,21940,3,0,True
1453199,2026-01-25T15:45:00+00:00,FT,ADO Den Haag W,1894,Ajax W,1898,0,3,True
1453203,2026-01-25T15:45:00+00:00,FT,Excelsior W,1902,Heerenveen W,1897,2,4,True
1453200,2026-01-25T15:45:00+00:00,FT,AZ W,21939,Twente W,1899,0,4,True
1453265,2026-01-25T15:45:00+00:00,FT,NAC Breda W,26498,PEC Zwolle W,1900,1,2,True
1472497,2026-01-25T15:45:00+00:00,FT,Hera United W,26670,Feyenoord W,16853,0,1,True
1453207,2026-02-01T11:15:00+00:00,FT,PEC Zwolle W,1900,AZ W,21939,2,0,True
1453208,2026-02-01T15:45:00+00:00,FT,Heerenveen W,1897,ADO Den Haag W,1894,4,1,True
1472498,2026-02-01T15:45:00+00:00,FT,Ajax W,1898,Hera United W,26670,1,2,True
1453205,2026-02-01T15:45:00+00:00,FT,Twente W,1899,Excelsior W,1902,3,0,True
