fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
164960,2020-03-13T00:00:00+00:00,CANC,Regular Season - 27,ADO Den Haag,198,Fortuna Sittard,205,,,False
164964,2020-03-14T00:00:00+00:00,CANC,Regular Season - 27,PEC Zwolle,193,Heracles,206,,,False
164961,2020-03-14T00:00:00+00:00,CANC,Regular Season - 27,Willem II,195,Heerenveen,210,,,False
164966,2020-03-14T00:00:00+00:00,CANC,Regular Season - 27,PSV Eindhoven,197,Emmen,208,,,False
164963,2020-03-14T00:00:00+00:00,CANC,Regular Season - 27,Utrecht,207,Vitesse,200,,,False
164962,2020-03-15T00:00:00+00:00,CANC,Regular Season - 27,Ajax,194,Twente,415,,,False
164967,2020-03-15T00:00:00+00:00,CANC,Regular Season - 27,VVV Venlo,204,AZ Alkmaar,201,,,False
164968,2020-03-15T00:00:00+00:00,CANC,Regular Season - 27,Waalwijk,417,Groningen,202,,,False
164965,2020-03-15T00:00:00+00:00,CANC,Regular Season - 27,Sparta Rotterdam,426,Feyenoord,209,,,False
164969,2020-03-20T00:00:00+00:00,CANC,Regular Season - 28,Heracles,206,Sparta Rotterdam,426,,,False
164971,2020-03-21T00:00:00+00:00,CANC,Regular Season - 28,PEC Zwolle,193,VVV Venlo,204,,,False
164972,2020-03-21T00:00:00+00:00,CANC,Regular Season - 28,Vitesse,200,Willem II,195,,,False
164973,2020-03-21T00:00:00+00:00,CANC,Regular Season - 28,Heerenveen,210,Waalwijk,417,,,False
164970,2020-03-21T00:00:00+00:00,CANC,Regular Season - 28,Twente,415,ADO Den Haag,198,,,False
164976,2020-03-22T00:00:00+00:00,CANC,Regular Season - 28,Groningen,202,AZ Alkmaar,201,,,False
164974,2020-03-22T00:00:00+00:00,CANC,Regular Season - 28,Fortuna Sittard,205,PSV Eindhoven,197,,,False
164977,2020-03-22T00:00:00+00:00,CANC,Regular Season - 28,Emmen,208,Utrecht,207,,,False
164975,2020-03-22T00:00:00+00:00,CANC,Regular Season - 28,Feyenoord,209,Ajax,194,,,False
