fixture_id,date,status,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played
1380867,2025-08-08T18:00:00+00:00,FT,Fortuna Sittard,205,GO Ahead Eagles,410,2,2,True
1380868,2025-08-09T14:30:00+00:00,FT,NEC Nijmegen,413,Excelsior,196,5,0,True
1380869,2025-08-09T16:45:00+00:00,FT,Feyenoord,209,NAC Breda,203,2,0,True
1380870,2025-08-09T18:00:00+00:00,FT,Heerenveen,210,FC Volendam,416,1,1,True
1380871,2025-08-09T19:00:00+00:00,FT,PSV Eindhoven,197,Sparta Rotterdam,426,6,1,True
1380872,2025-08-10T10:15:00+00:00,FT,PEC Zwolle,193,Twente,415,1,0,True
1380873,2025-08-10T12:30:00+00:00,FT,Ajax,194,Telstar,427,2,0,True
1380874,2025-08-10T12:30:00+00:00,FT,AZ Alkmaar,201,Groningen,202,4,1,True
1380875,2025-08-10T14:45:00+00:00,FT,Utrecht,207,Heracles,206,4,0,True
1380876,2025-08-15T18:00:00+00:00,FT,Telstar,427,PEC Zwolle,193,0,2,True
1380878,2025-08-16T16:45:00+00:00,FT,Excelsior,196,Feyenoord,209,1,2,True
1380879,2025-08-16T18:00:00+00:00,FT,Heracles,206,NEC Nijmegen,413,1,4,True
1380877,2025-08-16T19:00:00+00:00,FT,Groningen,202,Heerenveen,210,2,1,True
1380880,2025-08-17T10:15:00+00:00,FT,GO Ahead Eagles,410,Ajax,194,2,2,True
1380882,2025-08-17T12:30:00+00:00,FT,Twente,415,PSV Eindhoven,197,0,2,True
1380881,2025-08-17T12:30:00+00:00,FT,Sparta Rotterdam,426,Utrecht,207,2,1,True
1380883,2025-08-17T14:45:00+00:00,FT,FC Volendam,416,AZ Alkmaar,201,2,2,True
1380884,2025-08-17T18:00:00+00:00,FT,NAC Breda,203,Fortuna Sittard,205,2,1,True
1380885,2025-08-23T14:30:00+00:00,FT,GO Ahead Eagles,410,Sparta Rotterdam,426,0,3,True
1380886,2025-08-23T16:45:00+00:00,FT,PSV Eindhoven,197,Groningen,202,4,2,True
1380887,2025-08-23T19:00:00+00:00,FT,Telstar,427,FC Volendam,416,2,2,True
1380889,2025-08-24T10:15:00+00:00,FT,Heerenveen,210,Twente,415,1,2,True
1380891,2025-08-24T12:30:00+00:00,FT,Utrecht,207,Excelsior,196,4,1,True
1380890,2025-08-24T12:30:00+00:00,FT,NEC Nijmegen,413,NAC Breda,203,3,0,True
1380892,2025-08-24T14:45:00+00:00,FT,Ajax,194,Heracles,206,2,0,True
1380893,2025-08-29T18:00:00+00:00,FT,Groningen,202,Heracles,206,4,0,True
1380894,2025-08-30T14:30:00+00:00,FT,FC Volendam,416,Ajax,194,1,1,True
1380895,2025-08-30T16:45:00+00:00,FT,Heerenveen,210,GO Ahead Eagles,410,2,2,True
1380896,2025-08-30T18:00:00+00:00,FT,PSV Eindhoven,197,Telstar,427,0,2,True
1380897,2025-08-30T19:00:00+00:00,FT,Excelsior,196,Twente,415,1,0,True
1380898,2025-08-31T10:15:00+00:00,FT,Fortuna Sittard,205,NEC Nijmegen,413,3,2,True
1380900,2025-08-31T12:30:00+00:00,FT,PEC Zwolle,193,Utrecht,207,0,2,True
1380899,2025-08-31T12:30:00+00:00,FT,Sparta Rotterdam,426,Feyenoord,209,0,4,True
1380901,2025-08-31T14:45:00+00:00,FT,NAC Breda,203,AZ Alkmaar,201,0,1,True
1380902,2025-09-13T14:30:00+00:00,FT,Ajax,194,PEC Zwolle,193,3,1,True
1380903,2025-09-13T16:45:00+00:00,FT,GO Ahead Eagles,410,FC Volendam,416,3,0,True
1380904,2025-09-13T16:45:00+00:00,FT,NEC Nijmegen,413,PSV Eindhoven,197,3,5,True
1380905,2025-09-13T19:00:00+00:00,FT,Feyenoord,209,Heerenveen,210,1,0,True
1380906,2025-09-13T19:00:00+00:00,FT,Twente,415,NAC Breda,203,2,2,True
1380907,2025-09-14T10:15:00+00:00,FT,Excelsior,196,Sparta Rotterdam,426,0,1,True
1380908,2025-09-14T12:30:00+00:00,FT,Heracles,206,AZ Alkmaar,201,1,2,True
1380909,2025-09-14T12:30:00+00:00,FT,Utrecht,207,Groningen,202,0,1,True
1380910,2025-09-14T14:45:00+00:00,FT,Telstar,427,Fortuna Sittard,205,1,3,True
1380911,2025-09-17T18:00:00+00:00,FT,Feyenoord,209,Fortuna Sittard,205,2,0,True
1380912,2025-09-19T18:00:00+00:00,FT,Sparta Rotterdam,426,Twente,415,1,5,True
1380913,2025-09-20T14:30:00+00:00,FT,FC Volendam,416,Excelsior,196,1,2,True
1380914,2025-09-20T16:45:00+00:00,FT,Groningen,202,Telstar,427,2,0,True
1380915,2025-09-20T18:00:00+00:00,FT,Fortuna Sittard,205,Utrecht,207,1,0,True
1380916,2025-09-20T19:00:00+00:00,FT,NAC Breda,203,Heracles,206,2,1,True
1380917,2025-09-21T10:15:00+00:00,FT,PEC Zwolle,193,GO Ahead Eagles,410,0,2,True
1380919,2025-09-21T12:30:00+00:00,FT,PSV Eindhoven,197,Ajax,194,2,2,True
1380918,2025-09-21T12:30:00+00:00,FT,Heerenveen,210,NEC Nijmegen,413,3,2,True
1380920,2025-09-21T14:45:00+00:00,FT,AZ Alkmaar,201,Feyenoord,209,3,3,True
1380888,2025-09-24T18:00:00+00:00,FT,AZ Alkmaar,201,PEC Zwolle,193,2,2,True
1380921,2025-09-26T18:00:00+00:00,FT,Twente,415,Fortuna Sittard,205,3,2,True
1380923,2025-09-27T14:30:00+00:00,FT,Ajax,194,NAC Breda,203,2,1,True
1380924,2025-09-27T16:45:00+00:00,FT,FC Volendam,416,PEC Zwolle,193,2,1,True
1380925,2025-09-27T18:00:00+00:00,FT,Excelsior,196,PSV Eindhoven,197,1,2,True
1380927,2025-09-27T19:00:00+00:00,FT,Heracles,206,Sparta Rotterdam,426,3,0,True
1380926,2025-09-28T10:15:00+00:00,FT,NEC Nijmegen,413,AZ Alkmaar,201,2,1,True
1380922,2025-09-28T12:30:00+00:00,FT,Groningen,202,Feyenoord,209,0,1,True
1380928,2025-09-28T12:30:00+00:00,FT,Utrecht,207,Heerenveen,210,2,2,True
1380929,2025-09-28T14:45:00+00:00,FT,Telstar,427,GO Ahead Eagles,410,4,2,True
1380930,2025-10-03T18:00:00+00:00,FT,NAC Breda,203,Groningen,202,1,2,True
1380931,2025-10-04T14:30:00+00:00,FT,Sparta Rotterdam,426,Ajax,194,3,3,True
1380932,2025-10-04T16:45:00+00:00,FT,Fortuna Sittard,205,FC Volendam,416,1,0,True
1380933,2025-10-04T18:00:00+00:00,FT,PEC Zwolle,193,PSV Eindhoven,197,0,4,True
1380934,2025-10-04T19:00:00+00:00,FT,Heerenveen,210,Excelsior,196,2,1,True
1380935,2025-10-05T10:15:00+00:00,FT,Twente,415,Heracles,206,2,1,True
1380937,2025-10-05T12:30:00+00:00,FT,Feyenoord,209,Utrecht,207,3,2,True
1380936,2025-10-05T14:45:00+00:00,FT,AZ Alkmaar,201,Telstar,427,2,1,True
1380938,2025-10-05T18:00:00+00:00,FT,GO Ahead Eagles,410,NEC Nijmegen,413,1,1,True
1380947,2025-10-18T14:30:00+00:00,FT,NEC Nijmegen,413,Twente,415,3,3,True
1380940,2025-10-18T16:45:00+00:00,FT,PSV Eindhoven,197,GO Ahead Eagles,410,2,1,True
1380941,2025-10-18T16:45:00+00:00,FT,Utrecht,207,FC Volendam,416,3,1,True
1380942,2025-10-18T19:00:00+00:00,FT,Ajax,194,AZ Alkmaar,201,0,2,True
1380943,2025-10-18T19:00:00+00:00,FT,NAC Breda,203,PEC Zwolle,193,2,2,True
1380946,2025-10-19T10:15:00+00:00,FT,Telstar,427,Heerenveen,210,2,3,True
1380945,2025-10-19T12:30:00+00:00,FT,Excelsior,196,Fortuna Sittard,205,1,0,True
1380944,2025-10-19T12:30:00+00:00,FT,Groningen,202,Sparta Rotterdam,426,0,2,True
1380939,2025-10-19T14:45:00+00:00,FT,Heracles,206,Feyenoord,209,0,7,True
1380948,2025-10-24T18:00:00+00:00,FT,Heerenveen,210,NAC Breda,203,3,3,True
1380949,2025-10-25T14:30:00+00:00,FT,Fortuna Sittard,205,Groningen,202,1,2,True
1380951,2025-10-25T16:45:00+00:00,FT,Sparta Rotterdam,426,Telstar,427,1,0,True
1380950,2025-10-25T18:00:00+00:00,FT,FC Volendam,416,Heracles,206,3,0,True
1380952,2025-10-25T19:00:00+00:00,FT,PEC Zwolle,193,NEC Nijmegen,413,2,2,True
1380953,2025-10-26T11:15:00+00:00,FT,Twente,415,Ajax,194,2,3,True
1380954,2025-10-26T13:30:00+00:00,FT,Feyenoord,209,PSV Eindhoven,197,2,3,True
1380956,2025-10-26T15:45:00+00:00,FT,AZ Alkmaar,201,Utrecht,207,4,1,True
1380955,2025-10-26T19:00:00+00:00,FT,GO Ahead Eagles,410,Excelsior,196,2,0,True
1380957,2025-10-31T19:00:00+00:00,FT,PSV Eindhoven,197,Fortuna Sittard,205,5,2,True
1380960,2025-11-01T15:30:00+00:00,FT,Ajax,194,Heerenveen,210,1,1,True
1380959,2025-11-01T17:45:00+00:00,FT,NAC Breda,203,GO Ahead Eagles,410,1,0,True
1380958,2025-11-01T19:00:00+00:00,FT,Feyenoord,209,FC Volendam,416,3,1,True
1380961,2025-11-01T20:00:00+00:00,FT,Telstar,427,Excelsior,196,2,2,True
1380962,2025-11-02T11:15:00+00:00,FT,Heracles,206,PEC Zwolle,193,8,2,True
1380963,2025-11-02T13:30:00+00:00,FT,Groningen,202,Twente,415,1,1,True
1380964,2025-11-02T13:30:00+00:00,FT,Sparta Rotterdam,426,AZ Alkmaar,201,0,1,True
1380965,2025-11-02T15:45:00+00:00,FT,Utrecht,207,NEC Nijmegen,413,1,0,True
1380966,2025-11-07T19:00:00+00:00,FT,Twente,415,Telstar,427,0,0,True
1380967,2025-11-08T15:30:00+00:00,FT,Excelsior,196,Heracles,206,1,2,True
1380968,2025-11-08T17:45:00+00:00,FT,FC Volendam,416,NAC Breda,203,2,1,True
1380969,2025-11-08T19:00:00+00:00,FT,Fortuna Sittard,205,Heerenveen,210,2,0,True
1380970,2025-11-08T20:00:00+00:00,FT,PEC Zwolle,193,Sparta Rotterdam,426,1,0,True
1380971,2025-11-09T11:15:00+00:00,FT,Utrecht,207,Ajax,194,2,1,True
1380973,2025-11-09T13:30:00+00:00,FT,NEC Nijmegen,413,Groningen,202,2,0,True
1380972,2025-11-09T15:45:00+00:00,FT,AZ Alkmaar,201,PSV Eindhoven,197,1,5,True
1380974,2025-11-09T19:00:00+00:00,FT,GO Ahead Eagles,410,Feyenoord,209,2,1,True
1380981,2025-11-22T15:30:00+00:00,FT,NAC Breda,203,PSV Eindhoven,197,0,1,True
1380975,2025-11-22T17:45:00+00:00,FT,Ajax,194,Excelsior,196,1,2,True
1380976,2025-11-22T17:45:00+00:00,FT,FC Volendam,416,Twente,415,1,1,True
1380980,2025-11-22T20:00:00+00:00,FT,Heracles,206,GO Ahead Eagles,410,4,2,True
1380982,2025-11-22T20:00:00+00:00,FT,Sparta Rotterdam,426,Fortuna Sittard,205,1,1,True
1380979,2025-11-23T11:15:00+00:00,FT,Heerenveen,210,AZ Alkmaar,201,3,1,True
1380977,2025-11-23T13:30:00+00:00,FT,Feyenoord,209,NEC Nijmegen,413,2,4,True
1380983,2025-11-23T13:30:00+00:00,FT,Telstar,427,Utrecht,207,1,1,True
1380978,2025-11-23T15:45:00+00:00,FT,Groningen,202,PEC Zwolle,193,2,2,True
1380992,2025-11-28T19:00:00+00:00,FT,PEC Zwolle,193,Heerenveen,210,2,1,True
1380985,2025-11-29T15:30:00+00:00,FT,Excelsior,196,NAC Breda,203,1,0,True
1380989,2025-11-29T17:45:00+00:00,FT,Fortuna Sittard,205,Heracles,206,1,1,True
1380987,2025-11-29T20:00:00+00:00,FT,NEC Nijmegen,413,Sparta Rotterdam,426,3,1,True
1380988,2025-11-30T11:15:00+00:00,FT,PSV Eindhoven,197,FC Volendam,416,3,0,True
1380986,2025-11-30T13:30:00+00:00,FT,GO Ahead Eagles,410,Utrecht,207,2,2,True
1380990,2025-11-30T13:30:00+00:00,FT,Telstar,427,Feyenoord,209,1,2,True
1380991,2025-11-30T15:45:00+00:00,FT,Twente,415,AZ Alkmaar,201,1,0,True
1380984,2025-12-02T13:30:00+00:00,FT,Ajax,194,Groningen,202,2,0,True
1380994,2025-12-05T19:00:00+00:00,FT,Excelsior,196,Groningen,202,0,2,True
1380997,2025-12-06T15:30:00+00:00,FT,Heerenveen,210,PSV Eindhoven,197,0,2,True
1380999,2025-12-06T17:45:00+00:00,FT,Fortuna Sittard,205,Ajax,194,1,3,True
1380998,2025-12-06T19:00:00+00:00,FT,Heracles,206,Telstar,427,1,1,True
1380996,2025-12-06T20:00:00+00:00,FT,Feyenoord,209,PEC Zwolle,193,6,1,True
1381001,2025-12-07T11:15:00+00:00,FT,Utrecht,207,Twente,415,1,1,True
1380993,2025-12-07T13:30:00+00:00,FT,AZ Alkmaar,201,GO Ahead Eagles,410,2,2,True
1380995,2025-12-07T13:30:00+00:00,FT,FC Volendam,416,NEC Nijmegen,413,2,3,True
1381000,2025-12-07T15:45:00+00:00,FT,Sparta Rotterdam,426,NAC Breda,203,1,0,True
1381008,2025-12-13T15:30:00+00:00,FT,Telstar,427,NEC Nijmegen,413,2,2,True
1381004,2025-12-13T17:45:00+00:00,FT,Groningen,202,FC Volendam,416,3,0,True
1381006,2025-12-13T19:00:00+00:00,FT,PSV Eindhoven,197,Heracles,206,4,3,True
1381010,2025-12-13T20:00:00+00:00,FT,PEC Zwolle,193,Fortuna Sittard,205,1,0,True
1381007,2025-12-14T11:15:00+00:00,FT,Sparta Rotterdam,426,Heerenveen,210,0,3,True
1381002,2025-12-14T13:30:00+00:00,FT,Ajax,194,Feyenoord,209,2,0,True
1381009,2025-12-14T13:30:00+00:00,FT,Twente,415,GO Ahead Eagles,410,2,0,True
1381005,2025-12-14T15:45:00+00:00,FT,NAC Breda,203,Utrecht,207,1,1,True
1381015,2025-12-20T15:30:00+00:00,FT,Heracles,206,Heerenveen,210,0,3,True
1381011,2025-12-20T17:45:00+00:00,FT,Excelsior,196,PEC Zwolle,193,2,1,True
1381017,2025-12-20T19:00:00+00:00,FT,NEC Nijmegen,413,Ajax,194,2,2,True
1381016,2025-12-20T20:00:00+00:00,FT,NAC Breda,203,Telstar,427,0,1,True
1381019,2025-12-21T11:15:00+00:00,FT,Utrecht,207,PSV Eindhoven,197,1,2,True
1381013,2025-12-21T13:30:00+00:00,FT,Feyenoord,209,Twente,415,1,1,True
1381014,2025-12-21T13:30:00+00:00,FT,GO Ahead Eagles,410,Groningen,202,1,1,True
1381018,2025-12-21T15:45:00+00:00,FT,Fortuna Sittard,205,AZ Alkmaar,201,4,3,True
1381012,2025-12-21T15:45:00+00:00,FT,FC Volendam,416,Sparta Rotterdam,426,0,1,True
1381020,2026-01-10T15:30:00+00:00,FT,AZ Alkmaar,201,FC Volendam,416,1,0,True
1381028,2026-01-10T17:45:00+00:00,FT,Twente,415,PEC Zwolle,193,1,1,True
1381025,2026-01-10T19:00:00+00:00,FT,PSV Eindhoven,197,Excelsior,196,5,1,True
1381022,2026-01-10T20:00:00+00:00,FT,Groningen,202,NAC Breda,203,0,0,True
1381023,2026-01-11T11:15:00+00:00,FT,Heerenveen,210,Feyenoord,209,2,2,True
1381021,2026-01-11T13:30:00+00:00,FT,GO Ahead Eagles,410,Fortuna Sittard,205,2,2,True
1381027,2026-01-11T13:30:00+00:00,FT,Telstar,427,Ajax,194,2,3,True
1381026,2026-01-11T15:45:00+00:00,FT,Sparta Rotterdam,426,Heracles,206,2,0,True
1381029,2026-01-17T15:30:00+00:00,FT,Ajax,194,GO Ahead Eagles,410,2,2,True
1381037,2026-01-17T17:45:00+00:00,FT,PEC Zwolle,193,AZ Alkmaar,201,3,1,True
1381030,2026-01-17T19:00:00+00:00,FT,Excelsior,196,Telstar,427,2,2,True
1381036,2026-01-17T19:00:00+00:00,FT,Fortuna Sittard,205,PSV Eindhoven,197,1,2,True
1381035,2026-01-17T20:00:00+00:00,FT,NAC Breda,203,NEC Nijmegen,413,3,4,True
1381033,2026-01-18T11:15:00+00:00,FT,Heerenveen,210,Groningen,202,0,2,True
1381034,2026-01-18T13:30:00+00:00,FT,Heracles,206,Twente,415,0,2,True
1381031,2026-01-18T13:30:00+00:00,FT,FC Volendam,416,Utrecht,207,2,1,True
1381032,2026-01-18T15:45:00+00:00,FT,Feyenoord,209,Sparta Rotterdam,426,3,4,True
1381003,2026-01-21T17:45:00+00:00,FT,AZ Alkmaar,201,Excelsior,196,1,1,True
1381038,2026-01-24T15:30:00+00:00,FT,Ajax,194,FC Volendam,416,2,0,True
1381042,2026-01-24T17:45:00+00:00,FT,NEC Nijmegen,413,PEC Zwolle,193,2,1,True
1381043,2026-01-24T19:00:00+00:00,FT,PSV Eindhoven,197,NAC Breda,203,2,2,True
1381045,2026-01-24T20:00:00+00:00,FT,Twente,415,Excelsior,196,0,0,True
1381044,2026-01-25T11:15:00+00:00,FT,Telstar,427,AZ Alkmaar,201,0,1,True
1381041,2026-01-25T13:30:00+00:00,FT,Groningen,202,Fortuna Sittard,205,1,2,True
1381046,2026-01-25T15:45:00+00:00,FT,Utrecht,207,Sparta Rotterdam,426,0,1,True
1381039,2026-01-25T15:45:00+00:00,FT,Feyenoord,209,Heracles,206,4,2,True
1381052,2026-01-30T19:00:00+00:00,FT,NAC Breda,203,Twente,415,2,2,True
1381047,2026-01-31T15:30:00+00:00,FT,AZ Alkmaar,201,NEC Nijmegen,413,1,3,True
1381055,2026-01-31T17:45:00+00:00,FT,PEC Zwolle,193,Telstar,427,4,1,True
1381054,2026-01-31T20:00:00+00:00,FT,Sparta Rotterdam,426,Groningen,202,2,0,True
1381048,2026-02-01T11:15:00+00:00,FT,Excelsior,196,Ajax,194,2,2,True
1381053,2026-02-01T13:30:00+00:00,FT,PSV Eindhoven,197,Feyenoord,209,3,0,True
1381051,2026-02-01T13:30:00+00:00,FT,Heracles,206,Fortuna Sittard,205,2,1,True
