fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1415405,2025-08-22T18:00:00+00:00,FT,Regular Season - 1,Vllaznia Shkodër,3339,Egnatia Rrogozhinë,3327,2,0,True,
1415401,2025-08-23T15:00:00+00:00,FT,Regular Season - 1,Bylis,3325,Tirana,694,0,0,True,2164
1415402,2025-08-23T18:00:00+00:00,FT,Regular Season - 1,AF Elbasani,20406,Flamurtari,3317,1,0,True,
1415404,2025-08-24T18:00:00+00:00,FT,Regular Season - 1,Partizani,708,Vora,3340,1,0,True,19776
1415409,2025-08-30T14:00:00+00:00,FT,Regular Season - 2,Flamurtari,3317,Bylis,3325,3,3,True,
1415408,2025-08-30T18:00:00+00:00,FT,Regular Season - 2,Partizani,708,Teuta Durrës,3320,0,0,True,19776
1415410,2025-08-30T18:00:00+00:00,FT,Regular Season - 2,Egnatia Rrogozhinë,3327,AF Elbasani,20406,1,1,True,
1415406,2025-08-31T15:00:00+00:00,FT,Regular Season - 2,Vora,3340,Tirana,694,3,1,True,3
1415407,2025-08-31T18:00:00+00:00,FT,Regular Season - 2,Dinamo Tirana,3326,Vllaznia Shkodër,3339,3,1,True,
1415415,2025-09-13T14:00:00+00:00,FT,Regular Season - 3,Tirana,694,Flamurtari,3317,1,1,True,
1415411,2025-09-13T14:00:00+00:00,FT,Regular Season - 3,Bylis,3325,Egnatia Rrogozhinë,3327,0,1,True,2164
1415414,2025-09-13T17:00:00+00:00,FT,Regular Season - 3,Vllaznia Shkodër,3339,Partizani,708,4,1,True,
1415413,2025-09-14T17:00:00+00:00,FT,Regular Season - 3,Teuta Durrës,3320,Vora,3340,1,1,True,
1415412,2025-09-14T17:00:00+00:00,FT,Regular Season - 3,AF Elbasani,20406,Dinamo Tirana,3326,1,0,True,
1415403,2025-09-17T13:00:00+00:00,FT,Regular Season - 1,Teuta Durrës,3320,Dinamo Tirana,3326,1,0,True,
1415417,2025-09-20T17:00:00+00:00,FT,Regular Season - 4,Partizani,708,AF Elbasani,20406,0,1,True,19776
1415419,2025-09-20T17:00:00+00:00,FT,Regular Season - 4,Egnatia Rrogozhinë,3327,Tirana,694,2,0,True,
1415418,2025-09-21T14:00:00+00:00,FT,Regular Season - 4,Dinamo Tirana,3326,Bylis,3325,0,0,True,
1415416,2025-09-21T14:00:00+00:00,FT,Regular Season - 4,Vora,3340,Flamurtari,3317,1,0,True,3
1415420,2025-09-21T17:00:00+00:00,FT,Regular Season - 4,Teuta Durrës,3320,Vllaznia Shkodër,3339,1,1,True,
1415425,2025-09-27T14:00:00+00:00,FT,Regular Season - 5,Tirana,694,Dinamo Tirana,3326,1,2,True,
1415423,2025-09-27T14:00:00+00:00,FT,Regular Season - 5,Bylis,3325,Partizani,708,3,1,True,2164
1415421,2025-09-27T17:00:00+00:00,FT,Regular Season - 5,AF Elbasani,20406,Teuta Durrës,3320,0,0,True,
1415422,2025-09-28T17:00:00+00:00,FT,Regular Season - 5,Flamurtari,3317,Egnatia Rrogozhinë,3327,1,2,True,
1415424,2025-09-28T17:00:00+00:00,FT,Regular Season - 5,Vllaznia Shkodër,3339,Vora,3340,2,0,True,
1415427,2025-10-03T17:00:00+00:00,FT,Regular Season - 6,Partizani,708,Tirana,694,0,3,True,19776
1415428,2025-10-04T13:30:00+00:00,FT,Regular Season - 6,Dinamo Tirana,3326,Flamurtari,3317,2,0,True,
1415426,2025-10-04T17:00:00+00:00,FT,Regular Season - 6,Vllaznia Shkodër,3339,AF Elbasani,20406,1,0,True,
1415429,2025-10-05T12:00:00+00:00,FT,Regular Season - 6,Vora,3340,Egnatia Rrogozhinë,3327,0,1,True,3
1415430,2025-10-05T15:00:00+00:00,FT,Regular Season - 6,Teuta Durrës,3320,Bylis,3325,1,0,True,
1415431,2025-10-18T12:00:00+00:00,FT,Regular Season - 7,Bylis,3325,Vllaznia Shkodër,3339,0,1,True,2164
1415435,2025-10-18T15:00:00+00:00,FT,Regular Season - 7,Tirana,694,Teuta Durrës,3320,0,0,True,
1415432,2025-10-18T15:00:00+00:00,FT,Regular Season - 7,Egnatia Rrogozhinë,3327,Dinamo Tirana,3326,0,0,True,
1415434,2025-10-19T15:00:00+00:00,FT,Regular Season - 7,Flamurtari,3317,Partizani,708,0,1,True,
1415433,2025-10-19T15:00:00+00:00,FT,Regular Season - 7,AF Elbasani,20406,Vora,3340,1,2,True,
