fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
590251,2020-09-30T12:15:00+00:00,CANC,Regular Season - 6,Alashkert,582,Gandzasar,688,,,False,1755
590256,2020-10-02T14:00:00+00:00,CANC,Regular Season - 7,Gandzasar,688,FC Noah,3684,,,False,120
590274,2020-11-03T13:00:00+00:00,CANC,Regular Season - 11,Gandzasar,688,Ararat-Armenia,3683,,,False,120
590283,2020-11-21T09:00:00+00:00,CANC,Regular Season - 12,Lori,3685,Gandzasar,688,,,False,2478
590240,2020-11-25T09:00:00+00:00,CANC,Regular Season - 13,Pyunik Yerevan,709,Gandzasar,688,,,False,121
590292,2020-11-29T09:00:00+00:00,CANC,Regular Season - 14,Shirak,3686,Gandzasar,688,,,False,2479
590296,2020-12-04T08:00:00+00:00,CANC,Regular Season - 15,Gandzasar,688,Alashkert,582,,,False,120
590301,2021-02-28T14:00:00+00:00,CANC,Regular Season - 16,FC Noah,3684,Gandzasar,688,,,False,1755
590307,2021-03-05T14:00:00+00:00,CANC,Regular Season - 17,Gandzasar,688,Ararat,3682,,,False,120
590310,2021-03-16T14:00:00+00:00,CANC,Regular Season - 18,FC Urartu,2276,Gandzasar,688,,,False,119
678279,2021-04-14T14:00:00+00:00,CANC,Regular Season - 20,Ararat,3682,FC Noah,3684,,,False,121
678281,2021-04-15T12:30:00+00:00,CANC,Regular Season - 20,Van,6286,Shirak,3686,,,False,4655
707908,2021-04-23T08:00:00+00:00,CANC,Regular Season - 21,Gandzasar,688,Lori,3685,,,False,120
678284,2021-04-23T08:00:00+00:00,CANC,Regular Season - 21,FC Urartu,2276,Van,6286,,,False,119
678287,2021-05-02T08:00:00+00:00,CANC,Regular Season - 22,Alashkert,582,Pyunik Yerevan,709,,,False,1755
678290,2021-05-02T08:00:00+00:00,CANC,Regular Season - 22,Ararat-Armenia,3683,Shirak,3686,,,False,120
678288,2021-05-02T08:00:00+00:00,CANC,Regular Season - 22,Van,6286,FC Noah,3684,,,False,4655
678293,2021-05-09T08:00:00+00:00,CANC,Regular Season - 23,Pyunik Yerevan,709,Van,6286,,,False,121
678291,2021-05-09T08:00:00+00:00,CANC,Regular Season - 23,FC Urartu,2276,Ararat-Armenia,3683,,,False,119
678294,2021-05-09T08:00:00+00:00,CANC,Regular Season - 23,Ararat,3682,Alashkert,582,,,False,121
678297,2021-05-14T08:00:00+00:00,CANC,Regular Season - 24,Ararat-Armenia,3683,FC Noah,3684,,,False,120
678298,2021-05-14T08:00:00+00:00,CANC,Regular Season - 24,Shirak,3686,FC Urartu,2276,,,False,2479
678295,2021-05-14T08:00:00+00:00,CANC,Regular Season - 24,Van,6286,Ararat,3682,,,False,4655
678302,2021-05-18T08:00:00+00:00,CANC,Regular Season - 25,Alashkert,582,Van,6286,,,False,1755
678300,2021-05-18T08:00:00+00:00,CANC,Regular Season - 25,Pyunik Yerevan,709,Ararat-Armenia,3683,,,False,121
678299,2021-05-18T08:00:00+00:00,CANC,Regular Season - 25,FC Noah,3684,Shirak,3686,,,False,120
678306,2021-05-23T08:00:00+00:00,CANC,Regular Season - 26,FC Urartu,2276,FC Noah,3684,,,False,119
678304,2021-05-23T08:00:00+00:00,CANC,Regular Season - 26,Ararat-Armenia,3683,Ararat,3682,,,False,120
678305,2021-05-23T08:00:00+00:00,CANC,Regular Season - 26,Shirak,3686,Pyunik Yerevan,709,,,False,2479
