fixture_id,date,status,round,home_team,home_team_id,away_team,away_team_id,home_score,away_score,played,venue_id
1042872,2023-07-20T17:00:00+00:00,FT,1st Round,Neusiedl,4954,SV Lafnitz,1402,1,4,True,3746
1042873,2023-07-21T16:00:00+00:00,FT,1st Round,Röthis,8258,Lask Linz,1026,0,6,True,5845
1042883,2023-07-21T16:00:00+00:00,FT,1st Round,Spittal,8278,Austria Vienna,601,0,7,True,5864
1042885,2023-07-21T17:00:00+00:00,FT,1st Round,Traiskirchen,4961,SCR Altach,618,1,2,True,19578
1042860,2023-07-21T17:00:00+00:00,AET,1st Round,Deutschlandsberger SC,4972,SV Kapfenberg,1401,1,1,False,3764
1042881,2023-07-21T17:00:00+00:00,AET,1st Round,Bad Schallerbach,8294,WSG Wattens,1398,2,3,False,5880
1042857,2023-07-21T17:00:00+00:00,AET,1st Round,Voitsberg,8332,First Vienna,4990,1,2,False,19961
1042871,2023-07-21T17:00:00+00:00,FT,1st Round,Imst,14709,Schwarz-Weiß Bregenz,8259,2,0,True,10722
1042862,2023-07-21T17:30:00+00:00,AET,1st Round,Mannsdorf-Großenzersdorf,4952,Weiz,4996,1,1,False,3744
1042870,2023-07-21T17:30:00+00:00,FT,1st Round,Parndorf,4955,Draßburg,4937,0,5,True,3747
1042884,2023-07-21T17:30:00+00:00,FT,1st Round,TWL Elektra,16999,SKN ST. Polten,1027,0,3,True,3777
1042864,2023-07-22T14:00:00+00:00,FT,1st Round,Favoritner AC,8367,TSV Hartberg,1072,2,3,True,5949
1042869,2023-07-22T14:30:00+00:00,FT,1st Round,Wolfurt,4968,Austria Salzburg,5000,0,1,True,3760
1042882,2023-07-22T14:30:00+00:00,FT,1st Round,SVG Reichenau,4981,Dornbirn,4255,0,2,True,3772
1042858,2023-07-22T15:00:00+00:00,AET,1st Round,Austria XIII,4971,St. Anna,4959,4,4,False,3763
1042880,2023-07-22T15:30:00+00:00,AET,1st Round,Leobendorf,4951,SV Horn,1397,3,2,False,3743
1042876,2023-07-22T15:30:00+00:00,FT,1st Round,Silz / Mötz,8342,Austria Lustenau,1399,0,8,True,
1081807,2023-07-22T15:30:00+00:00,FT,1st Round,SAK Klagenfurt,17207,Sturm Graz,637,2,7,True,3790
1042863,2023-07-22T16:00:00+00:00,FT,1st Round,Pinzgau Saalfelden,4980,Bischofshofen,8260,3,2,True,19946
1042866,2023-07-22T16:30:00+00:00,FT,1st Round,Gurten,4942,Hohenems,4945,1,0,True,3734
1042879,2023-07-22T16:30:00+00:00,FT,1st Round,Oberwart / Rotenturm,8271,Stripfing,4993,1,3,True,5857
